date        time     P_O_Byrteai_102 T_Byrteai_1023m T_Byrteai_1023m       Q_Byrteai 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
01.01.2000  00:00:00           3.300          -3.750          -3.750           0.270 
02.01.2000  00:00:00           3.790          -2.020          -2.020           0.270 
03.01.2000  00:00:00           6.980          -3.840          -3.840           0.270 
04.01.2000  00:00:00          16.530          -3.800          -3.800           0.290 
05.01.2000  00:00:00           4.440          -4.780          -4.780           0.310 
06.01.2000  00:00:00           6.510          -2.750          -2.750           0.460 
07.01.2000  00:00:00          13.870          -3.440          -3.440           0.440 
08.01.2000  00:00:00          10.740          -1.230          -1.230           0.700 
09.01.2000  00:00:00          16.580          -2.600          -2.600           0.510 
10.01.2000  00:00:00           0.090          -4.470          -4.470           0.430 
11.01.2000  00:00:00           0.350          -3.220          -3.220           0.390 
12.01.2000  00:00:00           0.120          -1.440          -1.440           0.360 
13.01.2000  00:00:00           0.210          -3.130          -3.130           0.340 
14.01.2000  00:00:00           0.000          -6.030          -6.030           0.320 
15.01.2000  00:00:00           0.000         -11.750         -11.750           0.340 
16.01.2000  00:00:00           0.000          -3.740          -3.740           0.280 
17.01.2000  00:00:00           0.000           0.810           0.810           0.420 
18.01.2000  00:00:00           0.000          -1.660          -1.660           0.370 
19.01.2000  00:00:00           0.000          -7.970          -7.970           0.390 
20.01.2000  00:00:00           0.030          -4.050          -4.050           0.270 
21.01.2000  00:00:00           0.000          -5.410          -5.410           0.390 
22.01.2000  00:00:00           3.060          -9.610          -9.610           0.310 
23.01.2000  00:00:00           0.000         -10.200         -10.200           0.270 
24.01.2000  00:00:00           0.000         -13.160         -13.160           0.240 
25.01.2000  00:00:00           0.000          -9.310          -9.310           0.220 
26.01.2000  00:00:00           0.000           1.230           1.230           0.210 
27.01.2000  00:00:00           0.110          -1.140          -1.140           0.200 
28.01.2000  00:00:00           9.620          -5.160          -5.160           0.210 
29.01.2000  00:00:00           7.270          -4.530          -4.530           0.210 
30.01.2000  00:00:00          17.920          -4.670          -4.670           0.290 
31.01.2000  00:00:00           9.770         -11.050         -11.050           0.270 
01.02.2000  00:00:00           0.050          -9.020          -9.020           0.250 
02.02.2000  00:00:00          21.070          -6.230          -6.230           0.260 
03.02.2000  00:00:00          11.820          -6.680          -6.680           0.280 
04.02.2000  00:00:00           0.480          -4.450          -4.450           0.300 
05.02.2000  00:00:00           0.270           1.170           1.170           0.830 
06.02.2000  00:00:00           1.180           2.270           2.270           0.930 
07.02.2000  00:00:00           3.390          -1.210          -1.210           0.650 
08.02.2000  00:00:00           2.730          -3.720          -3.720           0.560 
09.02.2000  00:00:00           3.040          -4.620          -4.620           0.450 
10.02.2000  00:00:00           4.550          -3.840          -3.840           0.370 
11.02.2000  00:00:00           5.510          -4.140          -4.140           0.390 
12.02.2000  00:00:00           9.220          -2.920          -2.920           0.360 
13.02.2000  00:00:00          18.180          -5.040          -5.040           0.370 
14.02.2000  00:00:00           1.140          -9.100          -9.100           0.530 
15.02.2000  00:00:00           5.700         -10.600         -10.600           0.370 
16.02.2000  00:00:00           0.440          -8.320          -8.320           0.310 
17.02.2000  00:00:00           0.000         -11.560         -11.560           0.310 
18.02.2000  00:00:00           0.000         -15.000         -15.000           0.290 
19.02.2000  00:00:00           0.000         -11.600         -11.600           0.250 
20.02.2000  00:00:00           0.000         -12.510         -12.510           0.250 
21.02.2000  00:00:00           0.000         -16.440         -16.440           0.260 
22.02.2000  00:00:00           0.930         -13.260         -13.260           0.230 
23.02.2000  00:00:00           0.000          -6.110          -6.110           0.210 
24.02.2000  00:00:00           7.140          -6.000          -6.000           0.210 
25.02.2000  00:00:00          12.300          -6.240          -6.240           0.220 
26.02.2000  00:00:00          13.160          -5.030          -5.030           0.220 
27.02.2000  00:00:00           9.940          -3.010          -3.010           0.350 
28.02.2000  00:00:00           9.040          -1.890          -1.890           0.570 
29.02.2000  00:00:00           0.550          -4.170          -4.170           0.310 
01.03.2000  00:00:00           0.260          -5.360          -5.360           0.280 
02.03.2000  00:00:00           0.060          -7.580          -7.580           0.280 
03.03.2000  00:00:00           7.750          -7.870          -7.870           0.260 
04.03.2000  00:00:00           0.060          -9.170          -9.170           0.270 
05.03.2000  00:00:00           0.000         -11.640         -11.640           0.240 
06.03.2000  00:00:00          17.180          -6.050          -6.050           2.930 
07.03.2000  00:00:00          23.180          -2.840          -2.840           1.000 
08.03.2000  00:00:00           0.940          -5.800          -5.800           0.410 
09.03.2000  00:00:00          16.050          -6.050          -6.050           0.350 
10.03.2000  00:00:00           0.000         -11.750         -11.750           0.300 
11.03.2000  00:00:00           8.240          -9.940          -9.940           0.280 
12.03.2000  00:00:00           0.110          -8.900          -8.900           0.260 
13.03.2000  00:00:00           0.040          -3.510          -3.510           0.260 
14.03.2000  00:00:00           2.370          -3.620          -3.620           0.310 
15.03.2000  00:00:00           5.130          -8.710          -8.710           0.350 
16.03.2000  00:00:00           0.060          -8.840          -8.840           0.260 
17.03.2000  00:00:00           0.000          -1.230          -1.230           0.420 
18.03.2000  00:00:00           0.000           0.560           0.560           0.550 
19.03.2000  00:00:00           0.000          -3.380          -3.380           0.460 
20.03.2000  00:00:00           0.010           0.270           0.270           0.870 
21.03.2000  00:00:00           0.010          -1.450          -1.450           1.020 
22.03.2000  00:00:00           0.510          -3.570          -3.570           0.780 
23.03.2000  00:00:00           0.110          -6.790          -6.790           0.520 
24.03.2000  00:00:00           0.020         -11.330         -11.330           0.500 
25.03.2000  00:00:00           0.000          -7.330          -7.330           0.350 
26.03.2000  00:00:00           1.990          -5.580          -5.580           0.320 
27.03.2000  00:00:00           0.080          -4.700          -4.700           0.290 
28.03.2000  00:00:00           0.000          -9.040          -9.040           0.350 
29.03.2000  00:00:00           0.000          -6.010          -6.010           0.260 
30.03.2000  00:00:00           0.000           0.030           0.030           0.350 
31.03.2000  00:00:00           0.000           0.410           0.410           0.560 
01.04.2000  00:00:00           0.010          -2.050          -2.050           0.510 
02.04.2000  00:00:00           4.670          -2.290          -2.290           0.390 
03.04.2000  00:00:00           4.700          -4.820          -4.820           0.330 
04.04.2000  00:00:00          10.970          -6.300          -6.300           0.310 
05.04.2000  00:00:00           3.740         -10.580         -10.580           0.390 
06.04.2000  00:00:00           0.010          -6.850          -6.850           0.310 
07.04.2000  00:00:00           0.000          -1.540          -1.540           0.400 
08.04.2000  00:00:00           0.000          -0.250          -0.250           0.450 
