date        time     P_O_Hakadalselv T_Hakadalselv_1 T_Hakadalselv_1   Q_Hakadalselv 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
04.02.2008  00:00:00           4.160          -8.460          -8.460           0.050 
05.02.2008  00:00:00           0.000          -7.990          -7.990           0.040 
06.02.2008  00:00:00           0.000          -6.850          -6.850           0.030 
07.02.2008  00:00:00           4.760          -6.480          -6.480           0.040 
08.02.2008  00:00:00           0.040          -5.370          -5.370           0.030 
09.02.2008  00:00:00           0.000          -0.350          -0.350           0.020 
10.02.2008  00:00:00           2.630          -1.360          -1.360           0.020 
11.02.2008  00:00:00           0.000          -7.060          -7.060           0.020 
12.02.2008  00:00:00           0.000          -6.580          -6.580           0.020 
13.02.2008  00:00:00          12.110          -2.690          -2.690           0.020 
14.02.2008  00:00:00           4.080          -9.120          -9.120           0.020 
15.02.2008  00:00:00           2.560         -10.460         -10.460           0.020 
16.02.2008  00:00:00           0.000         -12.710         -12.710           0.020 
17.02.2008  00:00:00          32.240          -4.470          -4.470           0.070 
18.02.2008  00:00:00          14.430          -3.260          -3.260           0.130 
19.02.2008  00:00:00          11.330          -2.820          -2.820           0.170 
20.02.2008  00:00:00           0.000          -2.860          -2.860           0.160 
21.02.2008  00:00:00           0.000          -3.000          -3.000           0.110 
22.02.2008  00:00:00          11.720          -2.990          -2.990           0.130 
23.02.2008  00:00:00          13.530          -6.520          -6.520           0.170 
24.02.2008  00:00:00           0.300          -4.640          -4.640           0.170 
25.02.2008  00:00:00           7.410          -5.680          -5.680           0.160 
26.02.2008  00:00:00           0.000          -8.470          -8.470           0.130 
27.02.2008  00:00:00           0.000          -5.840          -5.840           0.120 
28.02.2008  00:00:00           4.590          -7.960          -7.960           0.130 
29.02.2008  00:00:00           1.730          -8.070          -8.070           0.110 
01.03.2008  00:00:00           0.000          -6.220          -6.220           0.080 
02.03.2008  00:00:00           0.000          -6.780          -6.780           0.070 
03.03.2008  00:00:00           9.540          -9.250          -9.250           0.090 
04.03.2008  00:00:00           4.400         -12.820         -12.820           0.090 
05.03.2008  00:00:00          20.940         -12.170         -12.170           0.140 
06.03.2008  00:00:00           3.860          -7.130          -7.130           0.170 
07.03.2008  00:00:00           2.300         -12.110         -12.110           0.150 
08.03.2008  00:00:00           0.000          -8.160          -8.160           0.110 
09.03.2008  00:00:00           0.000          -4.960          -4.960           0.080 
10.03.2008  00:00:00           0.000          -3.900          -3.900           0.060 
11.03.2008  00:00:00           0.000          -4.740          -4.740           0.050 
12.03.2008  00:00:00          17.390          -2.400          -2.400           0.050 
13.03.2008  00:00:00           0.000          -5.000          -5.000           0.040 
14.03.2008  00:00:00           0.300          -5.110          -5.110           0.030 
15.03.2008  00:00:00           0.000          -6.820          -6.820           0.020 
16.03.2008  00:00:00           1.590          -5.600          -5.600           0.020 
17.03.2008  00:00:00          10.440         -10.870         -10.870           0.030 
18.03.2008  00:00:00           9.840         -11.180         -11.180           0.080 
19.03.2008  00:00:00          17.310         -11.350         -11.350           0.120 
20.03.2008  00:00:00           2.340         -10.360         -10.360           0.100 
21.03.2008  00:00:00           0.000         -11.560         -11.560           0.080 
22.03.2008  00:00:00           0.000         -16.310         -16.310           0.050 
23.03.2008  00:00:00           0.000         -17.120         -17.120           0.040 
24.03.2008  00:00:00           0.000         -15.960         -15.960           0.030 
25.03.2008  00:00:00           0.000         -16.420         -16.420           0.020 
26.03.2008  00:00:00           0.000         -16.350         -16.350           0.020 
27.03.2008  00:00:00           0.000         -13.650         -13.650           0.010 
28.03.2008  00:00:00           0.000         -13.150         -13.150           0.010 
29.03.2008  00:00:00           0.000          -7.360          -7.360           0.010 
30.03.2008  00:00:00           1.420          -4.850          -4.850           0.010 
31.03.2008  00:00:00           0.000          -2.410          -2.410           0.010 
01.04.2008  00:00:00           0.000          -1.380          -1.380           0.000 
02.04.2008  00:00:00           0.000          -2.150          -2.150           0.000 
03.04.2008  00:00:00           0.000          -2.480          -2.480           0.000 
04.04.2008  00:00:00           6.120          -3.270          -3.270           0.000 
05.04.2008  00:00:00           0.000          -3.390          -3.390           0.000 
06.04.2008  00:00:00           5.880          -6.790          -6.790           0.000 
07.04.2008  00:00:00           5.520          -6.480          -6.480           0.000 
08.04.2008  00:00:00           0.000          -6.000          -6.000           0.000 
09.04.2008  00:00:00           0.000          -3.540          -3.540           0.000 
10.04.2008  00:00:00           4.070          -3.920          -3.920           0.000 
11.04.2008  00:00:00           0.000          -4.890          -4.890           0.000 
12.04.2008  00:00:00           0.000          -6.480          -6.480           0.000 
13.04.2008  00:00:00           0.000          -7.150          -7.150           0.000 
14.04.2008  00:00:00           0.000          -5.560          -5.560           0.000 
15.04.2008  00:00:00           4.650          -6.680          -6.680           0.000 
16.04.2008  00:00:00           0.000          -8.620          -8.620           0.000 
17.04.2008  00:00:00           0.000          -6.230          -6.230           0.000 
18.04.2008  00:00:00           0.000          -4.990          -4.990           0.000 
19.04.2008  00:00:00           0.000          -4.410          -4.410           0.000 
20.04.2008  00:00:00           0.000          -2.880          -2.880           0.000 
21.04.2008  00:00:00           0.000          -1.910          -1.910           0.000 
22.04.2008  00:00:00           0.000          -0.140          -0.140           0.000 
23.04.2008  00:00:00           0.000           0.750           0.750           0.000 
24.04.2008  00:00:00           0.000           0.750           0.750           0.000 
25.04.2008  00:00:00           0.000           0.970           0.970           0.000 
26.04.2008  00:00:00           0.000           0.440           0.440           0.000 
27.04.2008  00:00:00           2.940           1.000           1.000           0.000 
28.04.2008  00:00:00           2.280           2.130           2.130           0.010 
29.04.2008  00:00:00           0.560           2.220           2.220           0.060 
30.04.2008  00:00:00           0.060           4.050           4.050           0.200 
01.05.2008  00:00:00           0.000           3.480           3.480           0.820 
02.05.2008  00:00:00           0.000           2.780           2.780           8.060 
03.05.2008  00:00:00           6.150           2.440           2.440          34.030 
04.05.2008  00:00:00           0.040          -0.350          -0.350          28.320 
05.05.2008  00:00:00           0.000           2.220           2.220          21.860 
06.05.2008  00:00:00           0.900           1.680           1.680          12.660 
07.05.2008  00:00:00           0.000           2.230           2.230           3.790 
08.05.2008  00:00:00           0.000           3.470           3.470           2.680 
09.05.2008  00:00:00           0.000           3.840           3.840           2.510 
10.05.2008  00:00:00           0.000           6.380           6.380           2.190 
11.05.2008  00:00:00           0.000           7.830           7.830           2.710 
12.05.2008  00:00:00           3.170           0.310           0.310           2.410 
13.05.2008  00:00:00           0.000          -0.070          -0.070           1.780 
14.05.2008  00:00:00           5.350           0.430           0.430           1.390 
