date        time     P_O_Skjerdalsel T_Skjerdalselv_ T_Skjerdalselv_  Q_Skjerdalselv 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
05.12.2007  00:00:00          14.210          -2.910          -2.910           7.460 
06.12.2007  00:00:00          36.770           3.200           3.200           8.420 
07.12.2007  00:00:00          13.990           0.250           0.250           3.630 
08.12.2007  00:00:00           1.450          -1.280          -1.280           2.060 
09.12.2007  00:00:00           0.000          -6.580          -6.580           1.390 
10.12.2007  00:00:00           0.000          -5.870          -5.870           1.070 
11.12.2007  00:00:00           0.000          -7.420          -7.420           0.870 
12.12.2007  00:00:00           0.000          -5.640          -5.640           0.760 
13.12.2007  00:00:00           0.000          -4.600          -4.600           0.680 
14.12.2007  00:00:00           0.000           0.460           0.460           0.630 
15.12.2007  00:00:00           0.000          -0.300          -0.300           0.600 
16.12.2007  00:00:00           0.000           0.970           0.970           0.590 
17.12.2007  00:00:00           0.000          -1.560          -1.560           0.570 
18.12.2007  00:00:00           0.000          -2.740          -2.740           0.520 
19.12.2007  00:00:00           0.000          -4.640          -4.640           0.490 
20.12.2007  00:00:00           0.000          -4.100          -4.100           0.470 
21.12.2007  00:00:00           0.000          -3.120          -3.120           0.430 
22.12.2007  00:00:00           0.000          -3.460          -3.460           0.410 
23.12.2007  00:00:00           2.120          -4.630          -4.630           0.400 
24.12.2007  00:00:00           6.750           1.140           1.140           0.840 
25.12.2007  00:00:00          28.250          -0.930          -0.930           0.860 
26.12.2007  00:00:00           5.560          -4.240          -4.240           1.150 
27.12.2007  00:00:00          46.870           1.030           1.030          10.250 
28.12.2007  00:00:00          42.040           0.360           0.360           3.720 
29.12.2007  00:00:00           6.280          -1.130          -1.130           1.780 
30.12.2007  00:00:00          21.130          -1.170          -1.170           1.250 
31.12.2007  00:00:00           3.590          -4.230          -4.230           0.970 
01.01.2008  00:00:00           0.000         -12.350         -12.350           0.780 
02.01.2008  00:00:00           0.000          -9.890          -9.890           0.670 
03.01.2008  00:00:00           0.000          -7.200          -7.200           0.580 
04.01.2008  00:00:00           0.000          -8.570          -8.570           0.520 
05.01.2008  00:00:00           0.000          -6.830          -6.830           0.480 
06.01.2008  00:00:00           0.000          -4.330          -4.330           0.440 
07.01.2008  00:00:00           0.020          -2.240          -2.240           0.420 
08.01.2008  00:00:00           0.000          -2.640          -2.640           0.400 
09.01.2008  00:00:00           0.050          -2.250          -2.250           0.380 
10.01.2008  00:00:00          12.830          -1.030          -1.030           0.700 
11.01.2008  00:00:00          16.320          -1.670          -1.670           0.700 
12.01.2008  00:00:00           8.700          -0.290          -0.290           0.640 
13.01.2008  00:00:00           7.360          -5.120          -5.120           0.550 
14.01.2008  00:00:00          28.610          -0.950          -0.950           2.220 
15.01.2008  00:00:00           8.000           0.670           0.670           2.560 
16.01.2008  00:00:00           6.290          -0.640          -0.640           1.740 
17.01.2008  00:00:00           5.170          -2.750          -2.750           1.090 
18.01.2008  00:00:00           0.120          -4.490          -4.490           0.810 
19.01.2008  00:00:00          14.860          -2.070          -2.070           0.990 
20.01.2008  00:00:00          16.510          -2.920          -2.920           0.860 
21.01.2008  00:00:00          17.420          -4.140          -4.140           0.740 
22.01.2008  00:00:00           4.160          -7.530          -7.530           0.630 
23.01.2008  00:00:00           0.000          -6.790          -6.790           0.650 
24.01.2008  00:00:00          24.720           1.590           1.590           1.640 
25.01.2008  00:00:00          19.280          -3.740          -3.740           1.430 
26.01.2008  00:00:00          16.310          -2.380          -2.380           1.150 
27.01.2008  00:00:00           8.910          -6.160          -6.160           0.870 
28.01.2008  00:00:00           4.870          -3.830          -3.830           1.980 
29.01.2008  00:00:00          50.940           1.380           1.380           9.300 
30.01.2008  00:00:00           3.930          -2.960          -2.960           2.910 
31.01.2008  00:00:00          10.580          -2.840          -2.840           1.830 
01.02.2008  00:00:00           2.830          -2.310          -2.310           1.350 
02.02.2008  00:00:00           8.100          -7.670          -7.670           1.110 
03.02.2008  00:00:00           6.170         -10.740         -10.740           0.990 
04.02.2008  00:00:00          19.350          -3.900          -3.900           0.920 
05.02.2008  00:00:00           0.000          -2.140          -2.140           0.770 
06.02.2008  00:00:00           0.740          -0.880          -0.880           0.730 
07.02.2008  00:00:00          10.680          -3.370          -3.370           0.710 
08.02.2008  00:00:00           4.030          -1.270          -1.270           1.250 
09.02.2008  00:00:00          15.880           4.410           4.410           4.160 
10.02.2008  00:00:00           4.330           2.990           2.990           2.990 
