date        time     P_O_Breelvav_11 T_Breelvav_1105 T_Breelvav_1105      Q_Breelvav 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
01.06.2007  00:00:00           0.770          10.330          10.330           4.050 
02.06.2007  00:00:00          10.340           8.270           8.270           3.970 
03.06.2007  00:00:00           0.000           9.270           9.270           3.770 
04.06.2007  00:00:00           0.000           4.190           4.190           2.970 
05.06.2007  00:00:00           0.000           5.190           5.190           2.840 
06.06.2007  00:00:00           0.000           7.110           7.110           3.940 
07.06.2007  00:00:00           0.000           7.520           7.520           4.270 
08.06.2007  00:00:00           0.000          11.280          11.280           4.270 
09.06.2007  00:00:00           0.000           6.410           6.410           4.290 
10.06.2007  00:00:00           0.000           9.270           9.270           4.030 
11.06.2007  00:00:00           0.000           7.190           7.190           3.480 
12.06.2007  00:00:00           0.000           4.920           4.920           2.790 
13.06.2007  00:00:00           2.710          -0.190          -0.190           1.740 
14.06.2007  00:00:00           3.300          -1.860          -1.860           1.000 
15.06.2007  00:00:00           0.030           0.030           0.030           0.790 
16.06.2007  00:00:00           0.000           3.520           3.520           1.030 
17.06.2007  00:00:00           0.000          10.220          10.220           1.700 
18.06.2007  00:00:00           0.000          10.960          10.960           2.110 
19.06.2007  00:00:00           0.000           6.380           6.380           2.160 
20.06.2007  00:00:00           0.000           7.040           7.040           2.440 
21.06.2007  00:00:00           0.000           8.290           8.290           3.060 
22.06.2007  00:00:00           2.220           9.870           9.870           3.830 
23.06.2007  00:00:00          10.870           8.380           8.380           4.120 
24.06.2007  00:00:00           5.240           8.500           8.500           2.960 
25.06.2007  00:00:00           2.760           6.060           6.060           2.750 
26.06.2007  00:00:00           0.000           6.660           6.660           3.010 
27.06.2007  00:00:00           0.000           7.030           7.030           2.870 
28.06.2007  00:00:00           0.000           5.410           5.410           2.680 
29.06.2007  00:00:00           0.000           0.790           0.790           2.220 
30.06.2007  00:00:00           0.000           7.890           7.890           2.370 
01.07.2007  00:00:00           0.000          10.640          10.640           3.510 
02.07.2007  00:00:00           0.000          13.980          13.980           4.190 
03.07.2007  00:00:00           0.080          10.270          10.270           4.760 
04.07.2007  00:00:00           0.000          11.800          11.800           4.470 
05.07.2007  00:00:00           0.000           9.840           9.840           4.320 
06.07.2007  00:00:00           0.000          13.410          13.410           4.760 
07.07.2007  00:00:00           0.000          14.430          14.430           3.670 
08.07.2007  00:00:00           0.000          13.040          13.040           3.280 
09.07.2007  00:00:00           9.740           7.830           7.830           3.920 
10.07.2007  00:00:00           6.180           4.190           4.190           3.500 
11.07.2007  00:00:00           2.590           5.000           5.000           3.180 
12.07.2007  00:00:00           8.910           6.580           6.580           2.700 
13.07.2007  00:00:00           5.030           5.170           5.170           2.890 
14.07.2007  00:00:00           0.070           5.610           5.610           3.330 
15.07.2007  00:00:00           7.220           9.460           9.460           5.290 
16.07.2007  00:00:00           4.680           6.160           6.160           4.350 
17.07.2007  00:00:00           2.110          10.710          10.710           4.220 
18.07.2007  00:00:00          21.210           9.840           9.840           4.730 
19.07.2007  00:00:00           2.310           4.370           4.370           2.570 
20.07.2007  00:00:00           0.000           5.030           5.030           1.680 
21.07.2007  00:00:00           0.000           6.530           6.530           1.680 
22.07.2007  00:00:00           0.000          13.530          13.530           2.380 
23.07.2007  00:00:00           0.000          10.930          10.930           2.830 
24.07.2007  00:00:00           6.970           8.080           8.080           3.060 
25.07.2007  00:00:00           6.040           7.570           7.570           3.050 
26.07.2007  00:00:00           4.590           5.790           5.790           3.210 
27.07.2007  00:00:00           2.020           9.440           9.440           3.620 
28.07.2007  00:00:00          12.680           9.140           9.140           5.560 
29.07.2007  00:00:00          25.280           4.800           4.800           4.440 
30.07.2007  00:00:00           7.330           4.020           4.020           4.210 
31.07.2007  00:00:00           8.210           2.970           2.970           3.850 
01.08.2007  00:00:00           3.600           4.200           4.200           3.510 
02.08.2007  00:00:00           6.470           4.700           4.700           5.470 
03.08.2007  00:00:00          19.160           2.260           2.260           3.480 
04.08.2007  00:00:00           6.480           5.070           5.070           4.650 
05.08.2007  00:00:00          13.240           9.800           9.800           5.210 
06.08.2007  00:00:00          11.260          10.310          10.310           5.200 
07.08.2007  00:00:00           1.190          18.120          18.120           4.450 
08.08.2007  00:00:00           0.000          14.590          14.590           3.650 
09.08.2007  00:00:00           2.940          10.340          10.340           2.310 
10.08.2007  00:00:00           0.000           8.800           8.800           2.140 
11.08.2007  00:00:00           0.000          14.210          14.210           3.440 
12.08.2007  00:00:00           0.000          11.330          11.330           2.720 
13.08.2007  00:00:00           6.410          11.780          11.780           3.220 
14.08.2007  00:00:00           4.430           8.840           8.840           3.700 
15.08.2007  00:00:00           9.520           9.400           9.400           5.270 
16.08.2007  00:00:00          15.820           8.040           8.040           5.140 
17.08.2007  00:00:00          24.720           6.140           6.140           5.870 
18.08.2007  00:00:00          29.960           3.570           3.570           4.320 
19.08.2007  00:00:00           6.210           2.830           2.830           2.580 
20.08.2007  00:00:00          10.940           7.270           7.270           3.710 
21.08.2007  00:00:00           1.210          10.870          10.870           2.440 
22.08.2007  00:00:00           0.000          12.690          12.690           1.520 
23.08.2007  00:00:00           0.000          13.290          13.290           1.805 
24.08.2007  00:00:00           0.030          10.230          10.230           2.090 
25.08.2007  00:00:00           5.470           5.480           5.480           4.270 
26.08.2007  00:00:00          18.430           1.120           1.120           4.140 
27.08.2007  00:00:00          13.800           0.580           0.580           2.510 
28.08.2007  00:00:00          11.510          -0.800          -0.800           1.060 
29.08.2007  00:00:00          10.420          -0.510          -0.510           0.740 
30.08.2007  00:00:00           2.460           0.530           0.530           0.320 
31.08.2007  00:00:00           1.870           1.360           1.360           0.240 
01.09.2007  00:00:00           0.160           1.680           1.680           0.910 
02.09.2007  00:00:00          17.830           3.370           3.370           3.420 
03.09.2007  00:00:00          23.390           0.460           0.460           1.890 
04.09.2007  00:00:00          13.290          -1.500          -1.500           0.780 
05.09.2007  00:00:00           1.580           3.230           3.230           1.050 
06.09.2007  00:00:00           2.790           4.570           4.570           1.700 
07.09.2007  00:00:00          23.840           3.870           3.870           4.320 
08.09.2007  00:00:00          22.420           4.270           4.270           4.430 
09.09.2007  00:00:00           5.770           2.380           2.380           2.920 
10.09.2007  00:00:00          19.130           2.340           2.340           2.260 
11.09.2007  00:00:00           0.190           5.140           5.140           1.360 
12.09.2007  00:00:00           6.860           0.700           0.700           2.000 
13.09.2007  00:00:00           0.180          -0.610          -0.610           1.300 
14.09.2007  00:00:00          20.810           4.820           4.820           5.220 
15.09.2007  00:00:00          26.960          -0.970          -0.970           1.370 
16.09.2007  00:00:00           9.740          -2.840          -2.840           2.640 
17.09.2007  00:00:00           8.180           4.630           4.630           1.640 
18.09.2007  00:00:00           4.390          -1.780          -1.780           0.670 
19.09.2007  00:00:00           2.400          -2.190          -2.190           0.730 
20.09.2007  00:00:00           6.400           3.720           3.720           2.770 
21.09.2007  00:00:00          35.280           2.240           2.240           2.070 
22.09.2007  00:00:00          31.920           0.720           0.720           1.390 
23.09.2007  00:00:00           5.120           3.020           3.020           4.020 
24.09.2007  00:00:00          20.200           7.320           7.320           5.720 
25.09.2007  00:00:00          21.370           7.870           7.870           5.370 
26.09.2007  00:00:00          36.030           2.060           2.060           2.440 
27.09.2007  00:00:00           6.420           0.800           0.800           0.620 
28.09.2007  00:00:00           0.020           4.780           4.780           0.320 
29.09.2007  00:00:00           0.000           5.520           5.520           0.220 
30.09.2007  00:00:00           0.000           8.080           8.080           0.410 
