date        time     P_O_Dalsbovatn_ T_Dalsbovatn_54 T_Dalsbovatn_54    Q_Dalsbovatn 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
01.01.2000  00:00:00           6.740           3.670           3.670           1.700 
02.01.2000  00:00:00          29.990           4.150           4.150           4.400 
03.01.2000  00:00:00           5.010           3.940           3.940           4.730 
04.01.2000  00:00:00          21.100           3.950           3.950           5.480 
05.01.2000  00:00:00          13.100           2.650           2.650           4.560 
06.01.2000  00:00:00          23.200           4.630           4.630           6.420 
07.01.2000  00:00:00          16.030           3.970           3.970           7.420 
08.01.2000  00:00:00          46.700           5.320           5.320          10.840 
09.01.2000  00:00:00          20.110           4.550           4.550           7.910 
10.01.2000  00:00:00           6.370           3.660           3.660           5.590 
11.01.2000  00:00:00          24.830           4.360           4.360           5.550 
12.01.2000  00:00:00          26.310           4.550           4.550           6.050 
13.01.2000  00:00:00          20.000           2.270           2.270           4.860 
14.01.2000  00:00:00           3.600           1.660           1.660           3.750 
15.01.2000  00:00:00           3.820           0.810           0.810           3.290 
16.01.2000  00:00:00          20.930           4.390           4.390           4.840 
17.01.2000  00:00:00           9.820           5.540           5.540           4.500 
18.01.2000  00:00:00           4.610           3.370           3.370           3.430 
19.01.2000  00:00:00           2.670           0.860           0.860           2.650 
20.01.2000  00:00:00          13.440           3.220           3.220           2.350 
21.01.2000  00:00:00           5.140           0.500           0.500           2.070 
22.01.2000  00:00:00           2.800          -1.780          -1.780           1.760 
23.01.2000  00:00:00           3.650          -1.000          -1.000           1.530 
24.01.2000  00:00:00           9.030          -0.580          -0.580           1.410 
25.01.2000  00:00:00           7.230           2.020           2.020           1.600 
26.01.2000  00:00:00           1.540           4.340           4.340           2.360 
27.01.2000  00:00:00           9.000           3.570           3.570           2.870 
28.01.2000  00:00:00          12.210           1.210           1.210           2.620 
29.01.2000  00:00:00          26.120           0.880           0.880           3.340 
30.01.2000  00:00:00          20.500           0.210           0.210           3.490 
31.01.2000  00:00:00           1.040          -3.590          -3.590           2.730 
01.02.2000  00:00:00           2.100          -2.550          -2.550           2.100 
02.02.2000  00:00:00           8.480          -0.560          -0.560           1.730 
03.02.2000  00:00:00           8.440           0.200           0.200           1.540 
04.02.2000  00:00:00          19.880           1.970           1.970           2.900 
05.02.2000  00:00:00          28.100           4.110           4.110           7.280 
06.02.2000  00:00:00          50.370           6.370           6.370          13.080 
07.02.2000  00:00:00          12.050           5.660           5.660           9.260 
08.02.2000  00:00:00           4.260           2.670           2.670           6.150 
09.02.2000  00:00:00           0.000          -0.660          -0.660           4.030 
10.02.2000  00:00:00           7.620           1.600           1.600           3.650 
11.02.2000  00:00:00          17.900           3.110           3.110           3.720 
12.02.2000  00:00:00          12.390           3.980           3.980           3.600 
13.02.2000  00:00:00          18.290           2.190           2.190           3.460 
14.02.2000  00:00:00           4.330          -0.230          -0.230           2.670 
15.02.2000  00:00:00           4.060           0.320           0.320           2.260 
16.02.2000  00:00:00           0.000           0.290           0.290           1.950 
17.02.2000  00:00:00           0.000          -0.770          -0.770           1.630 
18.02.2000  00:00:00           0.000          -0.230          -0.230           1.370 
19.02.2000  00:00:00           3.530          -0.800          -0.800           1.200 
20.02.2000  00:00:00          12.100          -2.200          -2.200           1.090 
21.02.2000  00:00:00           0.000          -3.670          -3.670           0.960 
22.02.2000  00:00:00           4.200          -1.250          -1.250           0.890 
23.02.2000  00:00:00           0.000           0.340           0.340           0.810 
24.02.2000  00:00:00          10.930           2.340           2.340           1.040 
25.02.2000  00:00:00          11.560           2.240           2.240           1.210 
26.02.2000  00:00:00          18.650           3.090           3.090           1.960 
27.02.2000  00:00:00           9.690           5.040           5.040           4.190 
