date        time     P_O_Hareidselv_ T_Hareidselv_18 T_Hareidselv_18    Q_Hareidselv 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
01.01.2000  00:00:00           2.350           2.990           2.990           1.830 
02.01.2000  00:00:00          12.270           4.100           4.100           6.480 
03.01.2000  00:00:00           5.870           3.680           3.680           6.730 
04.01.2000  00:00:00          22.920           4.070           4.070           9.520 
05.01.2000  00:00:00           2.770           2.390           2.390           6.580 
06.01.2000  00:00:00           4.670           5.100           5.100           9.680 
07.01.2000  00:00:00          17.040           3.920           3.920          10.490 
08.01.2000  00:00:00          31.060           5.250           5.250          16.350 
09.01.2000  00:00:00          14.860           4.320           4.320          12.830 
10.01.2000  00:00:00           6.610           3.210           3.210           9.890 
11.01.2000  00:00:00          10.700           4.160           4.160           9.940 
12.01.2000  00:00:00          17.660           4.250           4.250          11.070 
13.01.2000  00:00:00          15.010           2.260           2.260           9.150 
14.01.2000  00:00:00           6.760           1.170           1.170           7.870 
15.01.2000  00:00:00           0.780           0.780           0.780           6.640 
16.01.2000  00:00:00           9.560           3.900           3.900           8.140 
17.01.2000  00:00:00           1.040           5.580           5.580           6.350 
18.01.2000  00:00:00           2.620           3.250           3.250           4.480 
19.01.2000  00:00:00           6.290           0.750           0.750           3.910 
20.01.2000  00:00:00          15.990           2.540           2.540           6.550 
21.01.2000  00:00:00           5.050           0.500           0.500           4.560 
22.01.2000  00:00:00           1.170          -2.130          -2.130           3.350 
23.01.2000  00:00:00           4.090          -1.870          -1.870           2.630 
24.01.2000  00:00:00           5.970          -1.150          -1.150           2.100 
25.01.2000  00:00:00           1.080           1.670           1.670           2.140 
26.01.2000  00:00:00           0.410           3.960           3.960           3.340 
27.01.2000  00:00:00           6.860           3.210           3.210           4.070 
28.01.2000  00:00:00          15.650           0.930           0.930           3.560 
29.01.2000  00:00:00           6.050           0.220           0.220           3.560 
30.01.2000  00:00:00          12.910           0.280           0.280           3.540 
31.01.2000  00:00:00           1.390          -3.760          -3.760           2.840 
01.02.2000  00:00:00           2.320          -2.930          -2.930           2.170 
02.02.2000  00:00:00          10.350          -0.740          -0.740           1.860 
03.02.2000  00:00:00          13.860          -0.120          -0.120           1.700 
04.02.2000  00:00:00          13.220           1.610           1.610           4.460 
05.02.2000  00:00:00          10.050           3.330           3.330           8.890 
06.02.2000  00:00:00          27.180           5.680           5.680          13.400 
07.02.2000  00:00:00           2.840           5.550           5.550           8.870 
08.02.2000  00:00:00           0.030           2.750           2.750           7.750 
09.02.2000  00:00:00           0.010          -1.170          -1.170           6.220 
10.02.2000  00:00:00          17.360           1.150           1.150           5.490 
11.02.2000  00:00:00           6.310           3.420           3.420           5.810 
12.02.2000  00:00:00           0.970           3.800           3.800           5.960 
13.02.2000  00:00:00          10.980           2.450           2.450           5.180 
14.02.2000  00:00:00           7.410          -0.110          -0.110           3.810 
15.02.2000  00:00:00           3.960           0.170           0.170           3.450 
16.02.2000  00:00:00           0.020           0.200           0.200           3.000 
17.02.2000  00:00:00           0.000          -2.170          -2.170           2.230 
18.02.2000  00:00:00           0.000          -1.420          -1.420           1.730 
19.02.2000  00:00:00           1.730          -1.780          -1.780           1.540 
20.02.2000  00:00:00          15.530          -2.550          -2.550           1.460 
21.02.2000  00:00:00           0.000          -3.940          -3.940           1.060 
22.02.2000  00:00:00           5.130          -1.560          -1.560           0.980 
23.02.2000  00:00:00           0.000          -0.420          -0.420           0.870 
24.02.2000  00:00:00           3.010           2.500           2.500           1.720 
25.02.2000  00:00:00          20.070           2.030           2.030           2.730 
26.02.2000  00:00:00          14.240           2.400           2.400           5.720 
27.02.2000  00:00:00           7.930           4.870           4.870           8.940 
28.02.2000  00:00:00          20.210           3.750           3.750           9.000 
29.02.2000  00:00:00          13.270           2.500           2.500           9.520 
01.03.2000  00:00:00          33.100           2.180           2.180           9.150 
02.03.2000  00:00:00          11.280           0.010           0.010           7.360 
03.03.2000  00:00:00           7.360          -0.930          -0.930           5.750 
04.03.2000  00:00:00           9.840          -1.920          -1.920           4.320 
05.03.2000  00:00:00           6.670          -2.470          -2.470           3.430 
06.03.2000  00:00:00          14.080           1.780           1.780           5.940 
07.03.2000  00:00:00          10.800           2.340           2.340           4.940 
08.03.2000  00:00:00           2.800           0.500           0.500           3.610 
09.03.2000  00:00:00           0.850          -0.540          -0.540           2.860 
10.03.2000  00:00:00           5.750          -2.090          -2.090           2.330 
11.03.2000  00:00:00           0.000          -1.780          -1.780           1.760 
12.03.2000  00:00:00           0.000          -0.180          -0.180           1.410 
13.03.2000  00:00:00           6.950           4.230           4.230           4.900 
14.03.2000  00:00:00          17.510           2.260           2.260           5.600 
15.03.2000  00:00:00          10.850          -0.530          -0.530           4.080 
16.03.2000  00:00:00          15.260          -1.160          -1.160           3.610 
17.03.2000  00:00:00          24.290           1.890           1.890           8.430 
18.03.2000  00:00:00           7.800           3.600           3.600           8.920 
19.03.2000  00:00:00           7.510           3.620           3.620           9.040 
