date        time     P_O_Rodola_1277 T_Rodola_1277mo T_Rodola_1277mo        Q_Rodola 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
11.01.2001  00:00:00          25.600          -6.810          -6.810           0.080 
12.01.2001  00:00:00          20.520          -3.320          -3.320           0.080 
13.01.2001  00:00:00           0.020          -5.000          -5.000           0.060 
14.01.2001  00:00:00           0.000          -7.430          -7.430           0.050 
15.01.2001  00:00:00           0.000          -5.770          -5.770           0.050 
16.01.2001  00:00:00           0.000          -9.380          -9.380           0.040 
17.01.2001  00:00:00           0.000          -9.950          -9.950           0.040 
18.01.2001  00:00:00           0.000         -12.890         -12.890           0.040 
19.01.2001  00:00:00           0.000         -16.480         -16.480           0.040 
20.01.2001  00:00:00           0.000         -15.280         -15.280           0.040 
21.01.2001  00:00:00           0.000         -14.530         -14.530           0.040 
22.01.2001  00:00:00           0.000         -11.500         -11.500           0.040 
23.01.2001  00:00:00           0.000          -9.860          -9.860           0.040 
24.01.2001  00:00:00           0.000          -8.380          -8.380           0.040 
25.01.2001  00:00:00           0.000          -3.550          -3.550           0.040 
26.01.2001  00:00:00           0.000          -2.460          -2.460           0.040 
27.01.2001  00:00:00           0.000          -3.670          -3.670           0.040 
28.01.2001  00:00:00           0.000          -6.180          -6.180           0.040 
29.01.2001  00:00:00           4.840          -6.010          -6.010           0.040 
30.01.2001  00:00:00           0.250          -6.680          -6.680           0.040 
31.01.2001  00:00:00           0.010          -8.040          -8.040           0.040 
01.02.2001  00:00:00           0.000         -10.900         -10.900           0.040 
02.02.2001  00:00:00           0.000         -17.750         -17.750           0.040 
03.02.2001  00:00:00           0.000         -22.530         -22.530           0.030 
04.02.2001  00:00:00           0.000         -24.840         -24.840           0.030 
05.02.2001  00:00:00           0.000         -25.470         -25.470           0.030 
06.02.2001  00:00:00           0.000         -21.930         -21.930           0.030 
07.02.2001  00:00:00           0.040         -14.470         -14.470           0.030 
08.02.2001  00:00:00           7.020          -6.830          -6.830           0.030 
09.02.2001  00:00:00           0.000         -12.670         -12.670           0.030 
10.02.2001  00:00:00           0.000         -10.550         -10.550           0.030 
11.02.2001  00:00:00           0.000          -9.750          -9.750           0.030 
12.02.2001  00:00:00           0.650          -5.090          -5.090           0.030 
13.02.2001  00:00:00          13.080          -3.500          -3.500           0.040 
14.02.2001  00:00:00          15.040          -0.700          -0.700           0.040 
15.02.2001  00:00:00           0.000          -0.850          -0.850           0.040 
16.02.2001  00:00:00           5.010          -6.280          -6.280           0.050 
17.02.2001  00:00:00           6.220          -6.450          -6.450           0.060 
18.02.2001  00:00:00           2.360          -4.270          -4.270           0.070 
19.02.2001  00:00:00           1.870          -1.350          -1.350           0.060 
20.02.2001  00:00:00           2.980          -3.880          -3.880           0.060 
21.02.2001  00:00:00           9.990          -5.050          -5.050           0.070 
22.02.2001  00:00:00           9.660          -8.950          -8.950           0.070 
23.02.2001  00:00:00           0.040         -14.260         -14.260           0.060 
24.02.2001  00:00:00           7.390         -11.030         -11.030           0.060 
25.02.2001  00:00:00           4.900         -10.550         -10.550           0.050 
26.02.2001  00:00:00           0.000         -17.420         -17.420           0.050 
