date        time     P_O_Elgtjern_48 T_Elgtjern_480m T_Elgtjern_480m      Q_Elgtjern 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
24.12.2002  00:00:00           0.000         -12.670         -12.670           0.030 
25.12.2002  00:00:00           0.100         -10.520         -10.520           0.030 
26.12.2002  00:00:00           0.000          -9.370          -9.370           0.030 
27.12.2002  00:00:00           3.030          -7.670          -7.670           0.030 
28.12.2002  00:00:00          13.460          -6.500          -6.500           0.040 
29.12.2002  00:00:00          12.630          -6.840          -6.840           0.050 
30.12.2002  00:00:00           0.710         -10.000         -10.000           0.050 
31.12.2002  00:00:00           0.000         -18.020         -18.020           0.050 
01.01.2003  00:00:00           0.000         -13.590         -13.590           0.050 
02.01.2003  00:00:00           0.020          -9.740          -9.740           0.050 
03.01.2003  00:00:00           1.860         -14.110         -14.110           0.050 
04.01.2003  00:00:00           0.000         -19.090         -19.090           0.040 
05.01.2003  00:00:00           1.190         -17.100         -17.100           0.040 
06.01.2003  00:00:00           0.580         -16.600         -16.600           0.040 
07.01.2003  00:00:00           0.000         -12.640         -12.640           0.040 
08.01.2003  00:00:00           0.000          -7.920          -7.920           0.040 
09.01.2003  00:00:00           0.000          -6.690          -6.690           0.040 
10.01.2003  00:00:00           0.000          -4.200          -4.200           0.040 
11.01.2003  00:00:00           0.000          -8.110          -8.110           0.040 
12.01.2003  00:00:00           0.000          -0.260          -0.260           0.040 
13.01.2003  00:00:00           0.000           1.280           1.280           0.040 
14.01.2003  00:00:00           0.000          -0.770          -0.770           0.040 
15.01.2003  00:00:00           0.000           1.560           1.560           0.040 
16.01.2003  00:00:00           0.000           1.700           1.700           0.040 
17.01.2003  00:00:00           0.000          -0.640          -0.640           0.040 
18.01.2003  00:00:00           0.000           0.530           0.530           0.040 
19.01.2003  00:00:00           0.000           0.040           0.040           0.040 
20.01.2003  00:00:00          20.060          -1.360          -1.360           0.050 
21.01.2003  00:00:00           7.740          -0.310          -0.310           0.060 
22.01.2003  00:00:00           0.300           0.580           0.580           0.070 
23.01.2003  00:00:00           0.840          -0.440          -0.440           0.060 
24.01.2003  00:00:00           0.000          -7.180          -7.180           0.060 
25.01.2003  00:00:00           5.140          -5.160          -5.160           0.070 
26.01.2003  00:00:00          11.740           0.420           0.420           0.070 
27.01.2003  00:00:00           0.000           1.580           1.580           0.070 
28.01.2003  00:00:00           0.000           1.210           1.210           0.080 
29.01.2003  00:00:00           0.000          -2.990          -2.990           0.070 
30.01.2003  00:00:00           0.020          -9.740          -9.740           0.070 
31.01.2003  00:00:00           0.000         -14.960         -14.960           0.060 
01.02.2003  00:00:00           0.000         -14.140         -14.140           0.070 
02.02.2003  00:00:00           8.610          -6.190          -6.190           0.080 
03.02.2003  00:00:00          18.440          -2.460          -2.460           0.090 
04.02.2003  00:00:00           4.740          -5.290          -5.290           0.080 
05.02.2003  00:00:00           1.220          -7.000          -7.000           0.070 
06.02.2003  00:00:00           0.030         -11.760         -11.760           0.070 
07.02.2003  00:00:00           0.870         -13.510         -13.510           0.060 
08.02.2003  00:00:00           4.020          -5.910          -5.910           0.060 
09.02.2003  00:00:00           1.570          -1.030          -1.030           0.060 
10.02.2003  00:00:00           4.060          -1.540          -1.540           0.070 
11.02.2003  00:00:00           0.000          -3.420          -3.420           0.060 
12.02.2003  00:00:00           0.000          -4.820          -4.820           0.060 
13.02.2003  00:00:00           0.000          -4.380          -4.380           0.060 
14.02.2003  00:00:00           0.000          -6.810          -6.810           0.050 
15.02.2003  00:00:00           0.000          -6.310          -6.310           0.050 
16.02.2003  00:00:00           0.000          -7.940          -7.940           0.050 
17.02.2003  00:00:00           0.000          -9.040          -9.040           0.050 
