date        time     P_O_Naustaa_728 T_Naustaa_728mo T_Naustaa_728mo       Q_Naustaa 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
06.07.2005  00:00:00           0.000          14.700          14.700           7.810 
07.07.2005  00:00:00           0.000          15.160          15.160           6.800 
08.07.2005  00:00:00           0.000          12.560          12.560           6.450 
09.07.2005  00:00:00           0.000          12.310          12.310           6.020 
10.07.2005  00:00:00           0.000          14.380          14.380           5.180 
11.07.2005  00:00:00           0.000          13.750          13.750           4.650 
12.07.2005  00:00:00           0.000          13.720          13.720           5.210 
13.07.2005  00:00:00           6.340          10.410          10.410           6.180 
14.07.2005  00:00:00           0.000           8.000           8.000           3.530 
15.07.2005  00:00:00           3.600           8.120           8.120           3.330 
16.07.2005  00:00:00           0.920           9.770           9.770           3.320 
17.07.2005  00:00:00           0.000           9.620           9.620           2.960 
18.07.2005  00:00:00           0.000          11.600          11.600           3.710 
19.07.2005  00:00:00           3.650          12.280          12.280           4.610 
20.07.2005  00:00:00           3.010          12.720          12.720           4.170 
21.07.2005  00:00:00           9.880          11.360          11.360           5.610 
22.07.2005  00:00:00           4.070           9.930           9.930           4.510 
23.07.2005  00:00:00           0.000           9.100           9.100           3.360 
24.07.2005  00:00:00           0.000           7.490           7.490           2.010 
25.07.2005  00:00:00           0.000           6.970           6.970           1.860 
26.07.2005  00:00:00           2.990           7.900           7.900           1.940 
27.07.2005  00:00:00           6.480           8.640           8.640           3.000 
28.07.2005  00:00:00           1.560           8.380           8.380           2.430 
29.07.2005  00:00:00           0.040           8.480           8.480           1.730 
30.07.2005  00:00:00           0.000           7.370           7.370           1.500 
31.07.2005  00:00:00           0.000           7.360           7.360           1.420 
01.08.2005  00:00:00           0.080           9.850           9.850           1.550 
02.08.2005  00:00:00           0.000           6.610           6.610           1.290 
03.08.2005  00:00:00           0.000          10.110          10.110           1.210 
04.08.2005  00:00:00           1.040           8.940           8.940           1.290 
05.08.2005  00:00:00           0.380           7.660           7.660           1.420 
06.08.2005  00:00:00           5.030           6.500           6.500           3.870 
07.08.2005  00:00:00          32.980           5.830           5.830           8.750 
08.08.2005  00:00:00          19.940           8.170           8.170           8.290 
09.08.2005  00:00:00           0.190           9.000           9.000           2.580 
10.08.2005  00:00:00           0.000           9.050           9.050           1.830 
11.08.2005  00:00:00          19.250           9.710           9.710          16.760 
12.08.2005  00:00:00          29.610           8.000           8.000           9.430 
13.08.2005  00:00:00           0.000           6.810           6.810           2.930 
14.08.2005  00:00:00           2.190           5.860           5.860           1.550 
15.08.2005  00:00:00           0.850           8.090           8.090           1.300 
16.08.2005  00:00:00           0.370           7.690           7.690           3.420 
17.08.2005  00:00:00           6.640           6.940           6.940           2.200 
18.08.2005  00:00:00           0.140           8.770           8.770           1.680 
19.08.2005  00:00:00           0.000          12.560          12.560           1.380 
20.08.2005  00:00:00           1.920          12.660          12.660           1.400 
21.08.2005  00:00:00           1.250           9.500           9.500           1.140 
22.08.2005  00:00:00           0.000          12.490          12.490           1.010 
23.08.2005  00:00:00           2.560          11.960          11.960           1.430 
24.08.2005  00:00:00           4.960           8.060           8.060           1.190 
25.08.2005  00:00:00           0.000           7.930           7.930           1.580 
26.08.2005  00:00:00           5.840           8.030           8.030           1.440 
27.08.2005  00:00:00           0.000           6.140           6.140           0.900 
28.08.2005  00:00:00           0.000           5.700           5.700           0.690 
29.08.2005  00:00:00           6.380           7.090           7.090           0.790 
30.08.2005  00:00:00           6.380           7.410           7.410           1.380 
31.08.2005  00:00:00           0.160           6.430           6.430           0.860 
01.09.2005  00:00:00           0.000          10.230          10.230           0.670 
02.09.2005  00:00:00           0.780          11.700          11.700           0.880 
03.09.2005  00:00:00           4.980           7.830           7.830           0.880 
04.09.2005  00:00:00           0.000           7.860           7.860           1.130 
05.09.2005  00:00:00          10.360           8.820           8.820           2.260 
06.09.2005  00:00:00           3.880           8.780           8.780           1.690 
07.09.2005  00:00:00           0.040          11.790          11.790           1.150 
08.09.2005  00:00:00           0.040          11.470          11.470           1.180 
09.09.2005  00:00:00           7.710           6.060           6.060           3.140 
10.09.2005  00:00:00           2.080           2.170           2.170           1.670 
11.09.2005  00:00:00           0.000           5.140           5.140           1.010 
12.09.2005  00:00:00           5.420           6.590           6.590           3.140 
13.09.2005  00:00:00           6.330           4.140           4.140           1.960 
14.09.2005  00:00:00           0.520           6.820           6.820           4.660 
15.09.2005  00:00:00          15.390           6.280           6.280           4.690 
16.09.2005  00:00:00          11.330           1.500           1.500           3.180 
17.09.2005  00:00:00          22.960          -0.350          -0.350           2.390 
18.09.2005  00:00:00           0.050           3.360           3.360           5.090 
19.09.2005  00:00:00           8.180           6.570           6.570           5.870 
20.09.2005  00:00:00           0.280           8.720           8.720           3.260 
21.09.2005  00:00:00           1.120           6.050           6.050           2.130 
22.09.2005  00:00:00           0.050           5.750           5.750           1.540 
23.09.2005  00:00:00           0.000          10.490          10.490           1.470 
24.09.2005  00:00:00           0.000           8.780           8.780           1.100 
25.09.2005  00:00:00           0.000           4.220           4.220           0.800 
26.09.2005  00:00:00           0.000           6.260           6.260           0.660 
27.09.2005  00:00:00           0.000           9.140           9.140           0.610 
28.09.2005  00:00:00           0.000           7.860           7.860           0.540 
29.09.2005  00:00:00           0.000           4.740           4.740           0.480 
30.09.2005  00:00:00           0.060           2.440           2.440           0.510 
01.10.2005  00:00:00           0.480           4.420           4.420           0.450 
02.10.2005  00:00:00           0.000           5.250           5.250           0.420 
03.10.2005  00:00:00           6.160           4.640           4.640           0.730 
04.10.2005  00:00:00           1.940           5.090           5.090           0.980 
05.10.2005  00:00:00           0.050           4.880           4.880           0.700 
06.10.2005  00:00:00           0.000           5.610           5.610           0.560 
07.10.2005  00:00:00           0.000           7.170           7.170           0.480 
08.10.2005  00:00:00           0.000           9.640           9.640           0.430 
09.10.2005  00:00:00           4.790           9.370           9.370           1.190 
10.10.2005  00:00:00           4.310           5.710           5.710           0.730 
11.10.2005  00:00:00           0.000           7.250           7.250           0.560 
12.10.2005  00:00:00           0.000           9.790           9.790           0.490 
13.10.2005  00:00:00           0.000           9.480           9.480           0.490 
14.10.2005  00:00:00           4.840           5.060           5.060           0.960 
15.10.2005  00:00:00           5.000           0.770           0.770           0.790 
16.10.2005  00:00:00           0.000          -0.490          -0.490           0.620 
17.10.2005  00:00:00           0.000           0.140           0.140           0.570 
18.10.2005  00:00:00           0.000          -0.410          -0.410           0.510 
19.10.2005  00:00:00           0.000          -1.620          -1.620           0.450 
20.10.2005  00:00:00           0.000           0.120           0.120           0.430 
21.10.2005  00:00:00           0.000           1.360           1.360           0.420 
22.10.2005  00:00:00           0.320          -1.180          -1.180           0.380 
23.10.2005  00:00:00           0.000          -4.960          -4.960           0.320 
24.10.2005  00:00:00           0.000          -7.590          -7.590           0.330 
25.10.2005  00:00:00           0.000          -6.230          -6.230           0.290 
26.10.2005  00:00:00           3.520          -3.440          -3.440           0.300 
27.10.2005  00:00:00           0.040          -0.580          -0.580           0.410 
28.10.2005  00:00:00           0.000           4.480           4.480           0.800 
29.10.2005  00:00:00           0.000           8.590           8.590           0.710 
30.10.2005  00:00:00           0.000           7.410           7.410           0.520 
31.10.2005  00:00:00           0.000           9.470           9.470           0.480 
01.11.2005  00:00:00           0.000          10.410          10.410           0.440 
02.11.2005  00:00:00           0.000           7.300           7.300           0.390 
03.11.2005  00:00:00           0.000           3.980           3.980           0.360 
04.11.2005  00:00:00           0.000           4.310           4.310           0.340 
05.11.2005  00:00:00           0.910           6.930           6.930           0.410 
06.11.2005  00:00:00           0.190           2.710           2.710           0.390 
07.11.2005  00:00:00           0.000           2.800           2.800           0.360 
08.11.2005  00:00:00           0.000           3.350           3.350           0.330 
09.11.2005  00:00:00           0.000           4.250           4.250           0.380 
10.11.2005  00:00:00           3.620           2.920           2.920           0.380 
11.11.2005  00:00:00           0.000           1.300           1.300           0.390 
12.11.2005  00:00:00           2.100           1.680           1.680           0.360 
13.11.2005  00:00:00           3.910           2.140           2.140           0.470 
14.11.2005  00:00:00          20.880           0.080           0.080           4.510 
15.11.2005  00:00:00          26.860           0.060           0.060           1.600 
16.11.2005  00:00:00          18.780          -4.810          -4.810           1.210 
17.11.2005  00:00:00          17.260          -4.950          -4.950           0.940 
18.11.2005  00:00:00           4.880          -5.500          -5.500           0.740 
19.11.2005  00:00:00           5.950          -4.810          -4.810           0.650 
20.11.2005  00:00:00          18.790          -1.940          -1.940           0.880 
21.11.2005  00:00:00           1.260          -1.840          -1.840           0.690 
22.11.2005  00:00:00           1.790           1.320           1.320           1.220 
23.11.2005  00:00:00           0.040           0.760           0.760           1.830 
24.11.2005  00:00:00           1.580           2.500           2.500           2.140 
25.11.2005  00:00:00           4.080          -0.560          -0.560           1.210 
26.11.2005  00:00:00           0.000          -2.710          -2.710           0.800 
27.11.2005  00:00:00           0.000          -8.920          -8.920           0.760 
28.11.2005  00:00:00           0.160          -9.780          -9.780           0.690 
29.11.2005  00:00:00           8.360          -9.000          -9.000           0.780 
30.11.2005  00:00:00          11.650          -7.030          -7.030           0.890 
01.12.2005  00:00:00           0.000          -9.740          -9.740           1.240 
02.12.2005  00:00:00           0.900          -6.140          -6.140           0.760 
03.12.2005  00:00:00           0.000          -3.140          -3.140           0.500 
04.12.2005  00:00:00           0.000          -5.130          -5.130           0.470 
05.12.2005  00:00:00           0.000          -4.570          -4.570           0.420 
06.12.2005  00:00:00           0.000          -4.000          -4.000           0.400 
07.12.2005  00:00:00           0.000          -4.080          -4.080           0.380 
08.12.2005  00:00:00           0.000          -4.320          -4.320           0.370 
09.12.2005  00:00:00           0.000          -7.360          -7.360           0.440 
10.12.2005  00:00:00           0.000          -6.080          -6.080           1.070 
11.12.2005  00:00:00          15.980           2.360           2.360          13.020 
12.12.2005  00:00:00          14.240           0.360           0.360           4.240 
13.12.2005  00:00:00           8.290          -1.750          -1.750           1.820 
14.12.2005  00:00:00          11.990          -0.060          -0.060           1.580 
15.12.2005  00:00:00          19.720          -1.360          -1.360           1.480 
16.12.2005  00:00:00          11.690          -5.440          -5.440           1.110 
17.12.2005  00:00:00          11.690          -6.720          -6.720           0.810 
18.12.2005  00:00:00          13.520          -5.040          -5.040           0.750 
19.12.2005  00:00:00           2.960          -8.900          -8.900           0.720 
20.12.2005  00:00:00           0.290          -7.710          -7.710           0.600 
21.12.2005  00:00:00           3.150          -8.050          -8.050           0.550 
22.12.2005  00:00:00           0.000          -6.550          -6.550           0.520 
23.12.2005  00:00:00           2.900          -2.840          -2.840           0.520 
24.12.2005  00:00:00           9.280          -2.320          -2.320           0.620 
25.12.2005  00:00:00           6.230          -2.880          -2.880           0.580 
26.12.2005  00:00:00           6.990          -5.690          -5.690           0.600 
27.12.2005  00:00:00           0.000         -11.620         -11.620           0.760 
28.12.2005  00:00:00           0.000         -11.430         -11.430           1.360 
29.12.2005  00:00:00           0.000         -16.400         -16.400           1.770 
30.12.2005  00:00:00           0.000         -14.770         -14.770           2.540 
31.12.2005  00:00:00           0.000          -9.700          -9.700           1.820 
01.01.2006  00:00:00           0.000          -9.090          -9.090           2.140 
02.01.2006  00:00:00           1.820          -8.950          -8.950           3.250 
03.01.2006  00:00:00           1.310          -2.920          -2.920           2.140 
04.01.2006  00:00:00           0.000          -6.300          -6.300           1.740 
05.01.2006  00:00:00           0.000          -4.100          -4.100           1.740 
06.01.2006  00:00:00           0.000          -7.560          -7.560          11.830 
07.01.2006  00:00:00           0.000         -10.450         -10.450          22.960 
08.01.2006  00:00:00           0.000         -11.500         -11.500          25.030 
09.01.2006  00:00:00           0.000          -9.970          -9.970          22.650 
10.01.2006  00:00:00           0.000          -7.420          -7.420          21.840 
11.01.2006  00:00:00           0.000          -1.120          -1.120          18.870 
12.01.2006  00:00:00           6.160          -0.860          -0.860          13.420 
13.01.2006  00:00:00           0.000           1.040           1.040          10.480 
14.01.2006  00:00:00           0.000           0.780           0.780           8.230 
15.01.2006  00:00:00           0.000          -0.470          -0.470           1.880 
16.01.2006  00:00:00           0.000          -0.330          -0.330           0.520 
17.01.2006  00:00:00           0.000          -3.220          -3.220           0.260 
18.01.2006  00:00:00           0.000          -5.610          -5.610           0.350 
19.01.2006  00:00:00           0.000          -6.940          -6.940           0.460 
20.01.2006  00:00:00          13.920          -8.990          -8.990           0.290 
21.01.2006  00:00:00           2.470         -10.530         -10.530           0.270 
22.01.2006  00:00:00           0.000          -7.090          -7.090           0.250 
23.01.2006  00:00:00           0.000          -3.900          -3.900           0.250 
24.01.2006  00:00:00           0.000           0.340           0.340           0.250 
25.01.2006  00:00:00           6.760          -1.840          -1.840           0.260 
26.01.2006  00:00:00           0.610          -5.120          -5.120           0.270 
27.01.2006  00:00:00           0.800          -4.260          -4.260           0.250 
28.01.2006  00:00:00           3.890          -0.600          -0.600           0.290 
29.01.2006  00:00:00           1.280           0.630           0.630           0.830 
30.01.2006  00:00:00           2.640           1.500           1.500           0.940 
31.01.2006  00:00:00          17.760           2.400           2.400           2.090 
01.02.2006  00:00:00           3.990           1.440           1.440           1.390 
02.02.2006  00:00:00           0.160           0.490           0.490           2.240 
