date        time     P_O_Myra_131moh   T_Myra_131moh   T_Myra_131moh          Q_Myra 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
26.08.2005  00:00:00           2.330          11.030          11.030           0.400 
27.08.2005  00:00:00           1.090           9.950           9.950           0.280 
28.08.2005  00:00:00           1.580           9.610           9.610           0.230 
29.08.2005  00:00:00          11.570          10.210          10.210           0.960 
30.08.2005  00:00:00          24.990          10.570          10.570           2.650 
31.08.2005  00:00:00           2.010          10.030          10.030           0.790 
01.09.2005  00:00:00           0.000          12.690          12.690           0.420 
02.09.2005  00:00:00           0.110          15.210          15.210           0.600 
03.09.2005  00:00:00           5.120          10.360          10.360           0.590 
04.09.2005  00:00:00           0.000          11.340          11.340           1.060 
05.09.2005  00:00:00          15.350          10.190          10.190           1.260 
06.09.2005  00:00:00           9.710          10.550          10.550           1.560 
07.09.2005  00:00:00           4.830          13.070          13.070           1.150 
08.09.2005  00:00:00           6.080          12.570          12.570           1.750 
09.09.2005  00:00:00          15.140           9.210           9.210           1.660 
10.09.2005  00:00:00           0.000           6.690           6.690           0.900 
11.09.2005  00:00:00           0.000           8.240           8.240           0.530 
12.09.2005  00:00:00          19.230           9.040           9.040           2.490 
13.09.2005  00:00:00           9.040           7.780           7.780           1.150 
14.09.2005  00:00:00          11.740          10.160          10.160           7.330 
15.09.2005  00:00:00          31.610           8.490           8.490           2.600 
16.09.2005  00:00:00          19.550           5.490           5.490           1.300 
17.09.2005  00:00:00          16.960           4.740           4.740           1.080 
18.09.2005  00:00:00           0.920           7.740           7.740           2.520 
19.09.2005  00:00:00          20.460           9.810           9.810           2.860 
20.09.2005  00:00:00           1.170          11.650          11.650           0.900 
21.09.2005  00:00:00           7.810           9.290           9.290           1.660 
22.09.2005  00:00:00           6.410           8.720           8.720           1.290 
23.09.2005  00:00:00           0.270          12.430          12.430           0.630 
24.09.2005  00:00:00           1.110          13.210          13.210           0.470 
25.09.2005  00:00:00           0.000           7.230           7.230           0.390 
26.09.2005  00:00:00           0.000           8.690           8.690           0.320 
27.09.2005  00:00:00           1.330          10.430          10.430           0.300 
28.09.2005  00:00:00           0.320          11.250          11.250           0.260 
29.09.2005  00:00:00           0.620           8.840           8.840           0.220 
30.09.2005  00:00:00           0.380           6.240           6.240           0.240 
01.10.2005  00:00:00           4.420           8.140           8.140           0.300 
02.10.2005  00:00:00           2.020           9.760           9.760           0.560 
03.10.2005  00:00:00          15.730           8.540           8.540           2.830 
04.10.2005  00:00:00          17.660           9.080           9.080           1.980 
05.10.2005  00:00:00           1.210           9.000           9.000           0.710 
06.10.2005  00:00:00           0.000           9.440           9.440           0.450 
07.10.2005  00:00:00           0.000           9.340           9.340           0.330 
08.10.2005  00:00:00           0.000          12.320          12.320           0.270 
09.10.2005  00:00:00           9.980          12.610          12.610           0.840 
10.10.2005  00:00:00           1.900           8.470           8.470           0.570 
11.10.2005  00:00:00           0.000          12.550          12.550           0.350 
12.10.2005  00:00:00           0.000          13.010          13.010           0.270 
13.10.2005  00:00:00           0.000          12.560          12.560           0.240 
14.10.2005  00:00:00           9.440           8.880           8.880           0.560 
15.10.2005  00:00:00           4.200           5.540           5.540           0.470 
16.10.2005  00:00:00           0.000           4.280           4.280           0.290 
17.10.2005  00:00:00           0.000           5.180           5.180           0.220 
18.10.2005  00:00:00           0.000           4.290           4.290           0.180 
19.10.2005  00:00:00           0.000           3.350           3.350           0.160 
20.10.2005  00:00:00           0.000           3.440           3.440           0.150 
21.10.2005  00:00:00           0.040           5.080           5.080           0.160 
22.10.2005  00:00:00           1.290           3.830           3.830           0.160 
23.10.2005  00:00:00           0.000           0.500           0.500           0.130 
24.10.2005  00:00:00           0.000          -0.360          -0.360           0.230 
25.10.2005  00:00:00           9.810           1.060           1.060           0.470 
26.10.2005  00:00:00           5.620           2.610           2.610           1.070 
27.10.2005  00:00:00           7.370           4.560           4.560           1.050 
28.10.2005  00:00:00           0.000           9.100           9.100           0.540 
29.10.2005  00:00:00           0.000          13.090          13.090           0.340 
30.10.2005  00:00:00           0.000          10.170          10.170           0.260 
31.10.2005  00:00:00           0.100          13.240          13.240           0.250 
01.11.2005  00:00:00           3.150          11.770          11.770           0.240 
02.11.2005  00:00:00           0.000          10.330          10.330           0.230 
03.11.2005  00:00:00           0.000           7.370           7.370           0.190 
04.11.2005  00:00:00           0.000           7.690           7.690           0.170 
05.11.2005  00:00:00           2.690           8.930           8.930           0.170 
06.11.2005  00:00:00           1.700           7.130           7.130           0.170 
07.11.2005  00:00:00           0.100           6.870           6.870           0.180 
08.11.2005  00:00:00           0.890           6.970           6.970           0.170 
09.11.2005  00:00:00           4.540           7.920           7.920           1.550 
10.11.2005  00:00:00          11.440           5.250           5.250           1.240 
11.11.2005  00:00:00          10.910           5.790           5.790           2.640 
12.11.2005  00:00:00           1.310           6.040           6.040           1.000 
13.11.2005  00:00:00          12.490           6.880           6.880           2.180 
14.11.2005  00:00:00          33.210           4.640           4.640           9.420 
15.11.2005  00:00:00          26.560           4.200           4.200           3.060 
16.11.2005  00:00:00          16.690           1.360           1.360           1.710 
17.11.2005  00:00:00          17.640           1.270           1.270           1.000 
18.11.2005  00:00:00          12.080           0.800           0.800           0.760 
19.11.2005  00:00:00          14.530           1.360           1.360           3.170 
20.11.2005  00:00:00          30.660           3.310           3.310           3.300 
21.11.2005  00:00:00           1.100           3.640           3.640           5.300 
22.11.2005  00:00:00          12.720           5.790           5.790           4.960 
23.11.2005  00:00:00           0.540           7.060           7.060           2.280 
24.11.2005  00:00:00           9.180           6.240           6.240           2.160 
