date        time     P_O_Valen_73moh   T_Valen_73moh   T_Valen_73moh         Q_Valen 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
01.01.2000  00:00:00           3.560          -1.400          -1.400           1.360 
02.01.2000  00:00:00           5.500           2.360           2.360           1.400 
03.01.2000  00:00:00           5.300           3.180           3.180           1.850 
04.01.2000  00:00:00           9.390           3.940           3.940           3.320 
05.01.2000  00:00:00           3.100           2.850           2.850           5.040 
06.01.2000  00:00:00           0.070           3.030           3.030           4.790 
07.01.2000  00:00:00           4.100           3.700           3.700           4.440 
08.01.2000  00:00:00          14.650           4.450           4.450           5.520 
09.01.2000  00:00:00          32.980           3.810           3.810           8.030 
10.01.2000  00:00:00          10.030           3.170           3.170           8.830 
11.01.2000  00:00:00          14.580           4.390           4.390           7.640 
12.01.2000  00:00:00          20.740           3.420           3.420           7.940 
13.01.2000  00:00:00          10.500           1.990           1.990           7.110 
14.01.2000  00:00:00           4.410           0.850           0.850           5.500 
15.01.2000  00:00:00          15.040           2.120           2.120           4.780 
16.01.2000  00:00:00          15.330           4.840           4.840           5.920 
17.01.2000  00:00:00           2.670           5.450           5.450           6.510 
18.01.2000  00:00:00           4.060           3.090           3.090           5.520 
19.01.2000  00:00:00           3.110           1.640           1.640           4.290 
20.01.2000  00:00:00          10.370           2.690           2.690           3.830 
21.01.2000  00:00:00           6.830          -1.100          -1.100           3.430 
22.01.2000  00:00:00           3.090          -3.160          -3.160           2.930 
23.01.2000  00:00:00           5.140          -3.240          -3.240           2.440 
24.01.2000  00:00:00           7.150          -0.760          -0.760           2.070 
25.01.2000  00:00:00           6.490           3.250           3.250           2.200 
26.01.2000  00:00:00           1.760           5.100           5.100           2.890 
27.01.2000  00:00:00          13.650           3.390           3.390           3.910 
28.01.2000  00:00:00          17.770           0.180           0.180           4.190 
29.01.2000  00:00:00           4.410          -2.160          -2.160           3.610 
30.01.2000  00:00:00           4.880           0.020           0.020           2.990 
31.01.2000  00:00:00           2.350          -3.490          -3.490           2.410 
01.02.2000  00:00:00           3.150          -2.230          -2.230           1.990 
02.02.2000  00:00:00           0.020          -1.800          -1.800           1.660 
03.02.2000  00:00:00           4.340          -2.680          -2.680           1.410 
04.02.2000  00:00:00           6.840           1.450           1.450           1.560 
05.02.2000  00:00:00           3.760           2.250           2.250           1.940 
06.02.2000  00:00:00          17.940           3.290           3.290           3.880 
07.02.2000  00:00:00           4.880           4.310           4.310           5.730 
08.02.2000  00:00:00           8.290           3.770           3.770           5.930 
09.02.2000  00:00:00           4.920           1.040           1.040           5.300 
10.02.2000  00:00:00           2.180           0.630           0.630           4.280 
11.02.2000  00:00:00           4.460           1.860           1.860           3.770 
12.02.2000  00:00:00           1.020           2.560           2.560           3.270 
13.02.2000  00:00:00          14.390           1.160           1.160           2.800 
14.02.2000  00:00:00           0.380           0.720           0.720           2.490 
15.02.2000  00:00:00           2.080          -0.910          -0.910           2.170 
16.02.2000  00:00:00           4.110           0.650           0.650           1.940 
17.02.2000  00:00:00           0.100          -0.710          -0.710           1.700 
18.02.2000  00:00:00           7.910          -0.310          -0.310           1.510 
19.02.2000  00:00:00           2.530          -0.740          -0.740           1.340 
20.02.2000  00:00:00           3.890           0.030           0.030           1.190 
