date        time     P_O_Rysna_1044m T_Rysna_1044moh T_Rysna_1044moh         Q_Rysna 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
18.11.2002  00:00:00           0.090          -5.480          -5.480           0.210 
19.11.2002  00:00:00           0.010         -10.540         -10.540           0.130 
20.11.2002  00:00:00           0.000         -14.460         -14.460           0.080 
21.11.2002  00:00:00           0.000          -9.080          -9.080           0.110 
22.11.2002  00:00:00           0.090          -7.160          -7.160           0.170 
23.11.2002  00:00:00           1.550         -10.490         -10.490           0.180 
24.11.2002  00:00:00           0.830          -8.650          -8.650           0.180 
25.11.2002  00:00:00           7.800          -8.040          -8.040           0.190 
26.11.2002  00:00:00           0.000          -6.550          -6.550           0.200 
27.11.2002  00:00:00           0.000         -11.100         -11.100           0.160 
28.11.2002  00:00:00           0.000          -9.800          -9.800           0.120 
29.11.2002  00:00:00           4.040          -6.670          -6.670           0.180 
30.11.2002  00:00:00           6.030          -8.830          -8.830           0.180 
01.12.2002  00:00:00           0.440         -11.800         -11.800           0.180 
02.12.2002  00:00:00           3.610         -11.220         -11.220           0.180 
03.12.2002  00:00:00           0.000          -8.860          -8.860           0.180 
04.12.2002  00:00:00           2.830          -6.640          -6.640           0.190 
05.12.2002  00:00:00           4.620          -7.450          -7.450           0.200 
06.12.2002  00:00:00           0.000          -8.080          -8.080           0.190 
07.12.2002  00:00:00           0.040         -10.470         -10.470           0.180 
08.12.2002  00:00:00           0.010         -16.710         -16.710           0.170 
09.12.2002  00:00:00           0.000         -20.070         -20.070           0.130 
10.12.2002  00:00:00           0.000         -16.640         -16.640           0.170 
11.12.2002  00:00:00           0.000         -14.900         -14.900           0.210 
12.12.2002  00:00:00           0.000         -13.310         -13.310           0.140 
13.12.2002  00:00:00           0.000         -15.500         -15.500           0.110 
14.12.2002  00:00:00           0.000         -15.530         -15.530           0.080 
15.12.2002  00:00:00           0.000         -16.020         -16.020           0.170 
16.12.2002  00:00:00           0.060         -12.210         -12.210           0.130 
17.12.2002  00:00:00           0.000         -16.010         -16.010           0.060 
18.12.2002  00:00:00           0.000          -8.890          -8.890           0.090 
19.12.2002  00:00:00           0.010          -7.330          -7.330           0.130 
20.12.2002  00:00:00           0.000          -3.240          -3.240           0.160 
21.12.2002  00:00:00           0.000          -8.850          -8.850           0.150 
22.12.2002  00:00:00           0.000         -14.500         -14.500           0.120 
23.12.2002  00:00:00           0.000         -15.590         -15.590           0.070 
24.12.2002  00:00:00           0.460         -13.600         -13.600           0.060 
25.12.2002  00:00:00           0.310         -13.760         -13.760           0.120 
26.12.2002  00:00:00           0.000          -8.500          -8.500           0.120 
27.12.2002  00:00:00           0.130          -5.560          -5.560           0.130 
28.12.2002  00:00:00           6.130          -7.820          -7.820           0.140 
29.12.2002  00:00:00           7.120          -9.780          -9.780           0.150 
30.12.2002  00:00:00           2.740         -12.480         -12.480           0.150 
31.12.2002  00:00:00           0.000         -20.690         -20.690           0.130 
01.01.2003  00:00:00           0.000         -11.580         -11.580           0.140 
02.01.2003  00:00:00           0.170         -10.120         -10.120           0.130 
03.01.2003  00:00:00           3.190         -18.860         -18.860           0.130 
04.01.2003  00:00:00           0.060         -23.400         -23.400           0.180 
05.01.2003  00:00:00           2.680         -14.040         -14.040           0.180 
06.01.2003  00:00:00           0.000         -15.100         -15.100           0.140 
07.01.2003  00:00:00           0.000         -11.050         -11.050           0.120 
08.01.2003  00:00:00           0.000          -8.740          -8.740           0.100 
09.01.2003  00:00:00           0.000          -7.880          -7.880           0.100 
10.01.2003  00:00:00           0.280          -6.810          -6.810           0.100 
11.01.2003  00:00:00           0.000          -9.140          -9.140           0.110 
12.01.2003  00:00:00           0.000          -2.140          -2.140           0.120 
13.01.2003  00:00:00           0.000          -2.700          -2.700           0.120 
14.01.2003  00:00:00           1.050          -4.590          -4.590           0.120 
15.01.2003  00:00:00           1.350          -3.540          -3.540           0.120 
16.01.2003  00:00:00           0.140          -3.100          -3.100           0.120 
17.01.2003  00:00:00           0.000          -5.570          -5.570           0.120 
18.01.2003  00:00:00           0.450          -1.970          -1.970           0.120 
19.01.2003  00:00:00           0.000          -5.500          -5.500           0.120 
20.01.2003  00:00:00          19.220          -6.250          -6.250           0.120 
21.01.2003  00:00:00          10.350          -5.470          -5.470           0.120 
22.01.2003  00:00:00           0.000          -3.450          -3.450           0.120 
23.01.2003  00:00:00           0.130          -4.680          -4.680           0.120 
24.01.2003  00:00:00           0.000         -11.670         -11.670           0.120 
25.01.2003  00:00:00           5.000          -3.240          -3.240           0.130 
26.01.2003  00:00:00           3.550          -2.190          -2.190           0.130 
27.01.2003  00:00:00           0.000          -3.360          -3.360           0.130 
28.01.2003  00:00:00           0.000          -3.900          -3.900           0.130 
29.01.2003  00:00:00           0.000          -7.410          -7.410           0.130 
30.01.2003  00:00:00           0.000         -12.960         -12.960           0.120 
31.01.2003  00:00:00           0.000         -17.970         -17.970           0.130 
01.02.2003  00:00:00           0.280         -13.760         -13.760           0.120 
02.02.2003  00:00:00           8.580          -9.400          -9.400           0.120 
03.02.2003  00:00:00           1.940          -8.340          -8.340           0.120 
04.02.2003  00:00:00           0.000         -13.660         -13.660           0.120 
05.02.2003  00:00:00           0.220         -12.900         -12.900           0.120 
06.02.2003  00:00:00           0.000         -14.420         -14.420           0.090 
07.02.2003  00:00:00           1.790         -11.830         -11.830           0.110 
08.02.2003  00:00:00           0.190          -6.100          -6.100           0.120 
09.02.2003  00:00:00           0.000          -2.890          -2.890           0.120 
10.02.2003  00:00:00          12.950          -2.980          -2.980           0.120 
11.02.2003  00:00:00           0.000          -4.480          -4.480           0.120 
12.02.2003  00:00:00           0.000          -5.200          -5.200           0.120 
13.02.2003  00:00:00           0.000          -6.660          -6.660           0.110 
14.02.2003  00:00:00           0.000          -9.180          -9.180           0.110 
15.02.2003  00:00:00           0.000         -12.790         -12.790           0.100 
16.02.2003  00:00:00           0.000          -9.620          -9.620           0.100 
17.02.2003  00:00:00           0.000          -8.200          -8.200           0.110 
18.02.2003  00:00:00           0.000          -4.840          -4.840           0.120 
19.02.2003  00:00:00           0.000          -2.280          -2.280           0.130 
20.02.2003  00:00:00           0.000          -3.370          -3.370           0.130 
21.02.2003  00:00:00           0.000          -3.310          -3.310           0.140 
22.02.2003  00:00:00           0.000          -6.440          -6.440           0.150 
23.02.2003  00:00:00           0.000          -8.170          -8.170           0.150 
24.02.2003  00:00:00           0.000          -7.720          -7.720           0.160 
25.02.2003  00:00:00           0.000          -4.620          -4.620           0.150 
26.02.2003  00:00:00           0.000          -6.060          -6.060           0.120 
27.02.2003  00:00:00           0.000          -6.510          -6.510           0.110 
28.02.2003  00:00:00           0.000         -11.830         -11.830           0.100 
01.03.2003  00:00:00           0.000         -11.390         -11.390           0.080 
02.03.2003  00:00:00           0.000          -9.510          -9.510           0.080 
03.03.2003  00:00:00           0.000          -9.010          -9.010           0.100 
04.03.2003  00:00:00           0.000          -9.660          -9.660           0.110 
05.03.2003  00:00:00           1.700          -9.390          -9.390           0.110 
06.03.2003  00:00:00           6.460          -8.690          -8.690           0.110 
07.03.2003  00:00:00           8.700          -6.850          -6.850           0.110 
08.03.2003  00:00:00           0.000          -3.800          -3.800           0.110 
09.03.2003  00:00:00           3.160          -5.840          -5.840           0.110 
10.03.2003  00:00:00           3.310          -3.250          -3.250           0.110 
11.03.2003  00:00:00           0.130          -2.300          -2.300           0.110 
12.03.2003  00:00:00           0.000          -4.090          -4.090           0.100 
13.03.2003  00:00:00           0.000          -6.230          -6.230           0.100 
14.03.2003  00:00:00           0.000          -2.180          -2.180           0.100 
15.03.2003  00:00:00           0.000          -0.610          -0.610           0.100 
16.03.2003  00:00:00           0.000          -1.690          -1.690           0.100 
17.03.2003  00:00:00           0.000          -2.950          -2.950           0.110 
18.03.2003  00:00:00           0.000          -1.730          -1.730           0.110 
19.03.2003  00:00:00           0.000          -2.350          -2.350           0.120 
20.03.2003  00:00:00           0.000          -4.920          -4.920           0.120 
21.03.2003  00:00:00           0.000          -6.070          -6.070           0.120 
22.03.2003  00:00:00           0.000          -4.280          -4.280           0.120 
23.03.2003  00:00:00           0.000          -1.020          -1.020           0.130 
24.03.2003  00:00:00           0.000          -2.280          -2.280           0.140 
25.03.2003  00:00:00           0.000          -3.590          -3.590           0.170 
26.03.2003  00:00:00           0.000          -1.400          -1.400           0.190 
27.03.2003  00:00:00           0.000          -0.360          -0.360           0.280 
28.03.2003  00:00:00           0.000          -3.570          -3.570           0.270 
29.03.2003  00:00:00           0.000          -2.330          -2.330           0.260 
30.03.2003  00:00:00           0.030          -3.470          -3.470           0.240 
31.03.2003  00:00:00           1.240          -6.880          -6.880           0.210 
01.04.2003  00:00:00           0.000          -4.940          -4.940           0.200 
02.04.2003  00:00:00           1.540          -4.210          -4.210           0.190 
03.04.2003  00:00:00           0.000          -6.480          -6.480           0.250 
04.04.2003  00:00:00           0.000          -5.510          -5.510           0.190 
05.04.2003  00:00:00           0.010          -5.590          -5.590           0.210 
06.04.2003  00:00:00           0.000          -9.100          -9.100           0.360 
07.04.2003  00:00:00           0.000          -8.950          -8.950           0.390 
08.04.2003  00:00:00           0.000          -6.900          -6.900           0.360 
09.04.2003  00:00:00           0.000          -3.970          -3.970           0.240 
10.04.2003  00:00:00           0.000          -3.570          -3.570           0.280 
11.04.2003  00:00:00           1.180          -5.510          -5.510           0.230 
12.04.2003  00:00:00           2.730          -7.930          -7.930           0.200 
13.04.2003  00:00:00           0.000          -5.420          -5.420           0.200 
14.04.2003  00:00:00           0.000          -4.630          -4.630           0.330 
15.04.2003  00:00:00           0.000          -0.640          -0.640           0.310 
16.04.2003  00:00:00           0.000           1.620           1.620           0.450 
17.04.2003  00:00:00           0.000           4.140           4.140           0.760 
18.04.2003  00:00:00           0.000           4.400           4.400           1.100 
19.04.2003  00:00:00           0.000           4.770           4.770           1.550 
20.04.2003  00:00:00           0.000           4.080           4.080           1.880 
21.04.2003  00:00:00           0.000           2.710           2.710           2.000 
22.04.2003  00:00:00           0.000           1.800           1.800           1.990 
23.04.2003  00:00:00           0.000           2.070           2.070           1.940 
24.04.2003  00:00:00           0.000           1.720           1.720           1.590 
25.04.2003  00:00:00           0.000          -1.630          -1.630           1.260 
26.04.2003  00:00:00           0.000          -0.260          -0.260           1.060 
27.04.2003  00:00:00           6.610          -2.420          -2.420           0.880 
28.04.2003  00:00:00           5.930          -2.430          -2.430           0.810 
29.04.2003  00:00:00           0.290          -0.340          -0.340           0.920 
30.04.2003  00:00:00          11.280          -2.000          -2.000           1.050 
01.05.2003  00:00:00           2.390          -0.620          -0.620           1.080 
02.05.2003  00:00:00           2.280          -3.040          -3.040           0.840 
03.05.2003  00:00:00           0.000          -5.650          -5.650           0.730 
04.05.2003  00:00:00           9.360          -5.350          -5.350           0.640 
05.05.2003  00:00:00           0.030          -2.200          -2.200           0.680 
06.05.2003  00:00:00           9.610           1.000           1.000           0.810 
07.05.2003  00:00:00           0.000           0.030           0.030           0.910 
08.05.2003  00:00:00           0.020          -1.770          -1.770           0.760 
09.05.2003  00:00:00           0.060          -0.810          -0.810           0.750 
10.05.2003  00:00:00           0.000          -1.130          -1.130           0.820 
11.05.2003  00:00:00           0.000          -1.820          -1.820           0.780 
12.05.2003  00:00:00           3.590          -0.170          -0.170           1.340 
13.05.2003  00:00:00          21.570          -0.670          -0.670           1.280 
14.05.2003  00:00:00           9.360          -0.660          -0.660           1.790 
15.05.2003  00:00:00           0.930          -1.720          -1.720           1.000 
16.05.2003  00:00:00           0.000          -2.790          -2.790           0.870 
17.05.2003  00:00:00           0.000          -1.600          -1.600           0.940 
18.05.2003  00:00:00           0.000           0.370           0.370           0.920 
19.05.2003  00:00:00           5.490           1.160           1.160           1.830 
20.05.2003  00:00:00           6.710           2.380           2.380           2.540 
21.05.2003  00:00:00           5.740           2.610           2.610           3.090 
22.05.2003  00:00:00           0.000           1.030           1.030           3.280 
23.05.2003  00:00:00           0.000           2.430           2.430           3.110 
24.05.2003  00:00:00           9.620           1.060           1.060           3.300 
25.05.2003  00:00:00           5.080           2.580           2.580           4.820 
26.05.2003  00:00:00           3.650           3.470           3.470           5.460 
27.05.2003  00:00:00           0.000           2.280           2.280           3.980 
28.05.2003  00:00:00           0.000           1.820           1.820           2.830 
29.05.2003  00:00:00           0.000           5.260           5.260           2.760 
30.05.2003  00:00:00           0.000           4.520           4.520           5.870 
31.05.2003  00:00:00           0.000           2.960           2.960           4.180 
01.06.2003  00:00:00           0.000           3.270           3.270           2.970 
02.06.2003  00:00:00           0.000           7.430           7.430           3.900 
03.06.2003  00:00:00           0.000          10.080          10.080           5.710 
04.06.2003  00:00:00           2.900           7.680           7.680           7.780 
05.06.2003  00:00:00           0.000          10.170          10.170          13.070 
06.06.2003  00:00:00          12.900           5.770           5.770           8.310 
07.06.2003  00:00:00           0.190           5.360           5.360           6.310 
08.06.2003  00:00:00           0.000           7.350           7.350           5.290 
09.06.2003  00:00:00           0.000           7.440           7.440           4.140 
10.06.2003  00:00:00           2.310           6.100           6.100           5.070 
11.06.2003  00:00:00           6.690           7.020           7.020           5.070 
12.06.2003  00:00:00           0.000           5.310           5.310           4.760 
13.06.2003  00:00:00           0.000           3.890           3.890           3.440 
14.06.2003  00:00:00           0.000           3.740           3.740           2.750 
15.06.2003  00:00:00           0.000           4.560           4.560           2.500 
16.06.2003  00:00:00           0.000           3.970           3.970           2.110 
17.06.2003  00:00:00           0.000           4.970           4.970           1.870 
18.06.2003  00:00:00           0.000           6.960           6.960           2.150 
19.06.2003  00:00:00           0.680           7.930           7.930           3.910 
20.06.2003  00:00:00           0.000           4.100           4.100           2.470 
21.06.2003  00:00:00           0.000           4.180           4.180           1.810 
22.06.2003  00:00:00           4.820           5.590           5.590           2.230 
23.06.2003  00:00:00           5.270           6.640           6.640           2.880 
24.06.2003  00:00:00           9.740           5.260           5.260           4.960 
25.06.2003  00:00:00           0.270           5.550           5.550           3.030 
26.06.2003  00:00:00           0.000           7.730           7.730           2.570 
27.06.2003  00:00:00           0.000          10.690          10.690           2.120 
28.06.2003  00:00:00           0.000          12.790          12.790           2.160 
29.06.2003  00:00:00           2.610          11.860          11.860           2.930 
30.06.2003  00:00:00          11.780           7.990           7.990           3.770 
01.07.2003  00:00:00           4.870           6.680           6.680           2.970 
02.07.2003  00:00:00          10.450           7.410           7.410          12.370 
03.07.2003  00:00:00           7.580           8.440           8.440           5.750 
04.07.2003  00:00:00           4.700          11.550          11.550           4.210 
05.07.2003  00:00:00           6.750          11.460          11.460           3.550 
06.07.2003  00:00:00           0.000          11.180          11.180           2.320 
07.07.2003  00:00:00           0.000           9.830           9.830           1.730 
08.07.2003  00:00:00           3.520           8.490           8.490           2.010 
09.07.2003  00:00:00           4.810           7.430           7.430           1.760 
10.07.2003  00:00:00           0.000           7.320           7.320           1.480 
11.07.2003  00:00:00           0.000          11.130          11.130           1.360 
12.07.2003  00:00:00           2.080           7.280           7.280           1.350 
13.07.2003  00:00:00           0.000           6.950           6.950           1.130 
14.07.2003  00:00:00           0.000          12.740          12.740           1.000 
15.07.2003  00:00:00           0.000          15.530          15.530           1.070 
16.07.2003  00:00:00           0.000          15.880          15.880           1.080 
17.07.2003  00:00:00           0.000          16.550          16.550           1.120 
18.07.2003  00:00:00           5.830          15.780          15.780           1.600 
19.07.2003  00:00:00          10.110          15.060          15.060           2.720 
20.07.2003  00:00:00           0.090          12.640          12.640           1.780 
21.07.2003  00:00:00           0.330          14.480          14.480           1.630 
22.07.2003  00:00:00           8.720          11.320          11.320           4.130 
23.07.2003  00:00:00           0.060           9.570           9.570           1.730 
24.07.2003  00:00:00           0.000           9.560           9.560           1.210 
25.07.2003  00:00:00           0.000          10.440          10.440           2.240 
26.07.2003  00:00:00           7.530           9.030           9.030           2.870 
27.07.2003  00:00:00           7.240           9.030           9.030           4.670 
28.07.2003  00:00:00           4.620           8.020           8.020           2.830 
