date        time     P_O_Buvatn_870m T_Buvatn_870moh T_Buvatn_870moh        Q_Buvatn 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
19.09.2003  00:00:00           0.840           9.000           9.000           0.110 
20.09.2003  00:00:00           6.680           6.270           6.270           0.110 
21.09.2003  00:00:00           5.490           5.450           5.450           0.110 
22.09.2003  00:00:00           0.130           7.540           7.540           0.120 
23.09.2003  00:00:00          35.580           4.880           4.880           0.230 
24.09.2003  00:00:00           0.000           1.390           1.390           0.310 
25.09.2003  00:00:00           0.000           3.790           3.790           0.330 
26.09.2003  00:00:00           0.000           7.930           7.930           0.340 
27.09.2003  00:00:00           2.370           4.840           4.840           0.350 
28.09.2003  00:00:00           0.000           0.550           0.550           0.350 
29.09.2003  00:00:00           0.000          -0.680          -0.680           0.350 
30.09.2003  00:00:00           0.000           2.230           2.230           0.340 
01.10.2003  00:00:00           1.760           3.480           3.480           0.330 
02.10.2003  00:00:00           0.000           2.570           2.570           0.310 
03.10.2003  00:00:00           0.000           3.090           3.090           0.300 
04.10.2003  00:00:00           2.430           3.210           3.210           0.280 
05.10.2003  00:00:00           0.000           0.870           0.870           0.270 
06.10.2003  00:00:00           0.000          -0.780          -0.780           0.260 
07.10.2003  00:00:00           6.220          -1.220          -1.220           0.250 
08.10.2003  00:00:00           0.890           0.300           0.300           0.250 
09.10.2003  00:00:00           0.100           0.680           0.680           0.240 
10.10.2003  00:00:00           0.000           1.140           1.140           0.240 
11.10.2003  00:00:00           4.490           1.790           1.790           0.240 
12.10.2003  00:00:00           0.000           1.350           1.350           0.240 
13.10.2003  00:00:00           0.000          -0.800          -0.800           0.240 
14.10.2003  00:00:00           0.000          -1.580          -1.580           0.240 
15.10.2003  00:00:00           0.000          -0.130          -0.130           0.250 
16.10.2003  00:00:00           0.000           0.230           0.230           0.255 
17.10.2003  00:00:00           0.000           0.010           0.010           0.260 
18.10.2003  00:00:00           0.000          -0.580          -0.580           0.260 
19.10.2003  00:00:00           2.790          -3.770          -3.770           0.250 
20.10.2003  00:00:00           0.000          -7.330          -7.330           0.240 
21.10.2003  00:00:00           2.700          -7.570          -7.570           0.230 
22.10.2003  00:00:00           0.600          -7.560          -7.560           0.220 
23.10.2003  00:00:00           0.000         -10.240         -10.240           0.210 
24.10.2003  00:00:00           0.000          -9.610          -9.610           0.200 
25.10.2003  00:00:00           0.000          -2.060          -2.060           0.190 
26.10.2003  00:00:00           0.000          -7.020          -7.020           0.190 
27.10.2003  00:00:00           1.290          -5.530          -5.530           0.190 
28.10.2003  00:00:00           0.000           4.060           4.060           0.190 
29.10.2003  00:00:00           0.000           0.090           0.090           0.180 
30.10.2003  00:00:00           4.750          -2.500          -2.500           0.180 
31.10.2003  00:00:00           1.850          -2.990          -2.990           0.180 
01.11.2003  00:00:00           4.850          -3.200          -3.200           0.180 
02.11.2003  00:00:00           7.970          -3.860          -3.860           0.180 
03.11.2003  00:00:00           2.700          -2.900          -2.900           0.180 
04.11.2003  00:00:00           0.000           0.280           0.280           0.180 
05.11.2003  00:00:00           0.000          -1.130          -1.130           0.190 
06.11.2003  00:00:00           0.000           1.870           1.870           0.190 
07.11.2003  00:00:00           0.000          -0.050          -0.050           0.190 
08.11.2003  00:00:00           0.000          -1.530          -1.530           0.190 
09.11.2003  00:00:00           0.000          -1.310          -1.310           0.190 
10.11.2003  00:00:00           0.130          -2.370          -2.370           0.190 
11.11.2003  00:00:00           0.000          -2.460          -2.460           0.190 
12.11.2003  00:00:00           0.000          -3.460          -3.460           0.190 
13.11.2003  00:00:00           0.120          -2.930          -2.930           0.190 
14.11.2003  00:00:00           0.180          -2.020          -2.020           0.180 
15.11.2003  00:00:00           1.270          -3.180          -3.180           0.180 
16.11.2003  00:00:00           4.810          -2.280          -2.280           0.180 
17.11.2003  00:00:00           0.000          -4.550          -4.550           0.180 
18.11.2003  00:00:00           3.870          -6.690          -6.690           0.180 
19.11.2003  00:00:00           1.730          -2.850          -2.850           0.180 
20.11.2003  00:00:00           0.000          -0.250          -0.250           0.180 
21.11.2003  00:00:00           0.100          -5.900          -5.900           0.170 
22.11.2003  00:00:00           0.490          -7.220          -7.220           0.170 
23.11.2003  00:00:00           4.950          -8.670          -8.670           0.170 
24.11.2003  00:00:00           1.610          -9.700          -9.700           0.170 
25.11.2003  00:00:00           0.000          -9.110          -9.110           0.170 
26.11.2003  00:00:00           0.690          -4.250          -4.250           0.160 
27.11.2003  00:00:00           5.780          -2.470          -2.470           0.160 
28.11.2003  00:00:00           5.150          -3.660          -3.660           0.160 
29.11.2003  00:00:00           0.000          -6.950          -6.950           0.160 
30.11.2003  00:00:00           1.150          -1.780          -1.780           0.160 
01.12.2003  00:00:00           8.240          -2.080          -2.080           0.160 
02.12.2003  00:00:00           3.070          -3.450          -3.450           0.160 
03.12.2003  00:00:00           0.100          -2.270          -2.270           0.160 
04.12.2003  00:00:00           0.230           0.740           0.740           0.160 
05.12.2003  00:00:00           0.000           0.170           0.170           0.160 
06.12.2003  00:00:00           0.000          -4.500          -4.500           0.160 
07.12.2003  00:00:00           0.000          -7.780          -7.780           0.160 
08.12.2003  00:00:00           0.000           0.780           0.780           0.150 
09.12.2003  00:00:00           0.000          -0.250          -0.250           0.150 
10.12.2003  00:00:00           0.000          -3.700          -3.700           0.150 
11.12.2003  00:00:00           1.970           0.000           0.000           0.150 
12.12.2003  00:00:00           0.000          -6.680          -6.680           0.150 
13.12.2003  00:00:00           6.320          -9.740          -9.740           0.150 
14.12.2003  00:00:00           3.390          -5.460          -5.460           0.140 
15.12.2003  00:00:00           0.000          -5.610          -5.610           0.140 
16.12.2003  00:00:00           0.000          -7.790          -7.790           0.140 
17.12.2003  00:00:00           0.000          -4.220          -4.220           0.140 
18.12.2003  00:00:00           0.000           3.340           3.340           0.140 
19.12.2003  00:00:00           0.000           1.910           1.910           0.140 
20.12.2003  00:00:00           7.450          -2.410          -2.410           0.140 
21.12.2003  00:00:00           0.150          -6.230          -6.230           0.140 
22.12.2003  00:00:00           0.000         -10.760         -10.760           0.140 
23.12.2003  00:00:00           0.000         -12.740         -12.740           0.130 
24.12.2003  00:00:00           0.700          -7.570          -7.570           0.130 
25.12.2003  00:00:00          11.470           0.630           0.630           0.120 
26.12.2003  00:00:00           8.230          -1.020          -1.020           0.120 
27.12.2003  00:00:00           2.740          -2.930          -2.930           0.120 
28.12.2003  00:00:00           4.780          -3.980          -3.980           0.120 
29.12.2003  00:00:00           2.000         -10.230         -10.230           0.120 
30.12.2003  00:00:00           0.000         -18.490         -18.490           0.120 
31.12.2003  00:00:00           0.000         -18.450         -18.450           0.120 
01.01.2004  00:00:00           0.000         -18.760         -18.760           0.110 
02.01.2004  00:00:00           0.430         -16.050         -16.050           0.110 
03.01.2004  00:00:00           0.000         -13.550         -13.550           0.110 
04.01.2004  00:00:00           2.060         -10.450         -10.450           0.110 
05.01.2004  00:00:00           0.000          -9.900          -9.900           0.110 
06.01.2004  00:00:00           4.210         -11.610         -11.610           0.110 
07.01.2004  00:00:00           5.110          -8.560          -8.560           0.110 
08.01.2004  00:00:00           0.000         -10.540         -10.540           0.110 
09.01.2004  00:00:00           0.360          -8.920          -8.920           0.110 
10.01.2004  00:00:00           1.570          -6.270          -6.270           0.110 
11.01.2004  00:00:00           0.970          -5.450          -5.450           0.110 
12.01.2004  00:00:00           7.150          -4.630          -4.630           0.110 
13.01.2004  00:00:00           1.900          -6.520          -6.520           0.110 
14.01.2004  00:00:00           1.120          -5.990          -5.990           0.110 
15.01.2004  00:00:00           0.000          -9.240          -9.240           0.110 
16.01.2004  00:00:00           0.000         -18.700         -18.700           0.110 
17.01.2004  00:00:00           0.000         -17.820         -17.820           0.110 
18.01.2004  00:00:00           0.000         -18.070         -18.070           0.110 
19.01.2004  00:00:00           2.150         -10.340         -10.340           0.110 
20.01.2004  00:00:00           0.100          -9.690          -9.690           0.100 
21.01.2004  00:00:00           0.330         -15.360         -15.360           0.100 
22.01.2004  00:00:00           0.310         -19.110         -19.110           0.100 
23.01.2004  00:00:00           3.420         -10.960         -10.960           0.100 
24.01.2004  00:00:00           0.000          -7.210          -7.210           0.100 
25.01.2004  00:00:00           2.540          -5.150          -5.150           0.100 
26.01.2004  00:00:00           1.140          -7.200          -7.200           0.100 
27.01.2004  00:00:00           0.270          -8.440          -8.440           0.100 
28.01.2004  00:00:00           2.020         -13.130         -13.130           0.100 
29.01.2004  00:00:00           9.440         -14.340         -14.340           0.100 
30.01.2004  00:00:00           2.070         -12.540         -12.540           0.100 
31.01.2004  00:00:00           2.470         -13.750         -13.750           0.100 
01.02.2004  00:00:00           0.000         -12.160         -12.160           0.100 
02.02.2004  00:00:00           0.620         -11.580         -11.580           0.100 
03.02.2004  00:00:00           5.360          -5.850          -5.850           0.100 
04.02.2004  00:00:00           3.980           0.550           0.550           0.120 
05.02.2004  00:00:00           0.000           1.570           1.570           0.120 
06.02.2004  00:00:00           5.980          -0.470          -0.470           0.120 
07.02.2004  00:00:00           4.500          -2.680          -2.680           0.120 
08.02.2004  00:00:00           5.590          -7.090          -7.090           0.120 
09.02.2004  00:00:00           0.000          -9.200          -9.200           0.120 
10.02.2004  00:00:00           0.000          -9.650          -9.650           0.120 
11.02.2004  00:00:00           0.000          -7.750          -7.750           0.120 
12.02.2004  00:00:00           0.000          -4.040          -4.040           0.110 
13.02.2004  00:00:00           0.000           1.420           1.420           0.110 
14.02.2004  00:00:00           0.000          -0.500          -0.500           0.110 
15.02.2004  00:00:00           0.000          -2.550          -2.550           0.110 
16.02.2004  00:00:00           0.000          -2.420          -2.420           0.110 
17.02.2004  00:00:00           0.000          -2.730          -2.730           0.110 
18.02.2004  00:00:00           0.000          -3.200          -3.200           0.100 
19.02.2004  00:00:00           0.000          -6.750          -6.750           0.100 
20.02.2004  00:00:00           0.000          -6.720          -6.720           0.100 
21.02.2004  00:00:00           0.000          -4.920          -4.920           0.100 
22.02.2004  00:00:00           2.350          -4.830          -4.830           0.100 
23.02.2004  00:00:00           0.500          -8.520          -8.520           0.100 
24.02.2004  00:00:00           0.000          -8.140          -8.140           0.100 
25.02.2004  00:00:00           0.000          -6.180          -6.180           0.100 
26.02.2004  00:00:00           0.000          -6.740          -6.740           0.090 
27.02.2004  00:00:00           0.000          -9.670          -9.670           0.080 
28.02.2004  00:00:00           0.360         -10.950         -10.950           0.080 
29.02.2004  00:00:00           0.000         -14.250         -14.250           0.080 
01.03.2004  00:00:00           0.000          -8.010          -8.010           0.080 
02.03.2004  00:00:00           0.000           0.270           0.270           0.080 
03.03.2004  00:00:00           0.000          -6.210          -6.210           0.080 
04.03.2004  00:00:00           0.000         -12.180         -12.180           0.080 
05.03.2004  00:00:00           0.000         -14.730         -14.730           0.070 
06.03.2004  00:00:00           0.000          -9.610          -9.610           0.070 
07.03.2004  00:00:00           0.000          -5.170          -5.170           0.070 
08.03.2004  00:00:00           0.000          -5.890          -5.890           0.070 
09.03.2004  00:00:00           0.000          -8.090          -8.090           0.070 
10.03.2004  00:00:00           0.000          -7.890          -7.890           0.070 
11.03.2004  00:00:00           0.000          -6.370          -6.370           0.070 
12.03.2004  00:00:00           0.000          -7.970          -7.970           0.070 
13.03.2004  00:00:00           2.680          -7.340          -7.340           0.070 
14.03.2004  00:00:00           4.520          -7.720          -7.720           0.070 
15.03.2004  00:00:00           0.700          -2.800          -2.800           0.070 
16.03.2004  00:00:00           0.330           0.480           0.480           0.070 
17.03.2004  00:00:00           2.100           3.100           3.100           0.070 
18.03.2004  00:00:00           0.150           2.060           2.060           0.070 
19.03.2004  00:00:00           1.920           0.940           0.940           0.070 
20.03.2004  00:00:00           2.000          -0.490          -0.490           0.070 
21.03.2004  00:00:00           0.500          -2.160          -2.160           0.070 
22.03.2004  00:00:00           2.170          -2.660          -2.660           0.070 
23.03.2004  00:00:00           0.000          -4.470          -4.470           0.070 
24.03.2004  00:00:00           1.040          -5.270          -5.270           0.070 
25.03.2004  00:00:00           0.000          -6.350          -6.350           0.070 
26.03.2004  00:00:00           0.000          -8.930          -8.930           0.070 
27.03.2004  00:00:00           0.000          -3.320          -3.320           0.070 
28.03.2004  00:00:00           0.000          -0.820          -0.820           0.070 
29.03.2004  00:00:00           0.200          -0.950          -0.950           0.070 
30.03.2004  00:00:00           0.000           1.180           1.180           0.070 
31.03.2004  00:00:00           0.000          -0.080          -0.080           0.070 
01.04.2004  00:00:00           0.000           0.670           0.670           0.070 
02.04.2004  00:00:00           0.000          -3.820          -3.820           0.070 
03.04.2004  00:00:00           0.000          -5.250          -5.250           0.070 
04.04.2004  00:00:00           3.380          -4.810          -4.810           0.070 
05.04.2004  00:00:00           2.710          -1.410          -1.410           0.070 
06.04.2004  00:00:00           6.220           0.220           0.220           0.080 
07.04.2004  00:00:00           3.640          -1.180          -1.180           0.090 
08.04.2004  00:00:00           0.000          -1.630          -1.630           0.090 
09.04.2004  00:00:00           0.000           0.260           0.260           0.090 
10.04.2004  00:00:00           0.000          -1.080          -1.080           0.090 
11.04.2004  00:00:00           0.000          -1.280          -1.280           0.090 
12.04.2004  00:00:00           0.000          -2.700          -2.700           0.090 
13.04.2004  00:00:00           0.000          -1.070          -1.070           0.090 
14.04.2004  00:00:00           0.000           1.530           1.530           0.090 
15.04.2004  00:00:00           0.000           4.030           4.030           0.120 
16.04.2004  00:00:00           0.000           3.510           3.510           0.140 
17.04.2004  00:00:00           0.000           3.150           3.150           0.170 
18.04.2004  00:00:00           0.000           4.090           4.090           0.270 
19.04.2004  00:00:00           3.240           3.790           3.790           0.430 
20.04.2004  00:00:00           0.000           2.890           2.890           0.620 
21.04.2004  00:00:00           8.620           2.160           2.160           1.130 
22.04.2004  00:00:00           0.000           2.780           2.780           1.440 
23.04.2004  00:00:00           2.420           1.980           1.980           1.680 
24.04.2004  00:00:00           0.000           3.250           3.250           1.930 
25.04.2004  00:00:00           2.510           3.780           3.780           2.550 
