date        time     P_O_Langtjernbe T_Langtjernbekk T_Langtjernbekk Q_Langtjernbekk 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
15.03.2001  00:00:00           0.000          -3.420          -3.420           0.020 
16.03.2001  00:00:00           0.000          -6.140          -6.140           0.020 
17.03.2001  00:00:00           8.480          -7.480          -7.480           0.020 
18.03.2001  00:00:00           0.440         -10.120         -10.120           0.010 
19.03.2001  00:00:00           0.000         -13.120         -13.120           0.010 
20.03.2001  00:00:00           0.000         -14.980         -14.980           0.010 
21.03.2001  00:00:00           0.000         -12.020         -12.020           0.010 
22.03.2001  00:00:00           0.000          -9.620          -9.620           0.010 
23.03.2001  00:00:00           0.000         -12.140         -12.140           0.020 
24.03.2001  00:00:00           0.000         -11.740         -11.740           0.020 
25.03.2001  00:00:00           0.000          -9.780          -9.780           0.020 
26.03.2001  00:00:00           0.000          -8.340          -8.340           0.020 
27.03.2001  00:00:00           0.000          -9.960          -9.960           0.020 
28.03.2001  00:00:00           0.000          -9.240          -9.240           0.020 
29.03.2001  00:00:00           0.000          -7.500          -7.500           0.010 
30.03.2001  00:00:00           3.020          -5.920          -5.920           0.010 
31.03.2001  00:00:00           0.000          -3.120          -3.120           0.010 
01.04.2001  00:00:00           0.000          -1.920          -1.920           0.000 
02.04.2001  00:00:00           0.000           1.120           1.120           0.000 
03.04.2001  00:00:00           0.000           1.080           1.080           0.010 
04.04.2001  00:00:00           5.120           1.060           1.060           0.010 
05.04.2001  00:00:00          26.760           0.300           0.300           0.030 
06.04.2001  00:00:00           6.020          -0.780          -0.780           0.060 
07.04.2001  00:00:00           3.400          -0.240          -0.240           0.080 
08.04.2001  00:00:00           1.460           0.940           0.940           0.080 
09.04.2001  00:00:00           0.000          -0.200          -0.200           0.090 
10.04.2001  00:00:00           0.000           0.760           0.760           0.080 
11.04.2001  00:00:00           0.000           0.840           0.840           0.080 
12.04.2001  00:00:00           0.000          -1.460          -1.460           0.080 
13.04.2001  00:00:00           0.000          -3.900          -3.900           0.070 
14.04.2001  00:00:00           0.000          -5.500          -5.500           0.070 
15.04.2001  00:00:00           1.060          -5.460          -5.460           0.060 
16.04.2001  00:00:00           0.000          -1.060          -1.060           0.060 
17.04.2001  00:00:00           0.000           1.060           1.060           0.060 
18.04.2001  00:00:00           0.000          -1.320          -1.320           0.050 
19.04.2001  00:00:00           0.000          -2.600          -2.600           0.060 
20.04.2001  00:00:00           0.000          -1.860          -1.860           0.060 
21.04.2001  00:00:00           0.000           0.260           0.260           0.060 
22.04.2001  00:00:00           0.000           1.340           1.340           0.060 
23.04.2001  00:00:00           0.000           1.380           1.380           0.070 
24.04.2001  00:00:00          13.360           2.540           2.540           0.110 
25.04.2001  00:00:00           3.680           2.160           2.160           0.210 
26.04.2001  00:00:00          10.280           0.600           0.600           0.370 
27.04.2001  00:00:00           7.900           1.620           1.620           0.650 
28.04.2001  00:00:00           0.000           2.480           2.480           0.630 
29.04.2001  00:00:00           4.000           2.780           2.780           0.590 
30.04.2001  00:00:00           1.340           2.440           2.440           0.650 
01.05.2001  00:00:00           6.100           3.440           3.440           0.830 
02.05.2001  00:00:00           0.000           4.480           4.480           1.000 
03.05.2001  00:00:00           0.000           5.800           5.800           0.970 
04.05.2001  00:00:00           0.000           4.060           4.060           0.810 
05.05.2001  00:00:00           0.000           2.980           2.980           0.530 
