date        time     P_O_Fiskum_257m T_Fiskum_257moh T_Fiskum_257moh        Q_Fiskum 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
01.01.2000  00:00:00           4.200          -9.730          -9.730           0.420 
02.01.2000  00:00:00           1.780          -6.020          -6.020           0.380 
03.01.2000  00:00:00           0.000          -2.220          -2.220           0.380 
04.01.2000  00:00:00           0.000           0.930           0.930           0.360 
05.01.2000  00:00:00           1.320          -1.340          -1.340           0.330 
06.01.2000  00:00:00           1.710          -0.710          -0.710           0.440 
07.01.2000  00:00:00           1.580           2.480           2.480           0.550 
08.01.2000  00:00:00           0.000           3.530           3.530           0.980 
09.01.2000  00:00:00           6.000           3.270           3.270           1.190 
10.01.2000  00:00:00           0.000          -1.250          -1.250           0.990 
11.01.2000  00:00:00           0.000          -0.230          -0.230           0.800 
12.01.2000  00:00:00           0.000           1.150           1.150           0.670 
13.01.2000  00:00:00           0.000           0.000           0.000           0.570 
14.01.2000  00:00:00           0.000          -1.180          -1.180           0.460 
15.01.2000  00:00:00           0.000          -4.930          -4.930           0.380 
16.01.2000  00:00:00           1.060          -2.830          -2.830           0.390 
17.01.2000  00:00:00           0.000           4.580           4.580           0.410 
18.01.2000  00:00:00           0.000           5.600           5.600           0.580 
19.01.2000  00:00:00           0.000           0.470           0.470           0.610 
20.01.2000  00:00:00           0.000           0.830           0.830           0.510 
21.01.2000  00:00:00           1.710           0.640           0.640           0.410 
22.01.2000  00:00:00           2.850          -4.070          -4.070           0.350 
23.01.2000  00:00:00           1.320          -7.210          -7.210           0.280 
24.01.2000  00:00:00           0.000         -10.430         -10.430           0.250 
25.01.2000  00:00:00           0.000          -9.150          -9.150           0.250 
26.01.2000  00:00:00           0.000          -2.700          -2.700           0.270 
27.01.2000  00:00:00           0.000           1.620           1.620           0.250 
28.01.2000  00:00:00           0.000          -0.060          -0.060           0.270 
29.01.2000  00:00:00           8.140          -1.190          -1.190           0.350 
