date        time     P_O_Hangtjern_7 T_Hangtjern_741 T_Hangtjern_741     Q_Hangtjern 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
10.06.2008  00:00:00           0.000          11.740          11.740           0.050 
11.06.2008  00:00:00           0.020           8.080           8.080           0.040 
12.06.2008  00:00:00           4.420           6.650           6.650           0.040 
13.06.2008  00:00:00           3.310           6.450           6.450           0.040 
14.06.2008  00:00:00          12.370           4.920           4.920           0.050 
15.06.2008  00:00:00           6.230           3.940           3.940           0.070 
16.06.2008  00:00:00           1.670           4.140           4.140           0.080 
17.06.2008  00:00:00           7.370           6.770           6.770           0.080 
18.06.2008  00:00:00           0.060           9.510           9.510           0.070 
19.06.2008  00:00:00           0.000           8.350           8.350           0.070 
20.06.2008  00:00:00           7.870           7.180           7.180           0.090 
21.06.2008  00:00:00           2.950           8.090           8.090           0.090 
22.06.2008  00:00:00           0.000           7.660           7.660           0.080 
23.06.2008  00:00:00           3.840           6.550           6.550           0.080 
24.06.2008  00:00:00           1.980           8.670           8.670           0.070 
25.06.2008  00:00:00           0.100           6.470           6.470           0.070 
26.06.2008  00:00:00           0.000           8.400           8.400           0.060 
27.06.2008  00:00:00           0.760           9.150           9.150           0.050 
28.06.2008  00:00:00           1.930           8.520           8.520           0.050 
29.06.2008  00:00:00           1.570          10.530          10.530           0.050 
30.06.2008  00:00:00           8.760          10.250          10.250           0.050 
01.07.2008  00:00:00           0.000          10.180          10.180           0.070 
02.07.2008  00:00:00           0.000          12.680          12.680           0.060 
03.07.2008  00:00:00           0.000          14.550          14.550           0.060 
04.07.2008  00:00:00           0.000          16.580          16.580           0.050 
05.07.2008  00:00:00           0.000          16.830          16.830           0.050 
06.07.2008  00:00:00           0.000          16.510          16.510           0.040 
07.07.2008  00:00:00          35.490           7.490           7.490           0.060 
08.07.2008  00:00:00           3.040           6.090           6.090           0.110 
09.07.2008  00:00:00           0.000           8.460           8.460           0.120 
10.07.2008  00:00:00           0.000          12.720          12.720           0.100 
11.07.2008  00:00:00           0.140          13.420          13.420           0.080 
12.07.2008  00:00:00           5.470          10.790          10.790           0.080 
13.07.2008  00:00:00           0.300          10.570          10.570           0.070 
14.07.2008  00:00:00           3.790          10.700          10.700           0.070 
15.07.2008  00:00:00           0.000          11.720          11.720           0.070 
16.07.2008  00:00:00           0.000          10.260          10.260           0.060 
17.07.2008  00:00:00           8.210           8.420           8.420           0.060 
18.07.2008  00:00:00           0.000           9.850           9.850           0.050 
19.07.2008  00:00:00           0.090           9.570           9.570           0.050 
20.07.2008  00:00:00           4.650          10.220          10.220           0.050 
21.07.2008  00:00:00          23.180          10.300          10.300           0.100 
22.07.2008  00:00:00           5.240          11.200          11.200           0.290 
23.07.2008  00:00:00           0.000          14.270          14.270           0.240 
24.07.2008  00:00:00           0.000          16.380          16.380           0.170 
25.07.2008  00:00:00           0.000          17.930          17.930           0.130 
26.07.2008  00:00:00           0.000          18.110          18.110           0.100 
27.07.2008  00:00:00           0.000          18.490          18.490           0.080 
28.07.2008  00:00:00           0.000          19.210          19.210           0.070 
29.07.2008  00:00:00           0.010          19.540          19.540           0.060 
30.07.2008  00:00:00          11.910          17.010          17.010           0.060 
31.07.2008  00:00:00          14.290          14.960          14.960           0.050 
01.08.2008  00:00:00           7.740          16.230          16.230           0.050 
02.08.2008  00:00:00           0.000          15.820          15.820           0.050 
03.08.2008  00:00:00           5.060          11.400          11.400           0.050 
04.08.2008  00:00:00           6.280          11.700          11.700           0.050 
05.08.2008  00:00:00           6.290           8.820           8.820           0.080 
06.08.2008  00:00:00           0.710           9.600           9.600           0.110 
07.08.2008  00:00:00           0.100          11.910          11.910           0.110 
08.08.2008  00:00:00           3.300          10.150          10.150           0.190 
09.08.2008  00:00:00           6.690          10.420          10.420           0.250 
10.08.2008  00:00:00           5.550           8.460           8.460           0.310 
11.08.2008  00:00:00           9.630           7.830           7.830           0.390 
12.08.2008  00:00:00           1.730           9.110           9.110           0.380 
13.08.2008  00:00:00           7.320          12.330          12.330           0.380 
14.08.2008  00:00:00           4.780           8.030           8.030           0.440 
15.08.2008  00:00:00           8.960           9.900           9.900           0.390 
16.08.2008  00:00:00           2.900           9.360           9.360           0.360 
17.08.2008  00:00:00           0.870           7.650           7.650           0.270 
18.08.2008  00:00:00           0.000           8.980           8.980           0.210 
19.08.2008  00:00:00           0.000           9.910           9.910           0.170 
20.08.2008  00:00:00           3.470          12.920          12.920           0.155 
21.08.2008  00:00:00           4.420          10.640          10.640           0.140 
22.08.2008  00:00:00           5.570          11.160          11.160           0.150 
23.08.2008  00:00:00           0.030           9.870           9.870           0.130 
24.08.2008  00:00:00           0.210           9.180           9.180           0.110 
25.08.2008  00:00:00           0.000           9.490           9.490           0.100 
26.08.2008  00:00:00           2.910           9.670           9.670           0.090 
27.08.2008  00:00:00           2.070           8.950           8.950           0.100 
28.08.2008  00:00:00           1.660           8.760           8.760           0.090 
29.08.2008  00:00:00           0.000           7.680           7.680           0.080 
30.08.2008  00:00:00           0.000           9.930           9.930           0.070 
31.08.2008  00:00:00           0.000          12.420          12.420           0.060 
01.09.2008  00:00:00           0.000           9.940           9.940           0.060 
02.09.2008  00:00:00           2.980           9.690           9.690           0.070 
03.09.2008  00:00:00          13.670          10.240          10.240           0.150 
04.09.2008  00:00:00           0.250           6.450           6.450           0.230 
05.09.2008  00:00:00           4.060           6.390           6.390           0.210 
06.09.2008  00:00:00           0.000           6.500           6.500           0.170 
07.09.2008  00:00:00           0.590           5.690           5.690           0.140 
08.09.2008  00:00:00           4.060           8.120           8.120           0.130 
09.09.2008  00:00:00           4.310           7.680           7.680           0.160 
10.09.2008  00:00:00           2.400           6.130           6.130           0.180 
11.09.2008  00:00:00           5.450           5.410           5.410           0.220 
12.09.2008  00:00:00           3.400           6.010           6.010           0.350 
13.09.2008  00:00:00           0.000           4.550           4.550           0.300 
14.09.2008  00:00:00           0.380           3.580           3.580           0.220 
15.09.2008  00:00:00           0.000           3.540           3.540           0.180 
16.09.2008  00:00:00           2.170           3.580           3.580           0.150 
17.09.2008  00:00:00           0.410           3.500           3.500           0.150 
18.09.2008  00:00:00           0.000           2.850           2.850           0.140 
19.09.2008  00:00:00           0.290           5.080           5.080           0.120 
20.09.2008  00:00:00           0.760           4.960           4.960           0.110 
21.09.2008  00:00:00           0.000           5.110           5.110           0.110 
22.09.2008  00:00:00           0.000           5.340           5.340           0.100 
23.09.2008  00:00:00           0.000           5.890           5.890           0.090 
24.09.2008  00:00:00           0.200           5.450           5.450           0.080 
25.09.2008  00:00:00           0.000           7.120           7.120           0.080 
26.09.2008  00:00:00           0.000          10.190          10.190           0.070 
27.09.2008  00:00:00           0.130           9.080           9.080           0.060 
28.09.2008  00:00:00           1.060           6.660           6.660           0.060 
29.09.2008  00:00:00           0.010           2.860           2.860           0.060 
30.09.2008  00:00:00           0.000           2.520           2.520           0.060 
01.10.2008  00:00:00           9.410           1.750           1.750           0.060 
02.10.2008  00:00:00           1.220           2.380           2.380           0.070 
03.10.2008  00:00:00           5.450           3.900           3.900           0.120 
04.10.2008  00:00:00           0.450           2.110           2.110           0.180 
05.10.2008  00:00:00          14.300           0.880           0.880           0.200 
06.10.2008  00:00:00           0.000           0.920           0.920           0.190 
07.10.2008  00:00:00           0.000           1.650           1.650           0.180 
08.10.2008  00:00:00           0.040           2.690           2.690           0.180 
09.10.2008  00:00:00           3.310           5.740           5.740           0.220 
10.10.2008  00:00:00           0.300           4.960           4.960           0.200 
11.10.2008  00:00:00           3.140           6.100           6.100           0.240 
12.10.2008  00:00:00           0.010           6.460           6.460           0.210 
13.10.2008  00:00:00           0.000           4.940           4.940           0.170 
14.10.2008  00:00:00           0.000           5.130           5.130           0.150 
15.10.2008  00:00:00           0.000           2.630           2.630           0.130 
16.10.2008  00:00:00           0.860           0.380           0.380           0.120 
17.10.2008  00:00:00           0.000          -0.830          -0.830           0.110 
18.10.2008  00:00:00           0.000           1.190           1.190           0.100 
19.10.2008  00:00:00           0.000           1.590           1.590           0.090 
20.10.2008  00:00:00           0.540           3.260           3.260           0.090 
21.10.2008  00:00:00           3.230           5.370           5.370           0.090 
22.10.2008  00:00:00           0.000           1.930           1.930           0.090 
23.10.2008  00:00:00           0.000          -0.140          -0.140           0.090 
24.10.2008  00:00:00           2.300           4.940           4.940           0.090 
25.10.2008  00:00:00           5.990           3.330           3.330           0.090 
26.10.2008  00:00:00           6.380           2.900           2.900           0.100 
27.10.2008  00:00:00           0.000           0.890           0.890           0.100 
28.10.2008  00:00:00           0.010          -1.960          -1.960           0.090 
29.10.2008  00:00:00           0.180          -6.440          -6.440           0.080 
30.10.2008  00:00:00           8.220          -5.450          -5.450           0.080 
31.10.2008  00:00:00           1.340          -2.770          -2.770           0.080 
01.11.2008  00:00:00           0.100          -9.410          -9.410           0.070 
02.11.2008  00:00:00           0.380          -5.940          -5.940           0.070 
03.11.2008  00:00:00           0.300           1.490           1.490           0.060 
04.11.2008  00:00:00           0.070           2.490           2.490           0.060 
05.11.2008  00:00:00           0.000          -0.440          -0.440           0.060 
06.11.2008  00:00:00           0.310          -4.440          -4.440           0.060 
07.11.2008  00:00:00           0.040          -1.240          -1.240           0.060 
08.11.2008  00:00:00          10.060          -2.920          -2.920           0.060 
09.11.2008  00:00:00           4.080          -0.130          -0.130           0.070 
10.11.2008  00:00:00          17.890          -0.160          -0.160           0.210 
11.11.2008  00:00:00           4.760          -1.650          -1.650           0.250 
12.11.2008  00:00:00           0.040          -5.370          -5.370           0.190 
13.11.2008  00:00:00           0.360          -9.140          -9.140           0.140 
14.11.2008  00:00:00           4.660          -5.700          -5.700           0.130 
15.11.2008  00:00:00           1.060           1.120           1.120           0.130 
16.11.2008  00:00:00           2.090           1.580           1.580           0.130 
17.11.2008  00:00:00           0.300          -2.110          -2.110           0.130 
18.11.2008  00:00:00           0.410          -1.350          -1.350           0.120 
19.11.2008  00:00:00           0.640          -2.350          -2.350           0.110 
20.11.2008  00:00:00           0.100           0.150           0.150           0.100 
21.11.2008  00:00:00           0.920          -5.650          -5.650           0.080 
22.11.2008  00:00:00           0.000          -6.610          -6.610           0.080 
23.11.2008  00:00:00           0.510          -4.280          -4.280           0.070 
24.11.2008  00:00:00           0.000          -7.790          -7.790           0.060 
25.11.2008  00:00:00           0.000          -3.850          -3.850           0.060 
26.11.2008  00:00:00           0.000          -1.910          -1.910           0.060 
27.11.2008  00:00:00           0.000           3.570           3.570           0.060 
28.11.2008  00:00:00           3.680           0.720           0.720           0.060 
29.11.2008  00:00:00           2.070          -6.710          -6.710           0.060 
30.11.2008  00:00:00          19.010          -4.010          -4.010           0.060 
01.12.2008  00:00:00           2.860         -12.560         -12.560           0.060 
02.12.2008  00:00:00           1.410         -10.570         -10.570           0.060 
03.12.2008  00:00:00           4.760          -4.730          -4.730           0.060 
04.12.2008  00:00:00           3.700          -6.150          -6.150           0.060 
05.12.2008  00:00:00           2.220         -11.240         -11.240           0.060 
06.12.2008  00:00:00           4.820          -6.620          -6.620           0.060 
07.12.2008  00:00:00           0.000         -11.680         -11.680           0.060 
08.12.2008  00:00:00           0.000         -12.180         -12.180           0.060 
09.12.2008  00:00:00           0.000          -7.060          -7.060           0.050 
10.12.2008  00:00:00           0.000         -14.340         -14.340           0.050 
11.12.2008  00:00:00           0.000         -12.860         -12.860           0.050 
12.12.2008  00:00:00           0.950          -8.690          -8.690           0.050 
13.12.2008  00:00:00           0.000         -10.560         -10.560           0.050 
14.12.2008  00:00:00           2.520          -7.780          -7.780           0.050 
15.12.2008  00:00:00           1.510          -4.940          -4.940           0.040 
16.12.2008  00:00:00           0.040          -3.810          -3.810           0.040 
17.12.2008  00:00:00           2.790          -1.460          -1.460           0.040 
18.12.2008  00:00:00           1.770          -2.630          -2.630           0.040 
19.12.2008  00:00:00           4.420          -1.330          -1.330           0.050 
20.12.2008  00:00:00           2.740          -8.000          -8.000           0.050 
21.12.2008  00:00:00           3.370          -2.720          -2.720           0.050 
22.12.2008  00:00:00           0.090          -1.700          -1.700           0.040 
23.12.2008  00:00:00           0.380          -3.540          -3.540           0.040 
24.12.2008  00:00:00           0.000          -3.670          -3.670           0.040 
25.12.2008  00:00:00           0.000          -7.300          -7.300           0.040 
26.12.2008  00:00:00           0.000          -7.700          -7.700           0.040 
27.12.2008  00:00:00           0.000          -8.720          -8.720           0.040 
28.12.2008  00:00:00           0.000         -12.770         -12.770           0.040 
29.12.2008  00:00:00           0.000         -12.960         -12.960           0.040 
30.12.2008  00:00:00           0.000         -18.410         -18.410           0.040 
31.12.2008  00:00:00           0.000         -11.550         -11.550           0.030 
01.01.2009  00:00:00           0.120          -6.880          -6.880           0.030 
02.01.2009  00:00:00           0.000         -12.830         -12.830           0.030 
03.01.2009  00:00:00           0.000          -9.030          -9.030           0.030 
04.01.2009  00:00:00           0.040          -8.900          -8.900           0.030 
05.01.2009  00:00:00           0.000         -18.510         -18.510           0.030 
06.01.2009  00:00:00           0.000          -8.560          -8.560           0.030 
07.01.2009  00:00:00           0.000          -4.560          -4.560           0.020 
08.01.2009  00:00:00           0.000          -9.790          -9.790           0.020 
09.01.2009  00:00:00           0.000           1.470           1.470           0.020 
10.01.2009  00:00:00           0.100           1.170           1.170           0.020 
11.01.2009  00:00:00           0.000          -2.050          -2.050           0.020 
12.01.2009  00:00:00           0.000           2.190           2.190           0.020 
13.01.2009  00:00:00           4.220           1.220           1.220           0.020 
14.01.2009  00:00:00           0.000          -1.940          -1.940           0.020 
15.01.2009  00:00:00           0.000          -6.900          -6.900           0.020 
16.01.2009  00:00:00           0.000         -12.000         -12.000           0.020 
17.01.2009  00:00:00           3.830         -10.510         -10.510           0.020 
18.01.2009  00:00:00           2.520          -8.780          -8.780           0.025 
19.01.2009  00:00:00          12.920          -7.210          -7.210           0.030 
20.01.2009  00:00:00           3.180          -5.280          -5.280           0.030 
21.01.2009  00:00:00           7.300          -4.360          -4.360           0.030 
22.01.2009  00:00:00           1.370          -2.430          -2.430           0.030 
23.01.2009  00:00:00           2.600          -4.470          -4.470           0.030 
24.01.2009  00:00:00           9.770          -5.230          -5.230           0.030 
25.01.2009  00:00:00          23.620          -5.400          -5.400           0.040 
26.01.2009  00:00:00           3.470          -5.870          -5.870           0.040 
27.01.2009  00:00:00           0.000         -13.510         -13.510           0.040 
28.01.2009  00:00:00           0.210         -14.330         -14.330           0.040 
29.01.2009  00:00:00           1.200          -9.310          -9.310           0.040 
30.01.2009  00:00:00           0.000         -13.110         -13.110           0.030 
31.01.2009  00:00:00           0.000         -17.110         -17.110           0.030 
01.02.2009  00:00:00           0.000         -16.390         -16.390           0.030 
02.02.2009  00:00:00           0.000         -16.060         -16.060           0.030 
03.02.2009  00:00:00           0.000         -19.550         -19.550           0.030 
04.02.2009  00:00:00           0.670         -16.290         -16.290           0.030 
05.02.2009  00:00:00           7.620          -9.520          -9.520           0.030 
06.02.2009  00:00:00           0.900         -13.530         -13.530           0.030 
07.02.2009  00:00:00           6.830          -9.690          -9.690           0.030 
08.02.2009  00:00:00           4.300          -9.920          -9.920           0.030 
09.02.2009  00:00:00           0.000         -11.400         -11.400           0.030 
10.02.2009  00:00:00           0.000         -14.600         -14.600           0.030 
11.02.2009  00:00:00           0.000         -19.480         -19.480           0.030 
12.02.2009  00:00:00           0.000         -13.530         -13.530           0.030 
13.02.2009  00:00:00           0.000         -11.710         -11.710           0.020 
14.02.2009  00:00:00           0.000         -11.730         -11.730           0.020 
15.02.2009  00:00:00           2.020         -10.400         -10.400           0.020 
16.02.2009  00:00:00           6.920          -7.860          -7.860           0.020 
17.02.2009  00:00:00           2.330          -9.410          -9.410           0.020 
18.02.2009  00:00:00           1.310          -8.480          -8.480           0.020 
19.02.2009  00:00:00           0.040          -5.540          -5.540           0.020 
20.02.2009  00:00:00           0.750          -8.980          -8.980           0.020 
21.02.2009  00:00:00           0.980          -6.130          -6.130           0.020 
22.02.2009  00:00:00           7.630          -3.470          -3.470           0.020 
