date        time     P_O_Viertjern_1 T_Viertjern_119 T_Viertjern_119     Q_Viertjern 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
11.03.2003  00:00:00           0.000          -1.010          -1.010           0.140 
12.03.2003  00:00:00           0.900          -2.920          -2.920           0.170 
13.03.2003  00:00:00           0.000          -4.980          -4.980           0.140 
14.03.2003  00:00:00           0.000          -4.330          -4.330           0.140 
15.03.2003  00:00:00           0.000          -2.720          -2.720           0.140 
16.03.2003  00:00:00           0.000          -1.600          -1.600           0.140 
17.03.2003  00:00:00           0.000          -2.270          -2.270           0.140 
18.03.2003  00:00:00           0.000          -2.310          -2.310           0.130 
19.03.2003  00:00:00           0.000          -0.660          -0.660           0.130 
20.03.2003  00:00:00           0.000          -3.930          -3.930           0.120 
21.03.2003  00:00:00           0.000          -7.400          -7.400           0.120 
22.03.2003  00:00:00           0.000          -5.760          -5.760           0.140 
23.03.2003  00:00:00           0.000          -0.110          -0.110           0.110 
24.03.2003  00:00:00           0.000          -1.560          -1.560           0.130 
25.03.2003  00:00:00           0.000          -3.700          -3.700           0.130 
26.03.2003  00:00:00           0.000          -1.800          -1.800           0.130 
27.03.2003  00:00:00           0.000          -0.370          -0.370           0.120 
28.03.2003  00:00:00           0.000          -3.130          -3.130           0.110 
29.03.2003  00:00:00           0.000          -2.420          -2.420           0.110 
30.03.2003  00:00:00           0.030          -1.870          -1.870           0.110 
31.03.2003  00:00:00           0.000          -5.740          -5.740           0.100 
01.04.2003  00:00:00           0.000          -4.670          -4.670           0.140 
02.04.2003  00:00:00           3.250          -4.160          -4.160           0.150 
03.04.2003  00:00:00           0.000          -5.820          -5.820           0.140 
04.04.2003  00:00:00           0.000          -5.340          -5.340           0.130 
05.04.2003  00:00:00           0.000          -4.510          -4.510           0.110 
06.04.2003  00:00:00           0.000          -8.640          -8.640           0.110 
07.04.2003  00:00:00           0.000          -9.590          -9.590           0.120 
08.04.2003  00:00:00           0.000          -8.090          -8.090           0.110 
09.04.2003  00:00:00           0.000          -5.830          -5.830           0.110 
10.04.2003  00:00:00           0.000          -5.000          -5.000           0.100 
11.04.2003  00:00:00           3.330          -5.400          -5.400           0.110 
12.04.2003  00:00:00           3.660          -6.970          -6.970           0.130 
13.04.2003  00:00:00           1.270          -4.270          -4.270           0.130 
14.04.2003  00:00:00           0.000          -4.230          -4.230           0.120 
15.04.2003  00:00:00           0.000          -2.670          -2.670           0.110 
16.04.2003  00:00:00           0.000           0.710           0.710           0.110 
17.04.2003  00:00:00           0.000           3.690           3.690           0.110 
18.04.2003  00:00:00           0.000           4.130           4.130           0.110 
19.04.2003  00:00:00           0.000           4.330           4.330           0.120 
20.04.2003  00:00:00           0.000           1.980           1.980           0.130 
21.04.2003  00:00:00           0.000           1.800           1.800           0.140 
22.04.2003  00:00:00           0.000           1.100           1.100           0.160 
23.04.2003  00:00:00           0.000           1.560           1.560           0.170 
24.04.2003  00:00:00           0.000           0.920           0.920           0.190 
25.04.2003  00:00:00           0.000          -1.130          -1.130           0.190 
26.04.2003  00:00:00           0.000           0.090           0.090           0.200 
27.04.2003  00:00:00           5.460          -2.380          -2.380           0.220 
28.04.2003  00:00:00          10.040          -2.340          -2.340           0.210 
29.04.2003  00:00:00           2.160           0.180           0.180           0.210 
30.04.2003  00:00:00           7.590          -1.200          -1.200           0.220 
01.05.2003  00:00:00           1.240           0.600           0.600           0.230 
02.05.2003  00:00:00           0.000          -2.310          -2.310           0.240 
03.05.2003  00:00:00           0.000          -3.200          -3.200           0.290 
04.05.2003  00:00:00          10.390          -5.230          -5.230           0.270 
05.05.2003  00:00:00           2.950          -2.280          -2.280           0.270 
06.05.2003  00:00:00           3.870           1.080           1.080           0.320 
07.05.2003  00:00:00           0.000           0.250           0.250           0.360 
08.05.2003  00:00:00           0.000          -0.850          -0.850           0.380 
09.05.2003  00:00:00           1.600           0.330           0.330           0.400 
10.05.2003  00:00:00           0.000          -0.300          -0.300           0.440 
11.05.2003  00:00:00           0.000          -0.930          -0.930           0.460 
12.05.2003  00:00:00           8.100          -0.610          -0.610           0.490 
13.05.2003  00:00:00          18.090          -1.060          -1.060           0.460 
14.05.2003  00:00:00          14.030          -1.320          -1.320           0.450 
15.05.2003  00:00:00           4.260          -1.060          -1.060           0.430 
16.05.2003  00:00:00           0.000          -1.600          -1.600           0.440 
17.05.2003  00:00:00           0.000          -0.210          -0.210           0.480 
18.05.2003  00:00:00           0.380           0.940           0.940           0.580 
19.05.2003  00:00:00          12.550           0.730           0.730           1.100 
20.05.2003  00:00:00           3.800           1.790           1.790           1.870 
21.05.2003  00:00:00           9.340           1.280           1.280           2.910 
