date        time     P_O_Svarttjornb T_Svarttjornbek T_Svarttjornbek Q_Svarttjornbek 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
10.02.2007  00:00:00           0.000         -16.650         -16.650           0.100 
11.02.2007  00:00:00           0.150          -4.720          -4.720           0.060 
12.02.2007  00:00:00           0.000          -9.880          -9.880           0.040 
13.02.2007  00:00:00           0.000          -9.050          -9.050           0.020 
14.02.2007  00:00:00           0.000         -15.900         -15.900           0.020 
15.02.2007  00:00:00           0.000          -7.530          -7.530           0.010 
16.02.2007  00:00:00           0.000          -5.480          -5.480           0.020 
17.02.2007  00:00:00           0.000           2.720           2.720           0.030 
18.02.2007  00:00:00           2.770           1.300           1.300           0.030 
19.02.2007  00:00:00           6.600           1.150           1.150           0.060 
20.02.2007  00:00:00           2.400          -5.170          -5.170           0.050 
21.02.2007  00:00:00           0.000         -14.200         -14.200           0.020 
22.02.2007  00:00:00           0.000          -9.520          -9.520           0.010 
23.02.2007  00:00:00           0.000          -7.820          -7.820           0.010 
24.02.2007  00:00:00           0.000          -4.200          -4.200           0.010 
25.02.2007  00:00:00           0.000          -1.200          -1.200           0.010 
26.02.2007  00:00:00           0.000          -1.130          -1.130           0.010 
27.02.2007  00:00:00           0.000          -1.520          -1.520           0.020 
28.02.2007  00:00:00           1.230          -1.650          -1.650           0.020 
01.03.2007  00:00:00           0.000           0.050           0.050           0.020 
02.03.2007  00:00:00           1.680           1.030           1.030           0.020 
03.03.2007  00:00:00           1.350          -0.530          -0.530           0.020 
04.03.2007  00:00:00           0.000          -1.000          -1.000           0.020 
05.03.2007  00:00:00           0.000          -0.470          -0.470           0.020 
06.03.2007  00:00:00           0.000           2.950           2.950           0.020 
07.03.2007  00:00:00           0.000           4.600           4.600           0.020 
08.03.2007  00:00:00           0.000           1.250           1.250           0.020 
09.03.2007  00:00:00           0.000          -1.050          -1.050           0.020 
10.03.2007  00:00:00           0.000           2.850           2.850           0.020 
11.03.2007  00:00:00          11.620           2.180           2.180           0.160 
12.03.2007  00:00:00           9.030           4.170           4.170           0.370 
13.03.2007  00:00:00           1.370           2.500           2.500           0.300 
14.03.2007  00:00:00           1.600           3.850           3.850           0.260 
15.03.2007  00:00:00           1.650           4.470           4.470           0.490 
16.03.2007  00:00:00           0.750           4.670           4.670           0.430 
17.03.2007  00:00:00           4.950           2.850           2.850           0.250 
18.03.2007  00:00:00           2.720           0.380           0.380           0.160 
19.03.2007  00:00:00          13.420          -1.600          -1.600           0.120 
20.03.2007  00:00:00           3.300          -0.350          -0.350           0.090 
21.03.2007  00:00:00           7.680           0.900           0.900           0.080 
22.03.2007  00:00:00           0.000           0.850           0.850           0.070 
23.03.2007  00:00:00           0.000          -0.080          -0.080           0.060 
24.03.2007  00:00:00           0.000           3.750           3.750           0.100 
25.03.2007  00:00:00           0.000           5.880           5.880           0.190 
26.03.2007  00:00:00           0.000           3.400           3.400           0.160 
27.03.2007  00:00:00           0.000           1.800           1.800           0.140 
28.03.2007  00:00:00           0.000           2.480           2.480           0.130 
29.03.2007  00:00:00           0.000           3.520           3.520           0.140 
30.03.2007  00:00:00           0.900           3.720           3.720           0.140 
31.03.2007  00:00:00           0.700           0.800           0.800           0.110 
01.04.2007  00:00:00           0.000           2.650           2.650           0.100 
02.04.2007  00:00:00           0.000           5.050           5.050           0.300 
03.04.2007  00:00:00           5.100           1.870           1.870           0.290 
04.04.2007  00:00:00           3.600           1.800           1.800           0.440 
05.04.2007  00:00:00           7.150           2.500           2.500           0.440 
06.04.2007  00:00:00           9.130          -2.600          -2.600           0.220 
07.04.2007  00:00:00          11.550          -2.800          -2.800           0.140 
08.04.2007  00:00:00           9.500          -3.350          -3.350           0.110 
09.04.2007  00:00:00           0.000          -3.900          -3.900           0.080 
10.04.2007  00:00:00           3.800           1.130           1.130           0.080 
11.04.2007  00:00:00           7.950           2.700           2.700           0.130 
12.04.2007  00:00:00           0.850           1.100           1.100           0.140 
13.04.2007  00:00:00           0.000           5.500           5.500           0.320 
14.04.2007  00:00:00           0.000           4.300           4.300           0.460 
15.04.2007  00:00:00           0.000           7.270           7.270           0.530 
16.04.2007  00:00:00           0.000           9.050           9.050           0.520 
17.04.2007  00:00:00           0.550           5.280           5.280           0.370 
18.04.2007  00:00:00           1.850           2.730           2.730           0.260 
19.04.2007  00:00:00           2.200           1.630           1.630           0.160 
20.04.2007  00:00:00           7.600           1.800           1.800           0.130 
21.04.2007  00:00:00           3.270          -1.780          -1.780           0.100 
22.04.2007  00:00:00           0.000           0.950           0.950           0.160 
23.04.2007  00:00:00           4.850           5.750           5.750           0.440 
24.04.2007  00:00:00           0.000           6.700           6.700           0.630 
25.04.2007  00:00:00           2.320          10.500          10.500           0.730 
26.04.2007  00:00:00           1.700          10.670          10.670           0.780 
27.04.2007  00:00:00           0.000           6.950           6.950           0.500 
28.04.2007  00:00:00           1.320           4.830           4.830           0.400 
29.04.2007  00:00:00           0.000           4.400           4.400           0.280 
30.04.2007  00:00:00           0.580           4.800           4.800           0.290 
01.05.2007  00:00:00           0.000           5.950           5.950           0.260 
02.05.2007  00:00:00           0.000           5.250           5.250           0.240 
03.05.2007  00:00:00           0.000           5.480           5.480           0.180 
04.05.2007  00:00:00           0.000           5.670           5.670           0.180 
05.05.2007  00:00:00           0.870           4.920           4.920           0.170 
06.05.2007  00:00:00           0.000           3.650           3.650           0.150 
07.05.2007  00:00:00           0.000           8.730           8.730           0.160 
08.05.2007  00:00:00           2.100           8.820           8.820           0.140 
09.05.2007  00:00:00           2.070           3.380           3.380           0.130 
10.05.2007  00:00:00           2.200           1.450           1.450           0.110 
11.05.2007  00:00:00           0.230           3.350           3.350           0.090 
12.05.2007  00:00:00           0.100           3.450           3.450           0.080 
