date        time     P_O_Risvollan_1 T_Risvollan_114 T_Risvollan_114     Q_Risvollan 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
31.08.2001  00:00:00           0.000          12.430          12.430           0.000 
01.09.2001  00:00:00           0.000          12.530          12.530           0.000 
02.09.2001  00:00:00           4.500          11.240          11.240           0.000 
03.09.2001  00:00:00           0.000           9.620           9.620           0.000 
04.09.2001  00:00:00           0.000          11.660          11.660           0.000 
05.09.2001  00:00:00           0.000          10.540          10.540           0.000 
06.09.2001  00:00:00           1.230          11.040          11.040           0.000 
07.09.2001  00:00:00           2.370           9.240           9.240           0.000 
08.09.2001  00:00:00           2.600           8.680           8.680           0.000 
09.09.2001  00:00:00           0.100           8.930           8.930           0.010 
10.09.2001  00:00:00          13.230          10.880          10.880           0.030 
11.09.2001  00:00:00           1.630           9.240           9.240           0.000 
12.09.2001  00:00:00           0.000           8.640           8.640           0.000 
13.09.2001  00:00:00           0.000           9.290           9.290           0.000 
14.09.2001  00:00:00          18.130          10.520          10.520           0.010 
15.09.2001  00:00:00          11.870          10.780          10.780           0.000 
16.09.2001  00:00:00           0.000          10.260          10.260           0.000 
17.09.2001  00:00:00           0.000          10.790          10.790           0.000 
18.09.2001  00:00:00           0.000          12.250          12.250           0.000 
19.09.2001  00:00:00           0.000          14.120          14.120           0.000 
20.09.2001  00:00:00           0.000          11.960          11.960           0.000 
21.09.2001  00:00:00           0.000           8.840           8.840           0.000 
22.09.2001  00:00:00           0.000           9.500           9.500           0.000 
23.09.2001  00:00:00           0.000          10.710          10.710           0.000 
24.09.2001  00:00:00           0.000          10.260          10.260           0.000 
25.09.2001  00:00:00           0.000           5.800           5.800           0.000 
26.09.2001  00:00:00           0.000           5.290           5.290           0.000 
27.09.2001  00:00:00           1.530           4.910           4.910           0.000 
28.09.2001  00:00:00          11.300           5.200           5.200           0.010 
29.09.2001  00:00:00           8.670           5.060           5.060           0.000 
30.09.2001  00:00:00           0.000           4.550           4.550           0.000 
01.10.2001  00:00:00           0.000           4.610           4.610           0.000 
02.10.2001  00:00:00           7.270           7.730           7.730           0.000 
03.10.2001  00:00:00           0.370           9.480           9.480           0.000 
04.10.2001  00:00:00           3.500           9.940           9.940           0.010 
05.10.2001  00:00:00           4.730           7.280           7.280           0.000 
06.10.2001  00:00:00           3.970           7.110           7.110           0.000 
07.10.2001  00:00:00           0.000           9.440           9.440           0.000 
08.10.2001  00:00:00           0.570           9.830           9.830           0.000 
09.10.2001  00:00:00           2.100           9.470           9.470           0.000 
10.10.2001  00:00:00           0.000           9.040           9.040           0.000 
11.10.2001  00:00:00           6.200           7.420           7.420           0.000 
12.10.2001  00:00:00           0.370           6.760           6.760           0.000 
13.10.2001  00:00:00           0.630           9.070           9.070           0.000 
14.10.2001  00:00:00           0.000           6.710           6.710           0.000 
15.10.2001  00:00:00           0.630           5.740           5.740           0.000 
16.10.2001  00:00:00           0.230           7.700           7.700           0.000 
17.10.2001  00:00:00           1.570           7.250           7.250           0.000 
18.10.2001  00:00:00           0.000           5.730           5.730           0.000 
19.10.2001  00:00:00           0.200           5.340           5.340           0.000 
20.10.2001  00:00:00           0.300           3.750           3.750           0.000 
21.10.2001  00:00:00           0.000           4.260           4.260           0.000 
22.10.2001  00:00:00           0.170           4.660           4.660           0.000 
23.10.2001  00:00:00           0.000           2.840           2.840           0.000 
24.10.2001  00:00:00           0.000           1.720           1.720           0.000 
25.10.2001  00:00:00           0.000           1.600           1.600           0.000 
26.10.2001  00:00:00           0.130           5.280           5.280           0.000 
27.10.2001  00:00:00           0.800           9.470           9.470           0.000 
28.10.2001  00:00:00           3.870           7.270           7.270           0.010 
29.10.2001  00:00:00          12.700           5.770           5.770           0.000 
30.10.2001  00:00:00           8.930           6.450           6.450           0.010 
31.10.2001  00:00:00           1.300           6.260           6.260           0.010 
01.11.2001  00:00:00           9.970           4.410           4.410           0.010 
02.11.2001  00:00:00           7.270           3.580           3.580           0.030 
03.11.2001  00:00:00          10.770           6.100           6.100           0.030 
04.11.2001  00:00:00          23.000           6.340           6.340           0.020 
05.11.2001  00:00:00           9.100           3.410           3.410           0.010 
06.11.2001  00:00:00           3.670          -0.720          -0.720           0.010 
07.11.2001  00:00:00           5.030          -3.640          -3.640           0.000 
08.11.2001  00:00:00           1.870          -2.490          -2.490           0.000 
09.11.2001  00:00:00           8.300          -2.420          -2.420           0.000 
10.11.2001  00:00:00          14.370          -0.590          -0.590           0.050 
11.11.2001  00:00:00          12.170           5.700           5.700           0.030 
12.11.2001  00:00:00          14.430           3.760           3.760           0.010 
13.11.2001  00:00:00           8.630           0.080           0.080           0.010 
14.11.2001  00:00:00          12.300          -1.950          -1.950           0.000 
15.11.2001  00:00:00          16.300          -0.300          -0.300           0.070 
16.11.2001  00:00:00          12.230           3.980           3.980           0.010 
