date        time     P_O_Borstad_96m T_Borstad_96moh T_Borstad_96moh       Q_Borstad 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
15.05.2011  00:00:00           3.790           7.430           7.430           0.440 
16.05.2011  00:00:00           0.340           8.600           8.600           0.630 
17.05.2011  00:00:00          10.820           6.980           6.980           0.820 
18.05.2011  00:00:00           0.970           7.280           7.280           0.600 
19.05.2011  00:00:00           4.360          10.740          10.740           0.540 
20.05.2011  00:00:00           2.510          10.060          10.060           0.510 
21.05.2011  00:00:00           3.220          11.070          11.070           0.480 
22.05.2011  00:00:00           0.000          10.460          10.460           0.410 
23.05.2011  00:00:00           0.010          13.730          13.730           0.340 
24.05.2011  00:00:00           0.000          13.370          13.370           0.300 
25.05.2011  00:00:00           2.830           9.210           9.210           0.310 
26.05.2011  00:00:00           5.230           6.990           6.990           0.340 
27.05.2011  00:00:00           1.810           8.900           8.900           0.390 
28.05.2011  00:00:00           5.080           7.460           7.460           0.690 
29.05.2011  00:00:00           9.260           9.450           9.450           0.970 
30.05.2011  00:00:00           2.970           7.960           7.960           0.920 
31.05.2011  00:00:00           2.270          10.010          10.010           1.090 
01.06.2011  00:00:00           9.840           8.080           8.080           1.420 
02.06.2011  00:00:00           2.610          11.920          11.920           0.880 
03.06.2011  00:00:00           8.340          10.670          10.670           1.370 
04.06.2011  00:00:00           5.090          12.390          12.390           1.660 
05.06.2011  00:00:00           0.660           6.800           6.800           1.160 
06.06.2011  00:00:00           0.000          12.290          12.290           0.800 
07.06.2011  00:00:00           0.910          17.620          17.620           0.640 
08.06.2011  00:00:00           0.340          15.460          15.460           0.550 
09.06.2011  00:00:00           0.540          18.810          18.810           0.460 
10.06.2011  00:00:00           0.050          19.590          19.590           0.380 
11.06.2011  00:00:00           0.320          15.670          15.670           0.340 
12.06.2011  00:00:00           1.960          18.600          18.600           0.670 
13.06.2011  00:00:00          32.260          11.850          11.850           4.050 
14.06.2011  00:00:00           5.480          10.550          10.550           2.180 
15.06.2011  00:00:00           6.480          12.350          12.350           1.880 
16.06.2011  00:00:00           5.210           9.970           9.970           1.470 
17.06.2011  00:00:00           0.000          15.450          15.450           0.990 
18.06.2011  00:00:00           0.010          15.200          15.200           0.730 
19.06.2011  00:00:00           0.000          12.970          12.970           0.560 
20.06.2011  00:00:00           0.010          14.620          14.620           0.430 
21.06.2011  00:00:00           1.870          12.410          12.410           0.400 
22.06.2011  00:00:00           6.240           9.090           9.090           0.450 
23.06.2011  00:00:00           0.120           9.630           9.630           0.400 
24.06.2011  00:00:00          13.260          10.680          10.680           1.430 
25.06.2011  00:00:00           6.160           8.900           8.900           1.300 
26.06.2011  00:00:00           2.190          10.050          10.050           0.930 
27.06.2011  00:00:00           0.000          13.520          13.520           0.670 
28.06.2011  00:00:00           0.000          17.600          17.600           0.550 
29.06.2011  00:00:00           0.080          17.080          17.080           0.480 
30.06.2011  00:00:00           0.560          18.090          18.090           0.440 
01.07.2011  00:00:00           8.620          11.560          11.560           0.610 
02.07.2011  00:00:00           3.940          10.430          10.430           0.800 
03.07.2011  00:00:00           0.260          12.080          12.080           0.730 
04.07.2011  00:00:00          15.700          16.240          16.240           2.650 
05.07.2011  00:00:00           0.030          14.730          14.730           1.380 
06.07.2011  00:00:00           0.000          16.090          16.090           0.920 
07.07.2011  00:00:00           0.010          18.170          18.170           0.670 
08.07.2011  00:00:00           0.000          19.450          19.450           0.530 
09.07.2011  00:00:00           9.740          15.880          15.880           0.570 
10.07.2011  00:00:00           0.030          17.520          17.520           0.440 
11.07.2011  00:00:00           3.130          15.320          15.320           0.370 
12.07.2011  00:00:00           9.690          13.740          13.740           0.350 
13.07.2011  00:00:00           2.540           9.740           9.740           0.330 
14.07.2011  00:00:00           0.080          10.620          10.620           0.310 
15.07.2011  00:00:00           0.060          12.900          12.900           0.280 
16.07.2011  00:00:00           0.000          15.360          15.360           0.250 
17.07.2011  00:00:00           1.510          16.040          16.040           0.230 
18.07.2011  00:00:00           1.570          18.950          18.950           0.210 
19.07.2011  00:00:00           0.000          16.870          16.870           0.200 
20.07.2011  00:00:00          15.410          17.530          17.530           0.210 
21.07.2011  00:00:00           3.460          15.500          15.500           0.230 
22.07.2011  00:00:00           0.000          12.770          12.770           0.230 
23.07.2011  00:00:00          14.160          11.020          11.020           0.650 
24.07.2011  00:00:00           2.090          13.390          13.390           0.750 
25.07.2011  00:00:00           0.010          18.830          18.830           0.510 
26.07.2011  00:00:00           4.070          14.930          14.930           0.440 
27.07.2011  00:00:00           0.890          13.440          13.440           0.420 
28.07.2011  00:00:00           0.000          15.240          15.240           0.330 
29.07.2011  00:00:00           0.030          15.560          15.560           0.720 
30.07.2011  00:00:00           5.150          12.410          12.410           0.680 
31.07.2011  00:00:00           0.030          14.370          14.370           0.470 
01.08.2011  00:00:00           0.000          16.320          16.320           0.340 
02.08.2011  00:00:00           0.000          14.790          14.790           0.290 
03.08.2011  00:00:00           0.000          17.760          17.760           0.260 
04.08.2011  00:00:00           0.030          18.800          18.800           0.230 
05.08.2011  00:00:00           1.710          17.800          17.800           0.220 
06.08.2011  00:00:00           0.040          17.970          17.970           0.210 
07.08.2011  00:00:00           0.030          14.970          14.970           0.200 
08.08.2011  00:00:00          13.900          16.340          16.340           0.980 
09.08.2011  00:00:00          15.200          12.740          12.740           1.700 
10.08.2011  00:00:00          14.360          10.690          10.690           1.950 
11.08.2011  00:00:00           3.450           9.910           9.910           1.040 
12.08.2011  00:00:00           0.300           9.190           9.190           0.700 
13.08.2011  00:00:00           0.200          11.170          11.170           0.530 
14.08.2011  00:00:00           0.000          16.650          16.650           0.390 
15.08.2011  00:00:00           0.000          18.440          18.440           0.630 
16.08.2011  00:00:00          67.960          15.270          15.270          21.040 
17.08.2011  00:00:00          11.270          11.120          11.120           8.350 
18.08.2011  00:00:00          12.010           9.600           9.600           4.470 
19.08.2011  00:00:00           3.430          10.230          10.230           2.310 
20.08.2011  00:00:00           0.000          13.120          13.120           1.540 
21.08.2011  00:00:00           7.670          11.900          11.900           1.230 
22.08.2011  00:00:00           1.060          14.240          14.240           0.950 
23.08.2011  00:00:00           0.080          11.370          11.370           0.740 
24.08.2011  00:00:00           0.000          12.540          12.540           0.600 
25.08.2011  00:00:00           0.000          17.680          17.680           0.490 
26.08.2011  00:00:00           0.000          18.170          18.170           0.410 
27.08.2011  00:00:00           6.300          17.700          17.700           0.480 
28.08.2011  00:00:00           5.960          19.820          19.820           1.130 
29.08.2011  00:00:00          15.100          12.460          12.460           1.380 
30.08.2011  00:00:00           6.090          13.410          13.410           0.950 
31.08.2011  00:00:00           4.980          12.070          12.070           0.770 
01.09.2011  00:00:00           4.090          11.460          11.460           0.860 
02.09.2011  00:00:00           1.510          11.060          11.060           0.650 
03.09.2011  00:00:00           0.110          14.460          14.460           0.530 
04.09.2011  00:00:00           0.930          14.550          14.550           0.450 
05.09.2011  00:00:00           1.450          16.600          16.600           0.430 
06.09.2011  00:00:00           0.620          16.600          16.600           0.400 
07.09.2011  00:00:00           4.110          14.570          14.570           0.380 
08.09.2011  00:00:00          14.940          12.200          12.200           0.670 
09.09.2011  00:00:00           0.840          10.410          10.410           0.470 
10.09.2011  00:00:00           3.550           9.310           9.310           0.390 
11.09.2011  00:00:00           0.000          11.060          11.060           0.520 
12.09.2011  00:00:00          26.500          14.380          14.380           4.200 
13.09.2011  00:00:00           2.060          13.950          13.950           1.630 
14.09.2011  00:00:00          30.590          11.750          11.750          22.800 
15.09.2011  00:00:00          20.950           9.590           9.590           6.010 
16.09.2011  00:00:00           0.610           8.180           8.180           2.890 
17.09.2011  00:00:00           2.160           7.040           7.040           1.880 
18.09.2011  00:00:00           3.230           8.730           8.730           1.330 
19.09.2011  00:00:00           0.730          11.020          11.020           1.020 
20.09.2011  00:00:00           0.180          10.330          10.330           0.900 
21.09.2011  00:00:00           0.280           9.760           9.760           0.850 
22.09.2011  00:00:00           0.000          10.940          10.940           0.710 
23.09.2011  00:00:00           0.750           9.360           9.360           0.790 
24.09.2011  00:00:00           8.310           8.800           8.800           1.750 
25.09.2011  00:00:00           0.860           9.770           9.770           1.120 
26.09.2011  00:00:00           0.000          11.470          11.470           2.020 
27.09.2011  00:00:00          25.390          10.200          10.200           5.570 
28.09.2011  00:00:00           6.860           8.670           8.670           3.210 
29.09.2011  00:00:00          10.260          11.600          11.600           3.850 
30.09.2011  00:00:00          23.060          15.120          15.120           2.180 
01.10.2011  00:00:00           1.280          13.040          13.040           1.650 
02.10.2011  00:00:00           8.960          13.560          13.560           2.200 
03.10.2011  00:00:00           0.900           7.490           7.490           1.650 
04.10.2011  00:00:00           6.560           9.740           9.740           1.710 
05.10.2011  00:00:00           7.090           8.570           8.570           2.300 
06.10.2011  00:00:00           4.470           8.630           8.630           2.630 
07.10.2011  00:00:00           5.160           5.170           5.170           2.590 
08.10.2011  00:00:00          19.040           5.920           5.920           8.390 
09.10.2011  00:00:00           1.940           2.600           2.600           4.090 
10.10.2011  00:00:00          10.520           4.240           4.240           4.060 
11.10.2011  00:00:00           3.800           4.940           4.940           2.860 
12.10.2011  00:00:00          10.000           4.550           4.550           5.170 
13.10.2011  00:00:00           4.680           4.090           4.090           3.070 
14.10.2011  00:00:00           0.360           1.900           1.900           1.990 
15.10.2011  00:00:00           0.010           2.120           2.120           1.490 
16.10.2011  00:00:00           1.990           5.000           5.000           1.220 
17.10.2011  00:00:00           0.010           6.240           6.240           1.020 
18.10.2011  00:00:00           0.030           8.420           8.420           0.860 
19.10.2011  00:00:00           0.970           5.930           5.930           1.920 
20.10.2011  00:00:00          18.290           4.380           4.380           6.050 
21.10.2011  00:00:00          13.650           2.460           2.460           4.020 
22.10.2011  00:00:00           3.710           4.670           4.670           3.260 
23.10.2011  00:00:00           0.050           7.990           7.990           2.170 
24.10.2011  00:00:00           0.010           7.570           7.570           1.530 
25.10.2011  00:00:00           0.000           7.110           7.110           1.200 
26.10.2011  00:00:00           0.010           8.200           8.200           0.990 
27.10.2011  00:00:00           1.680           7.230           7.230           0.850 
28.10.2011  00:00:00           0.010           9.180           9.180           0.750 
29.10.2011  00:00:00           0.880           6.660           6.660           0.700 
30.10.2011  00:00:00           2.110           5.980           5.980           0.950 
31.10.2011  00:00:00           6.120           7.480           7.480           1.370 
01.11.2011  00:00:00           2.740           6.910           6.910           1.180 
02.11.2011  00:00:00           0.810           9.700           9.700           0.940 
03.11.2011  00:00:00           0.100           4.060           4.060           0.810 
04.11.2011  00:00:00           0.500           6.890           6.890           0.720 
05.11.2011  00:00:00           0.000           9.040           9.040           0.650 
06.11.2011  00:00:00           2.010           9.700           9.700           0.720 
07.11.2011  00:00:00           3.680           5.580           5.580           0.770 
08.11.2011  00:00:00           3.010           7.660           7.660           0.690 
09.11.2011  00:00:00           0.000           3.070           3.070           0.630 
10.11.2011  00:00:00           0.000           5.210           5.210           0.590 
11.11.2011  00:00:00           0.030           1.330           1.330           0.530 
12.11.2011  00:00:00           0.020          -0.190          -0.190           0.490 
13.11.2011  00:00:00           2.280           1.750           1.750           0.530 
14.11.2011  00:00:00           5.920           5.370           5.370           1.550 
15.11.2011  00:00:00           5.810           6.550           6.550           1.760 
16.11.2011  00:00:00           1.580           2.030           2.030           1.190 
17.11.2011  00:00:00           0.040           1.000           1.000           0.940 
18.11.2011  00:00:00           0.030          -0.020          -0.020           0.930 
19.11.2011  00:00:00           7.840           1.840           1.840           1.620 
20.11.2011  00:00:00           6.050           3.170           3.170           2.650 
21.11.2011  00:00:00           5.060           5.110           5.110           2.370 
22.11.2011  00:00:00           0.180           3.250           3.250           1.540 
23.11.2011  00:00:00           0.040           2.230           2.230           1.170 
24.11.2011  00:00:00           4.240           5.330           5.330           1.310 
25.11.2011  00:00:00           6.200           4.480           4.480           1.400 
26.11.2011  00:00:00           6.880           3.970           3.970           1.570 
27.11.2011  00:00:00           0.440           1.270           1.270           1.240 
28.11.2011  00:00:00           3.620           0.200           0.200           1.100 
29.11.2011  00:00:00           3.410           2.430           2.430           1.790 
30.11.2011  00:00:00           2.990           6.930           6.930           2.330 
01.12.2011  00:00:00           3.950           3.050           3.050           2.320 
02.12.2011  00:00:00           9.230           4.410           4.410           2.370 
03.12.2011  00:00:00           3.850          -0.390          -0.390           2.030 
04.12.2011  00:00:00           0.000           2.480           2.480           1.540 
05.12.2011  00:00:00          11.350           1.090           1.090           2.490 
06.12.2011  00:00:00           2.690           1.270           1.270           2.180 
07.12.2011  00:00:00           8.300          -1.390          -1.390           1.520 
08.12.2011  00:00:00           3.870          -1.400          -1.400           1.210 
09.12.2011  00:00:00           0.040          -3.600          -3.600           1.070 
10.12.2011  00:00:00           0.050          -1.210          -1.210           0.950 
11.12.2011  00:00:00           4.150          -1.910          -1.910           0.850 
12.12.2011  00:00:00           0.120          -3.950          -3.950           1.160 
13.12.2011  00:00:00           0.000          -0.330          -0.330           0.820 
14.12.2011  00:00:00           1.020           1.890           1.890           1.040 
15.12.2011  00:00:00           0.000           4.080           4.080           1.710 
16.12.2011  00:00:00           0.210           1.270           1.270           1.230 
17.12.2011  00:00:00           0.000          -3.040          -3.040           1.130 
18.12.2011  00:00:00           0.000          -6.160          -6.160           1.700 
19.12.2011  00:00:00           1.660          -7.700          -7.700           2.590 
20.12.2011  00:00:00           7.300          -1.550          -1.550           2.740 
21.12.2011  00:00:00           0.360          -3.150          -3.150           2.450 
22.12.2011  00:00:00           0.000          -5.060          -5.060           2.710 
23.12.2011  00:00:00           2.990           0.740           0.740           2.400 
24.12.2011  00:00:00           5.760           2.340           2.340           2.030 
25.12.2011  00:00:00           1.090           1.150           1.150           1.710 
26.12.2011  00:00:00           7.610           3.270           3.270           7.950 
27.12.2011  00:00:00          11.800           2.660           2.660           8.460 
28.12.2011  00:00:00           4.340          -0.150          -0.150           2.530 
29.12.2011  00:00:00           0.760           0.640           0.640           1.730 
30.12.2011  00:00:00           3.440          -0.980          -0.980           1.340 
31.12.2011  00:00:00           2.590          -2.550          -2.550           1.390 
01.01.2012  00:00:00           4.720          -4.100          -4.100           1.800 
02.01.2012  00:00:00           0.180           0.050           0.050           1.150 
03.01.2012  00:00:00           2.730          -1.710          -1.710           1.290 
04.01.2012  00:00:00           0.050          -0.830          -0.830           1.390 
05.01.2012  00:00:00          10.210          -0.690          -0.690           1.120 
06.01.2012  00:00:00           2.650          -4.840          -4.840           1.320 
