date        time     P_O_Engstad_55m T_Engstad_55moh T_Engstad_55moh       Q_Engstad 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
15.04.2008  00:00:00           0.120           4.280           4.280           0.230 
16.04.2008  00:00:00           0.070           2.010           2.010           0.140 
17.04.2008  00:00:00           0.000           3.090           3.090           0.130 
18.04.2008  00:00:00           0.450           4.750           4.750           0.160 
19.04.2008  00:00:00           1.420           4.360           4.360           0.170 
20.04.2008  00:00:00           0.000           3.640           3.640           0.140 
21.04.2008  00:00:00           0.180           4.400           4.400           0.130 
22.04.2008  00:00:00           0.000           3.690           3.690           0.100 
23.04.2008  00:00:00           0.000           5.860           5.860           0.080 
24.04.2008  00:00:00           0.000           6.100           6.100           0.070 
25.04.2008  00:00:00           0.000           5.320           5.320           0.060 
26.04.2008  00:00:00           0.000           7.760           7.760           0.060 
27.04.2008  00:00:00           0.480          10.270          10.270           0.070 
28.04.2008  00:00:00           0.000           9.450           9.450           0.060 
29.04.2008  00:00:00           0.000          12.300          12.300           0.050 
30.04.2008  00:00:00           0.000          13.700          13.700           0.040 
01.05.2008  00:00:00           0.000          14.840          14.840           0.030 
02.05.2008  00:00:00           0.000          12.940          12.940           0.020 
03.05.2008  00:00:00           0.490          12.410          12.410           0.020 
04.05.2008  00:00:00           4.840           7.920           7.920           0.030 
05.05.2008  00:00:00           0.000           8.110           8.110           0.020 
06.05.2008  00:00:00           2.140          10.850          10.850           0.020 
07.05.2008  00:00:00           0.090           9.640           9.640           0.020 
08.05.2008  00:00:00           0.350           9.870           9.870           0.010 
09.05.2008  00:00:00           0.000          12.340          12.340           0.010 
10.05.2008  00:00:00           0.000          11.660          11.660           0.010 
11.05.2008  00:00:00           0.610          12.540          12.540           0.010 
12.05.2008  00:00:00           0.650           6.250           6.250           0.010 
13.05.2008  00:00:00           0.000           4.710           4.710           0.010 
14.05.2008  00:00:00           4.790           4.180           4.180           0.010 
15.05.2008  00:00:00           0.690           4.880           4.880           0.010 
16.05.2008  00:00:00           0.650           5.270           5.270           0.010 
17.05.2008  00:00:00           0.000           5.580           5.580           0.010 
18.05.2008  00:00:00           0.000           4.800           4.800           0.000 
19.05.2008  00:00:00           6.400           5.330           5.330           0.010 
20.05.2008  00:00:00           4.440           4.620           4.620           0.020 
21.05.2008  00:00:00           4.490           5.710           5.710           0.050 
22.05.2008  00:00:00           1.380           7.860           7.860           0.020 
23.05.2008  00:00:00           2.440           8.190           8.190           0.020 
24.05.2008  00:00:00           0.000           9.820           9.820           0.010 
25.05.2008  00:00:00           0.000          11.440          11.440           0.010 
26.05.2008  00:00:00           1.060           9.900           9.900           0.010 
27.05.2008  00:00:00           1.090           7.610           7.610           0.010 
28.05.2008  00:00:00           0.000           8.150           8.150           0.010 
29.05.2008  00:00:00           0.000          11.260          11.260           0.000 
30.05.2008  00:00:00           0.000          15.680          15.680           0.000 
31.05.2008  00:00:00           0.000          16.200          16.200           0.000 
01.06.2008  00:00:00           0.160          17.930          17.930           0.000 
02.06.2008  00:00:00           1.400          11.580          11.580           0.000 
03.06.2008  00:00:00           0.000          16.490          16.490           0.000 
04.06.2008  00:00:00           0.000          20.980          20.980           0.000 
05.06.2008  00:00:00           0.000          21.270          21.270           0.000 
06.06.2008  00:00:00           0.000          19.170          19.170           0.000 
07.06.2008  00:00:00           0.000          18.820          18.820           0.000 
08.06.2008  00:00:00           0.000          19.820          19.820           0.000 
09.06.2008  00:00:00          12.970          13.110          13.110           0.030 
10.06.2008  00:00:00          16.540          10.270          10.270           0.120 
11.06.2008  00:00:00           5.660           7.660           7.660           0.110 
12.06.2008  00:00:00           3.610           8.730           8.730           0.040 
13.06.2008  00:00:00           6.620           7.400           7.400           0.060 
14.06.2008  00:00:00           2.520          10.080          10.080           0.040 
15.06.2008  00:00:00           0.000          13.790          13.790           0.020 
16.06.2008  00:00:00           6.060          12.490          12.490           0.080 
17.06.2008  00:00:00           5.510          11.920          11.920           0.040 
18.06.2008  00:00:00           5.800          12.890          12.890           0.050 
19.06.2008  00:00:00           1.850          11.690          11.690           0.050 
20.06.2008  00:00:00           2.500          15.910          15.910           0.030 
21.06.2008  00:00:00           1.170          15.520          15.520           0.010 
22.06.2008  00:00:00           4.690          11.790          11.790           0.010 
23.06.2008  00:00:00           3.500          13.390          13.390           0.010 
24.06.2008  00:00:00           5.420          11.060          11.060           0.000 
25.06.2008  00:00:00           5.480           8.690           8.690           0.000 
26.06.2008  00:00:00           1.020           8.700           8.700           0.000 
27.06.2008  00:00:00           0.090          10.040          10.040           0.000 
28.06.2008  00:00:00           0.000          13.950          13.950           0.000 
29.06.2008  00:00:00           0.060          13.180          13.180           0.000 
30.06.2008  00:00:00           2.080          15.290          15.290           0.070 
01.07.2008  00:00:00          10.580          12.740          12.740           0.040 
02.07.2008  00:00:00           0.660          13.120          13.120           0.010 
03.07.2008  00:00:00           0.000          18.880          18.880           0.000 
04.07.2008  00:00:00           0.000          22.910          22.910           0.000 
05.07.2008  00:00:00           0.000          22.120          22.120           0.000 
06.07.2008  00:00:00           5.870          14.990          14.990           0.020 
07.07.2008  00:00:00           0.000          12.640          12.640           0.000 
08.07.2008  00:00:00           0.100          14.280          14.280           0.090 
09.07.2008  00:00:00           0.000          15.050          15.050           0.000 
10.07.2008  00:00:00           0.000          11.290          11.290           0.000 
11.07.2008  00:00:00           0.000          11.130          11.130           0.000 
12.07.2008  00:00:00           0.000          15.800          15.800           0.000 
13.07.2008  00:00:00           4.270          15.720          15.720           0.000 
14.07.2008  00:00:00           0.370          14.610          14.610           0.000 
15.07.2008  00:00:00          11.680          12.690          12.690           0.010 
16.07.2008  00:00:00           4.400          12.390          12.390           0.000 
17.07.2008  00:00:00           3.600          12.300          12.300           0.010 
18.07.2008  00:00:00           0.950          11.040          11.040           0.060 
19.07.2008  00:00:00          10.360           9.330           9.330           0.040 
20.07.2008  00:00:00           0.000          16.460          16.460           0.010 
21.07.2008  00:00:00           0.000          18.480          18.480           0.020 
22.07.2008  00:00:00           4.210          12.140          12.140           0.030 
23.07.2008  00:00:00           2.340          13.730          13.730           0.010 
24.07.2008  00:00:00           1.130          14.610          14.610           0.010 
25.07.2008  00:00:00           0.000          17.760          17.760           0.000 
26.07.2008  00:00:00           0.000          20.490          20.490           0.000 
27.07.2008  00:00:00           0.000          22.110          22.110           0.000 
28.07.2008  00:00:00           0.000          21.720          21.720           0.000 
29.07.2008  00:00:00           0.000          20.450          20.450           0.000 
30.07.2008  00:00:00           0.000          21.140          21.140           0.000 
31.07.2008  00:00:00           0.000          19.950          19.950           0.000 
01.08.2008  00:00:00           0.000          17.490          17.490           0.000 
02.08.2008  00:00:00           0.000          16.350          16.350           0.000 
03.08.2008  00:00:00           2.140          19.180          19.180           0.000 
04.08.2008  00:00:00           0.160          14.060          14.060           0.000 
05.08.2008  00:00:00           0.000          12.910          12.910           0.000 
06.08.2008  00:00:00           0.000          15.120          15.120           0.000 
07.08.2008  00:00:00           5.960          14.350          14.350           0.000 
08.08.2008  00:00:00           0.100          14.830          14.830           0.000 
09.08.2008  00:00:00           1.190          11.750          11.750           0.000 
10.08.2008  00:00:00           1.270           9.470           9.470           0.000 
11.08.2008  00:00:00           0.670          14.660          14.660           0.000 
12.08.2008  00:00:00           1.830          14.920          14.920           0.000 
13.08.2008  00:00:00           0.140          14.080          14.080           0.000 
14.08.2008  00:00:00           7.600          15.010          15.010           0.000 
15.08.2008  00:00:00           5.950          12.200          12.200           0.000 
16.08.2008  00:00:00           0.720          10.330          10.330           0.000 
17.08.2008  00:00:00           0.000          13.120          13.120           0.000 
18.08.2008  00:00:00           0.000          15.280          15.280           0.000 
19.08.2008  00:00:00           6.220          12.730          12.730           0.000 
20.08.2008  00:00:00           1.330          11.870          11.870           0.000 
21.08.2008  00:00:00           0.140          13.350          13.350           0.000 
22.08.2008  00:00:00           0.610          12.120          12.120           0.000 
23.08.2008  00:00:00           0.150          10.870          10.870           0.000 
24.08.2008  00:00:00           0.000          12.670          12.670           0.000 
25.08.2008  00:00:00           0.000          16.960          16.960           0.000 
26.08.2008  00:00:00           2.960          18.110          18.110           0.000 
27.08.2008  00:00:00           3.680          10.980          10.980           0.000 
28.08.2008  00:00:00           3.180          12.800          12.800           0.000 
29.08.2008  00:00:00           2.560          12.170          12.170           0.000 
30.08.2008  00:00:00           2.810          11.310          11.310           0.000 
31.08.2008  00:00:00           0.210           9.590           9.590           0.000 
01.09.2008  00:00:00           0.000          11.620          11.620           0.000 
02.09.2008  00:00:00           0.000          12.580          12.580           0.000 
03.09.2008  00:00:00           0.000          13.330          13.330           0.010 
04.09.2008  00:00:00          19.180          10.740          10.740           0.070 
05.09.2008  00:00:00           1.260          10.340          10.340           0.000 
06.09.2008  00:00:00           0.350           9.090           9.090           0.000 
07.09.2008  00:00:00           0.000           9.270           9.270           0.000 
08.09.2008  00:00:00           0.000           9.490           9.490           0.000 
09.09.2008  00:00:00           0.000          14.430          14.430           0.000 
10.09.2008  00:00:00           0.090          12.450          12.450           0.000 
11.09.2008  00:00:00           0.000          12.250          12.250           0.000 
12.09.2008  00:00:00           0.000          13.840          13.840           0.000 
13.09.2008  00:00:00           0.000          10.870          10.870           0.000 
14.09.2008  00:00:00           0.000          10.350          10.350           0.000 
15.09.2008  00:00:00           0.040          10.970          10.970           0.000 
16.09.2008  00:00:00           0.000           9.510           9.510           0.000 
17.09.2008  00:00:00           0.000           7.290           7.290           0.000 
18.09.2008  00:00:00           0.000           7.980           7.980           0.000 
19.09.2008  00:00:00           0.620           9.740           9.740           0.000 
20.09.2008  00:00:00           2.310           9.790           9.790           0.000 
21.09.2008  00:00:00           0.090           9.090           9.090           0.000 
22.09.2008  00:00:00           0.270          11.100          11.100           0.000 
23.09.2008  00:00:00           0.230           9.940           9.940           0.000 
24.09.2008  00:00:00           0.000          10.590          10.590           0.000 
25.09.2008  00:00:00           0.000           9.880           9.880           0.000 
26.09.2008  00:00:00           3.380          10.780          10.780           0.000 
27.09.2008  00:00:00           1.370           9.660           9.660           0.000 
28.09.2008  00:00:00           8.080           7.970           7.970           0.160 
29.09.2008  00:00:00          20.710           6.380           6.380           0.270 
30.09.2008  00:00:00           9.820           5.090           5.090           0.110 
01.10.2008  00:00:00           0.000           6.960           6.960           0.040 
02.10.2008  00:00:00           1.460           8.310           8.310           0.010 
03.10.2008  00:00:00           1.840           7.780           7.780           0.000 
04.10.2008  00:00:00           0.000           6.590           6.590           0.000 
05.10.2008  00:00:00           4.230           6.150           6.150           0.030 
06.10.2008  00:00:00          27.460           5.790           5.790           1.510 
07.10.2008  00:00:00           5.910           6.130           6.130           0.750 
08.10.2008  00:00:00           0.040           5.120           5.120           0.240 
09.10.2008  00:00:00           2.690           9.740           9.740           0.110 
10.10.2008  00:00:00           0.570           8.930           8.930           0.060 
11.10.2008  00:00:00           5.920          10.590          10.590           0.080 
12.10.2008  00:00:00           6.740          10.350          10.350           1.810 
13.10.2008  00:00:00          15.150           8.270           8.270           1.750 
14.10.2008  00:00:00           5.230           8.550           8.550           1.480 
15.10.2008  00:00:00           8.700           7.490           7.490           1.590 
16.10.2008  00:00:00           0.090           6.820           6.820           0.480 
17.10.2008  00:00:00           1.300           5.580           5.580           0.280 
18.10.2008  00:00:00           1.290           5.930           5.930           0.220 
19.10.2008  00:00:00           5.370           5.980           5.980           0.250 
20.10.2008  00:00:00           3.590           6.440           6.440           0.270 
21.10.2008  00:00:00           4.510          10.140          10.140           0.330 
22.10.2008  00:00:00           3.220           5.670           5.670           0.340 
23.10.2008  00:00:00           5.660           5.330           5.330           0.380 
24.10.2008  00:00:00           5.060           8.390           8.390           0.530 
25.10.2008  00:00:00           1.430           7.790           7.790           0.360 
26.10.2008  00:00:00           3.130           8.790           8.790           0.290 
27.10.2008  00:00:00           0.070           4.980           4.980           0.220 
28.10.2008  00:00:00           3.050           3.650           3.650           0.260 
29.10.2008  00:00:00           1.230          -0.070          -0.070           0.220 
30.10.2008  00:00:00           0.000          -2.720          -2.720           0.150 
31.10.2008  00:00:00           0.000          -3.410          -3.410           0.110 
01.11.2008  00:00:00           1.300          -0.710          -0.710           0.090 
02.11.2008  00:00:00           2.740           1.810           1.810           0.130 
03.11.2008  00:00:00          11.100           5.120           5.120           1.830 
04.11.2008  00:00:00           6.930           6.720           6.720           1.330 
05.11.2008  00:00:00           0.520           4.970           4.970           0.470 
06.11.2008  00:00:00           0.000           1.080           1.080           0.320 
07.11.2008  00:00:00           0.120           0.700           0.700           0.230 
08.11.2008  00:00:00           0.520           5.120           5.120           0.190 
09.11.2008  00:00:00           0.000           6.480           6.480           0.160 
10.11.2008  00:00:00           8.560           6.550           6.550           0.510 
11.11.2008  00:00:00           0.130           4.220           4.220           0.320 
12.11.2008  00:00:00           0.850           3.380           3.380           0.240 
13.11.2008  00:00:00           1.050           1.110           1.110           0.220 
14.11.2008  00:00:00           1.480          -0.210          -0.210           0.190 
15.11.2008  00:00:00           7.590           3.140           3.140           2.170 
16.11.2008  00:00:00          12.570           2.520           2.520           1.680 
17.11.2008  00:00:00           3.710           0.410           0.410           0.700 
18.11.2008  00:00:00           0.100           3.690           3.690           1.400 
19.11.2008  00:00:00          16.300           1.560           1.560           1.010 
20.11.2008  00:00:00           5.240          -0.060          -0.060           0.490 
21.11.2008  00:00:00          22.170          -0.950          -0.950           0.350 
22.11.2008  00:00:00           8.710          -4.870          -4.870           0.360 
23.11.2008  00:00:00          16.370           0.040           0.040           0.770 
24.11.2008  00:00:00           1.530          -7.510          -7.510           0.480 
25.11.2008  00:00:00           0.000          -6.490          -6.490           0.350 
26.11.2008  00:00:00           7.620           0.310           0.310           2.110 
27.11.2008  00:00:00          25.460           0.740           0.740           2.140 
28.11.2008  00:00:00           5.790           2.150           2.150           3.130 
29.11.2008  00:00:00           2.800          -1.190          -1.190           1.250 
30.11.2008  00:00:00           3.200          -2.400          -2.400           0.580 
01.12.2008  00:00:00           0.000          -0.170          -0.170           0.400 
02.12.2008  00:00:00           0.100          -2.120          -2.120           0.320 
03.12.2008  00:00:00           0.350          -2.790          -2.790           0.270 
04.12.2008  00:00:00           3.050          -2.800          -2.800           0.220 
05.12.2008  00:00:00           1.440          -4.130          -4.130           0.140 
06.12.2008  00:00:00           0.000          -8.320          -8.320           0.110 
07.12.2008  00:00:00           0.000          -9.790          -9.790           0.100 
08.12.2008  00:00:00           1.230          -4.220          -4.220           0.090 
09.12.2008  00:00:00           0.190          -2.200          -2.200           0.080 
10.12.2008  00:00:00           0.000          -6.200          -6.200           0.060 
11.12.2008  00:00:00           0.000         -13.310         -13.310           0.050 
12.12.2008  00:00:00           0.000          -6.610          -6.610           0.030 
13.12.2008  00:00:00           0.000          -7.070          -7.070           0.030 
14.12.2008  00:00:00           0.000          -3.000          -3.000           0.030 
15.12.2008  00:00:00           0.000           1.000           1.000           0.020 
16.12.2008  00:00:00           2.870           2.420           2.420           0.030 
17.12.2008  00:00:00           0.550           5.010           5.010           0.640 
18.12.2008  00:00:00           0.000           4.320           4.320           0.610 
19.12.2008  00:00:00           1.000           3.430           3.430           0.580 
20.12.2008  00:00:00           0.000           0.040           0.040           0.340 
21.12.2008  00:00:00           2.730           0.760           0.760           0.210 
22.12.2008  00:00:00           8.920           1.400           1.400           0.500 
23.12.2008  00:00:00           0.100           0.390           0.390           0.410 
24.12.2008  00:00:00           5.780          -0.810          -0.810           0.290 
25.12.2008  00:00:00           1.710           1.760           1.760           0.270 
26.12.2008  00:00:00           1.110           2.060           2.060           0.830 
27.12.2008  00:00:00           2.880           4.700           4.700           1.770 
28.12.2008  00:00:00           0.750           1.830           1.830           0.620 
29.12.2008  00:00:00           0.000          -4.120          -4.120           0.360 
30.12.2008  00:00:00           0.690          -1.390          -1.390           0.250 
31.12.2008  00:00:00           5.230           3.990           3.990           1.160 
01.01.2009  00:00:00           4.970          -1.380          -1.380           0.500 
02.01.2009  00:00:00           4.620          -3.220          -3.220           0.310 
03.01.2009  00:00:00          10.810          -0.580          -0.580           0.230 
04.01.2009  00:00:00           0.110          -8.810          -8.810           0.170 
05.01.2009  00:00:00           1.140          -7.720          -7.720           0.140 
06.01.2009  00:00:00          15.360           0.950           0.950           1.180 
07.01.2009  00:00:00           7.230          -2.800          -2.800           0.570 
08.01.2009  00:00:00          18.520          -3.930          -3.930           3.580 
09.01.2009  00:00:00          27.570           4.210           4.210           6.310 
10.01.2009  00:00:00           1.980           3.080           3.080           2.100 
11.01.2009  00:00:00           0.000           4.010           4.010           0.770 
12.01.2009  00:00:00           3.050           5.380           5.380           1.970 
13.01.2009  00:00:00           1.590           5.810           5.810           1.910 
14.01.2009  00:00:00           3.930           1.800           1.800           0.640 
15.01.2009  00:00:00           0.000          -7.380          -7.380           0.340 
16.01.2009  00:00:00           0.000          -8.270          -8.270           0.320 
17.01.2009  00:00:00           0.000          -1.050          -1.050           0.240 
18.01.2009  00:00:00           0.000           0.060           0.060           0.180 
19.01.2009  00:00:00           0.000          -0.370          -0.370           0.150 
20.01.2009  00:00:00           0.000           0.500           0.500           0.120 
21.01.2009  00:00:00           0.000           2.730           2.730           0.100 
22.01.2009  00:00:00           0.000           3.770           3.770           0.070 
23.01.2009  00:00:00           0.000           2.150           2.150           0.060 
24.01.2009  00:00:00           0.000           1.260           1.260           0.060 
25.01.2009  00:00:00           0.000           0.210           0.210           0.050 
26.01.2009  00:00:00           0.000          -1.290          -1.290           0.030 
27.01.2009  00:00:00           0.000          -3.860          -3.860           0.030 
28.01.2009  00:00:00           0.000          -5.900          -5.900           0.030 
29.01.2009  00:00:00           0.000          -4.070          -4.070           0.030 
30.01.2009  00:00:00           0.000          -2.950          -2.950           0.020 
31.01.2009  00:00:00           0.000          -4.590          -4.590           0.030 
01.02.2009  00:00:00           0.000          -9.100          -9.100           0.000 
02.02.2009  00:00:00           0.000          -8.580          -8.580           0.000 
03.02.2009  00:00:00           0.000          -9.220          -9.220           0.030 
04.02.2009  00:00:00           2.400          -8.700          -8.700           0.000 
05.02.2009  00:00:00           1.810          -6.250          -6.250           0.010 
06.02.2009  00:00:00           1.100          -5.660          -5.660           0.010 
07.02.2009  00:00:00           0.000          -9.520          -9.520           0.000 
08.02.2009  00:00:00           0.920         -10.480         -10.480           0.000 
09.02.2009  00:00:00           4.350         -11.370         -11.370           0.000 
10.02.2009  00:00:00           4.100          -1.740          -1.740           0.000 
11.02.2009  00:00:00           0.090          -4.670          -4.670           0.000 
