date        time     P_O_StoreGronsj T_StoreGronsjo_ T_StoreGronsjo_  Q_StoreGronsjo 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
22.05.2012  00:00:00           0.000           9.400           9.400           2.250 
23.05.2012  00:00:00           0.000          14.000          14.000           2.070 
24.05.2012  00:00:00           0.000          13.050          13.050           1.920 
25.05.2012  00:00:00           0.000          16.370          16.370           1.920 
26.05.2012  00:00:00           2.250          10.530          10.530           1.920 
27.05.2012  00:00:00           0.000          12.220          12.220           1.920 
28.05.2012  00:00:00           5.890          11.160          11.160           1.920 
29.05.2012  00:00:00           3.210           3.060           3.060           1.920 
30.05.2012  00:00:00           2.160           3.240           3.240           1.790 
31.05.2012  00:00:00           1.560           3.920           3.920           1.590 
01.06.2012  00:00:00           2.470           0.880           0.880           1.420 
02.06.2012  00:00:00           2.900           2.640           2.640           1.310 
03.06.2012  00:00:00          12.280           4.880           4.880           1.260 
04.06.2012  00:00:00           2.530           7.000           7.000           1.220 
05.06.2012  00:00:00           8.290           7.820           7.820           1.240 
06.06.2012  00:00:00           5.190           8.320           8.320           1.230 
07.06.2012  00:00:00           0.500           8.610           8.610           1.120 
08.06.2012  00:00:00           0.000           9.040           9.040           1.030 
09.06.2012  00:00:00           0.000           8.320           8.320           0.920 
10.06.2012  00:00:00           0.000          10.020          10.020           0.860 
11.06.2012  00:00:00           0.000           5.260           5.260           0.770 
12.06.2012  00:00:00           0.680           7.210           7.210           0.710 
13.06.2012  00:00:00           0.210           6.730           6.730           0.660 
14.06.2012  00:00:00           1.770           6.190           6.190           0.620 
15.06.2012  00:00:00           0.100           5.940           5.940           0.590 
16.06.2012  00:00:00           0.000          10.750          10.750           0.540 
17.06.2012  00:00:00           0.000          13.320          13.320           0.500 
18.06.2012  00:00:00           1.490          12.510          12.510           0.490 
19.06.2012  00:00:00          20.650          11.100          11.100           0.580 
20.06.2012  00:00:00           3.400           6.480           6.480           0.660 
21.06.2012  00:00:00           0.620           8.480           8.480           0.680 
22.06.2012  00:00:00           0.000          10.590          10.590           0.660 
23.06.2012  00:00:00           0.000          17.240          17.240           0.620 
24.06.2012  00:00:00           0.000          16.390          16.390           0.580 
25.06.2012  00:00:00           0.000          15.570          15.570           0.540 
26.06.2012  00:00:00           4.070          12.270          12.270           0.530 
27.06.2012  00:00:00           0.730           8.550           8.550           0.500 
28.06.2012  00:00:00           2.650           6.990           6.990           0.510 
29.06.2012  00:00:00           0.880           9.970           9.970           0.480 
30.06.2012  00:00:00           0.760          15.560          15.560           0.470 
01.07.2012  00:00:00           0.360          14.530          14.530           0.450 
02.07.2012  00:00:00          10.760          13.110          13.110           0.440 
03.07.2012  00:00:00           1.890           9.750           9.750           0.440 
04.07.2012  00:00:00           0.000          13.680          13.680           0.410 
05.07.2012  00:00:00           0.000          15.870          15.870           0.390 
06.07.2012  00:00:00           0.030          18.150          18.150           0.390 
07.07.2012  00:00:00           0.000          16.870          16.870           0.390 
08.07.2012  00:00:00           0.800          15.480          15.480           0.350 
09.07.2012  00:00:00           1.500          10.530          10.530           0.330 
10.07.2012  00:00:00          14.940          12.540          12.540           0.390 
11.07.2012  00:00:00           0.830          12.700          12.700           0.410 
12.07.2012  00:00:00           0.000          14.950          14.950           0.400 
13.07.2012  00:00:00           6.820          11.970          11.970           0.390 
14.07.2012  00:00:00           1.830          10.540          10.540           0.370 
15.07.2012  00:00:00           0.100           9.940           9.940           0.350 
16.07.2012  00:00:00           0.000           9.330           9.330           0.330 
17.07.2012  00:00:00           0.400          10.900          10.900           0.310 
18.07.2012  00:00:00           1.110           9.220           9.220           0.320 
19.07.2012  00:00:00           1.620           9.280           9.280           0.300 
20.07.2012  00:00:00           0.000           9.710           9.710           0.290 
21.07.2012  00:00:00           4.240           8.290           8.290           0.280 
22.07.2012  00:00:00          14.800           9.600           9.600           0.430 
23.07.2012  00:00:00          19.970          10.240          10.240           0.860 
24.07.2012  00:00:00           9.010          12.100          12.100           1.340 
25.07.2012  00:00:00           0.250          12.730          12.730           1.530 
26.07.2012  00:00:00           0.790          10.900          10.900           1.490 
27.07.2012  00:00:00           0.000          11.210          11.210           1.420 
28.07.2012  00:00:00           4.950          16.810          16.810           1.360 
29.07.2012  00:00:00           4.520          15.080          15.080           1.280 
30.07.2012  00:00:00           1.970          13.390          13.390           1.210 
31.07.2012  00:00:00           4.020          10.450          10.450           1.160 
01.08.2012  00:00:00           0.000          12.720          12.720           0.990 
02.08.2012  00:00:00           0.000          11.300          11.300           0.920 
03.08.2012  00:00:00           0.000          12.150          12.150           0.850 
04.08.2012  00:00:00           0.000          13.000          13.000           0.760 
05.08.2012  00:00:00           0.490          10.870          10.870           0.720 
06.08.2012  00:00:00           0.430          12.170          12.170           0.650 
