date        time     P_O_Sorra_54moh   T_Sorra_54moh   T_Sorra_54moh         Q_Sorra 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
01.01.2000  00:00:00           0.000          -0.820          -0.820           0.150 
02.01.2000  00:00:00           7.500           0.930           0.930           0.220 
03.01.2000  00:00:00           3.720           2.420           2.420           0.280 
04.01.2000  00:00:00           0.100           2.250           2.250           0.390 
05.01.2000  00:00:00           5.370           2.170           2.170           0.330 
06.01.2000  00:00:00           2.080           1.420           1.420           1.200 
07.01.2000  00:00:00          11.350           3.700           3.700           1.430 
08.01.2000  00:00:00           6.030           4.570           4.570           1.860 
09.01.2000  00:00:00          10.280           4.280           4.280           0.760 
10.01.2000  00:00:00           5.880           2.620           2.620           0.430 
11.01.2000  00:00:00          10.000           2.950           2.950           0.680 
12.01.2000  00:00:00           9.900           2.800           2.800           0.740 
13.01.2000  00:00:00          17.750           2.180           2.180           0.550 
14.01.2000  00:00:00           4.270           0.770           0.770           0.360 
15.01.2000  00:00:00          12.380           2.200           2.200           0.730 
16.01.2000  00:00:00          16.080           4.420           4.420           1.360 
17.01.2000  00:00:00           7.130           3.120           3.120           0.510 
18.01.2000  00:00:00           8.320           2.380           2.380           0.570 
19.01.2000  00:00:00           6.230           0.700           0.700           0.310 
20.01.2000  00:00:00           9.170          -1.180          -1.180           0.250 
21.01.2000  00:00:00           4.650          -4.450          -4.450           0.210 
22.01.2000  00:00:00           0.000          -6.630          -6.630           0.200 
23.01.2000  00:00:00           0.000          -6.520          -6.520           0.180 
24.01.2000  00:00:00           7.780          -2.520          -2.520           0.170 
25.01.2000  00:00:00           4.150           1.580           1.580           0.250 
26.01.2000  00:00:00           5.250           3.930           3.930           0.850 
27.01.2000  00:00:00           7.720           1.520           1.520           0.350 
28.01.2000  00:00:00           6.000          -2.430          -2.430           0.240 
29.01.2000  00:00:00           7.400          -5.080          -5.080           0.200 
30.01.2000  00:00:00           6.200          -3.880          -3.880           0.170 
31.01.2000  00:00:00          11.530          -3.430          -3.430           0.170 
01.02.2000  00:00:00           7.250          -1.370          -1.370           0.160 
02.02.2000  00:00:00           0.420          -3.170          -3.170           0.160 
03.02.2000  00:00:00           8.150          -4.270          -4.270           0.150 
04.02.2000  00:00:00           9.650           0.480           0.480           0.240 
05.02.2000  00:00:00           0.100           1.530           1.530           0.270 
06.02.2000  00:00:00           9.850           2.680           2.680           1.710 
07.02.2000  00:00:00           3.650           4.080           4.080           0.830 
08.02.2000  00:00:00           5.280           2.620           2.620           0.570 
09.02.2000  00:00:00           0.100           1.520           1.520           0.320 
10.02.2000  00:00:00           6.270           1.320           1.320           0.960 
11.02.2000  00:00:00           7.550           3.120           3.120           0.990 
