date        time     P_O_Storvatn_58 T_Storvatn_588m T_Storvatn_588m      Q_Storvatn 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
10.09.2004  00:00:00          29.250           9.810           9.810          26.690 
11.09.2004  00:00:00          11.840           8.270           8.270          20.550 
12.09.2004  00:00:00           1.600           5.990           5.990          12.100 
13.09.2004  00:00:00           2.790           3.880           3.880           7.750 
14.09.2004  00:00:00           7.430           4.900           4.900           5.620 
15.09.2004  00:00:00           3.360           3.630           3.630           4.470 
16.09.2004  00:00:00           3.400           4.030           4.030           3.650 
17.09.2004  00:00:00           3.350           4.690           4.690           3.730 
18.09.2004  00:00:00          14.070           6.430           6.430           4.690 
19.09.2004  00:00:00          12.350           8.130           8.130           6.290 
20.09.2004  00:00:00           2.710           8.470           8.470           5.980 
21.09.2004  00:00:00           0.660           8.910           8.910           4.400 
22.09.2004  00:00:00           0.480           9.100           9.100           3.270 
23.09.2004  00:00:00           8.460           7.880           7.880           3.560 
24.09.2004  00:00:00           7.550           6.870           6.870           4.690 
25.09.2004  00:00:00           2.310           7.400           7.400           6.530 
26.09.2004  00:00:00           3.880           6.950           6.950           6.610 
27.09.2004  00:00:00           0.050           6.730           6.730           5.030 
28.09.2004  00:00:00           0.000           7.780           7.780           3.520 
29.09.2004  00:00:00           0.500           8.300           8.300           2.750 
30.09.2004  00:00:00           0.000           6.440           6.440           2.330 
01.10.2004  00:00:00           0.000           5.250           5.250           2.000 
02.10.2004  00:00:00           0.000           4.970           4.970           1.720 
03.10.2004  00:00:00           0.000           7.450           7.450           1.500 
04.10.2004  00:00:00           1.750           7.760           7.760           1.260 
05.10.2004  00:00:00          11.260           8.180           8.180           1.620 
06.10.2004  00:00:00           0.050           6.480           6.480           1.910 
07.10.2004  00:00:00           0.010           4.670           4.670           1.780 
08.10.2004  00:00:00           0.030           3.700           3.700           1.610 
09.10.2004  00:00:00           4.840           2.670           2.670           1.630 
10.10.2004  00:00:00           0.010           0.740           0.740           1.550 
11.10.2004  00:00:00           0.000           0.150           0.150           1.440 
12.10.2004  00:00:00           8.230           4.960           4.960           2.340 
13.10.2004  00:00:00           1.920           6.640           6.640           3.080 
14.10.2004  00:00:00           0.000           3.290           3.290           2.800 
15.10.2004  00:00:00           0.000           2.480           2.480           2.290 
16.10.2004  00:00:00           0.000           3.200           3.200           1.900 
17.10.2004  00:00:00           0.000           1.760           1.760           1.610 
18.10.2004  00:00:00           0.000           3.980           3.980           1.400 
19.10.2004  00:00:00           0.000           3.220           3.220           1.190 
20.10.2004  00:00:00           0.000           2.870           2.870           1.040 
21.10.2004  00:00:00           0.000           1.980           1.980           0.920 
22.10.2004  00:00:00           0.110           3.070           3.070           0.860 
23.10.2004  00:00:00           3.380           4.200           4.200           0.860 
24.10.2004  00:00:00           0.000           4.120           4.120           0.830 
25.10.2004  00:00:00           0.000           2.930           2.930           0.790 
26.10.2004  00:00:00           0.020           2.650           2.650           0.760 
27.10.2004  00:00:00          15.650           4.180           4.180           1.110 
28.10.2004  00:00:00          12.910           3.080           3.080           1.670 
29.10.2004  00:00:00           2.130           0.170           0.170           1.680 
30.10.2004  00:00:00           0.000           0.080           0.080           1.530 
31.10.2004  00:00:00          24.530           3.080           3.080           2.880 
01.11.2004  00:00:00          28.020           4.180           4.180           6.070 
02.11.2004  00:00:00           8.010           2.920           2.920           6.120 
03.11.2004  00:00:00           5.390           5.780           5.780          12.480 
04.11.2004  00:00:00           1.050           3.780           3.780          12.120 
05.11.2004  00:00:00          10.150           4.590           4.590          10.430 
06.11.2004  00:00:00           4.040           4.110           4.110           8.320 
07.11.2004  00:00:00           0.660           3.070           3.070           6.340 
08.11.2004  00:00:00          13.940           3.920           3.920          10.070 
09.11.2004  00:00:00           4.600           5.070           5.070           9.080 
10.11.2004  00:00:00           5.640           5.920           5.920           8.770 
11.11.2004  00:00:00          13.550           5.270           5.270           7.930 
12.11.2004  00:00:00          28.070           2.620           2.620           8.640 
13.11.2004  00:00:00          17.870           0.070           0.070           7.940 
14.11.2004  00:00:00           7.110          -0.250          -0.250           6.470 
15.11.2004  00:00:00          20.750          -0.470          -0.470           5.730 
16.11.2004  00:00:00           9.340           0.250           0.250           4.860 
17.11.2004  00:00:00           7.640          -3.110          -3.110           3.810 
18.11.2004  00:00:00           4.190          -6.500          -6.500           2.970 
19.11.2004  00:00:00           8.160          -7.050          -7.050           2.580 
20.11.2004  00:00:00           4.700          -5.750          -5.750           2.190 
21.11.2004  00:00:00           0.000         -11.290         -11.290           1.820 
22.11.2004  00:00:00           0.000          -8.230          -8.230           1.580 
23.11.2004  00:00:00           0.000          -7.850          -7.850           1.380 
24.11.2004  00:00:00           4.440          -5.510          -5.510           1.240 
25.11.2004  00:00:00           6.570          -2.340          -2.340           1.180 
26.11.2004  00:00:00           2.200          -5.980          -5.980           1.070 
27.11.2004  00:00:00           0.000          -8.040          -8.040           0.970 
28.11.2004  00:00:00           0.000          -8.210          -8.210           0.860 
29.11.2004  00:00:00           0.000          -9.090          -9.090           0.810 
30.11.2004  00:00:00          15.550          -3.990          -3.990           0.840 
01.12.2004  00:00:00           8.250          -1.490          -1.490           0.870 
02.12.2004  00:00:00           0.660          -1.960          -1.960           0.820 
03.12.2004  00:00:00           0.000          -3.480          -3.480           0.830 
04.12.2004  00:00:00           8.270           0.470           0.470           0.790 
05.12.2004  00:00:00           4.360          -0.220          -0.220           0.780 
06.12.2004  00:00:00           0.970          -1.450          -1.450           0.800 
07.12.2004  00:00:00          24.460           0.190           0.190           2.390 
08.12.2004  00:00:00          23.200           2.100           2.100           7.480 
09.12.2004  00:00:00           5.650          -0.100          -0.100           7.400 
10.12.2004  00:00:00          11.760           1.710           1.710          15.820 
11.12.2004  00:00:00          12.300           2.040           2.040          19.510 
12.12.2004  00:00:00           0.000          -1.430          -1.430          12.100 
13.12.2004  00:00:00           8.350          -2.770          -2.770           8.660 
14.12.2004  00:00:00          11.830           1.450           1.450          12.210 
15.12.2004  00:00:00          20.840           2.440           2.440          12.500 
16.12.2004  00:00:00           7.300           0.520           0.520           8.590 
17.12.2004  00:00:00           7.860          -0.430          -0.430           5.840 
18.12.2004  00:00:00           4.570          -0.520          -0.520           4.290 
19.12.2004  00:00:00           6.980          -1.680          -1.680           3.300 
20.12.2004  00:00:00           4.050          -4.940          -4.940           2.670 
21.12.2004  00:00:00           7.030          -5.570          -5.570           2.250 
22.12.2004  00:00:00          11.340          -1.150          -1.150           2.100 
23.12.2004  00:00:00          10.520          -2.220          -2.220           1.840 
24.12.2004  00:00:00          17.130          -4.600          -4.600           1.730 
25.12.2004  00:00:00          27.150          -4.990          -4.990           1.740 
26.12.2004  00:00:00          12.710          -2.200          -2.200           1.720 
27.12.2004  00:00:00           8.750          -0.970          -0.970           1.730 
28.12.2004  00:00:00          16.000           0.490           0.490           2.080 
29.12.2004  00:00:00           2.400           1.930           1.930           2.190 
30.12.2004  00:00:00          20.900           0.040           0.040           2.550 
31.12.2004  00:00:00          17.730           1.410           1.410           3.310 
01.01.2005  00:00:00          20.430           0.420           0.420           4.390 
02.01.2005  00:00:00           9.950           1.620           1.620           4.520 
03.01.2005  00:00:00           8.320          -1.290          -1.290           3.380 
04.01.2005  00:00:00           5.160          -2.520          -2.520           2.660 
05.01.2005  00:00:00          11.680          -0.770          -0.770           2.540 
06.01.2005  00:00:00           5.280          -0.840          -0.840           2.420 
07.01.2005  00:00:00          19.110          -0.260          -0.260           2.410 
08.01.2005  00:00:00           8.380          -0.090          -0.090           2.420 
09.01.2005  00:00:00           0.050          -1.750          -1.750           2.140 
10.01.2005  00:00:00          16.340          -1.640          -1.640           2.050 
11.01.2005  00:00:00          12.300           0.560           0.560           2.430 
12.01.2005  00:00:00           4.430           0.920           0.920           2.490 
13.01.2005  00:00:00           9.930          -2.080          -2.080           2.220 
14.01.2005  00:00:00           6.690          -2.570          -2.570           2.000 
15.01.2005  00:00:00           4.690          -3.200          -3.200           1.770 
16.01.2005  00:00:00          12.530          -3.170          -3.170           1.810 
17.01.2005  00:00:00          22.520           0.890           0.890           2.820 
18.01.2005  00:00:00           5.610           0.970           0.970           3.600 
19.01.2005  00:00:00          10.330          -0.030          -0.030           3.420 
20.01.2005  00:00:00           9.980          -1.700          -1.700           2.800 
21.01.2005  00:00:00           0.000          -2.690          -2.690           2.210 
22.01.2005  00:00:00           0.410          -3.880          -3.880           1.890 
23.01.2005  00:00:00           4.570          -4.530          -4.530           1.690 
24.01.2005  00:00:00           7.420          -7.100          -7.100           1.520 
25.01.2005  00:00:00           0.010          -6.140          -6.140           1.340 
26.01.2005  00:00:00          10.180          -4.530          -4.530           1.310 
27.01.2005  00:00:00           4.760          -2.310          -2.310           1.200 
28.01.2005  00:00:00           2.520          -1.460          -1.460           1.090 
29.01.2005  00:00:00           4.040          -1.710          -1.710           1.040 
30.01.2005  00:00:00          38.900           0.830           0.830           2.910 
31.01.2005  00:00:00          21.870           0.070           0.070           6.030 
01.02.2005  00:00:00           9.780          -0.110          -0.110           4.760 
02.02.2005  00:00:00           5.620           0.630           0.630           3.520 
03.02.2005  00:00:00           9.210           0.600           0.600           3.370 
04.02.2005  00:00:00          17.350           2.820           2.820           4.990 
05.02.2005  00:00:00          11.610           0.760           0.760           6.190 
06.02.2005  00:00:00           0.960          -2.930          -2.930           4.310 
07.02.2005  00:00:00           0.000          -6.200          -6.200           3.000 
08.02.2005  00:00:00           0.000          -3.910          -3.910           2.350 
09.02.2005  00:00:00           0.000          -1.860          -1.860           2.000 
10.02.2005  00:00:00           2.050          -0.860          -0.860           1.650 
11.02.2005  00:00:00           7.290          -0.290          -0.290           1.500 
12.02.2005  00:00:00           9.370          -1.310          -1.310           1.410 
13.02.2005  00:00:00           2.210          -4.600          -4.600           1.250 
14.02.2005  00:00:00           0.000          -5.980          -5.980           1.110 
15.02.2005  00:00:00           0.000          -8.210          -8.210           1.000 
16.02.2005  00:00:00           0.000          -8.560          -8.560           0.940 
17.02.2005  00:00:00           8.970          -4.870          -4.870           0.910 
18.02.2005  00:00:00           9.090          -1.810          -1.810           0.880 
19.02.2005  00:00:00           2.780          -2.040          -2.040           0.820 
20.02.2005  00:00:00           0.000          -4.040          -4.040           0.760 
21.02.2005  00:00:00           0.000          -6.180          -6.180           0.790 
22.02.2005  00:00:00           0.000          -5.640          -5.640           0.690 
23.02.2005  00:00:00           0.000         -11.530         -11.530           0.620 
24.02.2005  00:00:00           0.000         -10.630         -10.630           0.580 
25.02.2005  00:00:00           0.000          -4.990          -4.990           0.550 
26.02.2005  00:00:00           0.000          -6.040          -6.040           0.520 
27.02.2005  00:00:00           0.010          -8.870          -8.870           0.490 
28.02.2005  00:00:00           0.000          -8.630          -8.630           0.470 
01.03.2005  00:00:00           0.000         -12.130         -12.130           0.445 
02.03.2005  00:00:00           0.000         -13.600         -13.600           0.420 
03.03.2005  00:00:00           4.300          -8.220          -8.220           0.420 
04.03.2005  00:00:00           5.380          -5.510          -5.510           0.410 
05.03.2005  00:00:00           0.000          -7.180          -7.180           0.370 
06.03.2005  00:00:00           7.530          -5.050          -5.050           0.410 
07.03.2005  00:00:00           3.590          -0.900          -0.900           0.420 
08.03.2005  00:00:00           0.180          -2.160          -2.160           0.410 
09.03.2005  00:00:00           0.360          -5.830          -5.830           0.400 
10.03.2005  00:00:00           7.010          -2.960          -2.960           0.460 
11.03.2005  00:00:00          12.040           0.980           0.980           0.510 
12.03.2005  00:00:00           0.000          -4.880          -4.880           0.520 
13.03.2005  00:00:00           0.000          -9.130          -9.130           0.520 
14.03.2005  00:00:00           0.000         -10.730         -10.730           0.490 
15.03.2005  00:00:00           0.000         -11.710         -11.710           0.460 
16.03.2005  00:00:00           3.030          -9.690          -9.690           0.450 
17.03.2005  00:00:00           0.000          -6.900          -6.900           0.410 
18.03.2005  00:00:00           0.000          -8.490          -8.490           0.390 
19.03.2005  00:00:00           0.000         -11.890         -11.890           0.370 
20.03.2005  00:00:00           0.000         -11.870         -11.870           0.350 
21.03.2005  00:00:00           0.000          -9.820          -9.820           0.330 
22.03.2005  00:00:00          23.500          -5.450          -5.450           0.390 
23.03.2005  00:00:00           2.880          -0.300          -0.300           0.400 
24.03.2005  00:00:00          15.790           3.050           3.050           2.020 
25.03.2005  00:00:00          25.360           3.770           3.770          11.200 
26.03.2005  00:00:00           0.000           1.310           1.310          10.660 
27.03.2005  00:00:00           0.000          -0.880          -0.880           7.970 
28.03.2005  00:00:00           3.540           0.030           0.030           6.500 
29.03.2005  00:00:00           0.000           0.320           0.320           5.550 
30.03.2005  00:00:00           0.000          -0.700          -0.700           4.580 
31.03.2005  00:00:00           0.000          -0.490          -0.490           3.790 
01.04.2005  00:00:00           0.000           0.520           0.520           3.160 
02.04.2005  00:00:00           7.570           2.550           2.550           5.380 
03.04.2005  00:00:00           7.080           3.320           3.320          11.300 
04.04.2005  00:00:00           3.390           2.260           2.260          11.210 
05.04.2005  00:00:00           5.890           3.300           3.300          11.730 
06.04.2005  00:00:00          11.130           1.100           1.100          10.330 
07.04.2005  00:00:00           2.570           0.130           0.130           7.570 
08.04.2005  00:00:00           8.640           0.680           0.680           6.010 
09.04.2005  00:00:00           5.560           0.500           0.500           4.640 
10.04.2005  00:00:00           5.040          -1.590          -1.590           3.450 
11.04.2005  00:00:00           4.700          -1.420          -1.420           2.750 
12.04.2005  00:00:00           5.710          -0.170          -0.170           2.530 
13.04.2005  00:00:00          12.030           1.350           1.350           3.440 
14.04.2005  00:00:00           8.650           1.670           1.670           4.450 
15.04.2005  00:00:00           6.820           1.800           1.800           4.340 
16.04.2005  00:00:00           3.390           2.090           2.090           3.920 
17.04.2005  00:00:00           0.000           1.720           1.720           3.360 
18.04.2005  00:00:00           0.000           0.930           0.930           2.850 
19.04.2005  00:00:00           0.000           0.070           0.070           2.410 
20.04.2005  00:00:00           0.000          -1.780          -1.780           2.090 
21.04.2005  00:00:00           0.000          -0.260          -0.260           1.870 
22.04.2005  00:00:00           0.040           0.090           0.090           1.710 
23.04.2005  00:00:00           0.000           0.210           0.210           1.540 
24.04.2005  00:00:00           0.000           2.100           2.100           1.420 
25.04.2005  00:00:00           0.000           1.030           1.030           1.390 
26.04.2005  00:00:00           0.000           0.940           0.940           1.400 
27.04.2005  00:00:00           0.000           2.550           2.550           1.470 
28.04.2005  00:00:00           0.000           3.380           3.380           1.630 
29.04.2005  00:00:00           0.000           3.940           3.940           2.020 
30.04.2005  00:00:00           0.000           6.810           6.810           2.870 
01.05.2005  00:00:00           0.000           4.800           4.800           3.960 
02.05.2005  00:00:00           0.850           4.150           4.150           4.890 
03.05.2005  00:00:00           6.900           3.380           3.380           7.240 
04.05.2005  00:00:00           2.330           4.680           4.680           9.100 
05.05.2005  00:00:00           6.850           2.610           2.610           9.890 
06.05.2005  00:00:00           0.060           2.110           2.110           7.480 
07.05.2005  00:00:00           0.090           3.680           3.680           5.960 
08.05.2005  00:00:00           0.080           3.880           3.880           5.370 
09.05.2005  00:00:00           0.000           2.890           2.890           4.720 
10.05.2005  00:00:00           0.000           3.400           3.400           4.130 
11.05.2005  00:00:00           5.310           2.880           2.880           4.370 
12.05.2005  00:00:00           5.260           3.520           3.520           4.670 
13.05.2005  00:00:00           3.930           2.150           2.150           4.500 
14.05.2005  00:00:00           6.280           3.200           3.200           4.740 
15.05.2005  00:00:00          14.290           0.670           0.670           5.790 
16.05.2005  00:00:00          12.520          -0.320          -0.320           5.540 
17.05.2005  00:00:00           4.970           1.240           1.240           4.550 
18.05.2005  00:00:00           6.250           1.380           1.380           4.010 
19.05.2005  00:00:00           5.240           3.500           3.500           3.790 
20.05.2005  00:00:00           4.970           3.300           3.300           3.330 
21.05.2005  00:00:00           0.000           3.480           3.480           3.270 
22.05.2005  00:00:00           9.570           5.550           5.550           6.450 
23.05.2005  00:00:00           0.010           6.320           6.320           9.990 
24.05.2005  00:00:00           0.050           6.230           6.230          12.710 
25.05.2005  00:00:00          13.610           4.730           4.730          16.900 
26.05.2005  00:00:00           9.640           4.510           4.510          19.570 
27.05.2005  00:00:00          11.760           5.310           5.310          22.310 
28.05.2005  00:00:00           9.720           3.410           3.410          17.160 
29.05.2005  00:00:00           2.960           2.100           2.100          11.500 
30.05.2005  00:00:00           0.000           2.630           2.630           7.730 
31.05.2005  00:00:00           0.000           3.490           3.490           5.480 
01.06.2005  00:00:00           0.000           4.380           4.380           4.430 
02.06.2005  00:00:00           1.870           3.810           3.810           4.010 
03.06.2005  00:00:00           0.650           4.140           4.140           3.530 
04.06.2005  00:00:00           0.000           5.720           5.720           3.820 
05.06.2005  00:00:00           3.860           7.580           7.580           6.830 
