date        time     P_O_Forsbakk_28 T_Forsbakk_284m T_Forsbakk_284m      Q_Forsbakk 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
13.06.2007  00:00:00           0.000           4.350           4.350           4.320 
14.06.2007  00:00:00           0.470           5.700           5.700           4.140 
15.06.2007  00:00:00           1.720           7.310           7.310           4.390 
16.06.2007  00:00:00           4.380           5.420           5.420           5.450 
17.06.2007  00:00:00           0.230           5.750           5.750           4.510 
18.06.2007  00:00:00           0.000           7.150           7.150           4.420 
19.06.2007  00:00:00           0.000           8.440           8.440           5.440 
20.06.2007  00:00:00           0.000           6.820           6.820           4.490 
21.06.2007  00:00:00           0.000           6.920           6.920           4.870 
22.06.2007  00:00:00           0.000          12.990          12.990           8.170 
23.06.2007  00:00:00           0.700          12.810          12.810           8.760 
24.06.2007  00:00:00           0.000          13.290          13.290           8.800 
25.06.2007  00:00:00           0.000          13.850          13.850           8.920 
26.06.2007  00:00:00           0.240          14.300          14.300           8.380 
27.06.2007  00:00:00           0.000          10.490          10.490           7.520 
28.06.2007  00:00:00           0.000          10.140          10.140           5.400 
29.06.2007  00:00:00           2.810          10.120          10.120           5.710 
30.06.2007  00:00:00           0.000           9.150           9.150           5.430 
01.07.2007  00:00:00           0.000          12.310          12.310           7.260 
02.07.2007  00:00:00           0.000          15.290          15.290           7.230 
03.07.2007  00:00:00           0.000          15.870          15.870           8.620 
04.07.2007  00:00:00           0.000          17.830          17.830           9.160 
05.07.2007  00:00:00           0.000          19.130          19.130           9.840 
06.07.2007  00:00:00           0.000          17.840          17.840           9.560 
07.07.2007  00:00:00           0.150          18.870          18.870          11.060 
08.07.2007  00:00:00           0.000          14.860          14.860          10.830 
09.07.2007  00:00:00           0.000          14.800          14.800           6.780 
10.07.2007  00:00:00           0.000          15.020          15.020           4.490 
11.07.2007  00:00:00           0.000          11.890          11.890           4.060 
12.07.2007  00:00:00           0.390          14.810          14.810           4.650 
13.07.2007  00:00:00           9.890          14.500          14.500          14.440 
14.07.2007  00:00:00          13.450          12.520          12.520           5.810 
15.07.2007  00:00:00           0.400          14.080          14.080           3.710 
16.07.2007  00:00:00           3.550          12.990          12.990           3.520 
17.07.2007  00:00:00           0.000          10.570          10.570           2.680 
18.07.2007  00:00:00           4.850          12.430          12.430           4.260 
19.07.2007  00:00:00           1.520          11.540          11.540           2.940 
20.07.2007  00:00:00           0.000           9.320           9.320           2.150 
21.07.2007  00:00:00           6.560           8.930           8.930           4.110 
22.07.2007  00:00:00           0.000           9.020           9.020           1.850 
23.07.2007  00:00:00           0.000          12.180          12.180           1.710 
24.07.2007  00:00:00           0.000          13.050          13.050           1.890 
25.07.2007  00:00:00           0.000          11.960          11.960           1.890 
26.07.2007  00:00:00           8.150          11.910          11.910           2.200 
27.07.2007  00:00:00           0.000           9.970           9.970           1.650 
28.07.2007  00:00:00           0.380          14.570          14.570           3.540 
29.07.2007  00:00:00           0.120          14.530          14.530           3.710 
30.07.2007  00:00:00           0.000          13.570          13.570           2.600 
31.07.2007  00:00:00           0.000          13.900          13.900           1.860 
01.08.2007  00:00:00           2.100          11.590          11.590           2.110 
02.08.2007  00:00:00           7.180           9.380           9.380           2.980 
03.08.2007  00:00:00           1.920          10.380          10.380           1.980 
04.08.2007  00:00:00           2.350          10.850          10.850           2.850 
05.08.2007  00:00:00           0.110          12.630          12.630           3.670 
06.08.2007  00:00:00           3.340          12.640          12.640           2.280 
07.08.2007  00:00:00           0.180          13.370          13.370           2.530 
08.08.2007  00:00:00           0.000          18.000          18.000           2.910 
09.08.2007  00:00:00          10.770          17.670          17.670           6.160 
10.08.2007  00:00:00           3.170          11.140          11.140           2.720 
11.08.2007  00:00:00           0.000          10.390          10.390           1.440 
12.08.2007  00:00:00           0.070          13.540          13.540           1.200 
13.08.2007  00:00:00           0.000          13.180          13.180           1.530 
14.08.2007  00:00:00           3.720          15.710          15.710           2.970 
15.08.2007  00:00:00           0.000          11.510          11.510           1.340 
16.08.2007  00:00:00           6.310          14.350          14.350           7.050 
17.08.2007  00:00:00           4.700          11.610          11.610           2.590 
18.08.2007  00:00:00           6.100          11.590          11.590           1.470 
19.08.2007  00:00:00           7.270           9.940           9.940           3.060 
20.08.2007  00:00:00           5.450          10.260          10.260           4.610 
21.08.2007  00:00:00           0.000           8.230           8.230           1.780 
22.08.2007  00:00:00           0.000           9.220           9.220           0.960 
23.08.2007  00:00:00           0.370           9.420           9.420           1.580 
24.08.2007  00:00:00           9.280           9.880           9.880           6.180 
25.08.2007  00:00:00          10.860           8.900           8.900          16.710 
26.08.2007  00:00:00          16.780           8.630           8.630           6.680 
27.08.2007  00:00:00          17.770           7.850           7.850           3.990 
28.08.2007  00:00:00           0.000           6.080           6.080           1.710 
29.08.2007  00:00:00           4.740           5.810           5.810           1.320 
30.08.2007  00:00:00           5.840           3.110           3.110           4.920 
31.08.2007  00:00:00           7.050           1.300           1.300           3.120 
01.09.2007  00:00:00           4.450           2.910           2.910           3.440 
02.09.2007  00:00:00           2.520           5.720           5.720           5.040 
03.09.2007  00:00:00          10.450           6.130           6.130           7.660 
04.09.2007  00:00:00           2.770           6.780           6.780           2.410 
05.09.2007  00:00:00           1.920           6.190           6.190           6.460 
06.09.2007  00:00:00          21.770           6.640           6.640          22.740 
07.09.2007  00:00:00          14.310           5.500           5.500           6.120 
08.09.2007  00:00:00           5.930           6.860           6.860           2.440 
09.09.2007  00:00:00           2.050           7.320           7.320           1.610 
10.09.2007  00:00:00           1.410           6.650           6.650           1.580 
11.09.2007  00:00:00           1.230           6.240           6.240           3.840 
12.09.2007  00:00:00          24.740           6.560           6.560          21.750 
13.09.2007  00:00:00          10.040           5.200           5.200           6.160 
14.09.2007  00:00:00           7.440           6.210           6.210          10.530 
15.09.2007  00:00:00          10.900           6.380           6.380           8.150 
16.09.2007  00:00:00          20.960           4.560           4.560          11.170 
17.09.2007  00:00:00           1.880           5.770           5.770           3.420 
18.09.2007  00:00:00           9.320           5.420           5.420           7.050 
19.09.2007  00:00:00           6.870           3.830           3.830           4.120 
20.09.2007  00:00:00           4.620           1.940           1.940           2.150 
21.09.2007  00:00:00           4.010           5.540           5.540           6.800 
22.09.2007  00:00:00          13.210           4.670           4.670          10.400 
23.09.2007  00:00:00          19.290           5.420           5.420          15.550 
24.09.2007  00:00:00           3.810           7.020           7.020           9.050 
25.09.2007  00:00:00           2.320          10.550          10.550           5.920 
26.09.2007  00:00:00           0.000           9.820           9.820           3.300 
27.09.2007  00:00:00           4.710           5.290           5.290           1.880 
28.09.2007  00:00:00           0.000           1.960           1.960           1.150 
29.09.2007  00:00:00           0.000           1.780           1.780           0.880 
30.09.2007  00:00:00           0.000           8.060           8.060           0.800 
01.10.2007  00:00:00           0.000           9.710           9.710           0.900 
02.10.2007  00:00:00           1.770           8.700           8.700           2.190 
03.10.2007  00:00:00          10.270           7.430           7.430          18.860 
04.10.2007  00:00:00          15.670           7.690           7.690           6.620 
05.10.2007  00:00:00           4.360           5.490           5.490           2.440 
06.10.2007  00:00:00           0.000           4.680           4.680           1.500 
07.10.2007  00:00:00          11.270           7.440           7.440           7.040 
08.10.2007  00:00:00          12.980           5.040           5.040           8.040 
09.10.2007  00:00:00           4.530           2.090           2.090           2.970 
10.10.2007  00:00:00           5.840           0.230           0.230           2.050 
11.10.2007  00:00:00           7.070          -0.120          -0.120           1.770 
12.10.2007  00:00:00           0.000          -4.400          -4.400           1.260 
13.10.2007  00:00:00           0.220          -2.820          -2.820           1.130 
14.10.2007  00:00:00          33.350           0.660           0.660          39.340 
15.10.2007  00:00:00          15.570           3.010           3.010          20.760 
16.10.2007  00:00:00           1.630           5.500           5.500          10.830 
17.10.2007  00:00:00          12.770           5.230           5.230          21.310 
18.10.2007  00:00:00          36.390           2.620           2.620          12.910 
19.10.2007  00:00:00          11.470           1.220           1.220           5.650 
20.10.2007  00:00:00           9.140           1.380           1.380          10.980 
21.10.2007  00:00:00          20.670           3.410           3.410          24.900 
22.10.2007  00:00:00           5.960           5.870           5.870          11.400 
23.10.2007  00:00:00          15.000           5.960           5.960          18.840 
24.10.2007  00:00:00           8.240           7.370           7.370          50.780 
25.10.2007  00:00:00          21.880           7.290           7.290          51.380 
26.10.2007  00:00:00          16.160           4.630           4.630           6.790 
27.10.2007  00:00:00           0.000           1.800           1.800           4.060 
28.10.2007  00:00:00          10.940           3.790           3.790          11.700 
29.10.2007  00:00:00          12.300           6.590           6.590          12.630 
30.10.2007  00:00:00          10.280           2.740           2.740           7.680 
31.10.2007  00:00:00           8.020           2.060           2.060           4.400 
01.11.2007  00:00:00          22.940           1.990           1.990          20.160 
02.11.2007  00:00:00          14.940           1.140           1.140           5.710 
03.11.2007  00:00:00           3.260          -1.180          -1.180           2.740 
04.11.2007  00:00:00           0.000          -0.750          -0.750           1.810 
05.11.2007  00:00:00           3.820          -0.930          -0.930           1.480 
06.11.2007  00:00:00          13.430          -0.890          -0.890           1.440 
07.11.2007  00:00:00           3.230          -3.080          -3.080           1.060 
08.11.2007  00:00:00           3.710          -4.540          -4.540           0.970 
09.11.2007  00:00:00           0.560          -4.140          -4.140           0.850 
10.11.2007  00:00:00           2.340          -4.780          -4.780           0.800 
11.11.2007  00:00:00           0.000          -2.720          -2.720           0.720 
12.11.2007  00:00:00           0.000          -3.590          -3.590           0.670 
13.11.2007  00:00:00           0.000          -5.630          -5.630           0.950 
14.11.2007  00:00:00           0.000          -8.140          -8.140           2.360 
15.11.2007  00:00:00           6.340          -7.110          -7.110           2.960 
16.11.2007  00:00:00          12.910          -2.760          -2.760           1.970 
17.11.2007  00:00:00           5.660          -2.010          -2.010           1.100 
18.11.2007  00:00:00          20.680           0.570           0.570          11.940 
19.11.2007  00:00:00           5.890           1.490           1.490           9.820 
20.11.2007  00:00:00           4.690          -0.480          -0.480           4.770 
21.11.2007  00:00:00           1.880           1.490           1.490           7.960 
22.11.2007  00:00:00          12.330           1.170           1.170           7.150 
23.11.2007  00:00:00           4.230          -2.910          -2.910           2.460 
24.11.2007  00:00:00          11.930          -1.370          -1.370           1.780 
25.11.2007  00:00:00           5.720          -0.400          -0.400           1.460 
26.11.2007  00:00:00           8.480          -1.370          -1.370           1.110 
27.11.2007  00:00:00           2.270          -3.800          -3.800           1.160 
28.11.2007  00:00:00           0.000          -6.050          -6.050           1.180 
29.11.2007  00:00:00           1.310          -3.940          -3.940           0.940 
30.11.2007  00:00:00           0.000          -5.690          -5.690           1.900 
01.12.2007  00:00:00           0.000          -3.960          -3.960           2.440 
02.12.2007  00:00:00           0.000          -3.270          -3.270           2.170 
03.12.2007  00:00:00           0.000          -3.320          -3.320           2.830 
04.12.2007  00:00:00           0.000          -5.710          -5.710           4.450 
05.12.2007  00:00:00           0.000          -4.180          -4.180           4.010 
06.12.2007  00:00:00           4.620          -1.310          -1.310           0.730 
07.12.2007  00:00:00           6.210           0.260           0.260           0.710 
08.12.2007  00:00:00           0.710          -1.080          -1.080           0.620 
09.12.2007  00:00:00           4.810          -1.960          -1.960           0.520 
10.12.2007  00:00:00           8.100          -3.230          -3.230           0.480 
11.12.2007  00:00:00           2.950          -4.620          -4.620           0.720 
12.12.2007  00:00:00           0.090          -3.620          -3.620           1.250 
13.12.2007  00:00:00           9.140          -2.040          -2.040           4.980 
14.12.2007  00:00:00          14.880           1.010           1.010          17.090 
15.12.2007  00:00:00           3.000           3.670           3.670          13.090 
16.12.2007  00:00:00           3.290           1.630           1.630          14.950 
17.12.2007  00:00:00           5.650           2.940           2.940          17.380 
18.12.2007  00:00:00          12.880           4.230           4.230          23.390 
19.12.2007  00:00:00          11.490           4.930           4.930          28.810 
20.12.2007  00:00:00          13.420           3.630           3.630          30.080 
21.12.2007  00:00:00          36.270           4.830           4.830          30.980 
22.12.2007  00:00:00          10.500           4.160           4.160           9.670 
23.12.2007  00:00:00           8.260           0.770           0.770           3.540 
24.12.2007  00:00:00           8.030           1.190           1.190           4.870 
25.12.2007  00:00:00          16.730           0.880           0.880           4.050 
26.12.2007  00:00:00           0.150          -2.720          -2.720           1.850 
27.12.2007  00:00:00          25.970          -0.980          -0.980          13.370 
28.12.2007  00:00:00          16.540           2.320           2.320          11.550 
29.12.2007  00:00:00           0.040           0.510           0.510           3.360 
30.12.2007  00:00:00           0.000          -3.710          -3.710           1.710 
31.12.2007  00:00:00           0.000          -4.480          -4.480           1.550 
01.01.2008  00:00:00           0.000          -4.710          -4.710           2.120 
02.01.2008  00:00:00           0.000          -3.260          -3.260           2.740 
03.01.2008  00:00:00           0.000          -0.710          -0.710           3.960 
04.01.2008  00:00:00           0.000          -4.250          -4.250           5.080 
05.01.2008  00:00:00           0.000          -3.030          -3.030           5.620 
06.01.2008  00:00:00           0.000          -2.400          -2.400           5.500 
07.01.2008  00:00:00           0.000          -4.390          -4.390           4.650 
08.01.2008  00:00:00           0.000          -3.150          -3.150           3.900 
09.01.2008  00:00:00           0.000          -1.890          -1.890           2.460 
10.01.2008  00:00:00           0.000           0.410           0.410           0.950 
11.01.2008  00:00:00           0.000          -0.290          -0.290           0.400 
12.01.2008  00:00:00           0.000          -1.240          -1.240           0.320 
13.01.2008  00:00:00           0.000          -2.630          -2.630           0.270 
14.01.2008  00:00:00           4.930          -4.230          -4.230           0.270 
15.01.2008  00:00:00           4.020          -1.160          -1.160           0.270 
16.01.2008  00:00:00           9.900           2.400           2.400           0.290 
17.01.2008  00:00:00           2.090          -2.120          -2.120           0.280 
18.01.2008  00:00:00           0.000          -4.080          -4.080           1.340 
19.01.2008  00:00:00           0.000          -1.920          -1.920           0.380 
20.01.2008  00:00:00           8.880           0.380           0.380           0.210 
21.01.2008  00:00:00           0.170          -2.380          -2.380           0.430 
22.01.2008  00:00:00           0.000         -10.730         -10.730           3.310 
23.01.2008  00:00:00           0.000          -9.780          -9.780           2.810 
24.01.2008  00:00:00           2.890          -5.140          -5.140           0.290 
25.01.2008  00:00:00           4.120          -3.810          -3.810           0.200 
26.01.2008  00:00:00           5.230          -4.070          -4.070           0.200 
27.01.2008  00:00:00          12.570          -3.200          -3.200           0.220 
28.01.2008  00:00:00           6.610          -4.710          -4.710           0.250 
29.01.2008  00:00:00          29.730           0.780           0.780           7.270 
30.01.2008  00:00:00          10.720          -0.570          -0.570           7.660 
31.01.2008  00:00:00           4.890          -3.950          -3.950           1.720 
01.02.2008  00:00:00           0.000          -5.300          -5.300           0.860 
02.02.2008  00:00:00           4.530          -0.960          -0.960           0.530 
03.02.2008  00:00:00           1.650          -3.930          -3.930           0.760 
04.02.2008  00:00:00           0.110         -11.680         -11.680           3.320 
05.02.2008  00:00:00           0.000          -4.860          -4.860           0.780 
06.02.2008  00:00:00           0.040          -0.670          -0.670           0.320 
07.02.2008  00:00:00           3.490           0.730           0.730           0.280 
08.02.2008  00:00:00           3.740           0.060           0.060           0.270 
09.02.2008  00:00:00           0.000          -0.870          -0.870           0.250 
10.02.2008  00:00:00           3.460           0.790           0.790           0.230 
11.02.2008  00:00:00           1.690           2.160           2.160           0.290 
12.02.2008  00:00:00           1.970           2.460           2.460           4.450 
13.02.2008  00:00:00          22.480           1.520           1.520          16.290 
14.02.2008  00:00:00          12.150          -3.890          -3.890           4.920 
15.02.2008  00:00:00           3.600          -6.390          -6.390           2.350 
16.02.2008  00:00:00           5.180          -2.480          -2.480           1.320 
17.02.2008  00:00:00          28.380           0.290           0.290           1.930 
18.02.2008  00:00:00           6.900          -0.480          -0.480           1.120 
19.02.2008  00:00:00           2.830          -2.740          -2.740           0.830 
20.02.2008  00:00:00          10.350           0.360           0.360           1.410 
21.02.2008  00:00:00           0.000           2.070           2.070           2.360 
22.02.2008  00:00:00          11.080           0.910           0.910           1.430 
23.02.2008  00:00:00          10.690          -2.070          -2.070           0.980 
24.02.2008  00:00:00          27.590          -0.820          -0.820           0.890 
25.02.2008  00:00:00          27.810           1.370           1.370           1.520 
26.02.2008  00:00:00           3.890          -2.270          -2.270           1.250 
27.02.2008  00:00:00           0.000          -1.500          -1.500           0.900 
28.02.2008  00:00:00           9.480          -3.570          -3.570           0.830 
29.02.2008  00:00:00           1.580          -6.020          -6.020           1.190 
01.03.2008  00:00:00           4.540          -5.250          -5.250           1.270 
02.03.2008  00:00:00           2.640          -4.250          -4.250           0.790 
03.03.2008  00:00:00           4.270          -5.610          -5.610           0.550 
04.03.2008  00:00:00           9.520          -6.260          -6.260           0.510 
05.03.2008  00:00:00           2.540          -8.430          -8.430           0.570 
06.03.2008  00:00:00          13.680          -4.850          -4.850           0.440 
07.03.2008  00:00:00           2.560          -2.310          -2.310           0.420 
08.03.2008  00:00:00           0.690          -3.980          -3.980           0.390 
09.03.2008  00:00:00           4.170          -3.410          -3.410           0.370 
10.03.2008  00:00:00           2.380           0.070           0.070           0.330 
11.03.2008  00:00:00           0.000          -0.320          -0.320           0.330 
12.03.2008  00:00:00           0.000           1.460           1.460           0.340 
13.03.2008  00:00:00           0.000           2.540           2.540           0.360 
14.03.2008  00:00:00           0.000           1.800           1.800           0.340 
15.03.2008  00:00:00           0.000          -0.370          -0.370           0.320 
16.03.2008  00:00:00           0.000          -2.460          -2.460           0.510 
17.03.2008  00:00:00           1.550          -5.090          -5.090           0.960 
18.03.2008  00:00:00           0.000          -7.260          -7.260           0.870 
19.03.2008  00:00:00           0.000          -8.780          -8.780           0.580 
20.03.2008  00:00:00           0.000          -9.120          -9.120           0.830 
21.03.2008  00:00:00           0.000         -10.550         -10.550           1.050 
22.03.2008  00:00:00           0.000         -10.760         -10.760           1.920 
23.03.2008  00:00:00           0.000         -11.530         -11.530           1.140 
24.03.2008  00:00:00           0.000         -11.310         -11.310           0.470 
25.03.2008  00:00:00           0.000          -9.670          -9.670           0.340 
26.03.2008  00:00:00           0.000          -9.290          -9.290           0.300 
27.03.2008  00:00:00           0.000          -8.060          -8.060           0.310 
28.03.2008  00:00:00           3.100          -5.830          -5.830           0.320 
29.03.2008  00:00:00           0.000          -4.580          -4.580           0.210 
30.03.2008  00:00:00           1.400           0.390           0.390           0.190 
31.03.2008  00:00:00           1.070           3.790           3.790           0.210 
01.04.2008  00:00:00           3.240           2.790           2.790           0.330 
02.04.2008  00:00:00           0.040           2.100           2.100           0.530 
03.04.2008  00:00:00           0.000           2.540           2.540           0.730 
04.04.2008  00:00:00           0.020           1.300           1.300           0.650 
05.04.2008  00:00:00           3.060           0.520           0.520           0.520 
06.04.2008  00:00:00           4.730          -0.440          -0.440           0.430 
07.04.2008  00:00:00           0.000          -0.630          -0.630           0.390 
08.04.2008  00:00:00           0.000          -0.310          -0.310           0.380 
09.04.2008  00:00:00           0.000          -2.670          -2.670           0.390 
10.04.2008  00:00:00           0.000          -0.430          -0.430           0.370 
11.04.2008  00:00:00           0.000          -1.320          -1.320           0.360 
12.04.2008  00:00:00           3.070          -0.670          -0.670           0.350 
13.04.2008  00:00:00           0.040           1.610           1.610           0.320 
14.04.2008  00:00:00           0.000           0.650           0.650           0.330 
15.04.2008  00:00:00           2.230           0.180           0.180           0.350 
16.04.2008  00:00:00           4.930          -0.940          -0.940           0.360 
17.04.2008  00:00:00           7.000           0.520           0.520           0.440 
18.04.2008  00:00:00           5.550           2.390           2.390           1.420 
19.04.2008  00:00:00           1.270          -0.140          -0.140           2.230 
20.04.2008  00:00:00           1.080          -0.130          -0.130           1.350 
21.04.2008  00:00:00           0.010           1.130           1.130           1.000 
22.04.2008  00:00:00           0.000           1.230           1.230           0.990 
23.04.2008  00:00:00           0.000           0.980           0.980           1.170 
24.04.2008  00:00:00           0.040           1.340           1.340           1.360 
25.04.2008  00:00:00           0.690           1.820           1.820           2.010 
26.04.2008  00:00:00           0.000           1.560           1.560           2.280 
27.04.2008  00:00:00           0.010           4.520           4.520           3.400 
28.04.2008  00:00:00           0.330           4.790           4.790           5.320 
29.04.2008  00:00:00           0.000           6.130           6.130          10.940 
30.04.2008  00:00:00           0.000           8.810           8.810          16.340 
01.05.2008  00:00:00           0.000           9.620           9.620          22.750 
02.05.2008  00:00:00           0.000          10.180          10.180          27.440 
03.05.2008  00:00:00           0.000           7.700           7.700          20.350 
04.05.2008  00:00:00           5.290           6.200           6.200          18.760 
05.05.2008  00:00:00           2.340           5.090           5.090          16.720 
06.05.2008  00:00:00           6.510           4.500           4.500          13.100 
07.05.2008  00:00:00          17.840           4.100           4.100          29.090 
08.05.2008  00:00:00          13.370           4.730           4.730          31.060 
09.05.2008  00:00:00          10.230           4.770           4.770          26.950 
10.05.2008  00:00:00           4.200           3.930           3.930          16.190 
11.05.2008  00:00:00          11.160           3.410           3.410          21.490 
12.05.2008  00:00:00           6.240           2.320           2.320           8.620 
13.05.2008  00:00:00           2.350           1.140           1.140           4.300 
14.05.2008  00:00:00           1.100           1.610           1.610           3.150 
15.05.2008  00:00:00           0.000           3.120           3.120           2.630 
16.05.2008  00:00:00           0.000           3.950           3.950           2.440 
17.05.2008  00:00:00           1.070           2.020           2.020           2.300 
18.05.2008  00:00:00           0.000           2.900           2.900           2.640 
19.05.2008  00:00:00           0.000           3.390           3.390           2.810 
20.05.2008  00:00:00           0.000           4.810           4.810           3.440 
21.05.2008  00:00:00           0.000           5.200           5.200           4.120 
22.05.2008  00:00:00           0.000           6.360           6.360           5.770 
23.05.2008  00:00:00           0.000           8.160           8.160           7.200 
24.05.2008  00:00:00           0.000           7.770           7.770           8.110 
25.05.2008  00:00:00           0.000           5.780           5.780           7.220 
26.05.2008  00:00:00           6.510           3.870           3.870           7.870 
27.05.2008  00:00:00           0.000           5.410           5.410           4.750 
28.05.2008  00:00:00           7.050           5.350           5.350           7.710 
29.05.2008  00:00:00           3.730           4.990           4.990           7.800 
30.05.2008  00:00:00           0.000           6.940           6.940           8.170 
31.05.2008  00:00:00           0.000          10.360          10.360           9.550 
01.06.2008  00:00:00           0.000          11.590          11.590          10.810 
02.06.2008  00:00:00           2.670           8.130           8.130          10.720 
03.06.2008  00:00:00           0.000           8.450           8.450           8.710 
04.06.2008  00:00:00           0.000          13.470          13.470          11.660 
05.06.2008  00:00:00           0.000          13.880          13.880          11.990 
06.06.2008  00:00:00           0.000          13.510          13.510          11.300 
07.06.2008  00:00:00           0.000          12.690          12.690          10.170 
08.06.2008  00:00:00           0.000          13.260          13.260           9.030 
09.06.2008  00:00:00          13.180          10.120          10.120          12.220 
10.06.2008  00:00:00           1.300           5.330           5.330           8.610 
11.06.2008  00:00:00           0.010           5.610           5.610           5.030 
12.06.2008  00:00:00           2.400           7.150           7.150           2.720 
13.06.2008  00:00:00           0.010           4.230           4.230           2.250 
14.06.2008  00:00:00           0.000           8.990           8.990           2.840 
15.06.2008  00:00:00           1.230          11.080          11.080           4.240 
16.06.2008  00:00:00           4.440           9.940           9.940           5.310 
17.06.2008  00:00:00           8.960           9.600           9.600           8.110 
