date        time     P_O_Bogvatn_663 T_Bogvatn_663mo T_Bogvatn_663mo       Q_Bogvatn 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
15.10.2010  00:00:00           5.400          -1.740          -1.740           1.380 
16.10.2010  00:00:00           1.180          -3.200          -3.200           1.110 
17.10.2010  00:00:00           8.150          -0.730          -0.730           1.050 
18.10.2010  00:00:00          16.860           1.900           1.900           1.710 
19.10.2010  00:00:00          21.870           1.080           1.080           2.650 
20.10.2010  00:00:00           9.410          -4.440          -4.440           2.070 
21.10.2010  00:00:00           0.000          -8.090          -8.090           1.610 
22.10.2010  00:00:00           2.560          -7.200          -7.200           1.330 
23.10.2010  00:00:00          11.270          -2.690          -2.690           1.300 
24.10.2010  00:00:00           5.900          -1.110          -1.110           1.230 
25.10.2010  00:00:00           6.840          -0.460          -0.460           1.070 
26.10.2010  00:00:00           1.530          -3.220          -3.220           0.890 
27.10.2010  00:00:00           5.760          -3.860          -3.860           0.770 
28.10.2010  00:00:00           6.030          -4.180          -4.180           0.810 
29.10.2010  00:00:00          29.940          -0.200          -0.200           0.930 
30.10.2010  00:00:00           0.000          -1.250          -1.250           0.780 
31.10.2010  00:00:00          12.490          -3.750          -3.750           0.790 
01.11.2010  00:00:00          17.110           0.300           0.300           1.140 
02.11.2010  00:00:00           5.410          -2.160          -2.160           1.090 
03.11.2010  00:00:00           0.050          -2.030          -2.030           0.950 
04.11.2010  00:00:00           2.010          -0.320          -0.320           0.860 
05.11.2010  00:00:00          14.000          -1.690          -1.690           0.780 
06.11.2010  00:00:00           7.620          -3.440          -3.440           0.840 
07.11.2010  00:00:00          10.240          -3.740          -3.740           0.940 
08.11.2010  00:00:00           8.750          -8.090          -8.090           0.990 
09.11.2010  00:00:00           0.000          -9.820          -9.820           0.800 
10.11.2010  00:00:00           0.000         -13.510         -13.510           0.650 
11.11.2010  00:00:00           0.040          -9.190          -9.190           0.570 
12.11.2010  00:00:00           0.000          -7.480          -7.480           0.490 
13.11.2010  00:00:00           0.000          -8.890          -8.890           0.430 
14.11.2010  00:00:00           0.000          -9.230          -9.230           0.400 
15.11.2010  00:00:00           0.000         -12.160         -12.160           0.370 
16.11.2010  00:00:00           0.000         -12.410         -12.410           0.340 
17.11.2010  00:00:00           0.000          -9.850          -9.850           0.310 
18.11.2010  00:00:00           0.040         -11.790         -11.790           0.300 
19.11.2010  00:00:00           0.000         -13.140         -13.140           0.270 
20.11.2010  00:00:00           0.000          -8.210          -8.210           0.250 
21.11.2010  00:00:00           0.000         -11.420         -11.420           0.240 
22.11.2010  00:00:00           0.000         -10.040         -10.040           0.210 
23.11.2010  00:00:00           1.550          -9.130          -9.130           0.200 
24.11.2010  00:00:00           0.000         -13.670         -13.670           0.180 
25.11.2010  00:00:00           0.000         -18.540         -18.540           0.150 
26.11.2010  00:00:00           0.000         -17.370         -17.370           0.130 
27.11.2010  00:00:00           0.000         -15.940         -15.940           0.110 
28.11.2010  00:00:00           0.000         -18.460         -18.460           0.080 
29.11.2010  00:00:00           0.000         -19.060         -19.060           0.070 
30.11.2010  00:00:00           0.000         -15.500         -15.500           0.060 
01.12.2010  00:00:00           2.850         -10.090         -10.090           0.090 
02.12.2010  00:00:00           3.610          -5.210          -5.210           0.180 
03.12.2010  00:00:00           3.490          -4.610          -4.610           0.180 
04.12.2010  00:00:00           0.140          -7.290          -7.290           0.160 
05.12.2010  00:00:00           0.290         -10.920         -10.920           0.140 
06.12.2010  00:00:00           5.160         -10.260         -10.260           0.160 
07.12.2010  00:00:00           7.490          -7.870          -7.870           0.170 
08.12.2010  00:00:00           6.240          -6.850          -6.850           0.230 
09.12.2010  00:00:00           1.060         -12.350         -12.350           0.190 
10.12.2010  00:00:00           2.960         -13.480         -13.480           0.170 
11.12.2010  00:00:00           0.100         -13.880         -13.880           0.150 
12.12.2010  00:00:00           1.910         -15.290         -15.290           0.150 
13.12.2010  00:00:00           1.330         -13.510         -13.510           0.130 
14.12.2010  00:00:00           1.810         -10.500         -10.500           0.120 
15.12.2010  00:00:00           1.000          -8.520          -8.520           0.110 
16.12.2010  00:00:00          19.880          -5.040          -5.040           0.160 
17.12.2010  00:00:00           0.710          -8.480          -8.480           0.220 
18.12.2010  00:00:00           0.000          -9.210          -9.210           0.140 
19.12.2010  00:00:00           0.100         -15.290         -15.290           0.100 
20.12.2010  00:00:00           0.000         -19.410         -19.410           0.090 
21.12.2010  00:00:00           0.000         -17.210         -17.210           0.080 
22.12.2010  00:00:00           0.000         -16.290         -16.290           0.060 
23.12.2010  00:00:00           0.000         -18.450         -18.450           0.050 
24.12.2010  00:00:00           0.000         -19.330         -19.330           0.050 
25.12.2010  00:00:00           0.000         -16.420         -16.420           0.040 
26.12.2010  00:00:00           0.000         -11.740         -11.740           0.030 
27.12.2010  00:00:00           0.000         -13.970         -13.970           0.020 
28.12.2010  00:00:00           0.000         -11.980         -11.980           0.020 
29.12.2010  00:00:00           0.000         -12.110         -12.110           0.010 
30.12.2010  00:00:00           2.990         -11.890         -11.890           0.020 
31.12.2010  00:00:00          11.050          -6.790          -6.790           0.060 
01.01.2011  00:00:00           2.640          -8.780          -8.780           0.070 
