date        time     P_O_Leiraga_367 T_Leiraga_367mo T_Leiraga_367mo       Q_Leiraga 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
16.06.2007  00:00:00           4.570           5.080           5.080           5.850 
17.06.2007  00:00:00           0.150           5.510           5.510           5.650 
18.06.2007  00:00:00           0.000           6.770           6.770           5.350 
19.06.2007  00:00:00           0.000           8.020           8.020           6.750 
20.06.2007  00:00:00           0.000           6.450           6.450           5.910 
21.06.2007  00:00:00           0.000           6.640           6.640           5.870 
22.06.2007  00:00:00           0.000          12.500          12.500           9.590 
23.06.2007  00:00:00           1.620          12.030          12.030          12.220 
24.06.2007  00:00:00           0.000          12.720          12.720          12.150 
25.06.2007  00:00:00           0.000          13.090          13.090          11.860 
26.06.2007  00:00:00           0.000          13.600          13.600          13.050 
27.06.2007  00:00:00           0.000          10.310          10.310          10.450 
28.06.2007  00:00:00           0.000          10.000          10.000           8.870 
29.06.2007  00:00:00           4.640           9.720           9.720           9.340 
30.06.2007  00:00:00           0.000           8.780           8.780           8.540 
01.07.2007  00:00:00           0.000          11.600          11.600           9.970 
02.07.2007  00:00:00           0.000          14.790          14.790          11.680 
03.07.2007  00:00:00           0.000          15.210          15.210          13.580 
04.07.2007  00:00:00           0.000          17.200          17.200          14.050 
05.07.2007  00:00:00           0.000          18.270          18.270          14.400 
06.07.2007  00:00:00           0.000          17.140          17.140          13.600 
07.07.2007  00:00:00           0.000          18.370          18.370          15.000 
08.07.2007  00:00:00           0.000          14.650          14.650          15.910 
09.07.2007  00:00:00           0.000          14.590          14.590          12.310 
10.07.2007  00:00:00           0.000          15.090          15.090           8.760 
11.07.2007  00:00:00           0.160          11.680          11.680           8.840 
12.07.2007  00:00:00           0.140          14.270          14.270           9.480 
13.07.2007  00:00:00          10.680          14.130          14.130          16.440 
14.07.2007  00:00:00          14.350          12.290          12.290          11.110 
15.07.2007  00:00:00           0.010          13.660          13.660           7.580 
16.07.2007  00:00:00           6.270          12.450          12.450           8.180 
17.07.2007  00:00:00           0.020          10.170          10.170           6.140 
18.07.2007  00:00:00           2.270          11.820          11.820           6.590 
19.07.2007  00:00:00           1.200          11.270          11.270           6.670 
20.07.2007  00:00:00           0.000           8.970           8.970           5.010 
21.07.2007  00:00:00          12.100           8.680           8.680           8.310 
22.07.2007  00:00:00           0.000           8.750           8.750           4.620 
23.07.2007  00:00:00           0.000          11.390          11.390           4.380 
24.07.2007  00:00:00           0.000          12.340          12.340           4.920 
25.07.2007  00:00:00           0.000          11.170          11.170           5.080 
26.07.2007  00:00:00           6.210          11.090          11.090           5.560 
27.07.2007  00:00:00           0.000           9.660           9.660           4.520 
28.07.2007  00:00:00           0.000          13.480          13.480           8.160 
29.07.2007  00:00:00           0.300          14.050          14.050           8.400 
30.07.2007  00:00:00           0.000          13.240          13.240           6.640 
31.07.2007  00:00:00           1.100          13.610          13.610           5.250 
01.08.2007  00:00:00           2.670          10.900          10.900           6.790 
02.08.2007  00:00:00           8.230           9.100           9.100           6.600 
03.08.2007  00:00:00           1.890          10.080          10.080           5.290 
04.08.2007  00:00:00           0.140          10.660          10.660           6.950 
05.08.2007  00:00:00           1.740          12.320          12.320           8.320 
06.08.2007  00:00:00           2.620          12.140          12.140           6.740 
07.08.2007  00:00:00           0.010          12.800          12.800           7.650 
08.08.2007  00:00:00           0.000          17.170          17.170           8.670 
09.08.2007  00:00:00          10.910          16.490          16.490          11.140 
10.08.2007  00:00:00           4.730          10.770          10.770           6.380 
11.08.2007  00:00:00           0.000           9.740           9.740           4.620 
12.08.2007  00:00:00           0.000          13.020          13.020           5.510 
13.08.2007  00:00:00           0.000          12.600          12.600           6.650 
14.08.2007  00:00:00           3.520          15.250          15.250           8.340 
15.08.2007  00:00:00           0.000          11.000          11.000           4.150 
16.08.2007  00:00:00           8.910          13.920          13.920          11.260 
17.08.2007  00:00:00           6.160          11.380          11.380           5.010 
18.08.2007  00:00:00           7.390          11.420          11.420           4.140 
19.08.2007  00:00:00           7.630           9.690           9.690           5.670 
20.08.2007  00:00:00           8.340          10.130          10.130           6.340 
21.08.2007  00:00:00           0.000           7.840           7.840           2.920 
22.08.2007  00:00:00           0.000           8.890           8.890           1.760 
23.08.2007  00:00:00           0.440           9.070           9.070           3.550 
24.08.2007  00:00:00          11.210           9.440           9.440           8.080 
25.08.2007  00:00:00          12.400           8.600           8.600          18.780 
26.08.2007  00:00:00          18.400           8.480           8.480          13.030 
27.08.2007  00:00:00          16.640           7.760           7.760           5.350 
28.08.2007  00:00:00           0.000           5.710           5.710           2.340 
29.08.2007  00:00:00           5.970           5.540           5.540           2.050 
