date        time     P_O_Brusetbekke T_Brusetbekken_ T_Brusetbekken_  Q_Brusetbekken 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
22.10.2006  00:00:00           9.120           9.130           9.130           0.710 
23.10.2006  00:00:00           6.300          10.050          10.050           0.560 
24.10.2006  00:00:00           0.210           8.860           8.860           0.370 
25.10.2006  00:00:00           0.080           5.930           5.930           0.260 
26.10.2006  00:00:00           6.630           4.460           4.460           0.380 
27.10.2006  00:00:00          15.640           4.190           4.190           0.600 
28.10.2006  00:00:00           0.110           5.110           5.110           0.410 
29.10.2006  00:00:00           0.290           1.240           1.240           0.360 
30.10.2006  00:00:00           0.060           1.960           1.960           0.310 
31.10.2006  00:00:00          12.110           3.860           3.860           0.590 
01.11.2006  00:00:00           1.660           1.110           1.110           0.480 
02.11.2006  00:00:00           0.000          -1.660          -1.660           0.310 
03.11.2006  00:00:00           0.000          -0.810          -0.810           0.220 
04.11.2006  00:00:00           0.000          -0.830          -0.830           0.170 
05.11.2006  00:00:00           0.000           4.060           4.060           0.140 
06.11.2006  00:00:00           0.140           5.260           5.260           0.120 
07.11.2006  00:00:00           0.000          10.460          10.460           0.110 
08.11.2006  00:00:00           0.000           6.960           6.960           0.090 
09.11.2006  00:00:00           0.000           2.090           2.090           0.080 
10.11.2006  00:00:00           0.000           0.410           0.410           0.070 
11.11.2006  00:00:00           0.380           2.350           2.350           0.060 
12.11.2006  00:00:00           0.000           2.740           2.740           0.060 
13.11.2006  00:00:00           0.330           2.150           2.150           0.060 
14.11.2006  00:00:00          15.170           0.600           0.600           0.080 
15.11.2006  00:00:00           0.000           1.250           1.250           0.070 
16.11.2006  00:00:00          10.190           1.760           1.760           0.370 
17.11.2006  00:00:00          18.040           6.650           6.650           0.690 
18.11.2006  00:00:00           3.090           5.410           5.410           0.440 
19.11.2006  00:00:00           9.410           4.450           4.450           0.320 
20.11.2006  00:00:00           0.910           2.530           2.530           0.390 
21.11.2006  00:00:00          12.590           6.000           6.000           0.620 
22.11.2006  00:00:00           8.690           4.180           4.180           0.880 
23.11.2006  00:00:00          36.990           4.860           4.860           2.070 
24.11.2006  00:00:00          18.660           3.870           3.870           1.330 
25.11.2006  00:00:00           3.440           4.420           4.420           1.020 
26.11.2006  00:00:00          25.230           8.640           8.640           1.210 
27.11.2006  00:00:00           0.000           6.290           6.290           0.590 
28.11.2006  00:00:00           3.430           4.990           4.990           0.390 
29.11.2006  00:00:00           1.610           8.170           8.170           0.340 
30.11.2006  00:00:00           0.000           5.740           5.740           0.270 
01.12.2006  00:00:00           0.000           8.080           8.080           0.220 
02.12.2006  00:00:00           8.510           6.660           6.660           0.180 
03.12.2006  00:00:00           0.000           5.020           5.020           0.180 
04.12.2006  00:00:00          15.410           6.470           6.470           0.330 
05.12.2006  00:00:00           0.000           7.420           7.420           0.300 
06.12.2006  00:00:00           3.790           6.230           6.230           0.250 
07.12.2006  00:00:00           0.000           3.550           3.550           0.390 
08.12.2006  00:00:00          30.080           4.410           4.410           1.100 
09.12.2006  00:00:00           0.130           5.950           5.950           0.600 
10.12.2006  00:00:00           0.000           0.800           0.800           0.360 
11.12.2006  00:00:00           0.080           3.990           3.990           0.280 
12.12.2006  00:00:00           0.100           6.110           6.110           0.220 
13.12.2006  00:00:00           1.360           4.660           4.660           0.180 
14.12.2006  00:00:00           0.000           4.740           4.740           0.190 
15.12.2006  00:00:00           0.000           6.570           6.570           0.180 
16.12.2006  00:00:00           0.000           3.170           3.170           0.150 
17.12.2006  00:00:00           0.040           0.430           0.430           0.120 
18.12.2006  00:00:00           0.000          -2.120          -2.120           0.100 
19.12.2006  00:00:00           0.000          -2.120          -2.120           0.080 
20.12.2006  00:00:00           0.000           2.350           2.350           0.070 
21.12.2006  00:00:00           0.000           2.690           2.690           0.060 
22.12.2006  00:00:00           0.000          -2.050          -2.050           0.050 
23.12.2006  00:00:00           0.000           3.070           3.070           0.050 
24.12.2006  00:00:00           0.000           6.410           6.410           0.050 
25.12.2006  00:00:00           0.000           5.430           5.430           0.040 
26.12.2006  00:00:00           0.000          -1.820          -1.820           0.040 
27.12.2006  00:00:00           0.000          -0.390          -0.390           0.040 
28.12.2006  00:00:00           0.000           0.340           0.340           0.030 
29.12.2006  00:00:00           0.000          -3.000          -3.000           0.030 
