date        time     P_O_Vassvatn_20 T_Vassvatn_201m T_Vassvatn_201m      Q_Vassvatn 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
01.01.2000  00:00:00           0.000          -1.410          -1.410           0.480 
02.01.2000  00:00:00           2.540          -1.080          -1.080           0.460 
03.01.2000  00:00:00           7.720          -0.010          -0.010           0.450 
04.01.2000  00:00:00           6.470           0.190           0.190           0.460 
05.01.2000  00:00:00           6.300           0.280           0.280           0.460 
06.01.2000  00:00:00           7.420          -0.720          -0.720           0.460 
07.01.2000  00:00:00          30.300           1.930           1.930           0.510 
08.01.2000  00:00:00          32.500           2.830           2.830           0.600 
09.01.2000  00:00:00          18.110           2.350           2.350           0.730 
10.01.2000  00:00:00          12.010           1.620           1.620           0.860 
11.01.2000  00:00:00          31.250           2.110           2.110           0.960 
12.01.2000  00:00:00          18.780           2.430           2.430           1.050 
13.01.2000  00:00:00          25.710           1.120           1.120           1.100 
14.01.2000  00:00:00           7.680          -0.840          -0.840           1.050 
15.01.2000  00:00:00          30.310           0.610           0.610           1.010 
16.01.2000  00:00:00          28.120           2.170           2.170           1.110 
17.01.2000  00:00:00          13.050           0.910           0.910           1.370 
18.01.2000  00:00:00          10.160           0.990           0.990           1.450 
19.01.2000  00:00:00           9.360          -0.890          -0.890           1.250 
20.01.2000  00:00:00           6.910          -2.910          -2.910           1.030 
21.01.2000  00:00:00           3.680          -6.290          -6.290           0.820 
22.01.2000  00:00:00           0.000          -9.630          -9.630           0.670 
23.01.2000  00:00:00           0.000          -8.920          -8.920           0.610 
24.01.2000  00:00:00           2.730          -5.410          -5.410           0.570 
25.01.2000  00:00:00           6.320           0.410           0.410           0.550 
26.01.2000  00:00:00          14.100           2.960           2.960           0.570 
27.01.2000  00:00:00          14.220          -0.720          -0.720           0.650 
28.01.2000  00:00:00           7.710          -4.840          -4.840           0.720 
29.01.2000  00:00:00           5.230          -7.390          -7.390           0.710 
30.01.2000  00:00:00           7.060          -6.160          -6.160           0.640 
31.01.2000  00:00:00           9.440          -5.600          -5.600           0.620 
01.02.2000  00:00:00          14.170          -3.170          -3.170           0.620 
02.02.2000  00:00:00           1.970          -5.660          -5.660           0.620 
03.02.2000  00:00:00           7.000          -6.090          -6.090           0.600 
04.02.2000  00:00:00          19.360          -2.230          -2.230           0.590 
05.02.2000  00:00:00           2.800          -0.250          -0.250           0.600 
