date        time     P_O_Engabrevatn T_Engabrevatn_1 T_Engabrevatn_1   Q_Engabrevatn 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
19.06.2009  00:00:00           0.000           8.620           8.620           2.520 
20.06.2009  00:00:00           0.000           6.360           6.360           2.430 
21.06.2009  00:00:00           0.000           7.050           7.050           2.170 
22.06.2009  00:00:00           0.000           7.500           7.500           1.900 
23.06.2009  00:00:00           0.000           7.360           7.360           1.980 
24.06.2009  00:00:00           0.000           7.410           7.410           2.060 
25.06.2009  00:00:00           0.000           9.090           9.090           2.230 
26.06.2009  00:00:00           0.000          10.610          10.610           3.080 
27.06.2009  00:00:00           0.000          11.450          11.450           3.850 
28.06.2009  00:00:00           0.000          10.510          10.510           3.580 
29.06.2009  00:00:00           0.000           7.270           7.270           3.180 
30.06.2009  00:00:00           0.000          11.160          11.160           3.610 
01.07.2009  00:00:00           0.000          12.620          12.620           3.750 
02.07.2009  00:00:00           0.000           9.220           9.220           3.530 
03.07.2009  00:00:00           0.000          11.220          11.220           3.420 
04.07.2009  00:00:00           0.000          10.650          10.650           3.120 
05.07.2009  00:00:00           0.000           9.690           9.690           2.960 
06.07.2009  00:00:00           0.000           7.910           7.910           2.980 
07.07.2009  00:00:00           0.000           6.470           6.470           2.890 
08.07.2009  00:00:00           0.000           8.660           8.660           2.620 
09.07.2009  00:00:00           0.000          10.330          10.330           2.610 
10.07.2009  00:00:00           0.000          12.010          12.010           2.960 
11.07.2009  00:00:00           1.210          11.950          11.950           3.700 
12.07.2009  00:00:00           0.000          10.630          10.630           4.220 
13.07.2009  00:00:00           0.000          12.450          12.450           4.380 
14.07.2009  00:00:00           0.000          10.630          10.630           4.200 
15.07.2009  00:00:00           0.000          13.060          13.060           3.710 
16.07.2009  00:00:00           0.000          10.600          10.600           3.100 
17.07.2009  00:00:00           0.000          11.240          11.240           2.670 
18.07.2009  00:00:00           4.140           4.860           4.860           2.310 
19.07.2009  00:00:00           0.000           7.300           7.300           2.210 
20.07.2009  00:00:00           0.000          11.760          11.760           2.750 
21.07.2009  00:00:00           0.000          11.520          11.520           2.740 
22.07.2009  00:00:00           0.000           8.440           8.440           2.170 
23.07.2009  00:00:00           0.000          10.240          10.240           3.050 
24.07.2009  00:00:00           0.000          11.150          11.150           4.760 
25.07.2009  00:00:00          19.900           8.140           8.140           4.730 
26.07.2009  00:00:00           8.700           7.290           7.290           5.150 
27.07.2009  00:00:00           0.310          10.220          10.220           4.390 
28.07.2009  00:00:00           2.320           7.330           7.330           4.550 
29.07.2009  00:00:00           5.080           8.360           8.360           3.880 
30.07.2009  00:00:00           1.280          10.290          10.290           3.980 
31.07.2009  00:00:00           0.000          13.200          13.200           4.770 
01.08.2009  00:00:00           0.000          12.600          12.600           4.680 
02.08.2009  00:00:00           0.000          11.940          11.940           4.300 
03.08.2009  00:00:00           0.000          14.230          14.230           7.130 
04.08.2009  00:00:00           0.000          13.420          13.420           8.200 
05.08.2009  00:00:00           0.000          14.620          14.620           5.780 
06.08.2009  00:00:00           0.000          11.290          11.290           4.620 
07.08.2009  00:00:00           0.000          13.460          13.460           4.480 
08.08.2009  00:00:00           0.000          15.810          15.810           5.400 
09.08.2009  00:00:00           9.530          13.160          13.160           4.930 
10.08.2009  00:00:00           0.290          11.230          11.230           3.590 
11.08.2009  00:00:00           0.000          10.360          10.360           3.030 
12.08.2009  00:00:00           6.980           7.090           7.090           2.960 
13.08.2009  00:00:00           6.120           7.210           7.210           2.900 
14.08.2009  00:00:00          11.400           5.130           5.130           2.980 
15.08.2009  00:00:00          13.710           4.600           4.600           3.380 
16.08.2009  00:00:00           6.080           3.840           3.840           2.430 
17.08.2009  00:00:00           0.000           7.610           7.610           2.100 
18.08.2009  00:00:00           0.000           8.580           8.580           1.950 
19.08.2009  00:00:00           3.350           4.080           4.080           1.710 
20.08.2009  00:00:00           0.200           7.120           7.120           2.440 
21.08.2009  00:00:00           1.770          11.380          11.380           5.190 
22.08.2009  00:00:00           5.710           9.770           9.770           4.810 
23.08.2009  00:00:00           8.340          10.430          10.430           3.810 
24.08.2009  00:00:00           7.150           7.300           7.300           2.670 
25.08.2009  00:00:00           0.100           8.690           8.690           2.480 
26.08.2009  00:00:00           0.000          12.020          12.020           3.000 
27.08.2009  00:00:00           0.000          12.550          12.550           3.060 
28.08.2009  00:00:00           0.000          12.260          12.260           3.740 
29.08.2009  00:00:00           0.000          12.340          12.340           5.250 
30.08.2009  00:00:00           0.000          12.800          12.800           4.980 
31.08.2009  00:00:00          18.160           9.080           9.080          17.970 
01.09.2009  00:00:00          22.630           6.900           6.900          26.130 
02.09.2009  00:00:00          11.480           9.710           9.710          20.400 
03.09.2009  00:00:00          17.770           6.690           6.690          15.110 
04.09.2009  00:00:00           7.360           4.950           4.950           6.570 
05.09.2009  00:00:00          12.020           9.710           9.710           4.560 
06.09.2009  00:00:00           0.420           6.510           6.510           3.120 
07.09.2009  00:00:00           0.000           6.380           6.380           2.220 
08.09.2009  00:00:00          19.230           8.200           8.200           3.820 
09.09.2009  00:00:00          24.240           5.960           5.960          26.400 
10.09.2009  00:00:00          26.320           5.880           5.880          40.040 
11.09.2009  00:00:00          11.450           5.040           5.040          26.370 
12.09.2009  00:00:00          21.240           4.550           4.550          15.380 
13.09.2009  00:00:00           6.460           7.140           7.140           6.410 
14.09.2009  00:00:00           3.990           6.840           6.840           4.930 
15.09.2009  00:00:00           0.000           5.440           5.440           3.950 
16.09.2009  00:00:00          10.240           7.950           7.950           4.250 
17.09.2009  00:00:00          12.260           2.820           2.820           3.840 
18.09.2009  00:00:00           2.690           0.800           0.800           3.410 
19.09.2009  00:00:00          41.990           8.390           8.390           6.950 
20.09.2009  00:00:00           0.240           8.480           8.480           6.770 
21.09.2009  00:00:00          11.860           4.470           4.470           7.810 
22.09.2009  00:00:00          17.500           6.800           6.800           9.370 
23.09.2009  00:00:00          34.820           4.670           4.670          20.400 
24.09.2009  00:00:00          12.940           2.690           2.690           8.620 
25.09.2009  00:00:00          10.050           1.070           1.070           5.380 
26.09.2009  00:00:00          31.010           6.790           6.790          16.920 
27.09.2009  00:00:00          27.680           4.610           4.610          17.690 
28.09.2009  00:00:00          13.260           1.350           1.350           7.890 
29.09.2009  00:00:00          10.590          -0.280          -0.280           4.530 
30.09.2009  00:00:00          16.090          -0.440          -0.440           3.440 
01.10.2009  00:00:00          12.260          -0.640          -0.640           2.790 
02.10.2009  00:00:00          19.830          -0.810          -0.810           2.390 
03.10.2009  00:00:00           9.250          -4.150          -4.150           1.910 
04.10.2009  00:00:00           0.120           0.240           0.240           1.480 
05.10.2009  00:00:00           0.000          -5.090          -5.090           1.240 
06.10.2009  00:00:00           9.410          -3.460          -3.460           1.160 
07.10.2009  00:00:00           0.000          -1.100          -1.100           1.040 
08.10.2009  00:00:00           2.080          -1.700          -1.700           1.010 
09.10.2009  00:00:00          11.080           0.530           0.530           1.060 
10.10.2009  00:00:00           9.790          -0.200          -0.200           1.030 
11.10.2009  00:00:00           7.940          -2.640          -2.640           0.930 
12.10.2009  00:00:00           0.000          -7.240          -7.240           0.820 
13.10.2009  00:00:00           0.130          -6.370          -6.370           0.760 
14.10.2009  00:00:00           0.080          -5.820          -5.820           0.710 
15.10.2009  00:00:00           8.940           0.400           0.400           0.930 
16.10.2009  00:00:00          14.070           1.700           1.700           1.640 
17.10.2009  00:00:00           5.820          -0.640          -0.640           1.940 
18.10.2009  00:00:00           4.040           0.640           0.640           1.650 
19.10.2009  00:00:00           1.570           2.190           2.190           1.490 
20.10.2009  00:00:00          12.070           1.420           1.420           1.520 
21.10.2009  00:00:00           1.470           0.450           0.450           1.390 
22.10.2009  00:00:00           0.000           2.910           2.910           1.150 
23.10.2009  00:00:00           0.000           1.660           1.660           1.000 
24.10.2009  00:00:00           0.000          -2.400          -2.400           0.890 
25.10.2009  00:00:00           0.000          -3.970          -3.970           0.810 
26.10.2009  00:00:00           0.000           1.600           1.600           0.780 
27.10.2009  00:00:00           2.140           0.430           0.430           0.780 
28.10.2009  00:00:00           3.490          -3.460          -3.460           0.780 
29.10.2009  00:00:00           1.600          -2.810          -2.810           0.750 
30.10.2009  00:00:00           2.820          -3.270          -3.270           0.710 
31.10.2009  00:00:00           5.670           1.680           1.680           0.780 
01.11.2009  00:00:00           0.000          -0.610          -0.610           0.810 
02.11.2009  00:00:00           0.000          -2.450          -2.450           0.750 
03.11.2009  00:00:00           0.000           1.510           1.510           0.730 
04.11.2009  00:00:00           0.000           2.610           2.610           0.740 
05.11.2009  00:00:00           0.000          -0.490          -0.490           0.680 
06.11.2009  00:00:00           0.000          -2.460          -2.460           0.610 
07.11.2009  00:00:00           0.000          -1.970          -1.970           0.590 
08.11.2009  00:00:00           0.000          -0.740          -0.740           0.580 
09.11.2009  00:00:00           1.280          -0.610          -0.610           0.600 
10.11.2009  00:00:00           4.340          -0.320          -0.320           0.630 
11.11.2009  00:00:00           0.000          -3.860          -3.860           0.580 
12.11.2009  00:00:00           0.140          -4.040          -4.040           0.540 
13.11.2009  00:00:00           0.100          -7.100          -7.100           0.500 
14.11.2009  00:00:00           0.000          -5.720          -5.720           0.450 
15.11.2009  00:00:00           0.120          -2.920          -2.920           0.450 
16.11.2009  00:00:00           0.000           3.080           3.080           0.530 
17.11.2009  00:00:00           0.000           1.850           1.850           0.580 
18.11.2009  00:00:00           0.000           0.980           0.980           0.560 
19.11.2009  00:00:00           0.000          -0.400          -0.400           0.540 
20.11.2009  00:00:00           0.000          -0.310          -0.310           0.510 
21.11.2009  00:00:00          13.290           0.600           0.600           1.300 
22.11.2009  00:00:00          12.870           2.500           2.500           2.660 
23.11.2009  00:00:00           3.650           0.670           0.670           2.150 
24.11.2009  00:00:00           3.320          -2.970          -2.970           1.520 
25.11.2009  00:00:00           0.000          -2.780          -2.780           1.110 
26.11.2009  00:00:00           0.000           2.490           2.490           0.940 
27.11.2009  00:00:00           6.060          -1.890          -1.890           0.870 
28.11.2009  00:00:00          12.690          -1.240          -1.240           0.950 
29.11.2009  00:00:00           4.770          -6.220          -6.220           0.790 
30.11.2009  00:00:00           2.850          -4.920          -4.920           0.670 
01.12.2009  00:00:00           0.750          -8.460          -8.460           0.620 
02.12.2009  00:00:00          11.660          -5.030          -5.030           0.630 
03.12.2009  00:00:00           4.750          -4.820          -4.820           0.590 
04.12.2009  00:00:00           0.000          -4.410          -4.410           0.520 
05.12.2009  00:00:00           0.000          -2.910          -2.910           0.490 
06.12.2009  00:00:00           0.000          -5.030          -5.030           0.480 
07.12.2009  00:00:00           0.070          -0.920          -0.920           0.450 
08.12.2009  00:00:00           0.000          -0.050          -0.050           0.450 
09.12.2009  00:00:00           0.000          -5.880          -5.880           0.430 
10.12.2009  00:00:00           0.000          -6.010          -6.010           0.410 
11.12.2009  00:00:00           1.450          -5.320          -5.320           0.430 
12.12.2009  00:00:00           3.350          -2.200          -2.200           0.520 
13.12.2009  00:00:00           3.710          -5.090          -5.090           0.560 
14.12.2009  00:00:00           1.300          -4.610          -4.610           0.540 
15.12.2009  00:00:00           1.730          -9.460          -9.460           0.500 
16.12.2009  00:00:00           0.000         -12.730         -12.730           0.460 
17.12.2009  00:00:00           0.000         -14.950         -14.950           0.420 
18.12.2009  00:00:00           0.000         -13.130         -13.130           0.400 
19.12.2009  00:00:00           5.540          -8.660          -8.660           0.410 
20.12.2009  00:00:00           0.000          -7.140          -7.140           0.390 
21.12.2009  00:00:00           0.000          -9.860          -9.860           0.370 
22.12.2009  00:00:00           0.000         -11.000         -11.000           0.350 
23.12.2009  00:00:00           0.000         -14.380         -14.380           0.330 
24.12.2009  00:00:00           0.000         -13.180         -13.180           0.320 
25.12.2009  00:00:00           0.080         -10.730         -10.730           0.300 
26.12.2009  00:00:00           0.000         -12.280         -12.280           0.290 
27.12.2009  00:00:00           0.000          -9.270          -9.270           0.280 
28.12.2009  00:00:00           0.140         -12.000         -12.000           0.270 
29.12.2009  00:00:00           0.000         -16.700         -16.700           0.260 
30.12.2009  00:00:00           7.360          -9.920          -9.920           0.250 
31.12.2009  00:00:00           1.560          -6.320          -6.320           0.240 
01.01.2010  00:00:00           0.350          -5.760          -5.760           0.240 
02.01.2010  00:00:00           0.160         -17.970         -17.970           0.240 
03.01.2010  00:00:00           6.670         -10.800         -10.800           0.260 
04.01.2010  00:00:00           8.580          -6.230          -6.230           0.280 
05.01.2010  00:00:00           0.000         -15.230         -15.230           0.260 
06.01.2010  00:00:00           0.600         -17.110         -17.110           0.250 
07.01.2010  00:00:00           0.000         -17.630         -17.630           0.240 
08.01.2010  00:00:00           1.130         -17.300         -17.300           0.250 
09.01.2010  00:00:00          12.070          -7.070          -7.070           0.310 
10.01.2010  00:00:00           8.990           1.230           1.230           0.520 
11.01.2010  00:00:00          10.040           0.210           0.210           0.950 
12.01.2010  00:00:00           5.580           0.660           0.660           1.190 
13.01.2010  00:00:00           2.440          -1.000          -1.000           1.030 
14.01.2010  00:00:00           0.000          -6.710          -6.710           0.830 
15.01.2010  00:00:00           0.000          -8.290          -8.290           0.690 
16.01.2010  00:00:00           0.000          -8.180          -8.180           0.590 
17.01.2010  00:00:00           0.000          -8.310          -8.310           0.510 
18.01.2010  00:00:00           0.000          -7.270          -7.270           0.450 
19.01.2010  00:00:00           0.000          -7.660          -7.660           0.400 
20.01.2010  00:00:00           4.670          -5.140          -5.140           0.390 
21.01.2010  00:00:00           0.430          -2.000          -2.000           0.360 
22.01.2010  00:00:00           0.000          -6.250          -6.250           0.340 
23.01.2010  00:00:00           0.000          -8.950          -8.950           0.310 
24.01.2010  00:00:00           9.160         -13.430         -13.430           0.320 
25.01.2010  00:00:00           8.890          -5.100          -5.100           0.330 
26.01.2010  00:00:00           2.520          -1.320          -1.320           0.330 
27.01.2010  00:00:00          42.260          -2.030          -2.030           1.150 
28.01.2010  00:00:00          17.090          -6.770          -6.770           1.160 
29.01.2010  00:00:00           6.530         -14.950         -14.950           0.880 
30.01.2010  00:00:00           2.180         -14.280         -14.280           0.690 
31.01.2010  00:00:00           0.000         -18.230         -18.230           0.570 
01.02.2010  00:00:00           0.000         -19.930         -19.930           0.490 
02.02.2010  00:00:00           0.000         -16.550         -16.550           0.430 
03.02.2010  00:00:00           1.350         -10.980         -10.980           0.380 
04.02.2010  00:00:00           0.140         -11.030         -11.030           0.350 
05.02.2010  00:00:00           0.000          -8.960          -8.960           0.330 
06.02.2010  00:00:00           0.100         -13.690         -13.690           0.320 
07.02.2010  00:00:00           8.880          -5.660          -5.660           0.330 
08.02.2010  00:00:00           4.070          -4.950          -4.950           0.330 
09.02.2010  00:00:00           0.880          -9.250          -9.250           0.310 
10.02.2010  00:00:00           0.000         -12.350         -12.350           0.290 
11.02.2010  00:00:00           6.560          -8.080          -8.080           0.300 
12.02.2010  00:00:00           1.050          -8.890          -8.890           0.290 
13.02.2010  00:00:00          10.600          -1.700          -1.700           0.370 
14.02.2010  00:00:00           3.680          -1.920          -1.920           0.400 
15.02.2010  00:00:00           3.070          -3.340          -3.340           0.390 
16.02.2010  00:00:00           0.290          -8.900          -8.900           0.350 
17.02.2010  00:00:00           1.790         -11.820         -11.820           0.320 
18.02.2010  00:00:00           0.000         -13.810         -13.810           0.300 
19.02.2010  00:00:00           1.130         -15.800         -15.800           0.280 
20.02.2010  00:00:00           0.000         -16.760         -16.760           0.260 
21.02.2010  00:00:00           0.000         -18.960         -18.960           0.240 
22.02.2010  00:00:00           0.000         -15.270         -15.270           0.230 
23.02.2010  00:00:00           0.200         -20.990         -20.990           0.220 
