date        time     P_O_Stromdalen_ T_Stromdalen_33 T_Stromdalen_33    Q_Stromdalen 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
12.03.2007  00:00:00          16.590           2.360           2.360           2.680 
13.03.2007  00:00:00           4.340           3.020           3.020           4.020 
14.03.2007  00:00:00          35.450           2.250           2.250           6.230 
15.03.2007  00:00:00           8.980           3.010           3.010           8.730 
16.03.2007  00:00:00          37.600           2.630           2.630           6.950 
17.03.2007  00:00:00           0.450           1.260           1.260           2.530 
18.03.2007  00:00:00          12.290          -2.130          -2.130           1.480 
19.03.2007  00:00:00           0.000          -3.130          -3.130           1.140 
20.03.2007  00:00:00           0.000          -2.570          -2.570           0.940 
21.03.2007  00:00:00           7.170          -2.060          -2.060           0.640 
22.03.2007  00:00:00           0.000           0.420           0.420           0.580 
23.03.2007  00:00:00           0.000           1.800           1.800           0.580 
24.03.2007  00:00:00           0.000           2.670           2.670           0.800 
25.03.2007  00:00:00           0.000           4.200           4.200           1.310 
26.03.2007  00:00:00           0.000           3.410           3.410           1.560 
27.03.2007  00:00:00           0.000           3.210           3.210           1.370 
28.03.2007  00:00:00           0.000           3.150           3.150           1.250 
29.03.2007  00:00:00           0.000           3.860           3.860           1.370 
30.03.2007  00:00:00           8.900           2.670           2.670           1.440 
31.03.2007  00:00:00           3.580          -2.340          -2.340           1.140 
01.04.2007  00:00:00          13.140           1.700           1.700           6.780 
02.04.2007  00:00:00          28.880           2.920           2.920          10.760 
03.04.2007  00:00:00           4.900           0.350           0.350           3.780 
04.04.2007  00:00:00           4.590          -0.250          -0.250           3.300 
05.04.2007  00:00:00          15.800           0.160           0.160           2.430 
06.04.2007  00:00:00          12.540          -0.820          -0.820           1.650 
07.04.2007  00:00:00          13.990          -2.580          -2.580           1.390 
08.04.2007  00:00:00           2.180          -4.120          -4.120           1.290 
09.04.2007  00:00:00           0.000          -6.740          -6.740           1.020 
10.04.2007  00:00:00           0.000          -4.110          -4.110           0.870 
11.04.2007  00:00:00          18.580           0.450           0.450           0.910 
12.04.2007  00:00:00          15.220           1.180           1.180           0.900 
13.04.2007  00:00:00          19.980           3.600           3.600           4.930 
14.04.2007  00:00:00           5.860           5.150           5.150           7.790 
15.04.2007  00:00:00           3.330           6.530           6.530           9.690 
16.04.2007  00:00:00          15.370           6.440           6.440          17.730 
17.04.2007  00:00:00          10.370           3.550           3.550           6.760 
18.04.2007  00:00:00           5.010           0.590           0.590           3.120 
19.04.2007  00:00:00           3.960          -0.520          -0.520           2.020 
20.04.2007  00:00:00           9.630           0.550           0.550           1.510 
21.04.2007  00:00:00           0.020          -2.160          -2.160           1.220 
22.04.2007  00:00:00           0.000           0.690           0.690           1.050 
23.04.2007  00:00:00          15.940           3.530           3.530           2.690 
24.04.2007  00:00:00           1.320           3.160           3.160           3.940 
25.04.2007  00:00:00           4.210           6.050           6.050          12.030 
26.04.2007  00:00:00           1.900           4.600           4.600           7.390 
27.04.2007  00:00:00          12.100           4.940           4.940          10.390 
28.04.2007  00:00:00           6.970           3.400           3.400           4.440 
29.04.2007  00:00:00           8.610           2.730           2.730           3.950 
30.04.2007  00:00:00           0.000           3.570           3.570           2.970 
01.05.2007  00:00:00           0.470           2.940           2.940           2.610 
02.05.2007  00:00:00           0.000           3.290           3.290           2.340 
03.05.2007  00:00:00           1.150           3.630           3.630           2.200 
04.05.2007  00:00:00           3.800           3.110           3.110           2.830 
05.05.2007  00:00:00           4.870           3.060           3.060           3.090 
06.05.2007  00:00:00           5.270           3.130           3.130           2.490 
07.05.2007  00:00:00           0.050           6.210           6.210           2.800 
08.05.2007  00:00:00           7.470           3.850           3.850           3.190 
09.05.2007  00:00:00           6.700           2.940           2.940           2.630 
10.05.2007  00:00:00           0.000           1.800           1.800           2.040 
11.05.2007  00:00:00           0.000           2.720           2.720           1.600 
12.05.2007  00:00:00           0.000           4.870           4.870           1.510 
13.05.2007  00:00:00           2.670           6.000           6.000           1.780 
14.05.2007  00:00:00           3.790           5.350           5.350           2.380 
15.05.2007  00:00:00           0.050           5.950           5.950           2.830 
16.05.2007  00:00:00          32.820           5.990           5.990           8.480 
17.05.2007  00:00:00           4.910           4.620           4.620           4.250 
18.05.2007  00:00:00           2.850           3.760           3.760           2.850 
19.05.2007  00:00:00           1.720           7.550           7.550           3.820 
20.05.2007  00:00:00           9.370           5.970           5.970           6.820 
21.05.2007  00:00:00          29.650           5.820           5.820           9.710 
22.05.2007  00:00:00           4.290           5.010           5.010           5.650 
23.05.2007  00:00:00           9.900           6.960           6.960           5.240 
24.05.2007  00:00:00           8.100           4.600           4.600           3.680 
25.05.2007  00:00:00           8.790           4.840           4.840           3.490 
26.05.2007  00:00:00           2.930           5.280           5.280           2.820 
27.05.2007  00:00:00           3.590           5.370           5.370           2.680 
28.05.2007  00:00:00           3.950           5.160           5.160           2.780 
29.05.2007  00:00:00           0.000           6.290           6.290           2.680 
30.05.2007  00:00:00           0.000          10.820          10.820           3.420 
31.05.2007  00:00:00           0.000           8.860           8.860           2.740 
01.06.2007  00:00:00           0.000          10.940          10.940           3.380 
02.06.2007  00:00:00           0.000          11.370          11.370           3.880 
03.06.2007  00:00:00           0.000          13.160          13.160           3.210 
04.06.2007  00:00:00           0.000          11.860          11.860           2.800 
05.06.2007  00:00:00           0.000          11.950          11.950           2.780 
06.06.2007  00:00:00           0.000          10.100          10.100           2.440 
07.06.2007  00:00:00           0.000          11.400          11.400           2.260 
08.06.2007  00:00:00           0.000          11.340          11.340           2.150 
09.06.2007  00:00:00           0.000          10.610          10.610           1.950 
10.06.2007  00:00:00           0.000          10.370          10.370           1.800 
11.06.2007  00:00:00           0.600           9.960           9.960           2.550 
12.06.2007  00:00:00          15.720           7.200           7.200           3.010 
13.06.2007  00:00:00           0.860           4.600           4.600           1.660 
14.06.2007  00:00:00           0.010           6.200           6.200           1.290 
15.06.2007  00:00:00           2.000           7.410           7.410           1.390 
16.06.2007  00:00:00           5.260           5.780           5.780           1.740 
17.06.2007  00:00:00           0.640           6.050           6.050           1.500 
18.06.2007  00:00:00           0.000           7.120           7.120           1.390 
19.06.2007  00:00:00           1.660           8.220           8.220           1.590 
20.06.2007  00:00:00           1.910           6.850           6.850           1.370 
21.06.2007  00:00:00           0.000           7.170           7.170           1.240 
22.06.2007  00:00:00           0.000          12.410          12.410           1.850 
23.06.2007  00:00:00           2.110          12.310          12.310           2.120 
24.06.2007  00:00:00           0.020          13.000          13.000           1.820 
25.06.2007  00:00:00           0.000          13.160          13.160           1.590 
26.06.2007  00:00:00           0.000          13.390          13.390           1.420 
27.06.2007  00:00:00           0.000          10.840          10.840           1.510 
28.06.2007  00:00:00           0.000          10.890          10.890           1.220 
29.06.2007  00:00:00           4.280           9.900           9.900           1.610 
30.06.2007  00:00:00           0.000           9.180           9.180           1.470 
01.07.2007  00:00:00           0.000          11.860          11.860           1.610 
02.07.2007  00:00:00           0.000          15.080          15.080           1.660 
03.07.2007  00:00:00           0.000          15.800          15.800           1.710 
04.07.2007  00:00:00           0.000          17.360          17.360           1.420 
05.07.2007  00:00:00           0.000          18.530          18.530           1.440 
06.07.2007  00:00:00           0.000          17.530          17.530           1.230 
07.07.2007  00:00:00           0.000          18.580          18.580           1.280 
08.07.2007  00:00:00           0.000          15.950          15.950           1.380 
09.07.2007  00:00:00           0.000          15.760          15.760           1.070 
10.07.2007  00:00:00           0.000          15.710          15.710           0.850 
11.07.2007  00:00:00           1.740          12.440          12.440           0.800 
12.07.2007  00:00:00           0.000          14.820          14.820           0.820 
13.07.2007  00:00:00          11.070          14.760          14.760           1.700 
14.07.2007  00:00:00          19.410          12.740          12.740           1.300 
15.07.2007  00:00:00           0.000          13.870          13.870           0.860 
16.07.2007  00:00:00           4.790          12.640          12.640           0.840 
17.07.2007  00:00:00           3.510          10.490          10.490           0.670 
18.07.2007  00:00:00           0.190          12.070          12.070           0.590 
19.07.2007  00:00:00           0.050          11.350          11.350           0.650 
20.07.2007  00:00:00           2.400           9.280           9.280           0.690 
21.07.2007  00:00:00          19.050           9.250           9.250           1.890 
22.07.2007  00:00:00           0.000           9.130           9.130           0.880 
23.07.2007  00:00:00           0.000          11.340          11.340           0.670 
24.07.2007  00:00:00           0.000          12.120          12.120           0.580 
25.07.2007  00:00:00           0.000          11.260          11.260           0.540 
26.07.2007  00:00:00           4.770          11.090          11.090           0.570 
27.07.2007  00:00:00           0.000          10.100          10.100           0.500 
28.07.2007  00:00:00           0.000          13.350          13.350           0.540 
29.07.2007  00:00:00           1.000          14.100          14.100           0.520 
30.07.2007  00:00:00           0.000          13.850          13.850           0.480 
31.07.2007  00:00:00           5.610          13.980          13.980           0.420 
01.08.2007  00:00:00           3.700          11.040          11.040           0.870 
02.08.2007  00:00:00           9.980           9.640           9.640           1.090 
03.08.2007  00:00:00           2.030          10.970          10.970           0.690 
04.08.2007  00:00:00           0.000          11.080          11.080           0.610 
05.08.2007  00:00:00           6.440          12.960          12.960           0.700 
06.08.2007  00:00:00           0.180          12.700          12.700           0.630 
07.08.2007  00:00:00           0.020          12.810          12.810           0.620 
08.08.2007  00:00:00           0.000          17.340          17.340           0.540 
09.08.2007  00:00:00          10.120          15.750          15.750           1.140 
10.08.2007  00:00:00           7.610          10.980          10.980           1.620 
11.08.2007  00:00:00           0.000          10.100          10.100           0.870 
12.08.2007  00:00:00           0.000          13.850          13.850           0.690 
13.08.2007  00:00:00           0.020          12.850          12.850           0.600 
14.08.2007  00:00:00           2.610          15.310          15.310           0.570 
15.08.2007  00:00:00           0.000          11.520          11.520           0.470 
16.08.2007  00:00:00          11.130          14.530          14.530           1.040 
17.08.2007  00:00:00           8.660          11.850          11.850           0.770 
18.08.2007  00:00:00          11.510          11.580          11.580           1.210 
19.08.2007  00:00:00           7.270           9.900           9.900           1.340 
20.08.2007  00:00:00          11.590          10.450          10.450           2.340 
21.08.2007  00:00:00           0.000           8.640           8.640           1.280 
22.08.2007  00:00:00           0.000           9.550           9.550           0.880 
23.08.2007  00:00:00           0.050           9.800           9.800           0.770 
24.08.2007  00:00:00          15.580           9.980           9.980           2.120 
25.08.2007  00:00:00          14.580           9.230           9.230           3.730 
26.08.2007  00:00:00          21.720           9.010           9.010           6.050 
27.08.2007  00:00:00          14.940           8.360           8.360           4.490 
28.08.2007  00:00:00           3.190           6.550           6.550           2.310 
29.08.2007  00:00:00           8.850           6.140           6.140           3.030 
30.08.2007  00:00:00           7.860           3.820           3.820           2.590 
31.08.2007  00:00:00           7.790           2.450           2.450           2.500 
01.09.2007  00:00:00          10.350           3.570           3.570           3.360 
02.09.2007  00:00:00           0.980           6.420           6.420           2.170 
03.09.2007  00:00:00           5.890           6.760           6.760           2.200 
04.09.2007  00:00:00           5.040           7.080           7.080           2.200 
05.09.2007  00:00:00           0.000           6.760           6.760           2.850 
06.09.2007  00:00:00          11.340           7.500           7.500           5.570 
07.09.2007  00:00:00          16.080           6.340           6.340           4.390 
08.09.2007  00:00:00           7.700           7.550           7.550           2.150 
09.09.2007  00:00:00           2.730           8.230           8.230           1.650 
10.09.2007  00:00:00           5.300           7.190           7.190           1.320 
11.09.2007  00:00:00           0.050           6.710           6.710           1.590 
12.09.2007  00:00:00          26.220           7.310           7.310           8.300 
13.09.2007  00:00:00          16.760           5.910           5.910           4.050 
14.09.2007  00:00:00           9.430           7.230           7.230           5.580 
15.09.2007  00:00:00          10.330           7.290           7.290           6.220 
16.09.2007  00:00:00          30.610           5.350           5.350           6.330 
17.09.2007  00:00:00           3.380           6.600           6.600           2.800 
