date        time     P_O_Skauvoll_40 T_Skauvoll_401m T_Skauvoll_401m      Q_Skauvoll 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
11.05.2010  00:00:00           0.000           5.110           5.110           0.740 
12.05.2010  00:00:00           1.200           2.750           2.750           0.900 
13.05.2010  00:00:00           0.000           3.610           3.610           1.180 
14.05.2010  00:00:00           0.000           5.630           5.630           3.890 
15.05.2010  00:00:00           0.890           6.980           6.980           8.710 
16.05.2010  00:00:00           0.400           9.190           9.190          11.250 
17.05.2010  00:00:00           0.000          12.900          12.900          10.870 
18.05.2010  00:00:00           6.860           8.420           8.420           8.240 
19.05.2010  00:00:00           0.000           6.200           6.200           4.760 
20.05.2010  00:00:00           0.000           7.480           7.480           5.680 
21.05.2010  00:00:00           0.000           6.470           6.470           4.470 
22.05.2010  00:00:00           0.000           6.640           6.640           3.370 
23.05.2010  00:00:00           1.910           6.000           6.000           3.780 
24.05.2010  00:00:00           2.440           4.190           4.190           2.780 
25.05.2010  00:00:00           0.000           4.920           4.920           2.080 
26.05.2010  00:00:00           2.820           4.490           4.490           2.000 
27.05.2010  00:00:00           0.000           6.460           6.460           2.250 
28.05.2010  00:00:00           0.000           8.220           8.220           2.590 
29.05.2010  00:00:00           0.100           9.170           9.170           2.650 
30.05.2010  00:00:00           0.000           7.650           7.650           2.670 
31.05.2010  00:00:00           0.970           5.720           5.720           2.560 
01.06.2010  00:00:00           7.850           4.350           4.350           2.450 
02.06.2010  00:00:00           0.000           6.890           6.890           1.870 
03.06.2010  00:00:00           0.000           8.210           8.210           2.840 
04.06.2010  00:00:00           4.420           6.090           6.090           4.800 
05.06.2010  00:00:00           0.490           4.020           4.020           2.880 
06.06.2010  00:00:00           2.070           4.100           4.100           1.990 
07.06.2010  00:00:00           1.830           4.660           4.660           1.640 
08.06.2010  00:00:00           0.000           6.070           6.070           1.470 
09.06.2010  00:00:00           0.000           8.060           8.060           1.450 
10.06.2010  00:00:00           0.000           6.030           6.030           1.360 
11.06.2010  00:00:00           0.000           5.940           5.940           1.350 
12.06.2010  00:00:00           0.000          11.050          11.050           1.530 
13.06.2010  00:00:00           5.140          10.460          10.460           2.250 
14.06.2010  00:00:00           0.850           6.540           6.540           2.390 
15.06.2010  00:00:00           0.000           6.770           6.770           2.100 
16.06.2010  00:00:00           2.240           6.970           6.970           2.870 
17.06.2010  00:00:00           5.610           6.750           6.750           4.180 
18.06.2010  00:00:00           5.020           7.970           7.970           3.210 
19.06.2010  00:00:00           6.560           8.160           8.160           3.670 
20.06.2010  00:00:00          12.770           5.890           5.890           4.470 
21.06.2010  00:00:00           5.830           6.000           6.000           3.540 
22.06.2010  00:00:00           4.410           6.580           6.580           6.050 
23.06.2010  00:00:00           4.530           6.620           6.620           5.420 
24.06.2010  00:00:00           0.000           6.090           6.090           2.770 
25.06.2010  00:00:00           0.000          10.120          10.120           2.010 
26.06.2010  00:00:00           3.500          10.480          10.480           2.710 
27.06.2010  00:00:00           3.960           6.190           6.190           3.590 
28.06.2010  00:00:00           4.040           5.770           5.770           4.170 
29.06.2010  00:00:00           0.000           6.980           6.980           2.700 
30.06.2010  00:00:00           0.000          11.070          11.070           2.220 
01.07.2010  00:00:00           0.000          11.450          11.450           2.130 
02.07.2010  00:00:00           0.000           8.380           8.380           1.790 
03.07.2010  00:00:00           0.100          11.350          11.350           1.720 
04.07.2010  00:00:00           0.390          13.320          13.320           2.000 
05.07.2010  00:00:00           2.430          11.250          11.250           2.000 
06.07.2010  00:00:00           1.100          12.140          12.140           2.360 
07.07.2010  00:00:00           3.170           9.540           9.540           1.950 
08.07.2010  00:00:00           0.000          11.980          11.980           1.720 
09.07.2010  00:00:00           0.000          12.080          12.080           1.580 
10.07.2010  00:00:00           0.780          10.990          10.990           1.430 
11.07.2010  00:00:00           6.640          10.180          10.180           2.230 
12.07.2010  00:00:00           0.000          14.150          14.150           2.370 
13.07.2010  00:00:00           0.640          10.850          10.850           2.680 
14.07.2010  00:00:00          10.740           9.870           9.870           3.160 
15.07.2010  00:00:00           4.030           8.640           8.640           3.360 
16.07.2010  00:00:00           0.000          11.810          11.810           2.270 
17.07.2010  00:00:00           0.000          12.250          12.250           1.870 
18.07.2010  00:00:00           0.000          15.160          15.160           1.980 
19.07.2010  00:00:00          13.050          11.660          11.660           2.260 
20.07.2010  00:00:00           5.820           9.820           9.820           3.320 
21.07.2010  00:00:00           7.330           9.310           9.310           3.880 
22.07.2010  00:00:00           7.500           8.180           8.180           3.690 
23.07.2010  00:00:00          17.560           7.540           7.540           4.740 
24.07.2010  00:00:00           0.000           7.460           7.460           2.410 
25.07.2010  00:00:00           0.000           9.690           9.690           1.510 
26.07.2010  00:00:00           0.100          12.010          12.010           1.140 
27.07.2010  00:00:00           0.440          12.130          12.130           1.120 
28.07.2010  00:00:00           0.000          11.780          11.780           1.120 
29.07.2010  00:00:00           0.000          10.290          10.290           0.920 
30.07.2010  00:00:00           3.940          14.180          14.180           0.830 
31.07.2010  00:00:00           6.400          14.880          14.880           1.270 
01.08.2010  00:00:00           4.530          11.080          11.080           1.200 
02.08.2010  00:00:00           0.000          11.410          11.410           0.900 
03.08.2010  00:00:00           2.930          10.130          10.130           0.770 
04.08.2010  00:00:00           0.000          10.090          10.090           0.730 
05.08.2010  00:00:00           0.000          11.680          11.680           0.630 
06.08.2010  00:00:00           0.000          11.750          11.750           0.570 
07.08.2010  00:00:00           3.900          14.710          14.710           0.570 
08.08.2010  00:00:00           0.000          13.120          13.120           0.610 
09.08.2010  00:00:00           0.000          12.450          12.450           0.550 
10.08.2010  00:00:00           0.000          11.540          11.540           0.460 
11.08.2010  00:00:00           0.000          10.930          10.930           0.420 
12.08.2010  00:00:00           0.000          10.040          10.040           0.400 
13.08.2010  00:00:00           8.850          13.360          13.360           0.440 
14.08.2010  00:00:00           1.890          12.260          12.260           0.780 
15.08.2010  00:00:00          12.350          11.460          11.460           3.330 
16.08.2010  00:00:00           0.000           6.640           6.640           1.720 
17.08.2010  00:00:00           0.000           9.220           9.220           0.970 
18.08.2010  00:00:00           0.000          11.670          11.670           0.720 
19.08.2010  00:00:00           0.000           9.750           9.750           0.620 
20.08.2010  00:00:00           0.000          10.470          10.470           0.540 
21.08.2010  00:00:00           4.230          12.060          12.060           0.490 
22.08.2010  00:00:00           1.760          13.030          13.030           0.590 
23.08.2010  00:00:00          14.010          10.240          10.240           1.070 
24.08.2010  00:00:00           2.200           9.910           9.910           1.440 
25.08.2010  00:00:00           0.100           9.250           9.250           1.020 
26.08.2010  00:00:00           0.000           7.060           7.060           0.750 
27.08.2010  00:00:00           0.000           6.560           6.560           0.600 
28.08.2010  00:00:00           0.000           7.140           7.140           0.500 
29.08.2010  00:00:00           0.000           8.020           8.020           0.430 
30.08.2010  00:00:00           0.000           6.960           6.960           0.390 
31.08.2010  00:00:00           4.620           8.400           8.400           0.560 
01.09.2010  00:00:00           3.450           5.660           5.660           1.770 
02.09.2010  00:00:00           3.960           6.390           6.390           2.350 
03.09.2010  00:00:00           0.600           4.420           4.420           1.690 
04.09.2010  00:00:00           0.310           5.750           5.750           1.130 
05.09.2010  00:00:00           4.030           8.660           8.660           1.130 
06.09.2010  00:00:00           1.860           9.470           9.470           1.170 
07.09.2010  00:00:00           0.100           7.780           7.780           0.920 
08.09.2010  00:00:00           0.000           8.160           8.160           0.740 
09.09.2010  00:00:00           0.000          10.570          10.570           0.630 
