date        time     P_Strandå_15.6m T_Strandå_15.6m T_Strandå_15.6m       Q_Strandå 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
01.01.2000  00:00:00           0.000          -1.360          -1.360           0.470 
02.01.2000  00:00:00           0.700          -0.480          -0.480           0.400 
03.01.2000  00:00:00          12.470           0.270           0.270           0.370 
04.01.2000  00:00:00           0.000           0.550           0.550           0.350 
05.01.2000  00:00:00           1.890           0.330           0.330           0.320 
06.01.2000  00:00:00           5.220          -0.550          -0.550           0.360 
07.01.2000  00:00:00           7.470           1.840           1.840           0.610 
08.01.2000  00:00:00          14.620           3.050           3.050           1.650 
09.01.2000  00:00:00           8.650           3.480           3.480           4.510 
10.01.2000  00:00:00          10.420           2.120           2.120           3.630 
11.01.2000  00:00:00           6.290           2.440           2.440           2.770 
12.01.2000  00:00:00           8.100           2.240           2.240           2.330 
13.01.2000  00:00:00          13.330           0.380           0.380           1.530 
14.01.2000  00:00:00           3.310          -1.380          -1.380           1.010 
15.01.2000  00:00:00           7.130           0.400           0.400           0.830 
16.01.2000  00:00:00          12.300           1.120           1.120           2.100 
17.01.2000  00:00:00           7.770           1.200           1.200           3.360 
18.01.2000  00:00:00           6.730           1.030           1.030           2.620 
19.01.2000  00:00:00           3.210          -2.020          -2.020           1.590 
20.01.2000  00:00:00           3.030          -3.740          -3.740           0.880 
21.01.2000  00:00:00           0.360          -7.820          -7.820           0.650 
22.01.2000  00:00:00           2.610         -10.030         -10.030           0.570 
23.01.2000  00:00:00           0.000          -9.730          -9.730           0.490 
24.01.2000  00:00:00           2.200          -5.530          -5.530           0.460 
25.01.2000  00:00:00           2.230           0.130           0.130           0.430 
26.01.2000  00:00:00          10.190           2.960           2.960           2.340 
27.01.2000  00:00:00           3.840          -0.270          -0.270           2.380 
28.01.2000  00:00:00           3.910          -4.080          -4.080           1.440 
29.01.2000  00:00:00           6.830          -7.240          -7.240           1.000 
30.01.2000  00:00:00           0.000          -7.670          -7.670           1.040 
31.01.2000  00:00:00           7.180          -6.210          -6.210           0.880 
01.02.2000  00:00:00           2.130          -3.150          -3.150           0.530 
02.02.2000  00:00:00           2.050          -4.230          -4.230           0.420 
03.02.2000  00:00:00           4.220          -4.450          -4.450           0.370 
04.02.2000  00:00:00           5.430          -2.250          -2.250           0.310 
05.02.2000  00:00:00           3.070          -1.090          -1.090           0.300 
06.02.2000  00:00:00           2.170          -0.180          -0.180           0.330 
07.02.2000  00:00:00           9.740           2.270           2.270           0.780 
08.02.2000  00:00:00           0.000           1.570           1.570           0.950 
09.02.2000  00:00:00           3.370           0.110           0.110           0.800 
10.02.2000  00:00:00           4.020          -0.190          -0.190           0.710 
11.02.2000  00:00:00           7.590           0.900           0.900           1.070 
12.02.2000  00:00:00          16.020           1.750           1.750           1.810 
13.02.2000  00:00:00           2.550           1.720           1.720           1.750 
14.02.2000  00:00:00           8.420           1.520           1.520           1.320 
15.02.2000  00:00:00           1.050          -0.130          -0.130           0.970 
16.02.2000  00:00:00           0.000          -2.680          -2.680           0.700 
17.02.2000  00:00:00           0.000          -4.140          -4.140           0.520 
18.02.2000  00:00:00           0.000          -6.630          -6.630           0.410 
19.02.2000  00:00:00           2.250          -5.670          -5.670           0.350 
20.02.2000  00:00:00           7.230          -2.940          -2.940           0.320 
21.02.2000  00:00:00           0.000          -2.660          -2.660           0.300 
22.02.2000  00:00:00           0.000          -6.950          -6.950           0.310 
23.02.2000  00:00:00           0.000          -6.070          -6.070           0.310 
24.02.2000  00:00:00           2.010          -3.190          -3.190           0.280 
25.02.2000  00:00:00           0.000          -1.470          -1.470           0.230 
26.02.2000  00:00:00           0.000          -2.520          -2.520           0.230 
27.02.2000  00:00:00          10.600          -1.140          -1.140           0.260 
28.02.2000  00:00:00           8.030           1.630           1.630           0.500 
29.02.2000  00:00:00           5.870           0.790           0.790           0.940 
01.03.2000  00:00:00           1.130          -2.070          -2.070           0.940 
02.03.2000  00:00:00           0.270          -5.610          -5.610           0.740 
03.03.2000  00:00:00           1.150         -10.050         -10.050           0.580 
04.03.2000  00:00:00           0.200         -10.170         -10.170           0.540 
05.03.2000  00:00:00           0.000         -10.100         -10.100           0.560 
06.03.2000  00:00:00           3.960          -7.300          -7.300           0.530 
07.03.2000  00:00:00           0.000          -5.870          -5.870           0.470 
08.03.2000  00:00:00           1.730          -5.260          -5.260           0.430 
09.03.2000  00:00:00           2.060          -6.080          -6.080           0.390 
