date        time     P_Vallvatn_34.8 T_Vallvatn_34.8 T_Vallvatn_34.8      Q_Vallvatn 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
13.03.2007  00:00:00           0.000           3.240           3.240           0.180 
14.03.2007  00:00:00           9.280           3.080           3.080           0.250 
15.03.2007  00:00:00           6.650           2.900           2.900           0.470 
16.03.2007  00:00:00          10.660           4.140           4.140           1.210 
17.03.2007  00:00:00           1.560           0.880           0.880           2.160 
18.03.2007  00:00:00           9.750          -1.270          -1.270           2.240 
19.03.2007  00:00:00           0.000          -3.630          -3.630           1.950 
20.03.2007  00:00:00           0.000          -3.900          -3.900           1.630 
21.03.2007  00:00:00           0.090          -1.300          -1.300           1.360 
22.03.2007  00:00:00           0.000           1.000           1.000           1.140 
23.03.2007  00:00:00           0.000           2.280           2.280           1.000 
24.03.2007  00:00:00           0.000           3.750           3.750           0.910 
25.03.2007  00:00:00           0.000           5.080           5.080           0.880 
26.03.2007  00:00:00           0.000           4.090           4.090           0.910 
27.03.2007  00:00:00           0.000           3.290           3.290           1.030 
28.03.2007  00:00:00           0.000           3.440           3.440           1.150 
29.03.2007  00:00:00           0.000           5.390           5.390           1.240 
30.03.2007  00:00:00           3.350           3.190           3.190           1.380 
31.03.2007  00:00:00           3.240          -0.300          -0.300           1.480 
01.04.2007  00:00:00          16.210           3.400           3.400           2.530 
02.04.2007  00:00:00          20.000           5.030           5.030          14.140 
03.04.2007  00:00:00           3.070           0.310           0.310          15.220 
04.04.2007  00:00:00           3.130          -0.370          -0.370          11.010 
05.04.2007  00:00:00          14.080           0.850           0.850           9.970 
06.04.2007  00:00:00          14.440          -0.660          -0.660           7.790 
07.04.2007  00:00:00           4.430          -2.310          -2.310           5.630 
08.04.2007  00:00:00           0.040          -3.520          -3.520           4.050 
09.04.2007  00:00:00           0.000          -6.460          -6.460           3.000 
10.04.2007  00:00:00           0.000          -4.280          -4.280           2.300 
11.04.2007  00:00:00           6.650           0.640           0.640           1.910 
12.04.2007  00:00:00           7.760           1.510           1.510           1.650 
13.04.2007  00:00:00           4.710           4.400           4.400           1.980 
14.04.2007  00:00:00           6.650           5.680           5.680           5.000 
15.04.2007  00:00:00           0.930           7.460           7.460           9.700 
16.04.2007  00:00:00          13.250           8.190           8.190          16.980 
17.04.2007  00:00:00           7.990           4.740           4.740          20.700 
18.04.2007  00:00:00           0.310           1.050           1.050          14.220 
19.04.2007  00:00:00           0.060           0.330           0.330           9.010 
20.04.2007  00:00:00           0.090           1.440           1.440           6.010 
21.04.2007  00:00:00           0.010          -0.730          -0.730           4.200 
22.04.2007  00:00:00           0.000           1.770           1.770           3.130 
23.04.2007  00:00:00           7.750           4.380           4.380           2.820 
24.04.2007  00:00:00           0.000           3.850           3.850           3.330 
25.04.2007  00:00:00           0.000           8.050           8.050           6.010 
26.04.2007  00:00:00           2.080           5.690           5.690           8.280 
27.04.2007  00:00:00          21.350           6.030           6.030          12.510 
28.04.2007  00:00:00           0.640           3.610           3.610          12.520 
29.04.2007  00:00:00           6.860           3.220           3.220           9.000 
30.04.2007  00:00:00           0.000           3.600           3.600           7.090 
01.05.2007  00:00:00           4.280           3.450           3.450           5.510 
02.05.2007  00:00:00           0.510           4.530           4.530           4.670 
03.05.2007  00:00:00           1.530           4.360           4.360           4.060 
04.05.2007  00:00:00           4.270           4.450           4.450           4.190 
05.05.2007  00:00:00           3.090           4.930           4.930           4.200 
06.05.2007  00:00:00           0.000           3.620           3.620           3.910 
07.05.2007  00:00:00           0.460           7.350           7.350           3.620 
08.05.2007  00:00:00           1.750           5.390           5.390           3.640 
09.05.2007  00:00:00           0.560           3.710           3.710           3.470 
10.05.2007  00:00:00           2.710           3.440           3.440           3.080 
11.05.2007  00:00:00           1.910           2.270           2.270           2.890 
12.05.2007  00:00:00           0.000           4.770           4.770           2.530 
13.05.2007  00:00:00           0.000           6.260           6.260           2.270 
14.05.2007  00:00:00           2.020           7.290           7.290           2.310 
15.05.2007  00:00:00           1.300           7.500           7.500           2.610 
16.05.2007  00:00:00           2.050           7.720           7.720           3.000 
17.05.2007  00:00:00           7.360           5.410           5.410           3.390 
18.05.2007  00:00:00           0.000           4.570           4.570           3.240 
19.05.2007  00:00:00           0.050           7.760           7.760           3.120 
20.05.2007  00:00:00           2.790           7.370           7.370           3.460 
21.05.2007  00:00:00          10.260           7.610           7.610           5.290 
22.05.2007  00:00:00           6.740           6.450           6.450           6.510 
23.05.2007  00:00:00           0.180           9.120           9.120           6.680 
24.05.2007  00:00:00           1.070           5.570           5.570           5.670 
25.05.2007  00:00:00           0.140           6.740           6.740           4.790 
26.05.2007  00:00:00           1.100           6.440           6.440           3.930 
27.05.2007  00:00:00           0.000           6.890           6.890           3.280 
28.05.2007  00:00:00           0.600           6.310           6.310           2.920 
29.05.2007  00:00:00           0.000           6.760           6.760           2.640 
30.05.2007  00:00:00           0.000          14.210          14.210           2.540 
31.05.2007  00:00:00           0.000          10.030          10.030           2.550 
01.06.2007  00:00:00           0.000          12.910          12.910           2.320 
02.06.2007  00:00:00           0.000          14.210          14.210           2.170 
03.06.2007  00:00:00           0.000          15.920          15.920           2.090 
04.06.2007  00:00:00           0.000          14.890          14.890           1.980 
05.06.2007  00:00:00           0.000          14.540          14.540           1.890 
06.06.2007  00:00:00           0.000          11.660          11.660           1.780 
07.06.2007  00:00:00           0.000          13.420          13.420           1.630 
08.06.2007  00:00:00           0.000          12.950          12.950           1.490 
09.06.2007  00:00:00           0.000          12.730          12.730           1.350 
10.06.2007  00:00:00           0.000          12.370          12.370           1.220 
11.06.2007  00:00:00           1.480          11.580          11.580           1.190 
12.06.2007  00:00:00          14.260           7.930           7.930           1.310 
13.06.2007  00:00:00           0.000           6.260           6.260           1.270 
14.06.2007  00:00:00           6.280           7.820           7.820           1.170 
15.06.2007  00:00:00          10.910           8.150           8.150           1.060 
16.06.2007  00:00:00           4.070           7.260           7.260           0.980 
17.06.2007  00:00:00           2.040           6.990           6.990           0.970 
18.06.2007  00:00:00           0.470           7.410           7.410           0.930 
19.06.2007  00:00:00           0.000           8.440           8.440           0.880 
20.06.2007  00:00:00           0.610           7.290           7.290           0.840 
21.06.2007  00:00:00           0.000           7.530           7.530           0.800 
22.06.2007  00:00:00           0.000          14.170          14.170           0.760 
23.06.2007  00:00:00           0.200          16.540          16.540           0.760 
24.06.2007  00:00:00           0.000          16.470          16.470           0.740 
25.06.2007  00:00:00           0.000          17.190          17.190           0.690 
26.06.2007  00:00:00           0.440          16.680          16.680           0.640 
27.06.2007  00:00:00           0.000          12.930          12.930           0.590 
28.06.2007  00:00:00           0.000          13.630          13.630           0.540 
29.06.2007  00:00:00           0.040          11.240          11.240           0.510 
30.06.2007  00:00:00           0.000          10.860          10.860           0.500 
01.07.2007  00:00:00           0.000          14.190          14.190           0.480 
02.07.2007  00:00:00           0.000          18.310          18.310           0.450 
03.07.2007  00:00:00           0.000          19.810          19.810           0.430 
04.07.2007  00:00:00           0.000          21.020          21.020           0.400 
05.07.2007  00:00:00           0.000          22.260          22.260           0.370 
06.07.2007  00:00:00           0.000          22.140          22.140           0.330 
07.07.2007  00:00:00           0.000          22.780          22.780           0.300 
08.07.2007  00:00:00           0.000          17.810          17.810           0.270 
09.07.2007  00:00:00           0.000          18.450          18.450           0.250 
10.07.2007  00:00:00           0.040          17.620          17.620           0.230 
11.07.2007  00:00:00           1.870          14.610          14.610           0.210 
12.07.2007  00:00:00           0.000          18.180          18.180           0.190 
13.07.2007  00:00:00          12.680          17.490          17.490           0.230 
14.07.2007  00:00:00          18.710          13.320          13.320           0.380 
15.07.2007  00:00:00           0.000          14.570          14.570           0.400 
16.07.2007  00:00:00           0.040          15.690          15.690           0.410 
17.07.2007  00:00:00           0.000          12.020          12.020           0.410 
18.07.2007  00:00:00           0.000          13.590          13.590           0.400 
19.07.2007  00:00:00           0.000          12.260          12.260           0.370 
20.07.2007  00:00:00           3.510          10.940          10.940           0.350 
21.07.2007  00:00:00           7.190          10.460          10.460           0.350 
22.07.2007  00:00:00           0.000           9.370           9.370           0.340 
23.07.2007  00:00:00           0.000          11.720          11.720           0.330 
24.07.2007  00:00:00           0.000          13.370          13.370           0.310 
25.07.2007  00:00:00           0.000          11.960          11.960           0.290 
26.07.2007  00:00:00           2.610          12.560          12.560           0.290 
27.07.2007  00:00:00           0.000          10.610          10.610           0.280 
28.07.2007  00:00:00           0.000          14.680          14.680           0.270 
29.07.2007  00:00:00           0.000          18.170          18.170           0.250 
30.07.2007  00:00:00           0.000          16.500          16.500           0.240 
31.07.2007  00:00:00           0.000          16.200          16.200           0.220 
01.08.2007  00:00:00           0.840          14.840          14.840           0.220 
02.08.2007  00:00:00          10.190          10.840          10.840           0.240 
03.08.2007  00:00:00           0.000          12.210          12.210           0.250 
04.08.2007  00:00:00           0.000          12.000          12.000           0.250 
05.08.2007  00:00:00           1.470          14.900          14.900           0.270 
06.08.2007  00:00:00           0.000          15.250          15.250           0.290 
07.08.2007  00:00:00           0.000          14.510          14.510           0.290 
08.08.2007  00:00:00           0.000          20.670          20.670           0.290 
09.08.2007  00:00:00           0.000          20.460          20.460           0.320 
10.08.2007  00:00:00          20.990          12.780          12.780           0.390 
11.08.2007  00:00:00           0.020          11.810          11.810           0.420 
12.08.2007  00:00:00           0.000          17.770          17.770           0.420 
13.08.2007  00:00:00           0.000          15.870          15.870           0.420 
14.08.2007  00:00:00           2.910          18.340          18.340           0.410 
15.08.2007  00:00:00           3.210          12.410          12.410           0.400 
16.08.2007  00:00:00           1.550          16.920          16.920           0.400 
17.08.2007  00:00:00          12.610          13.050          13.050           0.490 
18.08.2007  00:00:00           5.410          12.150          12.150           0.510 
19.08.2007  00:00:00           0.950           9.500           9.500           0.500 
20.08.2007  00:00:00           0.210          10.860          10.860           0.490 
21.08.2007  00:00:00           0.000           8.590           8.590           0.480 
22.08.2007  00:00:00           0.000           9.810           9.810           0.460 
23.08.2007  00:00:00           0.050          11.000          11.000           0.440 
24.08.2007  00:00:00          15.410          11.150          11.150           0.560 
25.08.2007  00:00:00          16.050          10.170          10.170           0.780 
26.08.2007  00:00:00           7.400           9.760           9.760           1.020 
27.08.2007  00:00:00           4.650           8.640           8.640           1.120 
28.08.2007  00:00:00           0.220           7.530           7.530           1.090 
