date        time     P_O_MorsvikBru_ T_MorsvikBru_30 T_MorsvikBru_30    Q_MorsvikBru 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
29.04.2004  00:00:00           0.100           6.670           6.670           2.380 
30.04.2004  00:00:00           5.390           5.840           5.840           2.880 
01.05.2004  00:00:00           1.900           2.590           2.590           2.810 
02.05.2004  00:00:00           1.760           2.260           2.260           2.420 
03.05.2004  00:00:00           2.820           5.350           5.350           2.860 
04.05.2004  00:00:00           0.000           8.210           8.210           4.340 
05.05.2004  00:00:00           0.000           9.750           9.750           5.890 
06.05.2004  00:00:00           0.000          11.450          11.450           9.090 
07.05.2004  00:00:00           0.000          15.140          15.140          11.220 
08.05.2004  00:00:00           0.000          15.640          15.640          10.260 
09.05.2004  00:00:00           0.000          12.660          12.660           8.170 
10.05.2004  00:00:00           0.000           7.660           7.660           5.400 
11.05.2004  00:00:00           0.000           3.850           3.850           3.500 
12.05.2004  00:00:00           1.910           0.680           0.680           2.470 
13.05.2004  00:00:00           0.000           1.110           1.110           1.860 
14.05.2004  00:00:00           0.000           1.050           1.050           1.440 
15.05.2004  00:00:00           1.200           1.760           1.760           1.200 
16.05.2004  00:00:00           2.370           1.360           1.360           1.060 
17.05.2004  00:00:00           3.650           2.230           2.230           0.980 
18.05.2004  00:00:00          10.500           3.340           3.340           1.470 
19.05.2004  00:00:00           9.070           4.380           4.380           2.090 
20.05.2004  00:00:00           7.790           4.340           4.340           2.640 
21.05.2004  00:00:00           1.200           4.480           4.480           2.430 
22.05.2004  00:00:00           0.000           3.950           3.950           1.930 
23.05.2004  00:00:00           0.000           3.780           3.780           1.540 
24.05.2004  00:00:00           0.000           3.240           3.240           1.270 
25.05.2004  00:00:00           0.000           4.920           4.920           1.210 
26.05.2004  00:00:00           0.000           5.410           5.410           1.220 
27.05.2004  00:00:00           1.550           5.060           5.060           1.290 
28.05.2004  00:00:00           3.200           4.810           4.810           1.490 
29.05.2004  00:00:00           0.000           4.120           4.120           1.450 
30.05.2004  00:00:00           0.000           6.380           6.380           1.460 
31.05.2004  00:00:00           0.000           6.360           6.360           1.500 
01.06.2004  00:00:00           0.000           6.360           6.360           1.400 
02.06.2004  00:00:00           0.000           6.020           6.020           1.340 
03.06.2004  00:00:00           0.000           7.790           7.790           1.240 
04.06.2004  00:00:00           0.000           6.420           6.420           1.170 
05.06.2004  00:00:00           0.000           8.450           8.450           1.240 
06.06.2004  00:00:00           7.890           5.920           5.920           1.430 
07.06.2004  00:00:00           1.340           4.490           4.490           1.150 
08.06.2004  00:00:00           4.210           4.110           4.110           0.920 
09.06.2004  00:00:00           1.500           4.380           4.380           0.860 
10.06.2004  00:00:00           0.480           5.740           5.740           0.850 
11.06.2004  00:00:00           0.000           7.920           7.920           0.850 
12.06.2004  00:00:00           0.000           7.790           7.790           0.930 
13.06.2004  00:00:00           1.340           6.640           6.640           0.990 
14.06.2004  00:00:00          10.540           7.240           7.240           2.000 
15.06.2004  00:00:00          18.910           6.890           6.890           3.570 
16.06.2004  00:00:00           5.840           5.310           5.310           3.310 
17.06.2004  00:00:00           1.850           4.400           4.400           2.500 
18.06.2004  00:00:00           0.670           4.590           4.590           1.910 
19.06.2004  00:00:00           0.000           5.260           5.260           1.500 
20.06.2004  00:00:00           0.000           9.160           9.160           1.330 
21.06.2004  00:00:00           0.000          12.960          12.960           1.300 
22.06.2004  00:00:00           2.030          13.060          13.060           1.250 
23.06.2004  00:00:00           9.610          10.210          10.210           1.480 
24.06.2004  00:00:00           0.000           8.000           8.000           1.450 
25.06.2004  00:00:00           0.000          13.390          13.390           1.480 
26.06.2004  00:00:00           0.000          15.040          15.040           1.520 
27.06.2004  00:00:00           1.620          13.070          13.070           1.380 
28.06.2004  00:00:00           0.000          10.740          10.740           1.210 
29.06.2004  00:00:00           0.000          11.300          11.300           1.140 
30.06.2004  00:00:00           2.170          12.260          12.260           1.150 
01.07.2004  00:00:00           9.990          10.270          10.270           1.550 
