date        time     P_O_LaksaBru_15 T_LaksaBru_150m T_LaksaBru_150m      Q_LaksaBru 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
01.01.2000  00:00:00           0.000          -1.760          -1.760           0.390 
02.01.2000  00:00:00           0.000          -0.480          -0.480           0.330 
03.01.2000  00:00:00           6.390           0.620           0.620           0.340 
04.01.2000  00:00:00           0.000           0.670           0.670           0.330 
05.01.2000  00:00:00           5.040          -0.120          -0.120           0.340 
06.01.2000  00:00:00           3.040          -0.740          -0.740           0.360 
07.01.2000  00:00:00           9.160           1.510           1.510           0.570 
08.01.2000  00:00:00          15.960           2.780           2.780           1.360 
09.01.2000  00:00:00          17.260           3.430           3.430           3.150 
10.01.2000  00:00:00           4.580           2.050           2.050           2.670 
11.01.2000  00:00:00           9.510           2.020           2.020           2.330 
12.01.2000  00:00:00          11.660           1.740           1.740           2.100 
13.01.2000  00:00:00          18.690          -0.070          -0.070           1.680 
14.01.2000  00:00:00           5.420          -1.660          -1.660           1.260 
15.01.2000  00:00:00           6.820           0.090           0.090           1.050 
16.01.2000  00:00:00          15.210           0.610           0.610           1.510 
17.01.2000  00:00:00          13.410           0.900           0.900           2.210 
18.01.2000  00:00:00           7.930           0.450           0.450           1.980 
19.01.2000  00:00:00           7.860          -2.820          -2.820           1.510 
20.01.2000  00:00:00           3.720          -4.310          -4.310           1.150 
21.01.2000  00:00:00           3.340          -8.020          -8.020           0.860 
22.01.2000  00:00:00           2.340          -9.810          -9.810           0.720 
23.01.2000  00:00:00           0.410          -9.440          -9.440           0.610 
24.01.2000  00:00:00           4.100          -5.500          -5.500           0.540 
25.01.2000  00:00:00           1.800          -0.080          -0.080           0.570 
26.01.2000  00:00:00           8.240           2.560           2.560           2.150 
27.01.2000  00:00:00           5.550          -0.640          -0.640           2.290 
28.01.2000  00:00:00           4.610          -4.590          -4.590           1.550 
29.01.2000  00:00:00           6.620          -7.250          -7.250           1.130 
30.01.2000  00:00:00           2.060          -7.940          -7.940           0.990 
31.01.2000  00:00:00           7.170          -6.600          -6.600           0.860 
01.02.2000  00:00:00           3.970          -3.550          -3.550           0.790 
02.02.2000  00:00:00           2.430          -4.020          -4.020           0.680 
03.02.2000  00:00:00           6.890          -4.900          -4.900           0.660 
04.02.2000  00:00:00           4.080          -2.610          -2.610           0.610 
05.02.2000  00:00:00           4.430          -1.470          -1.470           0.520 
06.02.2000  00:00:00           5.610          -0.750          -0.750           0.530 
07.02.2000  00:00:00           4.420           2.080           2.080           0.700 
08.02.2000  00:00:00           3.360           1.350           1.350           0.690 
09.02.2000  00:00:00           1.540          -0.160          -0.160           0.610 
10.02.2000  00:00:00           1.970          -0.340          -0.340           0.600 
11.02.2000  00:00:00          11.630           0.420           0.420           0.930 
12.02.2000  00:00:00           8.440           1.340           1.340           1.260 
13.02.2000  00:00:00           0.970           1.440           1.440           1.150 
14.02.2000  00:00:00          10.320           1.360           1.360           0.980 
15.02.2000  00:00:00           2.200           0.160           0.160           0.770 
16.02.2000  00:00:00           0.000          -2.680          -2.680           0.620 
17.02.2000  00:00:00           0.000          -4.480          -4.480           0.510 
18.02.2000  00:00:00           0.000          -7.140          -7.140           0.430 
19.02.2000  00:00:00           4.780          -5.460          -5.460           0.420 
20.02.2000  00:00:00           4.340          -3.440          -3.440           0.430 
21.02.2000  00:00:00           5.130          -3.420          -3.420           0.400 
22.02.2000  00:00:00           0.000          -7.030          -7.030           0.350 
23.02.2000  00:00:00           1.350          -6.490          -6.490           0.330 
24.02.2000  00:00:00           0.000          -3.520          -3.520           0.310 
25.02.2000  00:00:00           0.080          -1.540          -1.540           0.270 
26.02.2000  00:00:00           0.000          -2.450          -2.450           0.250 
27.02.2000  00:00:00          12.600          -1.550          -1.550           0.290 
28.02.2000  00:00:00           7.400           0.860           0.860           0.360 
29.02.2000  00:00:00           4.570           0.240           0.240           0.480 
01.03.2000  00:00:00           5.390          -3.050          -3.050           0.490 
