date        time     P_O_Leirpoldvat T_Leirpoldvatn_ T_Leirpoldvatn_  Q_Leirpoldvatn 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
22.04.2010  00:00:00           0.000           0.170           0.170           0.300 
23.04.2010  00:00:00           0.000           0.510           0.510           0.310 
24.04.2010  00:00:00           0.000           0.610           0.610           0.320 
25.04.2010  00:00:00           1.850           1.170           1.170           0.360 
26.04.2010  00:00:00           1.640           0.440           0.440           1.760 
27.04.2010  00:00:00          22.270           0.070           0.070           2.920 
28.04.2010  00:00:00           6.130          -1.640          -1.640           1.000 
29.04.2010  00:00:00           2.240          -2.190          -2.190           0.550 
30.04.2010  00:00:00           0.280          -0.180          -0.180           0.410 
01.05.2010  00:00:00           0.000           0.840           0.840           0.400 
02.05.2010  00:00:00           0.570           0.940           0.940           0.410 
03.05.2010  00:00:00           3.400           0.350           0.350           0.550 
04.05.2010  00:00:00           2.300           0.580           0.580           0.480 
05.05.2010  00:00:00           0.000           0.800           0.800           0.450 
06.05.2010  00:00:00           0.040           2.680           2.680           0.500 
07.05.2010  00:00:00           0.000           2.590           2.590           0.520 
08.05.2010  00:00:00           0.000           4.090           4.090           0.810 
09.05.2010  00:00:00           2.160           1.720           1.720           0.980 
10.05.2010  00:00:00           0.000           1.500           1.500           0.770 
11.05.2010  00:00:00           0.000           4.820           4.820           0.750 
12.05.2010  00:00:00           0.010           4.080           4.080           0.930 
13.05.2010  00:00:00           0.000           5.310           5.310           1.030 
14.05.2010  00:00:00           0.420           7.760           7.760           1.840 
15.05.2010  00:00:00           0.000          10.440          10.440           4.760 
16.05.2010  00:00:00           0.000          13.380          13.380           6.340 
17.05.2010  00:00:00           0.000          13.790          13.790           6.100 
18.05.2010  00:00:00           1.780          12.930          12.930           4.430 
19.05.2010  00:00:00           3.820           6.460           6.460           2.770 
20.05.2010  00:00:00           0.000           8.770           8.770           3.580 
21.05.2010  00:00:00           2.850           7.900           7.900           2.730 
22.05.2010  00:00:00           0.470           6.670           6.670           1.730 
23.05.2010  00:00:00           5.820           7.070           7.070           3.780 
24.05.2010  00:00:00           1.340           4.950           4.950           1.800 
25.05.2010  00:00:00           0.520           6.790           6.790           1.170 
26.05.2010  00:00:00           0.000           9.420           9.420           1.140 
27.05.2010  00:00:00           0.000           8.210           8.210           1.060 
28.05.2010  00:00:00           0.000           9.820           9.820           0.990 
29.05.2010  00:00:00           0.000          11.000          11.000           0.890 
30.05.2010  00:00:00           0.000          10.430          10.430           0.870 
31.05.2010  00:00:00           1.880           6.710           6.710           0.890 
01.06.2010  00:00:00           5.200           4.310           4.310           0.880 
02.06.2010  00:00:00           0.000           5.450           5.450           0.680 
03.06.2010  00:00:00           0.070           9.440           9.440           0.740 
04.06.2010  00:00:00           4.410           6.510           6.510           0.910 
05.06.2010  00:00:00           3.920           3.820           3.820           0.820 
06.06.2010  00:00:00           1.190           3.780           3.780           0.730 
07.06.2010  00:00:00           0.080           5.270           5.270           0.600 
08.06.2010  00:00:00           0.000           6.660           6.660           0.500 
09.06.2010  00:00:00           0.000          10.030          10.030           0.460 
10.06.2010  00:00:00           0.000           6.130           6.130           0.440 
11.06.2010  00:00:00           0.000           5.740           5.740           0.420 
12.06.2010  00:00:00           0.110          12.180          12.180           0.420 
13.06.2010  00:00:00           5.590          11.840          11.840           0.600 
14.06.2010  00:00:00           5.820           7.820           7.820           0.760 
15.06.2010  00:00:00           0.010           7.680           7.680           0.630 
16.06.2010  00:00:00           2.550           8.720           8.720           0.570 
17.06.2010  00:00:00           4.430           9.260           9.260           0.690 
18.06.2010  00:00:00           0.610           9.260           9.260           0.610 
19.06.2010  00:00:00           9.710           9.640           9.640           1.370 
20.06.2010  00:00:00          16.780           4.740           4.740           2.200 
21.06.2010  00:00:00           3.890           6.300           6.300           1.360 
22.06.2010  00:00:00          17.830           7.780           7.780           1.480 
23.06.2010  00:00:00           8.820           7.930           7.930           1.560 
24.06.2010  00:00:00           0.510           7.420           7.420           1.130 
25.06.2010  00:00:00           0.000          10.390          10.390           0.800 
26.06.2010  00:00:00           3.400          12.610          12.610           0.700 
27.06.2010  00:00:00           2.380           8.940           8.940           0.680 
28.06.2010  00:00:00           1.490           7.890           7.890           0.600 
29.06.2010  00:00:00           0.060           8.000           8.000           0.510 
30.06.2010  00:00:00           0.000          12.290          12.290           0.420 
01.07.2010  00:00:00           0.000          12.590          12.590           0.360 
02.07.2010  00:00:00           0.010          10.060          10.060           0.320 
