date        time     P_O_Bjorntjonn_ T_Bjorntjonn_69 T_Bjorntjonn_69    Q_Bjorntjonn 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
01.01.2005  00:00:00           0.000          -7.160          -7.160           0.150 
02.01.2005  00:00:00           8.850          -1.830          -1.830           0.190 
03.01.2005  00:00:00           3.760          -3.110          -3.110           0.170 
04.01.2005  00:00:00           0.000          -1.040          -1.040           0.160 
05.01.2005  00:00:00           8.780           0.650           0.650           0.160 
06.01.2005  00:00:00          14.840           0.190           0.190           0.160 
07.01.2005  00:00:00          25.770           1.200           1.200           0.660 
08.01.2005  00:00:00           8.760           2.560           2.560           1.030 
09.01.2005  00:00:00          16.460          -0.460          -0.460           0.880 
10.01.2005  00:00:00          12.570          -0.910          -0.910           0.960 
11.01.2005  00:00:00           6.790           2.590           2.590           1.310 
12.01.2005  00:00:00           6.090           1.840           1.840           1.400 
13.01.2005  00:00:00          20.090           0.400           0.400           1.350 
14.01.2005  00:00:00           0.000          -1.850          -1.850           0.940 
15.01.2005  00:00:00           0.000         -11.630         -11.630           0.720 
16.01.2005  00:00:00           0.000          -4.390          -4.390           0.650 
17.01.2005  00:00:00           0.920           2.460           2.460           0.590 
18.01.2005  00:00:00           0.150           1.440           1.440           0.660 
19.01.2005  00:00:00           0.060          -5.070          -5.070           0.580 
20.01.2005  00:00:00           8.230          -6.510          -6.510           0.570 
21.01.2005  00:00:00           7.940          -4.910          -4.910           0.470 
22.01.2005  00:00:00           0.000          -8.190          -8.190           0.410 
23.01.2005  00:00:00           0.000          -6.810          -6.810           0.360 
24.01.2005  00:00:00           0.000          -8.280          -8.280           0.310 
25.01.2005  00:00:00           0.000         -11.490         -11.490           0.290 
26.01.2005  00:00:00           0.000         -10.470         -10.470           0.300 
27.01.2005  00:00:00           0.000          -4.470          -4.470           0.260 
28.01.2005  00:00:00           0.000          -3.020          -3.020           0.240 
29.01.2005  00:00:00           0.000          -7.470          -7.470           0.220 
30.01.2005  00:00:00           0.000          -2.300          -2.300           0.210 
31.01.2005  00:00:00           0.000           1.250           1.250           0.190 
01.02.2005  00:00:00           0.000          -2.010          -2.010           0.180 
02.02.2005  00:00:00           0.000          -1.050          -1.050           0.170 
03.02.2005  00:00:00           0.000          -2.980          -2.980           0.160 
04.02.2005  00:00:00           0.000          -1.040          -1.040           0.150 
05.02.2005  00:00:00           0.000           1.040           1.040           0.150 
06.02.2005  00:00:00           0.000           0.050           0.050           0.140 
07.02.2005  00:00:00           0.000          -4.350          -4.350           0.130 
08.02.2005  00:00:00           0.000          -6.400          -6.400           0.130 
09.02.2005  00:00:00           0.000          -6.110          -6.110           0.120 
10.02.2005  00:00:00          12.200          -3.380          -3.380           0.150 
11.02.2005  00:00:00           2.840          -3.840          -3.840           0.150 
12.02.2005  00:00:00           0.000          -3.900          -3.900           0.140 
13.02.2005  00:00:00           0.000          -4.330          -4.330           0.130 
14.02.2005  00:00:00           0.000          -6.160          -6.160           0.120 
15.02.2005  00:00:00           0.000          -8.890          -8.890           0.110 
16.02.2005  00:00:00           0.000         -13.600         -13.600           0.120 
17.02.2005  00:00:00           0.000         -12.240         -12.240           0.120 
18.02.2005  00:00:00           0.270          -3.020          -3.020           0.110 
19.02.2005  00:00:00           0.840          -2.960          -2.960           0.100 
20.02.2005  00:00:00           0.000          -7.590          -7.590           0.090 
21.02.2005  00:00:00           0.000          -8.340          -8.340           0.100 
22.02.2005  00:00:00           1.300          -7.610          -7.610           0.090 
23.02.2005  00:00:00           0.000         -10.690         -10.690           0.090 
24.02.2005  00:00:00           0.000         -13.580         -13.580           0.110 
25.02.2005  00:00:00           0.000          -9.620          -9.620           0.130 
26.02.2005  00:00:00           0.000          -7.710          -7.710           0.120 
27.02.2005  00:00:00           0.000         -11.960         -11.960           0.130 
28.02.2005  00:00:00           0.000         -10.490         -10.490           0.130 
01.03.2005  00:00:00           0.270          -6.900          -6.900           0.110 
02.03.2005  00:00:00           0.000         -16.040         -16.040           0.100 
03.03.2005  00:00:00           0.000         -18.080         -18.080           0.100 
04.03.2005  00:00:00           0.230          -9.290          -9.290           0.090 
05.03.2005  00:00:00           7.780          -4.010          -4.010           0.100 
06.03.2005  00:00:00           0.000          -9.980          -9.980           0.090 
