date        time     P_O_Rauvatn_507 T_Rauvatn_507mo T_Rauvatn_507mo       Q_Rauvatn 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
09.02.2003  00:00:00          35.760          -0.920          -0.920           0.060 
10.02.2003  00:00:00           8.840           0.780           0.780           0.070 
11.02.2003  00:00:00           6.260          -2.480          -2.480           0.070 
12.02.2003  00:00:00          10.910           0.350           0.350           0.080 
13.02.2003  00:00:00          12.210           1.080           1.080           0.080 
14.02.2003  00:00:00           0.230          -0.540          -0.540           0.080 
15.02.2003  00:00:00           3.330          -1.770          -1.770           0.080 
16.02.2003  00:00:00          15.420           0.820           0.820           0.090 
17.02.2003  00:00:00           6.600           2.340           2.340           0.090 
18.02.2003  00:00:00           2.050           1.820           1.820           0.090 
19.02.2003  00:00:00           0.000          -0.100          -0.100           0.090 
20.02.2003  00:00:00           0.030          -4.090          -4.090           0.090 
21.02.2003  00:00:00           0.000          -1.490          -1.490           0.100 
22.02.2003  00:00:00           0.000          -0.760          -0.760           0.100 
23.02.2003  00:00:00           8.080          -1.260          -1.260           0.100 
24.02.2003  00:00:00           3.500           1.070           1.070           0.100 
25.02.2003  00:00:00          15.860           0.820           0.820           0.110 
26.02.2003  00:00:00           2.220           1.370           1.370           0.120 
27.02.2003  00:00:00           1.700           1.210           1.210           0.120 
28.02.2003  00:00:00           0.000          -3.200          -3.200           0.120 
01.03.2003  00:00:00           0.000          -4.100          -4.100           0.120 
02.03.2003  00:00:00           0.000          -9.450          -9.450           0.120 
03.03.2003  00:00:00           0.000         -11.960         -11.960           0.120 
04.03.2003  00:00:00           0.000          -7.670          -7.670           0.120 
05.03.2003  00:00:00           0.000          -7.000          -7.000           0.120 
06.03.2003  00:00:00           0.000          -7.540          -7.540           0.120 
07.03.2003  00:00:00           8.030          -4.680          -4.680           0.120 
08.03.2003  00:00:00           3.500          -2.240          -2.240           0.120 
09.03.2003  00:00:00           7.140          -2.100          -2.100           0.120 
10.03.2003  00:00:00          11.000          -1.560          -1.560           0.120 
11.03.2003  00:00:00           8.160          -4.000          -4.000           0.120 
12.03.2003  00:00:00           3.600          -8.370          -8.370           0.120 
13.03.2003  00:00:00           5.100          -3.670          -3.670           0.120 
14.03.2003  00:00:00          35.580           1.120           1.120           0.120 
15.03.2003  00:00:00           8.320          -0.040          -0.040           0.120 
16.03.2003  00:00:00          12.970          -1.880          -1.880           0.120 
17.03.2003  00:00:00           4.130           0.520           0.520           0.130 
18.03.2003  00:00:00           4.680           0.000           0.000           0.130 
19.03.2003  00:00:00           9.610          -0.590          -0.590           0.140 
20.03.2003  00:00:00           7.420         -10.750         -10.750           0.150 
21.03.2003  00:00:00           0.000          -9.730          -9.730           0.170 
22.03.2003  00:00:00          28.230           0.920           0.920           0.210 
23.03.2003  00:00:00           9.820           1.050           1.050           0.240 
24.03.2003  00:00:00          13.520          -1.560          -1.560           0.310 
25.03.2003  00:00:00           4.680          -1.690          -1.690           0.400 
26.03.2003  00:00:00          15.600          -0.390          -0.390           0.490 
27.03.2003  00:00:00          14.970           0.610           0.610           0.570 
28.03.2003  00:00:00          10.310          -2.610          -2.610           0.620 
29.03.2003  00:00:00          10.730          -4.930          -4.930           0.610 
30.03.2003  00:00:00          19.640          -4.650          -4.650           0.580 
31.03.2003  00:00:00           2.650          -4.920          -4.920           0.500 
01.04.2003  00:00:00           0.000          -7.240          -7.240           0.440 
02.04.2003  00:00:00           9.200          -3.130          -3.130           0.390 
03.04.2003  00:00:00           5.940          -2.560          -2.560           0.380 
04.04.2003  00:00:00           1.280          -6.870          -6.870           0.360 
05.04.2003  00:00:00           6.040          -5.800          -5.800           0.350 
06.04.2003  00:00:00          13.280          -7.120          -7.120           0.330 
07.04.2003  00:00:00           0.000          -7.590          -7.590           0.310 
08.04.2003  00:00:00           0.000          -5.350          -5.350           0.290 
09.04.2003  00:00:00           0.120          -1.030          -1.030           0.260 
10.04.2003  00:00:00           0.000          -0.900          -0.900           0.240 
11.04.2003  00:00:00           0.000           0.460           0.460           0.210 
12.04.2003  00:00:00           0.000           0.600           0.600           0.200 
13.04.2003  00:00:00           0.000          -0.440          -0.440           0.190 
14.04.2003  00:00:00           0.000          -0.450          -0.450           0.180 
15.04.2003  00:00:00           0.040           0.350           0.350           0.170 
16.04.2003  00:00:00           6.000           1.510           1.510           0.170 
17.04.2003  00:00:00           2.800           1.560           1.560           0.170 
18.04.2003  00:00:00           0.000           3.870           3.870           0.180 
19.04.2003  00:00:00           0.000           4.460           4.460           0.190 
20.04.2003  00:00:00           0.000           4.590           4.590           0.240 
21.04.2003  00:00:00           0.000           5.350           5.350           0.330 
22.04.2003  00:00:00           0.000           2.040           2.040           0.470 
23.04.2003  00:00:00           0.900          -3.090          -3.090           0.590 
24.04.2003  00:00:00           0.000          -5.800          -5.800           0.650 
25.04.2003  00:00:00           0.000          -3.860          -3.860           0.650 
26.04.2003  00:00:00           0.000          -4.140          -4.140           0.580 
27.04.2003  00:00:00           0.000          -1.490          -1.490           0.520 
28.04.2003  00:00:00           0.000          -1.010          -1.010           0.470 
29.04.2003  00:00:00           0.000          -1.490          -1.490           0.420 
30.04.2003  00:00:00           0.000          -3.450          -3.450           0.370 
01.05.2003  00:00:00           0.000          -3.240          -3.240           0.340 
02.05.2003  00:00:00           0.000          -2.120          -2.120           0.320 
03.05.2003  00:00:00           0.430          -2.600          -2.600           0.300 
04.05.2003  00:00:00           0.000          -1.950          -1.950           0.270 
05.05.2003  00:00:00           0.000           0.300           0.300           0.250 
06.05.2003  00:00:00           7.660           3.000           3.000           0.240 
07.05.2003  00:00:00           2.540           1.460           1.460           0.240 
08.05.2003  00:00:00           2.890          -0.060          -0.060           0.240 
09.05.2003  00:00:00           0.000          -0.560          -0.560           0.230 
10.05.2003  00:00:00           6.050           1.930           1.930           0.220 
11.05.2003  00:00:00           1.710           1.100           1.100           0.220 
12.05.2003  00:00:00           0.760           3.540           3.540           0.210 
13.05.2003  00:00:00           0.000           7.880           7.880           0.280 
14.05.2003  00:00:00           0.000           6.910           6.910           0.610 
15.05.2003  00:00:00          11.820           5.170           5.170           1.280 
16.05.2003  00:00:00           8.790           0.700           0.700           1.730 
17.05.2003  00:00:00           0.000           2.220           2.220           1.850 
18.05.2003  00:00:00           0.000           6.620           6.620           2.470 
19.05.2003  00:00:00           0.000          10.210          10.210           5.060 
20.05.2003  00:00:00           0.000          11.300          11.300           8.110 
21.05.2003  00:00:00           5.520           9.200           9.200           9.880 
22.05.2003  00:00:00          12.790           7.300           7.300          10.290 
23.05.2003  00:00:00           5.260           4.460           4.460           7.860 
