date        time     P_O_Ovstevatn_6 T_Ovstevatn_653 T_Ovstevatn_653     Q_Ovstevatn 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
01.12.2008  00:00:00           0.000          -8.800          -8.800           0.200 
02.12.2008  00:00:00           0.810          -6.350          -6.350           0.180 
03.12.2008  00:00:00           0.000          -9.260          -9.260           0.170 
04.12.2008  00:00:00           0.000          -6.010          -6.010           0.160 
05.12.2008  00:00:00           0.000          -6.140          -6.140           0.150 
06.12.2008  00:00:00           0.000         -12.710         -12.710           0.150 
07.12.2008  00:00:00           0.100         -13.170         -13.170           0.160 
08.12.2008  00:00:00           0.000          -7.490          -7.490           0.180 
09.12.2008  00:00:00           0.000          -8.910          -8.910           0.180 
10.12.2008  00:00:00           0.000         -12.260         -12.260           0.170 
11.12.2008  00:00:00           0.000         -13.420         -13.420           0.170 
12.12.2008  00:00:00           0.000         -11.520         -11.520           0.170 
13.12.2008  00:00:00           0.000          -7.660          -7.660           0.180 
14.12.2008  00:00:00           0.000          -9.730          -9.730           0.180 
15.12.2008  00:00:00           0.000          -9.940          -9.940           0.180 
16.12.2008  00:00:00           0.000          -6.040          -6.040           0.180 
17.12.2008  00:00:00           7.190          -0.460          -0.460           0.180 
18.12.2008  00:00:00           0.000          -0.200          -0.200           0.230 
19.12.2008  00:00:00           0.000          -0.170          -0.170           0.260 
20.12.2008  00:00:00           7.290          -2.090          -2.090           0.280 
21.12.2008  00:00:00           0.000          -4.690          -4.690           0.240 
22.12.2008  00:00:00           0.000         -10.480         -10.480           0.230 
23.12.2008  00:00:00           7.320         -10.540         -10.540           0.230 
24.12.2008  00:00:00           0.000         -11.440         -11.440           0.230 
25.12.2008  00:00:00           0.000          -5.490          -5.490           0.230 
26.12.2008  00:00:00           8.370           2.400           2.400           0.250 
27.12.2008  00:00:00          11.260          -1.180          -1.180           0.560 
28.12.2008  00:00:00           1.370          -0.910          -0.910           0.570 
29.12.2008  00:00:00           5.830           2.260           2.260           0.780 
30.12.2008  00:00:00           8.670           1.380           1.380           0.910 
31.12.2008  00:00:00          22.260          -1.800          -1.800           0.830 
01.01.2009  00:00:00          14.280          -7.660          -7.660           0.530 
02.01.2009  00:00:00          16.570         -10.740         -10.740           0.420 
03.01.2009  00:00:00           4.380         -15.590         -15.590           0.420 
04.01.2009  00:00:00           6.360         -13.450         -13.450           0.390 
05.01.2009  00:00:00           5.710         -11.080         -11.080           0.320 
06.01.2009  00:00:00           8.120          -7.030          -7.030           0.290 
07.01.2009  00:00:00          11.170         -10.430         -10.430           0.300 
08.01.2009  00:00:00           4.610         -12.760         -12.760           0.320 
09.01.2009  00:00:00           3.810          -5.690          -5.690           0.310 
10.01.2009  00:00:00           8.940          -1.510          -1.510           0.520 
11.01.2009  00:00:00           9.480           3.370           3.370           1.330 
12.01.2009  00:00:00          13.460           0.100           0.100           1.160 
13.01.2009  00:00:00           3.990          -8.580          -8.580           0.720 
14.01.2009  00:00:00           0.000         -15.060         -15.060           0.500 
15.01.2009  00:00:00           0.000         -17.070         -17.070           0.390 
16.01.2009  00:00:00           0.270         -10.170         -10.170           0.330 
17.01.2009  00:00:00           0.000          -7.920          -7.920           0.310 
18.01.2009  00:00:00           0.000          -9.340          -9.340           0.270 
19.01.2009  00:00:00           0.000          -7.420          -7.420           0.260 
20.01.2009  00:00:00           0.000          -7.030          -7.030           0.250 
21.01.2009  00:00:00           0.000          -6.630          -6.630           0.190 
