date        time     P_O_Sneisvatn_4 T_Sneisvatn_48m T_Sneisvatn_48m     Q_Sneisvatn 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
24.03.2006  00:00:00           4.410          -4.260          -4.260           0.680 
25.03.2006  00:00:00          16.600          -1.460          -1.460           0.700 
26.03.2006  00:00:00           6.460          -3.780          -3.780           0.690 
27.03.2006  00:00:00           0.000          -4.590          -4.590           0.610 
28.03.2006  00:00:00           0.000          -3.610          -3.610           0.530 
29.03.2006  00:00:00           0.000          -4.700          -4.700           0.460 
30.03.2006  00:00:00           0.000          -6.360          -6.360           0.410 
31.03.2006  00:00:00           0.000          -6.960          -6.960           0.380 
01.04.2006  00:00:00           0.000          -6.470          -6.470           0.360 
02.04.2006  00:00:00           0.000          -6.680          -6.680           0.330 
03.04.2006  00:00:00           5.000          -2.140          -2.140           0.320 
04.04.2006  00:00:00           0.000          -1.420          -1.420           0.320 
05.04.2006  00:00:00           0.840          -2.270          -2.270           0.320 
06.04.2006  00:00:00           0.000          -2.220          -2.220           0.300 
07.04.2006  00:00:00           0.000          -0.310          -0.310           0.290 
08.04.2006  00:00:00           0.000           0.810           0.810           0.270 
09.04.2006  00:00:00           0.000           0.830           0.830           0.260 
10.04.2006  00:00:00           0.000          -0.060          -0.060           0.260 
11.04.2006  00:00:00           0.000           0.260           0.260           0.280 
12.04.2006  00:00:00           0.000          -0.210          -0.210           0.310 
13.04.2006  00:00:00           0.000           3.060           3.060           0.410 
14.04.2006  00:00:00           0.000           3.810           3.810           0.580 
15.04.2006  00:00:00           0.000           3.710           3.710           0.650 
16.04.2006  00:00:00           0.000           3.840           3.840           0.760 
17.04.2006  00:00:00           0.000           2.510           2.510           0.930 
18.04.2006  00:00:00           0.520           3.160           3.160           1.030 
19.04.2006  00:00:00           2.680           3.400           3.400           1.100 
20.04.2006  00:00:00           1.500           2.430           2.430           1.260 
21.04.2006  00:00:00           2.300           0.650           0.650           1.130 
22.04.2006  00:00:00           0.090           1.920           1.920           1.080 
23.04.2006  00:00:00           0.000           3.050           3.050           3.420 
24.04.2006  00:00:00           6.200           4.810           4.810           8.530 
25.04.2006  00:00:00           0.000           5.980           5.980           5.520 
26.04.2006  00:00:00           0.000           8.810           8.810           5.320 
27.04.2006  00:00:00           2.830           7.240           7.240           7.440 
28.04.2006  00:00:00           2.010           4.400           4.400           5.480 
29.04.2006  00:00:00           0.000           3.550           3.550           4.180 
30.04.2006  00:00:00           0.000           6.680           6.680           3.970 
01.05.2006  00:00:00           0.000           9.550           9.550           4.320 
02.05.2006  00:00:00           0.000           8.160           8.160           3.960 
03.05.2006  00:00:00           0.000           9.560           9.560           4.090 
