date        time     P_O_Langvatn_95 T_Langvatn_95mo T_Langvatn_95mo      Q_Langvatn 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
01.01.2000  00:00:00           0.000          -2.090          -2.090           0.160 
02.01.2000  00:00:00           0.130           0.080           0.080           0.160 
03.01.2000  00:00:00           7.290           1.280           1.280           0.170 
04.01.2000  00:00:00           0.160           0.900           0.900           0.180 
05.01.2000  00:00:00           7.950          -0.940          -0.940           0.180 
06.01.2000  00:00:00           0.360          -0.420          -0.420           0.220 
07.01.2000  00:00:00          18.040           1.440           1.440           0.420 
08.01.2000  00:00:00          21.640           2.400           2.400           0.970 
09.01.2000  00:00:00          36.930           3.340           3.340           2.120 
10.01.2000  00:00:00          16.290           1.830           1.830           1.480 
11.01.2000  00:00:00          13.610           1.010           1.010           1.170 
12.01.2000  00:00:00           6.860           1.310           1.310           0.910 
13.01.2000  00:00:00          14.690           0.070           0.070           0.690 
14.01.2000  00:00:00           2.710          -1.870          -1.870           0.500 
15.01.2000  00:00:00          13.850          -0.690          -0.690           0.460 
16.01.2000  00:00:00          15.710          -0.290          -0.290           0.620 
17.01.2000  00:00:00          20.990           0.860           0.860           0.860 
18.01.2000  00:00:00          12.180          -0.250          -0.250           0.940 
19.01.2000  00:00:00          11.080          -3.890          -3.890           0.710 
20.01.2000  00:00:00          13.700          -5.020          -5.020           0.730 
21.01.2000  00:00:00          10.210          -7.390          -7.390           0.770 
22.01.2000  00:00:00           3.280          -9.550          -9.550           0.530 
23.01.2000  00:00:00           2.640          -8.130          -8.130           0.410 
24.01.2000  00:00:00           6.560          -4.690          -4.690           0.330 
25.01.2000  00:00:00           1.290           0.310           0.310           0.290 
26.01.2000  00:00:00          19.160           2.160           2.160           0.790 
27.01.2000  00:00:00          10.690          -1.270          -1.270           0.830 
28.01.2000  00:00:00          12.280          -5.160          -5.160           0.710 
29.01.2000  00:00:00           4.960          -7.610          -7.610           0.560 
30.01.2000  00:00:00           4.020          -8.240          -8.240           0.490 
31.01.2000  00:00:00          22.260          -6.910          -6.910           0.490 
01.02.2000  00:00:00          25.350          -3.890          -3.890           0.540 
02.02.2000  00:00:00          12.770          -3.610          -3.610           0.610 
03.02.2000  00:00:00          11.510          -5.040          -5.040           0.570 
04.02.2000  00:00:00           4.510          -3.270          -3.270           0.600 
05.02.2000  00:00:00          10.890          -2.310          -2.310           0.540 
06.02.2000  00:00:00           0.660          -1.130          -1.130           0.470 
07.02.2000  00:00:00           8.430           1.900           1.900           0.440 
