date        time     P_O_Tjellingtje T_Tjellingtjern T_Tjellingtjern Q_Tjellingtjern 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
02.02.2002  00:00:00           4.600           1.750           1.750           0.110 
03.02.2002  00:00:00           0.000           5.050           5.050           0.380 
04.02.2002  00:00:00           7.950           4.050           4.050           0.370 
05.02.2002  00:00:00          14.550           2.250           2.250           0.350 
06.02.2002  00:00:00           0.500           2.250           2.250           0.210 
07.02.2002  00:00:00          13.850           0.300           0.300           0.180 
08.02.2002  00:00:00           0.000          -0.400          -0.400           0.100 
09.02.2002  00:00:00           7.750           2.150           2.150           0.170 
10.02.2002  00:00:00           0.000           3.300           3.300           0.170 
11.02.2002  00:00:00           0.000           0.850           0.850           0.080 
12.02.2002  00:00:00           8.550          -1.300          -1.300           0.050 
13.02.2002  00:00:00           0.000          -1.600          -1.600           0.030 
14.02.2002  00:00:00           0.000          -5.350          -5.350           0.020 
15.02.2002  00:00:00           0.000          -4.500          -4.500           0.020 
16.02.2002  00:00:00           0.000           2.550           2.550           0.020 
17.02.2002  00:00:00           0.000           4.600           4.600           0.020 
18.02.2002  00:00:00           0.000           2.950           2.950           0.020 
19.02.2002  00:00:00           0.000          -0.250          -0.250           0.020 
20.02.2002  00:00:00           0.000          -4.700          -4.700           0.020 
21.02.2002  00:00:00           0.000          -9.200          -9.200           0.010 
22.02.2002  00:00:00           4.900          -4.400          -4.400           0.010 
23.02.2002  00:00:00           7.300           1.150           1.150           0.010 
24.02.2002  00:00:00           0.000          -1.300          -1.300           0.010 
25.02.2002  00:00:00           0.000          -4.600          -4.600           0.010 
26.02.2002  00:00:00           6.200          -3.950          -3.950           0.010 
27.02.2002  00:00:00           2.850          -3.300          -3.300           0.010 
28.02.2002  00:00:00           2.850          -2.300          -2.300           0.010 
01.03.2002  00:00:00           0.000          -4.350          -4.350           0.010 
02.03.2002  00:00:00           0.000          -6.000          -6.000           0.010 
03.03.2002  00:00:00           0.000          -6.750          -6.750           0.010 
04.03.2002  00:00:00           0.000          -3.150          -3.150           0.010 
05.03.2002  00:00:00           0.000           3.150           3.150           0.010 
06.03.2002  00:00:00           0.000           2.350           2.350           0.010 
07.03.2002  00:00:00           0.000           0.300           0.300           0.020 
08.03.2002  00:00:00           0.000          -0.700          -0.700           0.020 
09.03.2002  00:00:00           9.700           1.700           1.700           0.020 
10.03.2002  00:00:00           0.000           0.900           0.900           0.030 
11.03.2002  00:00:00           8.300           0.400           0.400           0.030 
12.03.2002  00:00:00           0.000           1.950           1.950           0.040 
13.03.2002  00:00:00           0.000           1.800           1.800           0.040 
14.03.2002  00:00:00           0.000          -2.000          -2.000           0.030 
15.03.2002  00:00:00           0.000          -3.600          -3.600           0.020 
16.03.2002  00:00:00           0.000          -1.750          -1.750           0.020 
17.03.2002  00:00:00           3.450          -2.200          -2.200           0.010 
18.03.2002  00:00:00           2.200          -0.650          -0.650           0.010 
19.03.2002  00:00:00           9.400           1.650           1.650           0.150 
20.03.2002  00:00:00           6.150           2.550           2.550           0.160 
21.03.2002  00:00:00           0.000           0.150           0.150           0.060 
22.03.2002  00:00:00           0.000          -0.050          -0.050           0.040 
23.03.2002  00:00:00           0.000           0.000           0.000           0.030 
24.03.2002  00:00:00           0.000          -1.200          -1.200           0.030 
25.03.2002  00:00:00           0.000          -1.450          -1.450           0.020 
26.03.2002  00:00:00           0.550           0.550           0.550           0.020 
27.03.2002  00:00:00           0.000           0.750           0.750           0.040 
28.03.2002  00:00:00           0.000           1.550           1.550           0.040 
29.03.2002  00:00:00           0.000           3.400           3.400           0.050 
30.03.2002  00:00:00           0.000           2.500           2.500           0.040 
31.03.2002  00:00:00           0.000           1.450           1.450           0.040 
01.04.2002  00:00:00           0.000           2.250           2.250           0.040 
02.04.2002  00:00:00           4.900           4.100           4.100           0.070 
03.04.2002  00:00:00           1.350           5.000           5.000           0.080 
04.04.2002  00:00:00           0.000           4.300           4.300           0.060 
05.04.2002  00:00:00           0.000           5.250           5.250           0.050 
06.04.2002  00:00:00           0.000           2.200           2.200           0.040 
07.04.2002  00:00:00           3.200           4.150           4.150           0.030 
08.04.2002  00:00:00           0.000           4.000           4.000           0.030 
09.04.2002  00:00:00           0.000           2.550           2.550           0.020 
