date        time     P_O_Gronlivatn_ T_Gronlivatn_18 T_Gronlivatn_18    Q_Gronlivatn 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
01.01.2004  00:00:00           0.000          -0.410          -0.410           0.100 
02.01.2004  00:00:00           0.000           0.840           0.840           0.090 
03.01.2004  00:00:00           7.270           0.900           0.900           0.080 
04.01.2004  00:00:00           7.360           0.170           0.170           0.090 
05.01.2004  00:00:00           0.000          -1.110          -1.110           0.090 
06.01.2004  00:00:00           0.000          -1.540          -1.540           0.070 
07.01.2004  00:00:00           0.000          -0.040          -0.040           0.070 
08.01.2004  00:00:00           6.160           0.810           0.810           0.080 
09.01.2004  00:00:00           0.000           2.130           2.130           0.090 
10.01.2004  00:00:00           0.000           1.640           1.640           0.080 
11.01.2004  00:00:00           0.000           2.030           2.030           0.070 
12.01.2004  00:00:00           0.000           0.300           0.300           0.070 
13.01.2004  00:00:00           0.000           1.560           1.560           0.060 
14.01.2004  00:00:00           0.640          -0.970          -0.970           0.060 
15.01.2004  00:00:00           4.560          -0.090          -0.090           0.060 
16.01.2004  00:00:00           5.190          -0.190          -0.190           0.060 
17.01.2004  00:00:00          11.740           0.300           0.300           0.060 
18.01.2004  00:00:00           1.940          -0.860          -0.860           0.060 
19.01.2004  00:00:00           0.000          -2.210          -2.210           0.050 
20.01.2004  00:00:00           0.000          -5.610          -5.610           0.050 
21.01.2004  00:00:00           0.000          -5.590          -5.590           0.040 
22.01.2004  00:00:00           4.340          -2.410          -2.410           0.050 
23.01.2004  00:00:00          28.810           1.660           1.660           0.590 
24.01.2004  00:00:00           3.810           4.070           4.070           1.390 
25.01.2004  00:00:00           1.970           3.070           3.070           1.320 
26.01.2004  00:00:00           8.960           2.270           2.270           1.040 
27.01.2004  00:00:00           5.990          -5.630          -5.630           0.590 
28.01.2004  00:00:00           4.570          -5.200          -5.200           0.340 
29.01.2004  00:00:00           0.000          -3.060          -3.060           0.260 
30.01.2004  00:00:00           0.000          -3.110          -3.110           0.200 
31.01.2004  00:00:00           0.000          -4.460          -4.460           0.160 
01.02.2004  00:00:00           0.000          -4.340          -4.340           0.150 
02.02.2004  00:00:00          12.230          -2.170          -2.170           0.150 
03.02.2004  00:00:00           2.690          -0.790          -0.790           0.140 
04.02.2004  00:00:00           0.000          -2.190          -2.190           0.120 
05.02.2004  00:00:00           0.000          -1.760          -1.760           0.110 
06.02.2004  00:00:00           5.170          -2.310          -2.310           0.100 
07.02.2004  00:00:00           0.530          -2.930          -2.930           0.100 
08.02.2004  00:00:00           5.160          -2.640          -2.640           0.090 
09.02.2004  00:00:00           9.700          -5.030          -5.030           0.090 
10.02.2004  00:00:00          12.610          -5.410          -5.410           0.090 
11.02.2004  00:00:00           0.000          -4.940          -4.940           0.090 
12.02.2004  00:00:00           7.110          -0.560          -0.560           0.120 
13.02.2004  00:00:00           6.830           4.170           4.170           0.770 
14.02.2004  00:00:00          13.340           2.190           2.190           0.970 
15.02.2004  00:00:00           2.160           1.640           1.640           0.630 
16.02.2004  00:00:00           1.810           1.860           1.860           0.700 
17.02.2004  00:00:00           3.530           1.910           1.910           0.730 
18.02.2004  00:00:00           3.960           1.400           1.400           0.420 
19.02.2004  00:00:00           0.800           1.260           1.260           0.670 
20.02.2004  00:00:00           6.770           3.370           3.370           2.930 
21.02.2004  00:00:00           3.240           1.930           1.930           1.910 
22.02.2004  00:00:00           3.630          -1.240          -1.240           0.780 
23.02.2004  00:00:00           5.400          -2.230          -2.230           0.400 
24.02.2004  00:00:00           2.230          -0.990          -0.990           0.200 
25.02.2004  00:00:00           0.000          -2.110          -2.110           0.170 
26.02.2004  00:00:00           0.000          -3.890          -3.890           0.180 
27.02.2004  00:00:00           0.000          -5.200          -5.200           0.190 
