date        time     P_O_Gaslandsvat T_Gaslandsvatn_ T_Gaslandsvatn_  Q_Gaslandsvatn 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
01.01.2008  00:00:00           0.000           2.010           2.010           0.670 
02.01.2008  00:00:00           0.000           2.110           2.110           0.570 
03.01.2008  00:00:00           0.000           3.910           3.910           0.490 
04.01.2008  00:00:00           0.070           0.560           0.560           0.440 
05.01.2008  00:00:00           0.000           1.810           1.810           0.380 
06.01.2008  00:00:00           0.000           1.260           1.260           0.340 
07.01.2008  00:00:00           0.000           2.600           2.600           0.310 
08.01.2008  00:00:00           3.510           1.460           1.460           0.290 
09.01.2008  00:00:00           0.000           0.310           0.310           0.250 
10.01.2008  00:00:00           0.000          -0.400          -0.400           0.220 
11.01.2008  00:00:00           0.000          -0.290          -0.290           0.190 
12.01.2008  00:00:00           0.000           0.560           0.560           0.170 
13.01.2008  00:00:00           0.000          -0.100          -0.100           0.150 
14.01.2008  00:00:00           0.000          -0.560          -0.560           0.130 
15.01.2008  00:00:00           2.000           0.160           0.160           0.120 
16.01.2008  00:00:00           2.370           2.610           2.610           0.140 
17.01.2008  00:00:00           2.990          -0.690          -0.690           0.140 
18.01.2008  00:00:00           0.000          -2.630          -2.630           0.110 
19.01.2008  00:00:00           0.000           2.000           2.000           0.090 
20.01.2008  00:00:00           0.000           3.410           3.410           0.100 
21.01.2008  00:00:00           0.000           2.110           2.110           0.100 
22.01.2008  00:00:00           0.000           0.290           0.290           0.090 
23.01.2008  00:00:00           0.000          -0.760          -0.760           0.080 
24.01.2008  00:00:00           5.200           1.360           1.360           0.080 
25.01.2008  00:00:00           4.170           2.570           2.570           0.090 
26.01.2008  00:00:00           0.400          -0.740          -0.740           0.090 
27.01.2008  00:00:00           3.100          -1.710          -1.710           0.080 
28.01.2008  00:00:00           0.470           1.540           1.540           0.070 
29.01.2008  00:00:00           6.370           3.310           3.310           0.100 
30.01.2008  00:00:00           4.700           1.690           1.690           0.100 
31.01.2008  00:00:00           8.300           0.160           0.160           0.130 
01.02.2008  00:00:00           0.770          -3.210          -3.210           0.120 
02.02.2008  00:00:00           0.000           1.010           1.010           0.120 
03.02.2008  00:00:00           6.490           1.000           1.000           0.150 
04.02.2008  00:00:00           1.160           1.710           1.710           0.150 
05.02.2008  00:00:00           0.000           0.290           0.290           0.130 
