date        time     P_O_Lilleelv_38 T_Lilleelv_38mo T_Lilleelv_38mo      Q_Lilleelv 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
20.02.2004  00:00:00           0.000          -2.010          -2.010           0.590 
21.02.2004  00:00:00           0.000          -0.380          -0.380           0.510 
22.02.2004  00:00:00           0.000          -0.960          -0.960           0.480 
23.02.2004  00:00:00           5.030          -2.270          -2.270           0.580 
24.02.2004  00:00:00           0.000          -0.700          -0.700           0.430 
25.02.2004  00:00:00           0.000           0.630           0.630           0.420 
26.02.2004  00:00:00           0.000           0.300           0.300           0.410 
27.02.2004  00:00:00           0.000          -0.540          -0.540           0.360 
28.02.2004  00:00:00           1.100          -1.740          -1.740           0.340 
29.02.2004  00:00:00           0.110          -4.560          -4.560           0.400 
01.03.2004  00:00:00           0.000          -1.050          -1.050           0.310 
02.03.2004  00:00:00           0.000           4.470           4.470           0.300 
03.03.2004  00:00:00           0.000           2.840           2.840           0.290 
04.03.2004  00:00:00           0.200          -1.180          -1.180           0.290 
05.03.2004  00:00:00           0.000          -3.150          -3.150           0.260 
06.03.2004  00:00:00           0.000          -2.480          -2.480           0.270 
07.03.2004  00:00:00           0.000          -1.330          -1.330           0.250 
08.03.2004  00:00:00           0.000           0.230           0.230           0.250 
09.03.2004  00:00:00           0.000           0.680           0.680           0.260 
10.03.2004  00:00:00           0.000           0.600           0.600           0.250 
11.03.2004  00:00:00           0.000           1.090           1.090           0.230 
12.03.2004  00:00:00           0.000          -0.090          -0.090           0.220 
13.03.2004  00:00:00           2.930           0.160           0.160           0.230 
14.03.2004  00:00:00          58.830           0.520           0.520           0.590 
15.03.2004  00:00:00          18.730           3.340           3.340           3.000 
16.03.2004  00:00:00           0.500           5.650           5.650           3.640 
17.03.2004  00:00:00           0.000           6.480           6.480           5.170 
18.03.2004  00:00:00           0.000           5.850           5.850           5.580 
19.03.2004  00:00:00          11.310           4.670           4.670           6.840 
20.03.2004  00:00:00          21.240           3.780           3.780           8.560 
21.03.2004  00:00:00           0.000           2.960           2.960           7.730 
22.03.2004  00:00:00           0.000           3.790           3.790           6.170 
23.03.2004  00:00:00           0.350           2.010           2.010           4.800 
24.03.2004  00:00:00           0.090           1.860           1.860           3.760 
25.03.2004  00:00:00           1.840           1.510           1.510           3.000 
26.03.2004  00:00:00           0.840           0.100           0.100           2.480 
27.03.2004  00:00:00           0.000           2.440           2.440           2.120 
28.03.2004  00:00:00           0.000           5.430           5.430           1.940 
29.03.2004  00:00:00           0.000           3.310           3.310           1.800 
30.03.2004  00:00:00           0.000           6.260           6.260           1.720 
31.03.2004  00:00:00           0.000           5.240           5.240           1.640 
01.04.2004  00:00:00           0.000           6.530           6.530           1.570 
02.04.2004  00:00:00           0.000           4.660           4.660           1.490 
03.04.2004  00:00:00           0.000           3.440           3.440           1.430 
04.04.2004  00:00:00          11.390           2.680           2.680           1.890 
05.04.2004  00:00:00          20.710           4.300           4.300           2.670 
06.04.2004  00:00:00          10.430           4.080           4.080           3.750 
07.04.2004  00:00:00           2.800           4.360           4.360           3.640 
08.04.2004  00:00:00           0.350           4.720           4.720           3.290 
09.04.2004  00:00:00           0.000           5.010           5.010           2.780 
10.04.2004  00:00:00           0.000           5.870           5.870           2.330 
11.04.2004  00:00:00           0.000           5.380           5.380           1.950 
12.04.2004  00:00:00           0.000           6.280           6.280           1.630 
13.04.2004  00:00:00           0.000           4.510           4.510           1.370 
14.04.2004  00:00:00           0.000           6.660           6.660           1.150 
15.04.2004  00:00:00           0.000           5.890           5.890           0.970 
16.04.2004  00:00:00           0.000           4.580           4.580           0.820 
17.04.2004  00:00:00           0.000           6.360           6.360           0.700 
18.04.2004  00:00:00           0.000           8.100           8.100           0.630 
19.04.2004  00:00:00          13.680           8.350           8.350           0.870 
20.04.2004  00:00:00           9.550           8.150           8.150           1.130 
21.04.2004  00:00:00           4.390           5.400           5.400           1.340 
22.04.2004  00:00:00           0.000           6.640           6.640           1.380 
23.04.2004  00:00:00           0.760           7.030           7.030           1.390 
24.04.2004  00:00:00           0.000           7.270           7.270           1.260 
25.04.2004  00:00:00           0.030           9.600           9.600           1.080 
26.04.2004  00:00:00           2.530           8.810           8.810           0.950 
27.04.2004  00:00:00           3.750           8.340           8.340           0.910 
28.04.2004  00:00:00           1.740           7.250           7.250           0.800 
29.04.2004  00:00:00           0.000           8.110           8.110           0.680 
30.04.2004  00:00:00           0.000           8.590           8.590           0.600 
01.05.2004  00:00:00           0.000           9.080           9.080           0.540 
02.05.2004  00:00:00           1.680          10.530          10.530           0.510 
03.05.2004  00:00:00           0.000          10.190          10.190           0.460 
04.05.2004  00:00:00           1.970           9.470           9.470           0.430 
05.05.2004  00:00:00           5.780           9.110           9.110           0.620 
06.05.2004  00:00:00          19.180          10.830          10.830           0.980 
07.05.2004  00:00:00          18.380          12.850          12.850           1.800 
08.05.2004  00:00:00           0.610          15.730          15.730           2.150 
09.05.2004  00:00:00           1.330          15.370          15.370           2.160 
10.05.2004  00:00:00           0.080          17.190          17.190           1.900 
11.05.2004  00:00:00           0.110          15.060          15.060           1.600 
12.05.2004  00:00:00           0.000          11.320          11.320           1.320 
13.05.2004  00:00:00           0.000           9.110           9.110           1.080 
14.05.2004  00:00:00           0.120           9.690           9.690           0.870 
15.05.2004  00:00:00           0.000          11.590          11.590           0.700 
16.05.2004  00:00:00           0.000          13.000          13.000           0.600 
17.05.2004  00:00:00           0.000          14.460          14.460           0.520 
18.05.2004  00:00:00           0.000          13.020          13.020           0.460 
19.05.2004  00:00:00           0.000          12.070          12.070           0.400 
20.05.2004  00:00:00           0.000          10.480          10.480           0.350 
21.05.2004  00:00:00           0.000           8.620           8.620           0.310 
22.05.2004  00:00:00           0.000           8.200           8.200           0.280 
23.05.2004  00:00:00           0.550           6.210           6.210           0.260 
24.05.2004  00:00:00           0.000          10.930          10.930           0.230 
25.05.2004  00:00:00           0.000          12.300          12.300           0.210 
26.05.2004  00:00:00           3.200          10.730          10.730           0.200 
27.05.2004  00:00:00           0.410          10.390          10.390           0.190 
28.05.2004  00:00:00           0.000          12.800          12.800           0.180 
29.05.2004  00:00:00           0.000          11.720          11.720           0.160 
30.05.2004  00:00:00           0.000          12.060          12.060           0.150 
31.05.2004  00:00:00           0.000          12.520          12.520           0.140 
01.06.2004  00:00:00           0.000          12.600          12.600           0.130 
02.06.2004  00:00:00           0.000          12.830          12.830           0.120 
