date        time     P_O_Grosettjern T_Grosettjern_9 T_Grosettjern_9   Q_Grosettjern 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
13.03.2007  00:00:00           1.330           1.280           1.280           0.070 
14.03.2007  00:00:00           0.000           0.080           0.080           0.070 
15.03.2007  00:00:00           0.000           1.600           1.600           0.070 
16.03.2007  00:00:00           0.000           0.330           0.330           0.070 
17.03.2007  00:00:00           2.850          -2.670          -2.670           0.070 
18.03.2007  00:00:00           3.900          -4.070          -4.070           0.070 
19.03.2007  00:00:00           0.380          -4.480          -4.480           0.070 
20.03.2007  00:00:00           0.000          -4.720          -4.720           0.070 
21.03.2007  00:00:00           0.000          -6.070          -6.070           0.060 
22.03.2007  00:00:00           0.000          -8.030          -8.030           0.060 
23.03.2007  00:00:00           0.000          -0.020          -0.020           0.060 
24.03.2007  00:00:00           0.000          -0.880          -0.880           0.050 
25.03.2007  00:00:00           0.000           0.220           0.220           0.050 
26.03.2007  00:00:00           0.000          -2.120          -2.120           0.050 
27.03.2007  00:00:00           0.000          -1.630          -1.630           0.050 
28.03.2007  00:00:00           0.000          -0.770          -0.770           0.050 
29.03.2007  00:00:00           0.000          -0.120          -0.120           0.050 
30.03.2007  00:00:00           0.100          -0.830          -0.830           0.050 
31.03.2007  00:00:00           0.180          -1.450          -1.450           0.050 
01.04.2007  00:00:00           0.000          -2.580          -2.580           0.050 
02.04.2007  00:00:00           0.000           0.480           0.480           0.050 
03.04.2007  00:00:00           0.000          -0.380          -0.380           0.050 
04.04.2007  00:00:00           0.000           0.250           0.250           0.050 
05.04.2007  00:00:00           0.000           2.980           2.980           0.060 
06.04.2007  00:00:00           0.000          -4.150          -4.150           0.060 
07.04.2007  00:00:00           0.000          -6.230          -6.230           0.060 
08.04.2007  00:00:00           0.100          -5.000          -5.000           0.060 
09.04.2007  00:00:00           8.050          -5.380          -5.380           0.060 
10.04.2007  00:00:00           0.370          -1.370          -1.370           0.060 
11.04.2007  00:00:00           0.000           1.680           1.680           0.060 
12.04.2007  00:00:00           0.000           1.280           1.280           0.060 
13.04.2007  00:00:00           0.000           3.480           3.480           0.060 
14.04.2007  00:00:00           0.000           3.500           3.500           0.080 
15.04.2007  00:00:00           0.000           4.620           4.620           0.100 
16.04.2007  00:00:00           0.000           6.080           6.080           0.140 
17.04.2007  00:00:00           0.000           1.970           1.970           0.170 
18.04.2007  00:00:00           0.000          -0.920          -0.920           0.170 
19.04.2007  00:00:00           0.370          -1.170          -1.170           0.150 
20.04.2007  00:00:00           0.100          -4.630          -4.630           0.140 
21.04.2007  00:00:00           0.180          -6.000          -6.000           0.130 
22.04.2007  00:00:00           2.680          -1.700          -1.700           0.120 
23.04.2007  00:00:00           4.130           1.120           1.120           0.130 
24.04.2007  00:00:00           0.180           4.900           4.900           0.170 
25.04.2007  00:00:00           4.850           4.280           4.280           0.300 
26.04.2007  00:00:00           4.150           5.920           5.920           0.680 
27.04.2007  00:00:00           0.100           4.320           4.320           1.060 
28.04.2007  00:00:00           0.100           3.730           3.730           0.840 
29.04.2007  00:00:00           0.180           3.570           3.570           0.740 
30.04.2007  00:00:00           0.180           4.820           4.820           0.720 
01.05.2007  00:00:00           0.000           5.350           5.350           0.760 
02.05.2007  00:00:00           0.000           5.780           5.780           0.770 
03.05.2007  00:00:00           0.000           6.800           6.800           0.800 
04.05.2007  00:00:00           0.000           7.050           7.050           0.810 
05.05.2007  00:00:00           0.000           5.670           5.670           0.720 
06.05.2007  00:00:00           0.000           4.300           4.300           0.580 
07.05.2007  00:00:00           4.350           2.070           2.070           0.490 
08.05.2007  00:00:00           1.550           1.730           1.730           0.420 
09.05.2007  00:00:00           0.000           1.850           1.850           0.360 
10.05.2007  00:00:00           0.000           0.670           0.670           0.290 
11.05.2007  00:00:00           0.000          -0.420          -0.420           0.250 
12.05.2007  00:00:00           0.000           0.750           0.750           0.230 
13.05.2007  00:00:00          11.020           1.850           1.850           0.320 
14.05.2007  00:00:00           4.550           2.400           2.400           0.390 
15.05.2007  00:00:00           1.770           0.370           0.370           0.340 
16.05.2007  00:00:00           0.000          -0.800          -0.800           0.250 
17.05.2007  00:00:00           0.000          -0.400          -0.400           0.190 
18.05.2007  00:00:00           0.000           3.430           3.430           0.170 
19.05.2007  00:00:00           8.880           3.630           3.630           0.230 
20.05.2007  00:00:00           1.900           3.800           3.800           0.270 
21.05.2007  00:00:00           0.000           4.100           4.100           0.220 
22.05.2007  00:00:00           0.000           4.920           4.920           0.170 
23.05.2007  00:00:00           0.000           3.850           3.850           0.150 
24.05.2007  00:00:00           0.680           4.070           4.070           0.140 
25.05.2007  00:00:00           1.300           4.500           4.500           0.140 
26.05.2007  00:00:00           0.000           3.750           3.750           0.130 
27.05.2007  00:00:00           0.000           2.380           2.380           0.120 
28.05.2007  00:00:00           3.050           3.920           3.920           0.150 
29.05.2007  00:00:00           9.120           2.400           2.400           0.200 
30.05.2007  00:00:00           1.930           6.830           6.830           0.200 
31.05.2007  00:00:00           8.270           7.580           7.580           0.230 
01.06.2007  00:00:00           4.100           7.200           7.200           0.260 
02.06.2007  00:00:00           8.500           4.900           4.900           0.310 
03.06.2007  00:00:00           0.000           7.720           7.720           0.210 
04.06.2007  00:00:00           0.000          10.150          10.150           0.150 
05.06.2007  00:00:00           0.000          13.670          13.670           0.130 
06.06.2007  00:00:00           0.000          12.500          12.500           0.120 
07.06.2007  00:00:00           0.000          13.600          13.600           0.110 
08.06.2007  00:00:00           0.000          13.770          13.770           0.100 
09.06.2007  00:00:00           0.000          15.430          15.430           0.090 
10.06.2007  00:00:00           0.000          15.150          15.150           0.080 
11.06.2007  00:00:00           0.000          15.950          15.950           0.070 
12.06.2007  00:00:00           0.000          14.880          14.880           0.060 
13.06.2007  00:00:00           0.000           7.400           7.400           0.050 
14.06.2007  00:00:00           0.000           5.230           5.230           0.040 
15.06.2007  00:00:00           0.000           3.080           3.080           0.040 
16.06.2007  00:00:00           0.000           8.280           8.280           0.030 
17.06.2007  00:00:00           4.780           9.900           9.900           0.030 
18.06.2007  00:00:00           1.630           5.330           5.330           0.030 
19.06.2007  00:00:00           0.000          10.620          10.620           0.030 
20.06.2007  00:00:00           0.000          11.920          11.920           0.030 
21.06.2007  00:00:00           0.000          13.300          13.300           0.020 
22.06.2007  00:00:00           4.770          10.780          10.780           0.030 
23.06.2007  00:00:00          21.700           8.730           8.730           0.070 
24.06.2007  00:00:00          12.100           8.800           8.800           0.110 
25.06.2007  00:00:00           1.170          10.470          10.470           0.110 
26.06.2007  00:00:00           1.150          10.780          10.780           0.090 
27.06.2007  00:00:00           1.720          11.230          11.230           0.090 
28.06.2007  00:00:00           7.750          10.230          10.230           0.100 
29.06.2007  00:00:00           0.000           8.270           8.270           0.090 
30.06.2007  00:00:00           6.580           9.430           9.430           0.100 
01.07.2007  00:00:00           1.880           8.980           8.980           0.110 
02.07.2007  00:00:00           0.000           9.420           9.420           0.100 
03.07.2007  00:00:00          18.120           8.300           8.300           0.230 
04.07.2007  00:00:00          19.720           8.430           8.430           0.700 
05.07.2007  00:00:00           8.880           9.520           9.520           0.620 
06.07.2007  00:00:00           5.330          11.380          11.380           0.540 
