date        time     P_O_Grava_781mo  T_Grava_781moh  T_Grava_781moh         Q_Grava 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
22.03.2011  00:00:00           0.000           5.910           5.910           0.080 
23.03.2011  00:00:00           0.000           1.700           1.700           0.160 
24.03.2011  00:00:00           0.000           4.570           4.570           0.310 
25.03.2011  00:00:00           0.000           1.530           1.530           0.380 
26.03.2011  00:00:00           0.000          -7.170          -7.170           0.280 
27.03.2011  00:00:00           0.000          -7.160          -7.160           0.190 
28.03.2011  00:00:00           0.000          -2.910          -2.910           0.120 
29.03.2011  00:00:00           0.000          -1.890          -1.890           0.100 
30.03.2011  00:00:00           0.000          -4.190          -4.190           0.080 
31.03.2011  00:00:00           1.100          -2.740          -2.740           0.060 
01.04.2011  00:00:00           7.270          -3.070          -3.070           0.050 
02.04.2011  00:00:00           0.070           1.790           1.790           0.080 
03.04.2011  00:00:00           3.860           3.070           3.070           0.270 
04.04.2011  00:00:00           0.040           2.190           2.190           0.390 
05.04.2011  00:00:00           0.000           1.760           1.760           0.360 
06.04.2011  00:00:00           0.370           3.330           3.330           0.490 
07.04.2011  00:00:00           5.600           4.430           4.430           0.980 
08.04.2011  00:00:00           0.000           2.970           2.970           0.890 
09.04.2011  00:00:00           0.000           2.760           2.760           0.780 
10.04.2011  00:00:00           0.000           4.330           4.330           0.840 
11.04.2011  00:00:00           0.000           5.910           5.910           1.020 
12.04.2011  00:00:00           3.560           6.860           6.860           0.950 
13.04.2011  00:00:00           0.000           1.410           1.410           0.540 
14.04.2011  00:00:00           0.000           0.110           0.110           0.390 
15.04.2011  00:00:00           0.000           1.760           1.760           0.400 
16.04.2011  00:00:00           0.000           3.830           3.830           0.570 
17.04.2011  00:00:00           0.000           4.000           4.000           0.520 
18.04.2011  00:00:00           0.000           3.160           3.160           0.480 
19.04.2011  00:00:00           0.000           5.340           5.340           0.500 
20.04.2011  00:00:00           0.000           4.830           4.830           0.470 
21.04.2011  00:00:00           0.000           4.670           4.670           0.410 
22.04.2011  00:00:00           0.000           6.700           6.700           0.390 
23.04.2011  00:00:00           0.000           6.760           6.760           0.360 
24.04.2011  00:00:00           0.000           6.500           6.500           0.290 
25.04.2011  00:00:00           0.000           7.260           7.260           0.240 
26.04.2011  00:00:00           0.000           7.910           7.910           0.190 
27.04.2011  00:00:00           0.000           4.190           4.190           0.130 
28.04.2011  00:00:00           0.000           3.800           3.800           0.110 
29.04.2011  00:00:00           0.000           4.870           4.870           0.100 
30.04.2011  00:00:00           0.000           5.790           5.790           0.090 
01.05.2011  00:00:00           0.000           7.590           7.590           0.090 
02.05.2011  00:00:00           0.000           2.730           2.730           0.060 
03.05.2011  00:00:00           0.000           2.470           2.470           0.050 
04.05.2011  00:00:00           0.410          -0.160          -0.160           0.050 
05.05.2011  00:00:00           0.000           2.770           2.770           0.040 
06.05.2011  00:00:00           0.000           3.800           3.800           0.040 
07.05.2011  00:00:00           0.930           4.790           4.790           0.040 
08.05.2011  00:00:00           0.000           7.160           7.160           0.040 
09.05.2011  00:00:00           0.000           7.900           7.900           0.040 
10.05.2011  00:00:00           0.000           8.990           8.990           0.040 
11.05.2011  00:00:00           1.540           6.900           6.900           0.040 
12.05.2011  00:00:00           0.000           7.830           7.830           0.030 
13.05.2011  00:00:00           0.000           5.670           5.670           0.030 
14.05.2011  00:00:00           0.000           4.060           4.060           0.030 
15.05.2011  00:00:00           6.330           3.190           3.190           0.060 
16.05.2011  00:00:00           2.410           3.110           3.110           0.050 
17.05.2011  00:00:00           1.670           6.340           6.340           0.030 
18.05.2011  00:00:00           0.060           4.470           4.470           0.040 
19.05.2011  00:00:00           6.240           4.410           4.410           0.100 
20.05.2011  00:00:00           0.000           3.260           3.260           0.050 
21.05.2011  00:00:00           0.110           3.870           3.870           0.040 
22.05.2011  00:00:00           0.000           6.300           6.300           0.050 
23.05.2011  00:00:00           7.970           5.140           5.140           0.100 
24.05.2011  00:00:00           9.500           5.440           5.440           0.220 
25.05.2011  00:00:00           0.200           3.610           3.610           0.150 
26.05.2011  00:00:00           0.240           4.700           4.700           0.110 
27.05.2011  00:00:00          14.870           3.900           3.900           0.280 
28.05.2011  00:00:00           0.000           5.130           5.130           0.170 
29.05.2011  00:00:00           2.110           3.200           3.200           0.130 
30.05.2011  00:00:00           3.730           4.690           4.690           0.120 
31.05.2011  00:00:00          21.500           5.740           5.740           0.680 
01.06.2011  00:00:00           3.610           6.300           6.300           0.290 
02.06.2011  00:00:00           0.000           8.360           8.360           0.130 
03.06.2011  00:00:00           0.000          10.190          10.190           0.080 
04.06.2011  00:00:00           0.000          13.060          13.060           0.050 
05.06.2011  00:00:00           0.000          12.560          12.560           0.040 
06.06.2011  00:00:00           0.000          12.460          12.460           0.280 
07.06.2011  00:00:00          27.060          12.610          12.610           0.680 
08.06.2011  00:00:00           0.000          13.600          13.600           0.220 
09.06.2011  00:00:00           4.700          13.560          13.560           0.420 
10.06.2011  00:00:00           9.330          10.300          10.300           0.360 
11.06.2011  00:00:00           0.000          10.900          10.900           0.140 
12.06.2011  00:00:00           0.000          10.770          10.770           0.080 
13.06.2011  00:00:00           0.000           8.760           8.760           0.060 
14.06.2011  00:00:00           3.090           9.510           9.510           0.060 
15.06.2011  00:00:00           0.000           7.910           7.910           0.040 
16.06.2011  00:00:00           0.000           8.700           8.700           0.030 
