date        time        P_O_Storgama      ovf_607moh      T_Storgama      ovf_607moh 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
01.01.2007  00:00:00          18.630           0.270           0.270           0.040 
02.01.2007  00:00:00           0.000           0.870           0.870           0.030 
03.01.2007  00:00:00           0.000          -0.970          -0.970           0.020 
04.01.2007  00:00:00           4.770           0.270           0.270           0.020 
05.01.2007  00:00:00           0.030           1.600           1.600           0.020 
06.01.2007  00:00:00           1.630          -1.700          -1.700           0.010 
07.01.2007  00:00:00           0.000          -0.800          -0.800           0.010 
08.01.2007  00:00:00           9.130           1.600           1.600           0.020 
09.01.2007  00:00:00           6.730           1.600           1.600           0.030 
10.01.2007  00:00:00           0.100           2.970           2.970           0.030 
11.01.2007  00:00:00           0.030          -3.700          -3.700           0.020 
12.01.2007  00:00:00           9.570          -5.100          -5.100           0.020 
13.01.2007  00:00:00           6.200           1.870           1.870           0.020 
14.01.2007  00:00:00          19.030           0.530           0.530           0.040 
15.01.2007  00:00:00           0.200          -1.170          -1.170           0.030 
16.01.2007  00:00:00           0.000           3.370           3.370           0.040 
17.01.2007  00:00:00           0.000          -3.300          -3.300           0.020 
18.01.2007  00:00:00           9.130          -4.600          -4.600           0.020 
19.01.2007  00:00:00           0.000          -4.430          -4.430           0.010 
20.01.2007  00:00:00           0.000          -6.230          -6.230           0.010 
21.01.2007  00:00:00          21.970          -3.470          -3.470           0.010 
22.01.2007  00:00:00           0.030         -10.730         -10.730           0.010 
23.01.2007  00:00:00           0.000         -12.900         -12.900           0.010 
24.01.2007  00:00:00           0.000         -12.870         -12.870           0.010 
25.01.2007  00:00:00           0.000         -13.870         -13.870           0.010 
26.01.2007  00:00:00           0.000          -7.170          -7.170           0.010 
27.01.2007  00:00:00           0.000          -4.430          -4.430           0.000 
28.01.2007  00:00:00           0.000          -6.400          -6.400           0.000 
29.01.2007  00:00:00           0.000          -1.100          -1.100           0.000 
30.01.2007  00:00:00           0.000          -2.400          -2.400           0.000 
31.01.2007  00:00:00           0.000           3.170           3.170           0.000 
01.02.2007  00:00:00           0.000           1.400           1.400           0.000 
