date        time     P_O_Ytre_607moh   T_Ytre_607moh   T_Ytre_607moh          Q_Ytre 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
17.11.2007  00:00:00           5.270          -4.770          -4.770           0.950 
18.11.2007  00:00:00           4.770          -3.660          -3.660           0.940 
19.11.2007  00:00:00          10.470           0.290           0.290           1.020 
20.11.2007  00:00:00           0.030          -3.000          -3.000           0.990 
21.11.2007  00:00:00           0.020           2.870           2.870           1.000 
22.11.2007  00:00:00           4.490           2.620           2.620           1.010 
23.11.2007  00:00:00           6.150          -4.260          -4.260           1.040 
24.11.2007  00:00:00          14.460          -2.760          -2.760           1.080 
25.11.2007  00:00:00           3.070          -0.720          -0.720           1.060 
26.11.2007  00:00:00           0.430          -3.560          -3.560           1.020 
27.11.2007  00:00:00           5.140          -3.940          -3.940           1.050 
28.11.2007  00:00:00           3.360          -6.740          -6.740           1.010 
29.11.2007  00:00:00           0.010          -6.550          -6.550           0.940 
30.11.2007  00:00:00           0.000         -10.730         -10.730           0.910 
01.12.2007  00:00:00           0.000          -4.630          -4.630           0.820 
02.12.2007  00:00:00           0.000          -4.660          -4.660           0.790 
03.12.2007  00:00:00           0.000          -8.210          -8.210           0.730 
04.12.2007  00:00:00           0.000          -7.910          -7.910           0.700 
05.12.2007  00:00:00           0.000         -12.220         -12.220           0.640 
06.12.2007  00:00:00           0.000          -6.600          -6.600           0.640 
07.12.2007  00:00:00           0.000          -4.110          -4.110           0.600 
08.12.2007  00:00:00           0.000          -4.920          -4.920           0.580 
09.12.2007  00:00:00           4.080          -3.410          -3.410           0.570 
10.12.2007  00:00:00           1.940          -3.920          -3.920           0.570 
11.12.2007  00:00:00           4.110          -1.760          -1.760           0.580 
12.12.2007  00:00:00           5.700          -4.890          -4.890           0.600 
13.12.2007  00:00:00           3.690          -1.930          -1.930           0.620 
14.12.2007  00:00:00           5.410           2.040           2.040           0.760 
15.12.2007  00:00:00           3.710           3.310           3.310           0.860 
16.12.2007  00:00:00           7.490           4.970           4.970           1.410 
17.12.2007  00:00:00          17.760           4.660           4.660           2.710 
18.12.2007  00:00:00           8.510           5.630           5.630           3.990 
19.12.2007  00:00:00           5.830           3.850           3.850           4.500 
20.12.2007  00:00:00          14.890           0.690           0.690           4.740 
21.12.2007  00:00:00          20.770           0.060           0.060           5.160 
22.12.2007  00:00:00           2.390           1.180           1.180           5.380 
23.12.2007  00:00:00           0.640          -3.350          -3.350           5.190 
24.12.2007  00:00:00           0.030           1.600           1.600           4.930 
25.12.2007  00:00:00           6.930           1.510           1.510           4.710 
26.12.2007  00:00:00           0.060          -4.060          -4.060           4.410 
27.12.2007  00:00:00           0.170          -6.040          -6.040           4.020 
28.12.2007  00:00:00           4.380          -0.850          -0.850           3.790 
29.12.2007  00:00:00           0.000           0.090           0.090           3.500 
30.12.2007  00:00:00           0.000          -4.030          -4.030           3.170 
31.12.2007  00:00:00           0.000          -9.370          -9.370           2.890 
01.01.2008  00:00:00           0.000         -11.500         -11.500           2.620 
02.01.2008  00:00:00           0.000         -10.390         -10.390           2.430 
03.01.2008  00:00:00           0.000          -7.330          -7.330           2.240 
04.01.2008  00:00:00           0.000          -6.300          -6.300           1.940 
05.01.2008  00:00:00           0.000          -6.880          -6.880           1.740 
06.01.2008  00:00:00           0.000          -6.640          -6.640           1.580 
07.01.2008  00:00:00           0.000          -6.100          -6.100           1.460 
08.01.2008  00:00:00           0.860          -5.170          -5.170           1.350 
09.01.2008  00:00:00           2.580          -3.670          -3.670           1.250 
10.01.2008  00:00:00           0.000          -6.920          -6.920           1.130 
11.01.2008  00:00:00           0.000          -7.460          -7.460           1.060 
12.01.2008  00:00:00           0.000          -7.120          -7.120           0.980 
13.01.2008  00:00:00           0.000          -7.050          -7.050           0.940 
14.01.2008  00:00:00           0.000         -11.460         -11.460           0.870 
15.01.2008  00:00:00           1.900          -8.360          -8.360           0.830 
16.01.2008  00:00:00           0.000          -3.700          -3.700           0.810 
17.01.2008  00:00:00           0.210          -3.680          -3.680           0.750 
18.01.2008  00:00:00           0.030         -10.020         -10.020           0.730 
19.01.2008  00:00:00           0.000          -8.470          -8.470           0.670 
20.01.2008  00:00:00           0.000          -0.300          -0.300           0.670 
21.01.2008  00:00:00           0.100          -2.280          -2.280           0.640 
22.01.2008  00:00:00           0.000          -8.000          -8.000           0.590 
23.01.2008  00:00:00           0.000         -10.170         -10.170           0.560 
24.01.2008  00:00:00           0.000          -8.170          -8.170           0.490 
25.01.2008  00:00:00           2.820          -3.760          -3.760           0.550 
26.01.2008  00:00:00           1.860          -8.280          -8.280           0.510 
27.01.2008  00:00:00           1.670         -10.470         -10.470           0.520 
28.01.2008  00:00:00           9.030          -5.120          -5.120           0.540 
29.01.2008  00:00:00           7.650          -1.250          -1.250           0.580 
30.01.2008  00:00:00          16.100          -1.910          -1.910           0.660 
