date        time     P_O_Hadammen_55 T_Hadammen_558m T_Hadammen_558m      Q_Hadammen 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
21.08.2001  00:00:00          11.990          10.390          10.390           0.980 
22.08.2001  00:00:00           0.000          10.890          10.890           0.900 
23.08.2001  00:00:00           0.000          11.760          11.760           0.650 
24.08.2001  00:00:00           0.000          11.660          11.660           0.480 
25.08.2001  00:00:00           0.000          13.070          13.070           0.390 
26.08.2001  00:00:00           5.370          13.280          13.280           0.460 
27.08.2001  00:00:00           0.000          12.580          12.580           0.550 
28.08.2001  00:00:00           3.910           9.730           9.730           0.460 
29.08.2001  00:00:00           0.830           8.700           8.700           0.350 
30.08.2001  00:00:00           0.000          10.660          10.660           0.320 
31.08.2001  00:00:00           0.000          10.790          10.790           0.300 
01.09.2001  00:00:00           7.720          10.700          10.700           0.440 
02.09.2001  00:00:00           9.870           6.540           6.540           1.190 
03.09.2001  00:00:00           2.710           6.070           6.070           1.200 
04.09.2001  00:00:00           0.000           8.640           8.640           0.970 
05.09.2001  00:00:00           0.000           7.140           7.140           0.720 
06.09.2001  00:00:00           0.000           9.520           9.520           0.540 
07.09.2001  00:00:00           0.000           8.800           8.800           0.410 
08.09.2001  00:00:00           0.000           6.200           6.200           0.340 
09.09.2001  00:00:00           7.860           5.840           5.840           0.360 
10.09.2001  00:00:00           8.110           9.880           9.880           1.790 
11.09.2001  00:00:00          15.660           8.140           8.140           3.970 
12.09.2001  00:00:00           1.320           7.340           7.340           3.240 
13.09.2001  00:00:00           0.480           7.850           7.850           1.930 
14.09.2001  00:00:00           6.920           8.780           8.780           1.730 
15.09.2001  00:00:00           6.640           8.600           8.600           2.320 
16.09.2001  00:00:00           4.050           8.180           8.180           1.910 
17.09.2001  00:00:00           3.750           9.170           9.170           1.640 
18.09.2001  00:00:00           0.000          10.240          10.240           1.300 
19.09.2001  00:00:00           0.260          11.480          11.480           1.000 
20.09.2001  00:00:00           1.270          10.740          10.740           0.830 
21.09.2001  00:00:00           2.130           8.470           8.470           0.860 
22.09.2001  00:00:00           5.490           9.680           9.680           0.960 
23.09.2001  00:00:00           0.360           7.690           7.690           0.800 
24.09.2001  00:00:00           0.000           5.890           5.890           0.650 
25.09.2001  00:00:00           0.000           3.260           3.260           0.530 
26.09.2001  00:00:00           0.000           4.730           4.730           0.460 
27.09.2001  00:00:00           0.000           5.010           5.010           0.420 
28.09.2001  00:00:00           0.000           4.730           4.730           0.370 
29.09.2001  00:00:00           0.000           0.490           0.490           0.310 
30.09.2001  00:00:00           0.000          -1.050          -1.050           0.270 
01.10.2001  00:00:00           7.520           1.280           1.280           0.650 
02.10.2001  00:00:00          22.750           5.220           5.220           3.530 
03.10.2001  00:00:00          13.020           7.500           7.500           2.750 
04.10.2001  00:00:00           0.000           8.420           8.420           2.700 
05.10.2001  00:00:00           0.000           4.830           4.830           1.830 
06.10.2001  00:00:00           0.000           5.890           5.890           1.190 
07.10.2001  00:00:00           3.870           7.480           7.480           0.970 
08.10.2001  00:00:00           7.440           7.540           7.540           1.680 
09.10.2001  00:00:00           5.880           7.570           7.570           2.060 
10.10.2001  00:00:00          18.060           8.000           8.000           3.980 
11.10.2001  00:00:00          15.530           5.470           5.470           4.620 
12.10.2001  00:00:00           2.970           3.890           3.890           3.090 
13.10.2001  00:00:00           1.400           6.510           6.510           2.030 
14.10.2001  00:00:00           0.000           3.720           3.720           1.410 
15.10.2001  00:00:00           0.000           1.700           1.700           1.050 
16.10.2001  00:00:00           3.740           4.840           4.840           1.020 
17.10.2001  00:00:00           1.160           8.550           8.550           1.010 
18.10.2001  00:00:00           0.000           3.820           3.820           0.870 
19.10.2001  00:00:00           0.000           0.040           0.040           0.710 
20.10.2001  00:00:00           0.000          -1.230          -1.230           0.590 
21.10.2001  00:00:00           1.370           0.240           0.240           0.540 
22.10.2001  00:00:00           0.000          -0.200          -0.200           0.490 
23.10.2001  00:00:00           0.000          -2.470          -2.470           0.430 
24.10.2001  00:00:00           0.000          -2.920          -2.920           0.370 
25.10.2001  00:00:00           0.000          -0.790          -0.790           0.350 
26.10.2001  00:00:00           1.360           2.360           2.360           0.440 
27.10.2001  00:00:00          21.310           8.220           8.220           2.550 
28.10.2001  00:00:00           0.000           6.150           6.150           2.690 
29.10.2001  00:00:00           0.000           1.870           1.870           1.600 
30.10.2001  00:00:00           6.680           0.260           0.260           1.340 
31.10.2001  00:00:00          17.010           0.670           0.670           1.340 
01.11.2001  00:00:00           3.370           0.650           0.650           1.190 
02.11.2001  00:00:00           0.000          -1.610          -1.610           0.920 
03.11.2001  00:00:00           0.000           1.040           1.040           0.770 
04.11.2001  00:00:00           0.000           3.660           3.660           0.760 
05.11.2001  00:00:00           3.340          -1.330          -1.330           0.680 
06.11.2001  00:00:00           0.000          -4.910          -4.910           0.520 
07.11.2001  00:00:00           0.000          -9.000          -9.000           0.420 
08.11.2001  00:00:00           5.620          -7.490          -7.490           0.380 
09.11.2001  00:00:00           0.000          -6.250          -6.250           0.340 
10.11.2001  00:00:00           0.000          -6.270          -6.270           0.320 
11.11.2001  00:00:00           0.000           0.070           0.070           0.310 
12.11.2001  00:00:00           0.000          -0.870          -0.870           0.270 
13.11.2001  00:00:00           0.000          -3.990          -3.990           0.250 
14.11.2001  00:00:00           0.000          -5.400          -5.400           0.210 
15.11.2001  00:00:00           0.000          -3.060          -3.060           0.210 
16.11.2001  00:00:00           0.000           1.210           1.210           0.190 
17.11.2001  00:00:00           0.000          -0.380          -0.380           0.190 
18.11.2001  00:00:00           0.000           2.000           2.000           0.190 
19.11.2001  00:00:00           0.000           1.300           1.300           0.180 
20.11.2001  00:00:00           0.000          -2.530          -2.530           0.160 
21.11.2001  00:00:00           0.000          -5.640          -5.640           0.160 
22.11.2001  00:00:00           0.000          -2.270          -2.270           0.160 
23.11.2001  00:00:00           0.000          -3.030          -3.030           0.140 
24.11.2001  00:00:00           0.000          -8.150          -8.150           0.130 
25.11.2001  00:00:00           0.000          -6.910          -6.910           0.130 
26.11.2001  00:00:00          12.230          -2.520          -2.520           0.170 
27.11.2001  00:00:00           0.000          -3.670          -3.670           0.170 
28.11.2001  00:00:00           8.320          -4.160          -4.160           0.180 
29.11.2001  00:00:00           3.900          -2.340          -2.340           0.170 
30.11.2001  00:00:00          10.470          -2.210          -2.210           0.190 
01.12.2001  00:00:00          18.570          -2.590          -2.590           0.210 
02.12.2001  00:00:00          10.410          -2.810          -2.810           0.230 
03.12.2001  00:00:00           0.000          -4.210          -4.210           0.210 
04.12.2001  00:00:00           5.740          -3.840          -3.840           0.210 
05.12.2001  00:00:00           3.780          -3.060          -3.060           0.210 
06.12.2001  00:00:00           5.890          -5.060          -5.060           0.210 
07.12.2001  00:00:00           0.000         -12.280         -12.280           0.190 
08.12.2001  00:00:00           0.000         -13.770         -13.770           0.180 
09.12.2001  00:00:00           0.000          -5.750          -5.750           0.170 
10.12.2001  00:00:00           0.000          -4.240          -4.240           0.170 
11.12.2001  00:00:00           0.000          -4.970          -4.970           0.200 
12.12.2001  00:00:00           0.000          -8.520          -8.520           0.270 
13.12.2001  00:00:00           0.000         -10.950         -10.950           0.320 
14.12.2001  00:00:00           0.000          -7.500          -7.500           0.300 
15.12.2001  00:00:00           0.000          -0.890          -0.890           0.260 
16.12.2001  00:00:00           0.000          -4.820          -4.820           0.230 
17.12.2001  00:00:00           0.000          -3.060          -3.060           0.210 
18.12.2001  00:00:00           0.000           0.520           0.520           0.210 
19.12.2001  00:00:00           0.000          -0.090          -0.090           0.210 
20.12.2001  00:00:00           0.000          -9.520          -9.520           0.190 
21.12.2001  00:00:00           7.200         -10.850         -10.850           0.200 
22.12.2001  00:00:00           0.000         -14.840         -14.840           0.170 
23.12.2001  00:00:00           0.000         -17.440         -17.440           0.150 
24.12.2001  00:00:00           4.670         -14.640         -14.640           0.160 
25.12.2001  00:00:00           0.170         -13.380         -13.380           0.160 
26.12.2001  00:00:00           0.000         -14.890         -14.890           0.140 
27.12.2001  00:00:00           0.000         -20.630         -20.630           0.130 
28.12.2001  00:00:00           0.000         -20.390         -20.390           0.120 
29.12.2001  00:00:00           0.000         -14.930         -14.930           0.110 
30.12.2001  00:00:00           0.000         -17.860         -17.860           0.100 
31.12.2001  00:00:00           0.000         -26.550         -26.550           0.090 
01.01.2002  00:00:00           0.000         -25.420         -25.420           0.090 
02.01.2002  00:00:00           0.000         -13.550         -13.550           0.080 
03.01.2002  00:00:00           0.000         -21.880         -21.880           0.080 
04.01.2002  00:00:00           0.000         -11.470         -11.470           0.080 
05.01.2002  00:00:00           0.000         -12.740         -12.740           0.080 
06.01.2002  00:00:00           0.000         -10.130         -10.130           0.070 
07.01.2002  00:00:00           0.000          -7.630          -7.630           0.070 
08.01.2002  00:00:00           0.000          -9.720          -9.720           0.070 
09.01.2002  00:00:00           0.000          -5.740          -5.740           0.070 
10.01.2002  00:00:00           0.000         -10.830         -10.830           0.070 
11.01.2002  00:00:00           0.000          -9.080          -9.080           0.070 
12.01.2002  00:00:00           0.000         -10.820         -10.820           0.060 
13.01.2002  00:00:00           0.000          -7.450          -7.450           0.060 
14.01.2002  00:00:00           0.000          -0.020          -0.020           0.070 
15.01.2002  00:00:00           0.000          -0.960          -0.960           0.070 
16.01.2002  00:00:00           2.760          -0.890          -0.890           0.080 
17.01.2002  00:00:00           2.100          -2.780          -2.780           0.090 
18.01.2002  00:00:00          19.220          -3.340          -3.340           0.180 
19.01.2002  00:00:00           4.500          -2.550          -2.550           0.290 
20.01.2002  00:00:00           1.210          -6.190          -6.190           0.340 
21.01.2002  00:00:00           4.170          -3.660          -3.660           0.350 
22.01.2002  00:00:00           4.390          -7.390          -7.390           0.330 
23.01.2002  00:00:00           5.360          -8.750          -8.750           0.290 
24.01.2002  00:00:00           0.000         -15.670         -15.670           0.270 
25.01.2002  00:00:00           5.250         -12.850         -12.850           0.230 
26.01.2002  00:00:00           1.910         -12.420         -12.420           0.210 
27.01.2002  00:00:00           1.510         -12.800         -12.800           0.200 
