date        time     P_O_Fura_561moh   T_Fura_561moh   T_Fura_561moh          Q_Fura 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
14.02.2008  00:00:00           0.000          -3.550          -3.550           0.280 
15.02.2008  00:00:00           0.000          -5.930          -5.930           0.260 
16.02.2008  00:00:00           0.000         -10.680         -10.680           0.250 
17.02.2008  00:00:00           1.340          -5.190          -5.190           0.250 
18.02.2008  00:00:00           0.010           2.520           2.520           0.240 
19.02.2008  00:00:00           0.000           1.670           1.670           0.230 
20.02.2008  00:00:00           0.080           0.050           0.050           0.230 
21.02.2008  00:00:00           0.060          -1.540          -1.540           0.230 
22.02.2008  00:00:00           0.000           0.810           0.810           0.260 
23.02.2008  00:00:00           0.000          -0.280          -0.280           0.260 
24.02.2008  00:00:00           0.000           1.250           1.250           0.250 
25.02.2008  00:00:00           0.000           1.010           1.010           0.260 
26.02.2008  00:00:00           2.060          -2.060          -2.060           0.260 
27.02.2008  00:00:00           8.170          -1.410          -1.410           0.270 
28.02.2008  00:00:00           0.000          -2.400          -2.400           0.280 
29.02.2008  00:00:00           0.000          -2.740          -2.740           0.270 
01.03.2008  00:00:00           3.900          -1.400          -1.400           0.270 
02.03.2008  00:00:00           2.150          -2.800          -2.800           0.270 
03.03.2008  00:00:00           0.010          -3.040          -3.040           0.250 
04.03.2008  00:00:00           0.000          -7.980          -7.980           0.240 
05.03.2008  00:00:00           0.000          -7.270          -7.270           0.240 
06.03.2008  00:00:00           1.590          -4.600          -4.600           0.230 
07.03.2008  00:00:00           0.000          -5.070          -5.070           0.220 
08.03.2008  00:00:00           1.520          -4.770          -4.770           0.220 
09.03.2008  00:00:00           3.350          -0.530          -0.530           0.310 
10.03.2008  00:00:00           1.370           1.440           1.440           0.500 
11.03.2008  00:00:00           3.000           0.050           0.050           0.520 
12.03.2008  00:00:00           9.440           0.890           0.890           1.360 
13.03.2008  00:00:00           3.220           0.170           0.170           2.180 
14.03.2008  00:00:00           0.140           0.010           0.010           1.520 
15.03.2008  00:00:00           0.260          -2.090          -2.090           0.840 
16.03.2008  00:00:00           0.000          -2.590          -2.590           0.670 
17.03.2008  00:00:00           0.110          -2.280          -2.280           0.540 
18.03.2008  00:00:00           0.000          -5.260          -5.260           0.480 
19.03.2008  00:00:00           0.000          -3.930          -3.930           0.430 
20.03.2008  00:00:00           0.000          -7.390          -7.390           0.400 
21.03.2008  00:00:00           2.630          -7.040          -7.040           0.370 
22.03.2008  00:00:00           0.000         -10.800         -10.800           0.340 
23.03.2008  00:00:00           0.000         -14.630         -14.630           0.340 
24.03.2008  00:00:00           0.000         -13.340         -13.340           0.310 
25.03.2008  00:00:00           3.690          -8.640          -8.640           0.280 
26.03.2008  00:00:00           3.630          -5.340          -5.340           0.270 
27.03.2008  00:00:00           0.000          -8.640          -8.640           0.250 
28.03.2008  00:00:00           0.000          -8.740          -8.740           0.230 
29.03.2008  00:00:00           0.150          -3.060          -3.060           0.230 
30.03.2008  00:00:00           8.780          -1.530          -1.530           0.260 
31.03.2008  00:00:00           5.420           0.030           0.030           0.790 
01.04.2008  00:00:00           0.000           0.580           0.580           1.070 
02.04.2008  00:00:00           0.010           0.360           0.360           1.060 
03.04.2008  00:00:00           0.030           1.950           1.950           1.690 
04.04.2008  00:00:00           0.000           2.270           2.270           2.020 
05.04.2008  00:00:00           0.000           0.910           0.910           1.940 
06.04.2008  00:00:00           0.000          -0.540          -0.540           1.480 
07.04.2008  00:00:00           5.640           0.160           0.160           1.350 
08.04.2008  00:00:00           5.570          -1.320          -1.320           1.030 
09.04.2008  00:00:00           0.000          -0.340          -0.340           0.770 
10.04.2008  00:00:00           2.130          -1.390          -1.390           0.660 
11.04.2008  00:00:00           1.660          -1.300          -1.300           0.600 
12.04.2008  00:00:00           2.020           0.280           0.280           0.580 
13.04.2008  00:00:00           4.990          -1.030          -1.030           0.550 
14.04.2008  00:00:00           2.250          -0.130          -0.130           0.630 
15.04.2008  00:00:00           0.020           0.460           0.460           0.710 
16.04.2008  00:00:00           1.310           0.110           0.110           0.730 
17.04.2008  00:00:00           0.000           0.010           0.010           0.800 
18.04.2008  00:00:00           0.000           0.570           0.570           0.910 
19.04.2008  00:00:00           0.000           0.410           0.410           1.150 
20.04.2008  00:00:00           0.000           1.790           1.790           1.600 
21.04.2008  00:00:00           0.000           2.830           2.830           2.120 
22.04.2008  00:00:00           0.000           3.630           3.630           2.840 
23.04.2008  00:00:00           0.000           4.980           4.980           3.650 
24.04.2008  00:00:00           0.000           4.820           4.820           4.200 
25.04.2008  00:00:00           0.000           4.830           4.830           4.790 
26.04.2008  00:00:00           0.000           5.840           5.840           5.630 
27.04.2008  00:00:00           1.310           5.240           5.240           8.310 
28.04.2008  00:00:00           2.860           6.350           6.350          12.710 
29.04.2008  00:00:00           5.070           7.070           7.070          11.760 
30.04.2008  00:00:00           0.000           9.530           9.530           8.920 
01.05.2008  00:00:00           3.760           7.410           7.410          10.950 
02.05.2008  00:00:00           9.570           5.450           5.450          15.380 
03.05.2008  00:00:00          12.340           5.590           5.590          12.800 
04.05.2008  00:00:00           0.660           5.420           5.420           9.190 
05.05.2008  00:00:00           0.000           7.570           7.570           8.020 
06.05.2008  00:00:00           0.000           7.800           7.800           8.530 
07.05.2008  00:00:00           0.000           9.020           9.020           8.160 
08.05.2008  00:00:00           0.000          10.090          10.090           8.000 
09.05.2008  00:00:00           0.000          11.430          11.430           7.950 
10.05.2008  00:00:00           0.000          12.100          12.100           6.930 
11.05.2008  00:00:00           0.000          13.420          13.420           6.300 
12.05.2008  00:00:00           0.000           8.650           8.650           4.320 
13.05.2008  00:00:00           0.000           4.950           4.950           2.810 
14.05.2008  00:00:00           0.000           5.470           5.470           2.300 
15.05.2008  00:00:00           0.000           6.640           6.640           2.230 
16.05.2008  00:00:00           8.180           3.720           3.720           2.900 
17.05.2008  00:00:00           5.910           1.140           1.140           2.520 
18.05.2008  00:00:00           0.690           0.780           0.780           1.820 
19.05.2008  00:00:00           0.630           2.400           2.400           1.550 
20.05.2008  00:00:00           1.870           3.820           3.820           1.290 
21.05.2008  00:00:00           0.000           5.030           5.030           1.200 
22.05.2008  00:00:00           0.040           5.620           5.620           1.410 
23.05.2008  00:00:00           9.030           5.320           5.320           5.120 
24.05.2008  00:00:00          21.710           4.340           4.340          10.960 
25.05.2008  00:00:00          13.290           3.630           3.630           4.130 
26.05.2008  00:00:00           0.000           8.520           8.520           2.100 
27.05.2008  00:00:00           0.000           7.800           7.800           1.310 
28.05.2008  00:00:00           0.000          10.460          10.460           0.880 
29.05.2008  00:00:00           0.000          13.540          13.540           0.670 
30.05.2008  00:00:00           0.000          13.910          13.910           0.540 
31.05.2008  00:00:00           0.000          17.970          17.970           0.410 
01.06.2008  00:00:00           0.000          19.040          19.040           0.290 
02.06.2008  00:00:00           0.000          18.580          18.580           0.210 
03.06.2008  00:00:00           0.000          16.020          16.020           0.160 
04.06.2008  00:00:00           0.000          16.310          16.310           0.130 
05.06.2008  00:00:00           0.000          17.110          17.110           0.100 
06.06.2008  00:00:00           0.000          18.700          18.700           0.080 
07.06.2008  00:00:00           0.000          20.610          20.610           0.070 
08.06.2008  00:00:00           0.000          18.440          18.440           0.060 
09.06.2008  00:00:00           0.000          15.680          15.680           0.050 
10.06.2008  00:00:00           0.000          13.740          13.740           0.050 
11.06.2008  00:00:00           0.000           9.750           9.750           0.040 
12.06.2008  00:00:00           2.820           7.820           7.820           0.040 
13.06.2008  00:00:00           2.710           7.870           7.870           0.050 
14.06.2008  00:00:00           6.070           7.160           7.160           0.070 
15.06.2008  00:00:00           6.020           6.690           6.690           0.070 
16.06.2008  00:00:00           4.160           6.450           6.450           0.060 
17.06.2008  00:00:00           3.350           7.860           7.860           0.050 
18.06.2008  00:00:00           0.030          11.650          11.650           0.040 
19.06.2008  00:00:00           0.100          10.150          10.150           0.060 
20.06.2008  00:00:00           6.860           9.110           9.110           0.380 
21.06.2008  00:00:00           0.010           9.820           9.820           0.190 
22.06.2008  00:00:00           0.000          10.350          10.350           0.100 
23.06.2008  00:00:00           4.780           9.480           9.480           0.340 
24.06.2008  00:00:00          10.830           9.400           9.400           0.340 
25.06.2008  00:00:00           0.000           7.910           7.910           0.160 
26.06.2008  00:00:00           0.000           9.510           9.510           0.090 
27.06.2008  00:00:00           0.000          11.880          11.880           0.070 
28.06.2008  00:00:00           6.460          10.230          10.230           0.100 
29.06.2008  00:00:00           0.220          11.990          11.990           0.200 
30.06.2008  00:00:00           3.730          11.810          11.810           0.130 
01.07.2008  00:00:00           0.000          12.210          12.210           0.100 
02.07.2008  00:00:00           0.000          14.640          14.640           0.060 
03.07.2008  00:00:00           0.000          16.890          16.890           0.040 
04.07.2008  00:00:00           0.000          18.150          18.150           0.030 
05.07.2008  00:00:00           0.000          19.520          19.520           0.070 
06.07.2008  00:00:00           0.010          16.710          16.710           0.170 
07.07.2008  00:00:00          14.900           7.700           7.700           1.680 
08.07.2008  00:00:00           5.290           7.120           7.120           1.020 
09.07.2008  00:00:00           0.000          10.920          10.920           0.430 
10.07.2008  00:00:00           0.000          14.070          14.070           0.220 
11.07.2008  00:00:00           0.000          14.280          14.280           0.150 
12.07.2008  00:00:00           4.310          12.460          12.460           0.200 
13.07.2008  00:00:00           2.290          12.120          12.120           0.160 
14.07.2008  00:00:00          16.110          12.640          12.640           0.290 
15.07.2008  00:00:00           0.090          12.560          12.560           0.180 
16.07.2008  00:00:00           0.020          11.880          11.880           0.150 
17.07.2008  00:00:00           0.000          10.050          10.050           0.130 
18.07.2008  00:00:00           3.270          11.580          11.580           0.100 
19.07.2008  00:00:00           6.770          10.130          10.130           0.080 
20.07.2008  00:00:00           6.860          12.180          12.180           0.130 
21.07.2008  00:00:00           7.630          12.190          12.190           0.430 
22.07.2008  00:00:00           4.850          12.720          12.720           0.280 
23.07.2008  00:00:00           0.000          15.250          15.250           0.140 
24.07.2008  00:00:00           0.000          17.610          17.610           0.080 
25.07.2008  00:00:00           0.000          19.740          19.740           0.060 
26.07.2008  00:00:00           0.000          21.110          21.110           0.040 
27.07.2008  00:00:00           0.000          20.980          20.980           0.030 
28.07.2008  00:00:00           0.000          21.390          21.390           0.030 
29.07.2008  00:00:00           5.310          20.810          20.810           0.020 
30.07.2008  00:00:00           1.170          16.640          16.640           0.020 
