date        time     P_O_Fokstua_131 T_Fokstua_1312m T_Fokstua_1312m       Q_Fokstua 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
13.05.2004  00:00:00           0.000          -2.350          -2.350           0.510 
14.05.2004  00:00:00           1.070          -0.030          -0.030           0.410 
15.05.2004  00:00:00           0.430          -0.670          -0.670           0.360 
16.05.2004  00:00:00           0.170           0.980           0.980           0.380 
17.05.2004  00:00:00           4.090           2.460           2.460           0.910 
18.05.2004  00:00:00           0.000           2.700           2.700           1.200 
19.05.2004  00:00:00           2.630           0.240           0.240           0.680 
20.05.2004  00:00:00           0.100          -3.390          -3.390           0.490 
21.05.2004  00:00:00           0.000          -4.900          -4.900           0.440 
22.05.2004  00:00:00           1.330          -4.690          -4.690           0.400 
23.05.2004  00:00:00           0.000          -5.060          -5.060           0.390 
24.05.2004  00:00:00           0.000          -0.800          -0.800           0.410 
25.05.2004  00:00:00           1.810          -0.280          -0.280           0.410 
26.05.2004  00:00:00           0.000          -0.370          -0.370           0.430 
27.05.2004  00:00:00           0.000           1.780           1.780           0.550 
28.05.2004  00:00:00           0.000           3.440           3.440           0.810 
29.05.2004  00:00:00           0.000           1.060           1.060           0.880 
30.05.2004  00:00:00           0.000           1.200           1.200           0.840 
31.05.2004  00:00:00           0.000           4.600           4.600           0.940 
01.06.2004  00:00:00           0.000           6.830           6.830           1.160 
02.06.2004  00:00:00           0.000           7.760           7.760           1.350 
03.06.2004  00:00:00           0.000           9.530           9.530           1.560 
04.06.2004  00:00:00           0.000           8.070           8.070           1.630 
05.06.2004  00:00:00           0.000           6.200           6.200           1.540 
06.06.2004  00:00:00           0.000           4.020           4.020           1.360 
07.06.2004  00:00:00           0.190           4.440           4.440           1.400 
08.06.2004  00:00:00           6.080           2.160           2.160           1.310 
09.06.2004  00:00:00           0.000           3.860           3.860           1.140 
10.06.2004  00:00:00           0.290           7.770           7.770           1.820 
11.06.2004  00:00:00           3.580           3.560           3.560           1.410 
12.06.2004  00:00:00           0.000           4.730           4.730           1.210 
13.06.2004  00:00:00           0.000           4.850           4.850           1.140 
14.06.2004  00:00:00           1.300           6.820           6.820           1.450 
15.06.2004  00:00:00           0.000           3.340           3.340           0.980 
16.06.2004  00:00:00           0.000          -0.330          -0.330           0.750 
17.06.2004  00:00:00           0.000           0.040           0.040           0.680 
18.06.2004  00:00:00           1.100           2.430           2.430           0.660 
19.06.2004  00:00:00           6.300           0.800           0.800           0.650 
20.06.2004  00:00:00           2.400           2.160           2.160           0.640 
21.06.2004  00:00:00           5.630           1.010           1.010           0.840 
22.06.2004  00:00:00           6.610           2.940           2.940           1.350 
23.06.2004  00:00:00           3.490           3.330           3.330           1.140 
24.06.2004  00:00:00           4.010           4.880           4.880           1.100 
25.06.2004  00:00:00           1.430           2.870           2.870           1.520 
26.06.2004  00:00:00           8.710           4.620           4.620           1.620 
27.06.2004  00:00:00           0.120           5.620           5.620           1.350 
28.06.2004  00:00:00           1.800           8.630           8.630           1.360 
29.06.2004  00:00:00           7.390           6.310           6.310           1.160 
30.06.2004  00:00:00           2.190           3.970           3.970           0.870 
01.07.2004  00:00:00           0.000           7.070           7.070           0.820 
02.07.2004  00:00:00           2.810           7.520           7.520           1.010 
03.07.2004  00:00:00           8.310           4.610           4.610           1.100 
04.07.2004  00:00:00           6.780           3.560           3.560           0.770 
05.07.2004  00:00:00           0.110           6.030           6.030           0.730 
06.07.2004  00:00:00           5.210           4.430           4.430           0.730 
07.07.2004  00:00:00           1.800           3.250           3.250           0.610 
08.07.2004  00:00:00           0.000           3.300           3.300           0.490 
09.07.2004  00:00:00           0.000           6.430           6.430           0.420 
10.07.2004  00:00:00           0.000           8.900           8.900           0.420 
11.07.2004  00:00:00           0.000           9.770           9.770           0.410 
12.07.2004  00:00:00           0.000           8.020           8.020           0.380 
13.07.2004  00:00:00           0.000           4.300           4.300           0.370 
14.07.2004  00:00:00           1.970           2.630           2.630           0.350 
15.07.2004  00:00:00           0.520           3.030           3.030           0.390 
16.07.2004  00:00:00           0.170           3.820           3.820           0.590 
17.07.2004  00:00:00           0.000           4.550           4.550           0.730 
18.07.2004  00:00:00           0.000           8.270           8.270           1.000 
19.07.2004  00:00:00           5.460           6.240           6.240           1.040 
20.07.2004  00:00:00           0.000           6.690           6.690           1.140 
21.07.2004  00:00:00           0.000           6.910           6.910           1.060 
22.07.2004  00:00:00           0.000           9.370           9.370           1.160 
23.07.2004  00:00:00           3.780           7.990           7.990           1.250 
24.07.2004  00:00:00           3.600           9.050           9.050           1.300 
25.07.2004  00:00:00          10.090           7.190           7.190           1.590 
26.07.2004  00:00:00           1.320           5.030           5.030           1.400 
27.07.2004  00:00:00           0.860           5.660           5.660           1.330 
28.07.2004  00:00:00           0.000           7.560           7.560           1.210 
