date        time     P_O_Kuggerud_36 T_Kuggerud_361m T_Kuggerud_361m      Q_Kuggerud 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
19.12.2003  00:00:00           0.000           3.240           3.240           0.420 
20.12.2003  00:00:00           0.000          -0.100          -0.100           0.530 
21.12.2003  00:00:00           0.160          -5.170          -5.170           0.470 
22.12.2003  00:00:00           0.000          -6.760          -6.760           0.440 
23.12.2003  00:00:00           0.000         -11.940         -11.940           0.550 
24.12.2003  00:00:00           7.920         -10.710         -10.710           0.470 
25.12.2003  00:00:00           0.000           2.310           2.310           0.410 
26.12.2003  00:00:00           0.000           0.990           0.990           0.400 
27.12.2003  00:00:00          14.630          -1.170          -1.170           0.700 
28.12.2003  00:00:00           7.740          -0.370          -0.370           1.050 
29.12.2003  00:00:00           0.000          -3.970          -3.970           0.790 
30.12.2003  00:00:00           0.000         -10.730         -10.730           0.640 
31.12.2003  00:00:00           0.000         -16.110         -16.110           0.510 
01.01.2004  00:00:00           0.000         -15.840         -15.840           0.520 
02.01.2004  00:00:00           0.270         -12.450         -12.450           0.710 
03.01.2004  00:00:00           0.000         -16.980         -16.980           1.040 
04.01.2004  00:00:00           3.580          -9.120          -9.120           0.860 
05.01.2004  00:00:00           2.030          -5.220          -5.220           0.470 
06.01.2004  00:00:00           1.370          -6.930          -6.930           0.360 
07.01.2004  00:00:00           6.900          -4.790          -4.790           0.320 
08.01.2004  00:00:00           0.000          -4.430          -4.430           0.280 
09.01.2004  00:00:00           0.410          -5.350          -5.350           0.260 
10.01.2004  00:00:00           0.600          -3.510          -3.510           0.260 
11.01.2004  00:00:00           3.640          -5.160          -5.160           0.260 
12.01.2004  00:00:00          12.700          -3.010          -3.010           0.270 
13.01.2004  00:00:00           1.450          -1.080          -1.080           0.280 
14.01.2004  00:00:00           2.990          -0.090          -0.090           0.280 
15.01.2004  00:00:00           0.000          -2.370          -2.370           0.260 
16.01.2004  00:00:00           0.000          -9.400          -9.400           0.220 
17.01.2004  00:00:00           0.000         -14.830         -14.830           0.200 
18.01.2004  00:00:00           0.000         -15.740         -15.740           0.190 
19.01.2004  00:00:00           2.210         -10.520         -10.520           0.190 
20.01.2004  00:00:00           0.000          -8.210          -8.210           0.180 
21.01.2004  00:00:00           0.000         -15.410         -15.410           0.170 
22.01.2004  00:00:00           0.050         -22.000         -22.000           0.160 
23.01.2004  00:00:00           1.460         -16.520         -16.520           0.160 
24.01.2004  00:00:00           5.510          -5.800          -5.800           0.160 
25.01.2004  00:00:00           3.280          -2.390          -2.390           0.170 
26.01.2004  00:00:00           1.770          -5.090          -5.090           0.160 
27.01.2004  00:00:00           3.570          -4.350          -4.350           0.170 
28.01.2004  00:00:00           3.400          -5.280          -5.280           0.170 
29.01.2004  00:00:00           3.660          -4.790          -4.790           0.170 
30.01.2004  00:00:00           0.640          -5.370          -5.370           0.160 
31.01.2004  00:00:00           3.500          -6.400          -6.400           0.160 
01.02.2004  00:00:00           0.000          -8.330          -8.330           0.160 
02.02.2004  00:00:00           0.530         -11.360         -11.360           0.150 
03.02.2004  00:00:00           4.360          -5.090          -5.090           0.160 
04.02.2004  00:00:00           5.000           0.400           0.400           0.260 
05.02.2004  00:00:00           0.000           2.810           2.810           0.380 
06.02.2004  00:00:00           0.430           0.240           0.240           0.440 
07.02.2004  00:00:00           8.310          -1.540          -1.540           0.460 
08.02.2004  00:00:00           4.630          -4.730          -4.730           0.440 
09.02.2004  00:00:00           0.780          -6.770          -6.770           0.400 
10.02.2004  00:00:00           0.000          -8.850          -8.850           0.350 
11.02.2004  00:00:00           0.000         -10.060         -10.060           0.330 
12.02.2004  00:00:00           2.300         -10.970         -10.970           0.310 
13.02.2004  00:00:00           0.000          -7.300          -7.300           0.310 
14.02.2004  00:00:00           0.000          -6.170          -6.170           0.290 
15.02.2004  00:00:00           0.000          -0.350          -0.350           0.290 
16.02.2004  00:00:00           0.000           0.790           0.790           0.290 
17.02.2004  00:00:00           1.920          -2.300          -2.300           0.290 
18.02.2004  00:00:00           0.000           0.050           0.050           0.280 
19.02.2004  00:00:00           0.000          -3.230          -3.230           0.260 
20.02.2004  00:00:00           0.000          -6.730          -6.730           0.250 
21.02.2004  00:00:00           0.000          -4.730          -4.730           0.250 
22.02.2004  00:00:00           0.000          -4.040          -4.040           0.250 
23.02.2004  00:00:00           0.770          -4.920          -4.920           0.240 
24.02.2004  00:00:00           2.260          -5.450          -5.450           0.230 
25.02.2004  00:00:00           0.000          -3.690          -3.690           0.220 
26.02.2004  00:00:00           0.000          -6.490          -6.490           0.210 
27.02.2004  00:00:00           0.000          -7.660          -7.660           0.200 
28.02.2004  00:00:00           0.690          -7.030          -7.030           0.200 
29.02.2004  00:00:00           0.000          -9.860          -9.860           0.180 
01.03.2004  00:00:00           0.000          -7.710          -7.710           0.180 
02.03.2004  00:00:00           0.000          -0.150          -0.150           0.180 
03.03.2004  00:00:00           0.000          -3.200          -3.200           0.160 
04.03.2004  00:00:00           0.000         -10.510         -10.510           0.140 
05.03.2004  00:00:00           0.000         -14.290         -14.290           0.140 
06.03.2004  00:00:00           0.000         -14.460         -14.460           0.140 
07.03.2004  00:00:00           0.000          -8.070          -8.070           0.130 
08.03.2004  00:00:00           0.000          -2.130          -2.130           0.130 
09.03.2004  00:00:00           0.000          -1.610          -1.610           0.140 
10.03.2004  00:00:00           0.000          -2.330          -2.330           0.140 
11.03.2004  00:00:00           0.000          -3.000          -3.000           0.130 
12.03.2004  00:00:00           0.000          -4.530          -4.530           0.130 
13.03.2004  00:00:00           0.000          -4.260          -4.260           0.130 
14.03.2004  00:00:00           7.300          -3.410          -3.410           0.140 
15.03.2004  00:00:00           7.130           0.750           0.750           0.270 
16.03.2004  00:00:00           0.060           2.310           2.310           0.510 
17.03.2004  00:00:00           2.040           3.990           3.990           0.800 
18.03.2004  00:00:00           0.000           3.540           3.540           1.390 
19.03.2004  00:00:00           3.830           3.370           3.370           1.850 
20.03.2004  00:00:00           8.030           1.870           1.870           2.150 
21.03.2004  00:00:00           3.080           0.310           0.310           2.140 
22.03.2004  00:00:00           0.060           0.340           0.340           1.740 
23.03.2004  00:00:00           3.590          -0.710          -0.710           1.430 
24.03.2004  00:00:00           1.380          -2.150          -2.150           1.280 
25.03.2004  00:00:00           0.000          -2.000          -2.000           1.160 
26.03.2004  00:00:00           0.000          -4.200          -4.200           1.060 
27.03.2004  00:00:00           0.000          -1.850          -1.850           0.990 
28.03.2004  00:00:00           0.000           2.360           2.360           1.000 
29.03.2004  00:00:00           0.000           0.560           0.560           0.960 
30.03.2004  00:00:00           0.000           3.400           3.400           0.970 
31.03.2004  00:00:00           0.000           3.480           3.480           1.040 
01.04.2004  00:00:00           0.000           4.290           4.290           1.160 
02.04.2004  00:00:00           0.000           0.290           0.290           1.180 
03.04.2004  00:00:00           0.000          -1.280          -1.280           1.100 
04.04.2004  00:00:00           0.000           0.630           0.630           1.050 
05.04.2004  00:00:00           9.800           2.170           2.170           1.480 
06.04.2004  00:00:00           0.860           2.380           2.380           1.940 
07.04.2004  00:00:00           0.820           2.720           2.720           1.740 
08.04.2004  00:00:00           0.000           3.090           3.090           1.710 
09.04.2004  00:00:00           0.000           4.580           4.580           1.860 
10.04.2004  00:00:00           0.000           3.410           3.410           1.900 
11.04.2004  00:00:00           0.000           2.770           2.770           1.700 
12.04.2004  00:00:00           0.000           0.730           0.730           1.560 
13.04.2004  00:00:00           0.000           1.030           1.030           1.460 
14.04.2004  00:00:00           0.000           3.560           3.560           1.460 
15.04.2004  00:00:00           0.000           5.650           5.650           1.600 
16.04.2004  00:00:00           0.000           4.990           4.990           1.730 
17.04.2004  00:00:00           0.000           6.810           6.810           1.750 
18.04.2004  00:00:00           0.000           7.810           7.810           1.860 
19.04.2004  00:00:00           0.000           8.350           8.350           1.880 
20.04.2004  00:00:00           0.000           8.770           8.770           1.740 
21.04.2004  00:00:00           8.070           8.010           8.010           2.130 
22.04.2004  00:00:00           0.000           6.020           6.020           2.000 
23.04.2004  00:00:00           1.130           6.450           6.450           1.780 
24.04.2004  00:00:00           0.000           5.350           5.350           1.620 
25.04.2004  00:00:00           0.000           9.210           9.210           1.470 
26.04.2004  00:00:00           5.520           7.040           7.040           1.470 
27.04.2004  00:00:00           9.320           5.130           5.130           1.870 
28.04.2004  00:00:00           1.070           5.190           5.190           1.900 
29.04.2004  00:00:00           0.000           4.340           4.340           1.550 
30.04.2004  00:00:00           0.000           5.770           5.770           1.370 
01.05.2004  00:00:00           0.000           6.870           6.870           1.220 
02.05.2004  00:00:00           0.000           9.520           9.520           1.080 
03.05.2004  00:00:00           0.000           9.830           9.830           0.970 
04.05.2004  00:00:00           0.430           9.770           9.770           0.900 
05.05.2004  00:00:00           4.780           7.880           7.880           0.910 
06.05.2004  00:00:00           2.230          13.850          13.850           0.840 
07.05.2004  00:00:00           0.370          15.860          15.860           0.740 
08.05.2004  00:00:00           0.000          16.250          16.250           0.660 
09.05.2004  00:00:00           0.040          14.580          14.580           0.590 
10.05.2004  00:00:00           0.000          15.040          15.040           0.530 
11.05.2004  00:00:00           7.340          11.690          11.690           0.500 
12.05.2004  00:00:00           2.640           7.430           7.430           0.480 
13.05.2004  00:00:00           3.890           4.280           4.280           0.450 
14.05.2004  00:00:00           0.130           6.930           6.930           0.400 
15.05.2004  00:00:00           0.280           8.180           8.180           0.350 
16.05.2004  00:00:00           0.000           8.440           8.440           0.320 
17.05.2004  00:00:00           0.000          10.920          10.920           0.280 
18.05.2004  00:00:00           0.000          12.810          12.810           0.250 
19.05.2004  00:00:00           0.000          11.830          11.830           0.230 
20.05.2004  00:00:00           2.410           8.020           8.020           0.220 
21.05.2004  00:00:00           0.040           5.510           5.510           0.190 
22.05.2004  00:00:00           0.000           5.500           5.500           0.170 
23.05.2004  00:00:00           0.000           5.480           5.480           0.150 
24.05.2004  00:00:00           0.000           8.080           8.080           0.140 
25.05.2004  00:00:00           0.540           8.970           8.970           0.130 
