date        time     P_O_Tveitdalen_ T_Tveitdalen_21 T_Tveitdalen_21    Q_Tveitdalen 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
22.05.2006  00:00:00          18.400          10.400          10.400           0.060 
23.05.2006  00:00:00          15.470          10.270          10.270           0.050 
24.05.2006  00:00:00           0.000           8.170           8.170           0.020 
25.05.2006  00:00:00           4.370           6.330           6.330           0.010 
26.05.2006  00:00:00           1.630           7.330           7.330           0.010 
27.05.2006  00:00:00           3.430           7.770           7.770           0.010 
28.05.2006  00:00:00           1.570           7.870           7.870           0.010 
29.05.2006  00:00:00           5.670           8.930           8.930           0.010 
30.05.2006  00:00:00           0.000           8.630           8.630           0.000 
31.05.2006  00:00:00           0.000          10.230          10.230           0.000 
01.06.2006  00:00:00           4.800           8.730           8.730           0.000 
02.06.2006  00:00:00           0.000          11.500          11.500           0.000 
03.06.2006  00:00:00           0.000          12.700          12.700           0.000 
04.06.2006  00:00:00           0.000          11.500          11.500           0.000 
05.06.2006  00:00:00           0.000          11.400          11.400           0.000 
06.06.2006  00:00:00           0.000          11.630          11.630           0.000 
07.06.2006  00:00:00           0.000          14.170          14.170           0.000 
08.06.2006  00:00:00           0.000          15.400          15.400           0.000 
09.06.2006  00:00:00           0.000          17.470          17.470           0.000 
10.06.2006  00:00:00           0.000          16.700          16.700           0.000 
11.06.2006  00:00:00           0.000          15.530          15.530           0.000 
12.06.2006  00:00:00           0.000          18.270          18.270           0.000 
13.06.2006  00:00:00           0.000          18.330          18.330           0.000 
14.06.2006  00:00:00           0.000          18.330          18.330           0.000 
15.06.2006  00:00:00           0.000          16.800          16.800           0.000 
16.06.2006  00:00:00           0.000          16.170          16.170           0.000 
17.06.2006  00:00:00           0.000          16.670          16.670           0.000 
18.06.2006  00:00:00           0.000          18.230          18.230           0.000 
19.06.2006  00:00:00           0.000          15.800          15.800           0.000 
20.06.2006  00:00:00           4.230          15.100          15.100           0.000 
21.06.2006  00:00:00           2.430          13.630          13.630           0.000 
22.06.2006  00:00:00          10.830          12.230          12.230           0.010 
23.06.2006  00:00:00          18.900          10.630          10.630           0.000 
24.06.2006  00:00:00           0.000          11.970          11.970           0.000 
25.06.2006  00:00:00           1.230          11.970          11.970           0.000 
26.06.2006  00:00:00           0.000          13.870          13.870           0.000 
27.06.2006  00:00:00           3.300          14.870          14.870           0.000 
28.06.2006  00:00:00           1.000          13.230          13.230           0.000 
29.06.2006  00:00:00           0.000          15.500          15.500           0.000 
30.06.2006  00:00:00           0.000          15.870          15.870           0.000 
01.07.2006  00:00:00           0.000          16.400          16.400           0.000 
02.07.2006  00:00:00           0.000          17.600          17.600           0.000 
03.07.2006  00:00:00           0.000          17.930          17.930           0.000 
04.07.2006  00:00:00           0.000          18.630          18.630           0.000 
05.07.2006  00:00:00           0.000          19.330          19.330           0.000 
06.07.2006  00:00:00           0.000          20.000          20.000           0.000 
07.07.2006  00:00:00           0.270          19.670          19.670           0.000 
08.07.2006  00:00:00           0.000          17.900          17.900           0.000 
09.07.2006  00:00:00           0.700          16.830          16.830           0.000 
10.07.2006  00:00:00          13.670          15.200          15.200           0.000 
11.07.2006  00:00:00           3.170          16.400          16.400           0.000 
12.07.2006  00:00:00           6.530          14.630          14.630           0.000 
13.07.2006  00:00:00           0.570          14.970          14.970           0.000 
14.07.2006  00:00:00           0.000          14.770          14.770           0.000 
15.07.2006  00:00:00           0.000          16.570          16.570           0.000 
16.07.2006  00:00:00           0.000          17.570          17.570           0.000 
17.07.2006  00:00:00           0.000          18.170          18.170           0.000 
18.07.2006  00:00:00           0.000          19.200          19.200           0.000 
19.07.2006  00:00:00           0.000          20.200          20.200           0.000 
20.07.2006  00:00:00           0.000          19.130          19.130           0.000 
21.07.2006  00:00:00           0.000          19.500          19.500           0.000 
22.07.2006  00:00:00           0.000          20.800          20.800           0.000 
23.07.2006  00:00:00           0.000          20.800          20.800           0.000 
24.07.2006  00:00:00           0.000          18.670          18.670           0.000 
