date        time     P_O_Andrevatn_4 T_Andrevatn_402 T_Andrevatn_402     Q_Andrevatn 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
17.08.2006  00:00:00           2.700          12.520          12.520          13.860 
18.08.2006  00:00:00           6.730           9.190           9.190           1.710 
19.08.2006  00:00:00           0.000           7.090           7.090           1.450 
20.08.2006  00:00:00           0.000           7.030           7.030           1.610 
21.08.2006  00:00:00           0.000           7.140           7.140           1.680 
22.08.2006  00:00:00           0.000           5.720           5.720           1.790 
23.08.2006  00:00:00           0.000           7.510           7.510           1.770 
24.08.2006  00:00:00           0.000           7.640           7.640           2.330 
25.08.2006  00:00:00           0.000          10.640          10.640           2.320 
26.08.2006  00:00:00           0.000          12.440          12.440           2.280 
27.08.2006  00:00:00           0.000          10.840          10.840           2.340 
28.08.2006  00:00:00           0.000          10.830          10.830           2.590 
29.08.2006  00:00:00           0.000          14.670          14.670           2.520 
30.08.2006  00:00:00           0.000          12.510          12.510           3.340 
31.08.2006  00:00:00           0.000          12.870          12.870           2.240 
01.09.2006  00:00:00           0.000          11.590          11.590           2.150 
02.09.2006  00:00:00           0.100          10.410          10.410           2.090 
03.09.2006  00:00:00           0.000          10.540          10.540           2.460 
04.09.2006  00:00:00           0.000          12.090          12.090           3.490 
05.09.2006  00:00:00           0.000          13.020          13.020           3.040 
06.09.2006  00:00:00           0.000          11.060          11.060           2.090 
07.09.2006  00:00:00           0.000           9.120           9.120           1.480 
08.09.2006  00:00:00           0.000           7.640           7.640           1.270 
09.09.2006  00:00:00           1.810           6.440           6.440           1.120 
10.09.2006  00:00:00           0.100           7.710           7.710           1.700 
11.09.2006  00:00:00           3.490           6.390           6.390           1.650 
12.09.2006  00:00:00           3.720           9.870           9.870           2.400 
13.09.2006  00:00:00           1.220           9.130           9.130           2.810 
14.09.2006  00:00:00           6.380           5.440           5.440           1.580 
15.09.2006  00:00:00           2.610           3.710           3.710           0.950 
16.09.2006  00:00:00           0.000           3.770           3.770           1.820 
17.09.2006  00:00:00           1.100          10.320          10.320           4.860 
18.09.2006  00:00:00           3.060           8.780           8.780           3.900 
19.09.2006  00:00:00          12.360           6.410           6.410           2.820 
20.09.2006  00:00:00           2.130           1.920           1.920           1.360 
21.09.2006  00:00:00           0.360           0.830           0.830           0.890 
22.09.2006  00:00:00           0.000           1.430           1.430           0.670 
23.09.2006  00:00:00           0.000           2.440           2.440           0.560 
24.09.2006  00:00:00           0.000           3.280           3.280           0.520 
25.09.2006  00:00:00          10.890          -0.010          -0.010           0.530 
26.09.2006  00:00:00           0.210           1.340           1.340           0.530 
27.09.2006  00:00:00           1.940           2.110           2.110           0.680 
28.09.2006  00:00:00           0.000           0.270           0.270           0.550 
29.09.2006  00:00:00           0.000          -0.080          -0.080           0.450 
30.09.2006  00:00:00           0.000           0.310           0.310           0.390 
01.10.2006  00:00:00           0.000           1.140           1.140           0.360 
02.10.2006  00:00:00           0.000           3.120           3.120           0.340 
03.10.2006  00:00:00           2.210           2.790           2.790           0.360 
04.10.2006  00:00:00           0.100           2.210           2.210           0.380 
05.10.2006  00:00:00           0.000           0.340           0.340           0.350 
06.10.2006  00:00:00           0.000           1.460           1.460           0.330 
07.10.2006  00:00:00           0.000           2.340           2.340           0.310 
08.10.2006  00:00:00           0.000           3.610           3.610           0.430 
09.10.2006  00:00:00           9.010           0.170           0.170           0.460 
10.10.2006  00:00:00           0.000           0.750           0.750           0.400 
11.10.2006  00:00:00           0.280           4.360           4.360           2.840 
12.10.2006  00:00:00          17.620           6.160           6.160           9.820 
13.10.2006  00:00:00           2.290           3.300           3.300           2.690 
14.10.2006  00:00:00          12.510           3.880           3.880           4.850 
15.10.2006  00:00:00           4.710           2.410           2.410           2.190 
16.10.2006  00:00:00           6.980           4.660           4.660           3.110 
17.10.2006  00:00:00           3.150           1.770           1.770           1.960 
18.10.2006  00:00:00           0.990          -0.040          -0.040           1.200 
19.10.2006  00:00:00           1.300          -1.180          -1.180           0.850 
20.10.2006  00:00:00           0.000          -5.150          -5.150           0.700 
21.10.2006  00:00:00           0.000          -5.890          -5.890           0.640 
22.10.2006  00:00:00           3.980          -2.370          -2.370           0.610 
23.10.2006  00:00:00           0.000          -6.190          -6.190           0.540 
24.10.2006  00:00:00           0.000          -4.810          -4.810           0.490 
25.10.2006  00:00:00           0.360          -4.160          -4.160           0.460 
26.10.2006  00:00:00           0.100          -3.990          -3.990           0.430 
27.10.2006  00:00:00           0.000          -6.630          -6.630           0.410 
28.10.2006  00:00:00           0.000          -5.920          -5.920           0.380 
29.10.2006  00:00:00           0.100          -5.220          -5.220           0.370 
30.10.2006  00:00:00           1.780          -7.560          -7.560           0.350 
31.10.2006  00:00:00           0.000         -10.030         -10.030           0.310 
01.11.2006  00:00:00           0.000         -11.260         -11.260           0.310 
02.11.2006  00:00:00           8.740          -7.610          -7.610           0.330 
03.11.2006  00:00:00          16.840          -6.210          -6.210           0.350 
04.11.2006  00:00:00           0.000          -9.000          -9.000           0.320 
05.11.2006  00:00:00           0.100          -3.840          -3.840           0.300 
06.11.2006  00:00:00           0.000          -3.670          -3.670           0.270 
07.11.2006  00:00:00           0.000          -4.200          -4.200           0.260 
08.11.2006  00:00:00           0.100          -6.330          -6.330           0.250 
09.11.2006  00:00:00           0.120          -5.520          -5.520           0.240 
10.11.2006  00:00:00           6.480          -4.840          -4.840           0.240 
11.11.2006  00:00:00           0.000          -2.930          -2.930           0.210 
12.11.2006  00:00:00           0.000          -3.280          -3.280           0.200 
13.11.2006  00:00:00           0.000          -4.360          -4.360           0.220 
14.11.2006  00:00:00           0.000          -2.970          -2.970           0.220 
15.11.2006  00:00:00           0.000          -2.880          -2.880           0.200 
16.11.2006  00:00:00           0.000          -2.300          -2.300           0.190 
17.11.2006  00:00:00           0.000          -0.200          -0.200           0.180 
18.11.2006  00:00:00           0.000          -0.610          -0.610           0.180 
19.11.2006  00:00:00           0.000           1.900           1.900           0.170 
20.11.2006  00:00:00           0.000          -0.210          -0.210           0.170 
21.11.2006  00:00:00           0.000          -2.640          -2.640           0.160 
22.11.2006  00:00:00           0.000           1.380           1.380           0.160 
23.11.2006  00:00:00           0.000           2.170           2.170           0.150 
24.11.2006  00:00:00           0.000           1.140           1.140           0.150 
25.11.2006  00:00:00           0.000          -1.530          -1.530           0.140 
26.11.2006  00:00:00           0.000          -0.190          -0.190           0.140 
27.11.2006  00:00:00           3.070           3.150           3.150           0.160 
28.11.2006  00:00:00          10.740           2.600           2.600           0.270 
29.11.2006  00:00:00           0.000           1.120           1.120           0.270 
30.11.2006  00:00:00           6.500          -0.620          -0.620           0.270 
01.12.2006  00:00:00           2.670          -0.310          -0.310           0.330 
02.12.2006  00:00:00           0.100          -1.120          -1.120           0.270 
03.12.2006  00:00:00           1.060          -2.760          -2.760           0.230 
04.12.2006  00:00:00           0.100          -3.060          -3.060           0.200 
05.12.2006  00:00:00           0.000          -2.410          -2.410           0.170 
06.12.2006  00:00:00           0.000          -3.870          -3.870           0.170 
07.12.2006  00:00:00           0.070          -3.590          -3.590           0.160 
08.12.2006  00:00:00           1.540          -3.050          -3.050           0.160 
09.12.2006  00:00:00           0.070          -3.850          -3.850           0.150 
10.12.2006  00:00:00           0.000          -1.010          -1.010           0.140 
11.12.2006  00:00:00           0.100          -1.680          -1.680           0.140 
12.12.2006  00:00:00           0.000          -0.530          -0.530           0.130 
13.12.2006  00:00:00           0.000           0.570           0.570           0.120 
14.12.2006  00:00:00           0.000          -0.760          -0.760           0.120 
15.12.2006  00:00:00           0.000          -5.260          -5.260           0.120 
16.12.2006  00:00:00           2.260          -8.540          -8.540           0.120 
17.12.2006  00:00:00           5.060          -7.700          -7.700           0.140 
18.12.2006  00:00:00          12.010          -4.970          -4.970           0.190 
19.12.2006  00:00:00          15.530          -5.080          -5.080           0.220 
20.12.2006  00:00:00           0.590          -7.510          -7.510           0.210 
21.12.2006  00:00:00           6.960           2.170           2.170           0.480 
22.12.2006  00:00:00          10.880           4.670           4.670           1.560 
23.12.2006  00:00:00          12.370          -1.330          -1.330           1.020 
24.12.2006  00:00:00           4.510          -4.260          -4.260           0.620 
25.12.2006  00:00:00           0.550          -5.050          -5.050           0.410 
26.12.2006  00:00:00           4.370           0.090           0.090           0.350 
27.12.2006  00:00:00          15.610          -2.640          -2.640           0.350 
28.12.2006  00:00:00          15.890          -4.440          -4.440           0.380 
29.12.2006  00:00:00          12.690          -2.480          -2.480           0.360 
30.12.2006  00:00:00           1.460          -1.940          -1.940           0.280 
31.12.2006  00:00:00           0.290          -3.020          -3.020           0.230 
01.01.2007  00:00:00           2.930          -0.680          -0.680           0.200 
02.01.2007  00:00:00           0.000          -4.880          -4.880           0.180 
03.01.2007  00:00:00           0.000          -4.140          -4.140           0.170 
04.01.2007  00:00:00           0.920          -5.700          -5.700           0.160 
05.01.2007  00:00:00           0.230          -5.710          -5.710           0.150 
06.01.2007  00:00:00           0.000          -6.070          -6.070           0.140 
07.01.2007  00:00:00           0.000          -7.910          -7.910           0.130 
08.01.2007  00:00:00           0.000          -4.940          -4.940           0.130 
09.01.2007  00:00:00           0.000          -3.210          -3.210           0.120 
10.01.2007  00:00:00           0.130          -3.120          -3.120           0.130 
11.01.2007  00:00:00           6.890          -4.710          -4.710           0.140 
12.01.2007  00:00:00           0.170          -8.700          -8.700           0.130 
13.01.2007  00:00:00           0.000         -10.810         -10.810           0.130 
14.01.2007  00:00:00           0.100         -10.000         -10.000           0.130 
15.01.2007  00:00:00           0.000         -10.490         -10.490           0.120 
16.01.2007  00:00:00           0.000          -5.940          -5.940           0.130 
17.01.2007  00:00:00           3.040          -4.190          -4.190           0.140 
18.01.2007  00:00:00           2.450          -4.590          -4.590           0.150 
19.01.2007  00:00:00           0.100          -3.620          -3.620           0.150 
20.01.2007  00:00:00           0.000          -8.840          -8.840           0.140 
21.01.2007  00:00:00           0.690         -13.240         -13.240           0.140 
22.01.2007  00:00:00           4.460          -9.930          -9.930           0.150 
23.01.2007  00:00:00           4.000         -11.050         -11.050           0.160 
24.01.2007  00:00:00           4.280         -10.770         -10.770           0.160 
25.01.2007  00:00:00           0.000          -8.660          -8.660           0.180 
26.01.2007  00:00:00           4.560          -1.990          -1.990           0.210 
