date        time     P_O_Tredjevatn_ T_Tredjevatn_42 T_Tredjevatn_42    Q_Tredjevatn 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
11.09.2003  00:00:00           0.000           8.780           8.780           0.160 
12.09.2003  00:00:00           0.000           9.150           9.150           0.150 
13.09.2003  00:00:00           0.000           7.700           7.700           0.130 
14.09.2003  00:00:00           0.750           8.950           8.950           0.180 
15.09.2003  00:00:00           9.850           9.420           9.420           0.900 
16.09.2003  00:00:00           7.970           7.580           7.580           1.170 
17.09.2003  00:00:00           5.350           5.000           5.000           0.610 
18.09.2003  00:00:00           0.100           4.850           4.850           0.420 
19.09.2003  00:00:00           1.800           4.220           4.220           0.310 
20.09.2003  00:00:00           5.550           1.070           1.070           0.230 
21.09.2003  00:00:00           2.150           0.320           0.320           0.180 
22.09.2003  00:00:00           1.470           3.700           3.700           0.180 
23.09.2003  00:00:00           0.100           5.550           5.550           0.190 
24.09.2003  00:00:00          13.120           4.000           4.000           0.290 
25.09.2003  00:00:00           1.120           1.470           1.470           0.250 
26.09.2003  00:00:00           9.000           1.200           1.200           0.210 
27.09.2003  00:00:00           0.350           2.930           2.930           0.160 
28.09.2003  00:00:00           0.970           2.670           2.670           0.130 
29.09.2003  00:00:00           0.000           2.300           2.300           0.110 
30.09.2003  00:00:00           0.000          -2.420          -2.420           0.090 
01.10.2003  00:00:00           0.000          -3.630          -3.630           0.080 
02.10.2003  00:00:00           0.000          -2.920          -2.920           0.080 
03.10.2003  00:00:00           0.000          -3.180          -3.180           0.070 
04.10.2003  00:00:00           0.000           3.550           3.550           0.090 
05.10.2003  00:00:00           0.000           6.770           6.770           0.240 
06.10.2003  00:00:00           3.230           6.850           6.850           0.440 
07.10.2003  00:00:00           0.530           2.550           2.550           0.310 
08.10.2003  00:00:00           0.000          -0.630          -0.630           0.200 
09.10.2003  00:00:00          10.020           2.880           2.880           0.170 
10.10.2003  00:00:00           0.580           4.300           4.300           0.170 
11.10.2003  00:00:00           0.100           1.700           1.700           0.150 
12.10.2003  00:00:00           1.080          -1.550          -1.550           0.150 
13.10.2003  00:00:00           3.080           3.670           3.670           0.210 
14.10.2003  00:00:00           1.800           3.170           3.170           0.210 
15.10.2003  00:00:00           0.100           3.150           3.150           0.200 
16.10.2003  00:00:00           8.200           2.600           2.600           0.520 
17.10.2003  00:00:00          20.200           3.850           3.850           2.210 
18.10.2003  00:00:00          15.080           0.680           0.680           0.540 
19.10.2003  00:00:00          12.250          -0.380          -0.380           0.270 
20.10.2003  00:00:00           0.000          -2.950          -2.950           0.170 
21.10.2003  00:00:00           0.000          -7.150          -7.150           0.130 
22.10.2003  00:00:00           1.420          -4.230          -4.230           0.110 
23.10.2003  00:00:00           0.100          -2.400          -2.400           0.090 
24.10.2003  00:00:00           2.350          -2.730          -2.730           0.130 
25.10.2003  00:00:00          15.330          -1.720          -1.720           0.190 
26.10.2003  00:00:00           4.330          -4.830          -4.830           0.120 
27.10.2003  00:00:00           0.630          -7.950          -7.950           0.110 
28.10.2003  00:00:00          12.100          -3.500          -3.500           0.120 
29.10.2003  00:00:00          20.730           1.220           1.220           0.170 
30.10.2003  00:00:00           3.950           0.700           0.700           0.120 
31.10.2003  00:00:00           0.000          -0.170          -0.170           0.080 
01.11.2003  00:00:00           0.000           0.870           0.870           0.060 
02.11.2003  00:00:00           0.000           1.800           1.800           0.050 
03.11.2003  00:00:00           0.100           2.300           2.300           0.050 
04.11.2003  00:00:00           0.000           3.230           3.230           0.040 
05.11.2003  00:00:00           0.550           2.050           2.050           0.040 
06.11.2003  00:00:00           0.100           2.120           2.120           0.050 
07.11.2003  00:00:00          16.280           5.950           5.950           1.840 
08.11.2003  00:00:00           2.280           5.750           5.750           1.090 
09.11.2003  00:00:00           0.000           2.880           2.880           0.730 
10.11.2003  00:00:00           0.000          -1.800          -1.800           0.370 
11.11.2003  00:00:00           0.580           1.450           1.450           0.300 
12.11.2003  00:00:00           8.000           3.850           3.850           1.050 
13.11.2003  00:00:00           3.150           3.500           3.500           0.840 
14.11.2003  00:00:00           0.000           1.570           1.570           0.350 
15.11.2003  00:00:00           2.030          -0.500          -0.500           0.220 
16.11.2003  00:00:00           0.150          -0.130          -0.130           0.160 
17.11.2003  00:00:00           1.200          -2.450          -2.450           0.130 
18.11.2003  00:00:00           1.030          -3.780          -3.780           0.100 
19.11.2003  00:00:00           0.000          -5.000          -5.000           0.080 
20.11.2003  00:00:00           0.000          -5.150          -5.150           0.070 
21.11.2003  00:00:00           0.000          -6.080          -6.080           0.080 
22.11.2003  00:00:00           0.000          -7.650          -7.650           0.060 
23.11.2003  00:00:00           0.000          -6.230          -6.230           0.050 
24.11.2003  00:00:00           0.000          -5.520          -5.520           0.050 
25.11.2003  00:00:00           0.000          -7.520          -7.520           0.040 
26.11.2003  00:00:00           0.000          -6.430          -6.430           0.040 
27.11.2003  00:00:00           0.000          -2.800          -2.800           0.030 
28.11.2003  00:00:00           0.000          -0.320          -0.320           0.030 
29.11.2003  00:00:00           0.000           1.400           1.400           0.030 
30.11.2003  00:00:00           0.000           0.470           0.470           0.030 
01.12.2003  00:00:00           0.000          -0.980          -0.980           0.030 
02.12.2003  00:00:00           5.020           1.350           1.350           0.050 
03.12.2003  00:00:00           1.850           2.150           2.150           0.060 
04.12.2003  00:00:00           0.000           2.200           2.200           0.060 
05.12.2003  00:00:00          12.620           1.080           1.080           0.090 
06.12.2003  00:00:00           6.950          -3.480          -3.480           0.080 
07.12.2003  00:00:00           5.550          -0.170          -0.170           0.110 
08.12.2003  00:00:00          12.700          -0.270          -0.270           0.210 
09.12.2003  00:00:00           7.500          -4.500          -4.500           0.230 
10.12.2003  00:00:00           4.850          -4.600          -4.600           0.120 
11.12.2003  00:00:00           1.730          -0.450          -0.450           0.070 
12.12.2003  00:00:00           5.850          -0.070          -0.070           0.070 
13.12.2003  00:00:00          11.950          -3.470          -3.470           0.060 
14.12.2003  00:00:00           0.000          -6.350          -6.350           0.050 
15.12.2003  00:00:00           0.900          -6.100          -6.100           0.040 
16.12.2003  00:00:00           1.420          -7.620          -7.620           0.030 
17.12.2003  00:00:00           0.000         -11.850         -11.850           0.030 
18.12.2003  00:00:00           0.000         -12.200         -12.200           0.020 
19.12.2003  00:00:00           2.380         -10.670         -10.670           0.020 
20.12.2003  00:00:00           6.450          -9.620          -9.620           0.030 
21.12.2003  00:00:00           5.330          -9.430          -9.430           0.040 
22.12.2003  00:00:00          11.400          -9.850          -9.850           0.040 
23.12.2003  00:00:00          10.230         -11.900         -11.900           0.040 
24.12.2003  00:00:00           3.750         -14.480         -14.480           0.040 
25.12.2003  00:00:00           0.000          -9.380          -9.380           0.030 
26.12.2003  00:00:00           1.500         -10.420         -10.420           0.030 
27.12.2003  00:00:00           3.700          -7.970          -7.970           0.030 
28.12.2003  00:00:00           0.600          -9.170          -9.170           0.030 
29.12.2003  00:00:00           1.000          -6.780          -6.780           0.030 
30.12.2003  00:00:00           0.000          -7.200          -7.200           0.020 
31.12.2003  00:00:00           1.100         -10.750         -10.750           0.020 
01.01.2004  00:00:00           0.000         -15.500         -15.500           0.020 
02.01.2004  00:00:00           0.100          -9.880          -9.880           0.010 
03.01.2004  00:00:00           0.000         -14.030         -14.030           0.010 
04.01.2004  00:00:00           0.000         -11.280         -11.280           0.010 
05.01.2004  00:00:00           0.000         -10.570         -10.570           0.010 
06.01.2004  00:00:00           0.000          -9.600          -9.600           0.010 
07.01.2004  00:00:00           0.000         -13.280         -13.280           0.010 
08.01.2004  00:00:00           1.650          -5.580          -5.580           0.010 
09.01.2004  00:00:00           0.000          -5.200          -5.200           0.010 
10.01.2004  00:00:00           0.100          -3.070          -3.070           0.010 
11.01.2004  00:00:00           0.550          -5.330          -5.330           0.010 
12.01.2004  00:00:00           0.000          -8.080          -8.080           0.010 
13.01.2004  00:00:00           0.000          -6.250          -6.250           0.010 
14.01.2004  00:00:00           0.000          -7.030          -7.030           0.010 
15.01.2004  00:00:00           0.000          -7.670          -7.670           0.010 
16.01.2004  00:00:00           0.000          -6.100          -6.100           0.010 
17.01.2004  00:00:00           4.000          -7.300          -7.300           0.010 
18.01.2004  00:00:00           2.270          -7.120          -7.120           0.010 
19.01.2004  00:00:00           2.250          -8.100          -8.100           0.010 
20.01.2004  00:00:00           0.000         -11.570         -11.570           0.010 
21.01.2004  00:00:00           0.000         -11.730         -11.730           0.010 
22.01.2004  00:00:00           0.000          -9.850          -9.850           0.010 
23.01.2004  00:00:00           3.970          -3.450          -3.450           0.010 
24.01.2004  00:00:00           0.920           0.680           0.680           0.010 
25.01.2004  00:00:00           0.000           0.580           0.580           0.010 
26.01.2004  00:00:00           0.000          -2.300          -2.300           0.010 
27.01.2004  00:00:00           3.650          -4.050          -4.050           0.010 
28.01.2004  00:00:00           0.000          -9.170          -9.170           0.010 
29.01.2004  00:00:00           0.000          -6.650          -6.650           0.010 
30.01.2004  00:00:00           0.000         -10.750         -10.750           0.010 
31.01.2004  00:00:00           0.000          -8.430          -8.430           0.010 
01.02.2004  00:00:00           0.100          -9.300          -9.300           0.010 
02.02.2004  00:00:00           5.650         -10.380         -10.380           0.010 
03.02.2004  00:00:00           1.530          -6.250          -6.250           0.010 
04.02.2004  00:00:00           2.850          -6.420          -6.420           0.010 
05.02.2004  00:00:00           0.100         -14.020         -14.020           0.010 
06.02.2004  00:00:00           0.000         -10.250         -10.250           0.010 
07.02.2004  00:00:00           0.000         -13.320         -13.320           0.010 
08.02.2004  00:00:00           0.200         -14.600         -14.600           0.010 
09.02.2004  00:00:00           7.730         -11.580         -11.580           0.010 
10.02.2004  00:00:00           7.700         -13.800         -13.800           0.010 
11.02.2004  00:00:00           2.850         -15.120         -15.120           0.010 
