date        time     P_O_Engsetvatn_ T_Engsetvatn_57 T_Engsetvatn_57    Q_Engsetvatn 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
01.01.2000  00:00:00           1.290           2.190           2.190           1.450 
02.01.2000  00:00:00          11.520           4.280           4.280           1.500 
03.01.2000  00:00:00          11.790           3.350           3.350           1.860 
04.01.2000  00:00:00          38.430           3.940           3.940           3.050 
05.01.2000  00:00:00           2.580           2.160           2.160           3.510 
06.01.2000  00:00:00           3.370           5.590           5.590           3.520 
07.01.2000  00:00:00          21.290           4.090           4.090           4.160 
08.01.2000  00:00:00          20.410           5.430           5.430           5.070 
09.01.2000  00:00:00          23.760           4.070           4.070           6.180 
10.01.2000  00:00:00           7.800           2.900           2.900           5.920 
11.01.2000  00:00:00          13.170           4.410           4.410           5.700 
12.01.2000  00:00:00          29.480           4.040           4.040           5.820 
13.01.2000  00:00:00          16.270           2.340           2.340           5.440 
14.01.2000  00:00:00           6.290           0.870           0.870           4.800 
15.01.2000  00:00:00           2.180           0.840           0.840           4.300 
16.01.2000  00:00:00           5.100           3.870           3.870           5.160 
17.01.2000  00:00:00           3.990           5.870           5.870           6.230 
18.01.2000  00:00:00           6.550           3.160           3.160           6.090 
19.01.2000  00:00:00           5.200           0.650           0.650           5.440 
20.01.2000  00:00:00          17.460           2.430           2.430           5.270 
21.01.2000  00:00:00           5.710           0.220           0.220           4.970 
22.01.2000  00:00:00           0.080          -2.320          -2.320           4.340 
23.01.2000  00:00:00           2.530          -2.400          -2.400           3.790 
24.01.2000  00:00:00           6.210          -1.720          -1.720           3.370 
25.01.2000  00:00:00           1.300           1.710           1.710           3.070 
26.01.2000  00:00:00           0.070           4.140           4.140           2.880 
27.01.2000  00:00:00           5.360           3.030           3.030           3.180 
28.01.2000  00:00:00          15.110           0.550           0.550           3.240 
29.01.2000  00:00:00           1.450          -0.360          -0.360           3.020 
30.01.2000  00:00:00          13.390           0.170           0.170           2.850 
31.01.2000  00:00:00           1.960          -3.690          -3.690           2.630 
01.02.2000  00:00:00           4.010          -3.140          -3.140           2.400 
02.02.2000  00:00:00          13.400          -0.720          -0.720           2.300 
03.02.2000  00:00:00          13.300          -0.540          -0.540           2.190 
04.02.2000  00:00:00          13.900           1.440           1.440           2.130 
05.02.2000  00:00:00          10.580           2.700           2.700           2.380 
06.02.2000  00:00:00          17.310           4.740           4.740           3.530 
07.02.2000  00:00:00           2.000           5.270           5.270           4.290 
08.02.2000  00:00:00           5.900           2.930           2.930           4.560 
09.02.2000  00:00:00           0.000          -1.280          -1.280           4.160 
10.02.2000  00:00:00           0.000           0.910           0.910           3.740 
11.02.2000  00:00:00          14.330           3.330           3.330           3.680 
12.02.2000  00:00:00           2.300           3.900           3.900           3.500 
13.02.2000  00:00:00          10.960           2.800           2.800           3.320 
14.02.2000  00:00:00          17.690           0.150           0.150           3.110 
15.02.2000  00:00:00           8.460          -0.340          -0.340           2.850 
16.02.2000  00:00:00           4.500          -0.070          -0.070           2.650 
17.02.2000  00:00:00           0.000          -2.930          -2.930           2.400 
18.02.2000  00:00:00           0.270          -2.190          -2.190           2.180 
19.02.2000  00:00:00           0.610          -2.390          -2.390           2.020 
20.02.2000  00:00:00           8.540          -2.460          -2.460           1.890 
21.02.2000  00:00:00           0.060          -3.600          -3.600           1.720 
