date        time     P_O_Mageroy_158 T_Mageroy_158mo T_Mageroy_158mo       Q_Mageroy 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
10.11.2010  00:00:00           0.000          -4.950          -4.950           0.050 
11.11.2010  00:00:00           0.000          -6.000          -6.000           0.040 
12.11.2010  00:00:00           0.100          -0.550          -0.550           0.040 
13.11.2010  00:00:00           3.700          -0.450          -0.450           0.040 
14.11.2010  00:00:00           3.100          -0.350          -0.350           0.040 
15.11.2010  00:00:00           2.650           0.150           0.150           0.040 
16.11.2010  00:00:00           0.700          -2.450          -2.450           0.040 
17.11.2010  00:00:00           0.750          -1.850          -1.850           0.040 
18.11.2010  00:00:00           6.800           2.750           2.750           0.090 
19.11.2010  00:00:00           4.000          -0.450          -0.450           0.180 
20.11.2010  00:00:00           0.000          -6.200          -6.200           0.150 
21.11.2010  00:00:00           2.850          -2.000          -2.000           0.110 
22.11.2010  00:00:00           4.850          -2.850          -2.850           0.090 
23.11.2010  00:00:00           8.600          -5.800          -5.800           0.100 
24.11.2010  00:00:00           9.050          -6.500          -6.500           0.090 
25.11.2010  00:00:00           0.000          -7.850          -7.850           0.070 
26.11.2010  00:00:00           0.000         -10.800         -10.800           0.060 
27.11.2010  00:00:00           2.000          -6.600          -6.600           0.050 
28.11.2010  00:00:00           3.550          -4.250          -4.250           0.050 
29.11.2010  00:00:00           2.300          -2.900          -2.900           0.040 
30.11.2010  00:00:00           2.800          -2.850          -2.850           0.040 
01.12.2010  00:00:00           3.700           1.150           1.150           0.050 
02.12.2010  00:00:00           5.050           1.800           1.800           0.200 
03.12.2010  00:00:00           6.700           0.950           0.950           0.320 
04.12.2010  00:00:00           0.300          -1.850          -1.850           0.200 
05.12.2010  00:00:00           0.600          -4.550          -4.550           0.130 
06.12.2010  00:00:00           0.000          -8.550          -8.550           0.090 
07.12.2010  00:00:00           0.000          -4.050          -4.050           0.070 
08.12.2010  00:00:00           0.000          -4.050          -4.050           0.060 
09.12.2010  00:00:00           3.000          -2.500          -2.500           0.050 
10.12.2010  00:00:00           1.000          -6.450          -6.450           0.050 
11.12.2010  00:00:00           0.000          -8.250          -8.250           0.050 
12.12.2010  00:00:00          10.700          -2.350          -2.350           0.040 
13.12.2010  00:00:00           5.050          -3.000          -3.000           0.030 
14.12.2010  00:00:00           1.500          -2.850          -2.850           0.030 
15.12.2010  00:00:00           0.000          -2.150          -2.150           0.030 
16.12.2010  00:00:00           2.200          -4.650          -4.650           0.030 
17.12.2010  00:00:00           0.050          -7.200          -7.200           0.020 
18.12.2010  00:00:00           0.000          -9.500          -9.500           0.020 
19.12.2010  00:00:00           0.000         -11.600         -11.600           0.020 
20.12.2010  00:00:00           0.000         -10.650         -10.650           0.020 
21.12.2010  00:00:00           0.000         -11.050         -11.050           0.020 
22.12.2010  00:00:00           0.000          -5.600          -5.600           0.020 
23.12.2010  00:00:00           3.400          -2.150          -2.150           0.020 
24.12.2010  00:00:00           3.700          -3.150          -3.150           0.020 
25.12.2010  00:00:00           4.400          -1.250          -1.250           0.020 
26.12.2010  00:00:00           3.600          -0.550          -0.550           0.020 
27.12.2010  00:00:00           2.150          -0.850          -0.850           0.020 
28.12.2010  00:00:00           0.050          -2.350          -2.350           0.020 
29.12.2010  00:00:00           0.000          -3.200          -3.200           0.020 
30.12.2010  00:00:00           0.400          -7.300          -7.300           0.020 
31.12.2010  00:00:00           0.000          -7.050          -7.050           0.010 
01.01.2011  00:00:00           0.000          -3.950          -3.950           0.020 
02.01.2011  00:00:00           4.200          -2.250          -2.250           0.020 
03.01.2011  00:00:00           4.150          -4.750          -4.750           0.020 
04.01.2011  00:00:00           2.900          -4.400          -4.400           0.020 
05.01.2011  00:00:00           2.350          -5.650          -5.650           0.020 
06.01.2011  00:00:00           0.000         -12.350         -12.350           0.020 
07.01.2011  00:00:00           0.050          -9.850          -9.850           0.010 
08.01.2011  00:00:00           0.000          -9.750          -9.750           0.010 
09.01.2011  00:00:00           0.000          -9.250          -9.250           0.010 
10.01.2011  00:00:00           1.200          -7.450          -7.450           0.010 
11.01.2011  00:00:00           6.800          -4.050          -4.050           0.010 
12.01.2011  00:00:00           2.100          -4.250          -4.250           0.010 
13.01.2011  00:00:00           3.200          -5.650          -5.650           0.020 
14.01.2011  00:00:00           0.850          -9.250          -9.250           0.020 
15.01.2011  00:00:00           0.000         -11.150         -11.150           0.010 
16.01.2011  00:00:00           0.000          -7.700          -7.700           0.010 
17.01.2011  00:00:00           0.000          -8.400          -8.400           0.010 
18.01.2011  00:00:00           0.000          -6.600          -6.600           0.010 
19.01.2011  00:00:00           0.100          -0.750          -0.750           0.010 
20.01.2011  00:00:00           0.000          -2.950          -2.950           0.010 
21.01.2011  00:00:00           0.000          -3.150          -3.150           0.010 
22.01.2011  00:00:00           3.100          -3.150          -3.150           0.010 
23.01.2011  00:00:00           1.300          -1.600          -1.600           0.010 
24.01.2011  00:00:00           4.200          -4.300          -4.300           0.010 
25.01.2011  00:00:00           4.050          -5.250          -5.250           0.010 
26.01.2011  00:00:00           3.450          -3.500          -3.500           0.010 
27.01.2011  00:00:00           4.650          -1.950          -1.950           0.010 
28.01.2011  00:00:00           8.850          -2.450          -2.450           0.010 
29.01.2011  00:00:00           1.100          -5.350          -5.350           0.010 
30.01.2011  00:00:00           2.000          -6.250          -6.250           0.010 
31.01.2011  00:00:00           2.200          -8.050          -8.050           0.010 
01.02.2011  00:00:00           3.650          -7.250          -7.250           0.010 
02.02.2011  00:00:00           2.550          -7.150          -7.150           0.010 
03.02.2011  00:00:00           0.000          -7.550          -7.550           0.010 
04.02.2011  00:00:00           2.900          -9.100          -9.100           0.010 
05.02.2011  00:00:00           0.000         -10.650         -10.650           0.000 
06.02.2011  00:00:00           0.000         -14.100         -14.100           0.000 
07.02.2011  00:00:00           0.000         -15.150         -15.150           0.000 
08.02.2011  00:00:00           0.800         -15.050         -15.050           0.000 
09.02.2011  00:00:00           3.000         -10.050         -10.050           0.000 
10.02.2011  00:00:00           4.200          -8.250          -8.250           0.010 
11.02.2011  00:00:00           5.100          -4.450          -4.450           0.010 
12.02.2011  00:00:00           3.800          -5.800          -5.800           0.010 
13.02.2011  00:00:00           0.000          -9.100          -9.100           0.010 
14.02.2011  00:00:00           0.000         -12.300         -12.300           0.010 
15.02.2011  00:00:00           0.000         -11.750         -11.750           0.010 
16.02.2011  00:00:00           0.000         -10.100         -10.100           0.010 
17.02.2011  00:00:00           0.000         -11.900         -11.900           0.010 
18.02.2011  00:00:00           0.000         -13.250         -13.250           0.000 
19.02.2011  00:00:00           0.000          -8.600          -8.600           0.000 
20.02.2011  00:00:00           2.350          -4.350          -4.350           0.010 
21.02.2011  00:00:00           1.800          -1.900          -1.900           0.010 
22.02.2011  00:00:00           0.000          -4.350          -4.350           0.010 
23.02.2011  00:00:00           4.100          -3.150          -3.150           0.010 
24.02.2011  00:00:00           0.000          -8.150          -8.150           0.010 
25.02.2011  00:00:00           0.000         -12.400         -12.400           0.010 
26.02.2011  00:00:00           2.850          -4.400          -4.400           0.000 
27.02.2011  00:00:00           0.000           0.250           0.250           0.000 
28.02.2011  00:00:00           0.900          -0.100          -0.100           0.010 
01.03.2011  00:00:00           4.200          -0.350          -0.350           0.010 
02.03.2011  00:00:00           1.500           0.550           0.550           0.010 
03.03.2011  00:00:00           3.250           0.650           0.650           0.010 
04.03.2011  00:00:00           7.050          -1.950          -1.950           0.010 
05.03.2011  00:00:00           4.700          -3.300          -3.300           0.010 
06.03.2011  00:00:00           4.800          -5.550          -5.550           0.010 
07.03.2011  00:00:00           2.450          -4.950          -4.950           0.010 
08.03.2011  00:00:00           0.000          -1.000          -1.000           0.010 
09.03.2011  00:00:00           0.000           0.300           0.300           0.010 
10.03.2011  00:00:00           1.750          -1.450          -1.450           0.010 
11.03.2011  00:00:00           0.100          -3.050          -3.050           0.010 
12.03.2011  00:00:00           0.100          -4.350          -4.350           0.010 
13.03.2011  00:00:00           5.200          -2.050          -2.050           0.010 
14.03.2011  00:00:00           0.900          -5.150          -5.150           0.010 
15.03.2011  00:00:00           5.700          -4.250          -4.250           0.010 
16.03.2011  00:00:00           0.000          -1.150          -1.150           0.010 
17.03.2011  00:00:00           0.000           0.450           0.450           0.010 
18.03.2011  00:00:00           0.000          -3.150          -3.150           0.000 
19.03.2011  00:00:00           0.000          -3.800          -3.800           0.000 
20.03.2011  00:00:00           0.000          -2.650          -2.650           0.000 
21.03.2011  00:00:00           1.300          -1.550          -1.550           0.000 
22.03.2011  00:00:00           1.700          -1.550          -1.550           0.000 
23.03.2011  00:00:00           4.100          -5.050          -5.050           0.000 
24.03.2011  00:00:00           5.650          -5.950          -5.950           0.000 
25.03.2011  00:00:00           4.400          -7.600          -7.600           0.010 
26.03.2011  00:00:00           5.300          -6.750          -6.750           0.010 
27.03.2011  00:00:00           3.650          -6.400          -6.400           0.010 
28.03.2011  00:00:00           3.500          -5.950          -5.950           0.010 
29.03.2011  00:00:00           1.400          -7.000          -7.000           0.010 
30.03.2011  00:00:00           0.400          -5.950          -5.950           0.010 
31.03.2011  00:00:00           5.350          -5.050          -5.050           0.010 
01.04.2011  00:00:00           0.100          -4.150          -4.150           0.010 
02.04.2011  00:00:00           0.000          -1.350          -1.350           0.010 
03.04.2011  00:00:00           4.600           1.150           1.150           0.010 
04.04.2011  00:00:00           1.600           2.250           2.250           0.010 
05.04.2011  00:00:00           0.500           1.800           1.800           0.020 
06.04.2011  00:00:00           0.000           0.550           0.550           0.020 
07.04.2011  00:00:00           0.000           1.350           1.350           0.020 
08.04.2011  00:00:00           0.000           1.650           1.650           0.030 
09.04.2011  00:00:00           0.650           1.450           1.450           0.050 
10.04.2011  00:00:00           9.450           1.750           1.750           0.090 
11.04.2011  00:00:00           3.100           1.650           1.650           0.260 
12.04.2011  00:00:00           0.000           2.950           2.950           0.350 
13.04.2011  00:00:00           0.650           2.250           2.250           0.360 
14.04.2011  00:00:00           0.000           1.350           1.350           0.280 
15.04.2011  00:00:00           0.000           1.800           1.800           0.220 
16.04.2011  00:00:00           2.750           2.750           2.750           0.240 
17.04.2011  00:00:00           3.400           0.750           0.750           0.220 
18.04.2011  00:00:00           6.850           0.350           0.350           0.160 
19.04.2011  00:00:00           4.700           0.300           0.300           0.120 
20.04.2011  00:00:00           0.750           0.400           0.400           0.090 
21.04.2011  00:00:00           0.000           1.000           1.000           0.070 
22.04.2011  00:00:00           0.500           1.350           1.350           0.070 
23.04.2011  00:00:00           6.700           0.750           0.750           0.090 
24.04.2011  00:00:00           1.500           1.250           1.250           0.130 
25.04.2011  00:00:00           0.000           5.600           5.600           0.260 
26.04.2011  00:00:00           2.000           3.900           3.900           0.380 
27.04.2011  00:00:00           2.300           2.050           2.050           0.390 
28.04.2011  00:00:00           5.500           0.450           0.450           0.320 
29.04.2011  00:00:00           3.000           0.550           0.550           0.230 
30.04.2011  00:00:00           0.050           0.750           0.750           0.160 
01.05.2011  00:00:00           0.200           0.150           0.150           0.120 
02.05.2011  00:00:00           0.000           0.850           0.850           0.100 
03.05.2011  00:00:00           0.000           0.750           0.750           0.080 
04.05.2011  00:00:00           0.300          -0.200          -0.200           0.070 
05.05.2011  00:00:00           0.000           0.950           0.950           0.070 
06.05.2011  00:00:00           0.000           1.450           1.450           0.080 
07.05.2011  00:00:00           2.650           1.300           1.300           0.110 
08.05.2011  00:00:00           0.300           2.250           2.250           0.190 
09.05.2011  00:00:00           1.650           2.450           2.450           0.280 
10.05.2011  00:00:00           2.250           0.400           0.400           0.240 
11.05.2011  00:00:00           0.000          -0.250          -0.250           0.160 
12.05.2011  00:00:00           0.000          -1.600          -1.600           0.110 
13.05.2011  00:00:00           0.000          -1.000          -1.000           0.080 
14.05.2011  00:00:00           0.000           1.700           1.700           0.070 
15.05.2011  00:00:00           0.000           5.850           5.850           0.090 
16.05.2011  00:00:00           0.000           5.350           5.350           0.160 
17.05.2011  00:00:00           0.000           1.850           1.850           0.260 
18.05.2011  00:00:00           3.250          -1.050          -1.050           0.200 
19.05.2011  00:00:00           0.900          -1.050          -1.050           0.130 
20.05.2011  00:00:00           0.600           1.300           1.300           0.100 
21.05.2011  00:00:00           0.000           1.650           1.650           0.120 
22.05.2011  00:00:00           0.900           4.300           4.300           0.230 
23.05.2011  00:00:00           2.800           4.950           4.950           0.310 
24.05.2011  00:00:00          12.950           5.050           5.050           0.520 
25.05.2011  00:00:00           2.100           6.050           6.050           0.560 
26.05.2011  00:00:00           4.200           6.250           6.250           0.470 
27.05.2011  00:00:00           1.400           1.100           1.100           0.320 
28.05.2011  00:00:00           0.400           3.150           3.150           0.220 
29.05.2011  00:00:00           0.000           6.350           6.350           0.240 
30.05.2011  00:00:00           0.000           9.150           9.150           0.370 
31.05.2011  00:00:00           3.900           7.500           7.500           0.480 
01.06.2011  00:00:00           1.900           7.850           7.850           0.370 
02.06.2011  00:00:00           0.150           6.750           6.750           0.290 
03.06.2011  00:00:00           1.800           9.050           9.050           0.260 
04.06.2011  00:00:00           1.200           7.650           7.650           0.210 
05.06.2011  00:00:00          12.350           5.050           5.050           0.200 
06.06.2011  00:00:00           3.200           4.750           4.750           0.190 
07.06.2011  00:00:00           0.000           9.400           9.400           0.170 
08.06.2011  00:00:00           5.900           8.750           8.750           0.180 
09.06.2011  00:00:00           0.400           5.350           5.350           0.180 
10.06.2011  00:00:00           0.000           6.600           6.600           0.170 
11.06.2011  00:00:00           0.000           6.650           6.650           0.150 
12.06.2011  00:00:00           0.000           3.150           3.150           0.120 
13.06.2011  00:00:00           0.000           2.750           2.750           0.100 
14.06.2011  00:00:00           0.000           3.550           3.550           0.080 
15.06.2011  00:00:00           0.000           4.850           4.850           0.070 
16.06.2011  00:00:00           0.000           4.050           4.050           0.060 
17.06.2011  00:00:00           0.000           3.550           3.550           0.060 
18.06.2011  00:00:00           0.000           3.750           3.750           0.060 
19.06.2011  00:00:00           0.000           4.950           4.950           0.050 
20.06.2011  00:00:00           0.000           6.250           6.250           0.050 
21.06.2011  00:00:00           0.000           7.300           7.300           0.050 
22.06.2011  00:00:00           6.450           7.650           7.650           0.060 
23.06.2011  00:00:00           1.650          11.650          11.650           0.070 
24.06.2011  00:00:00           1.750           9.250           9.250           0.060 
25.06.2011  00:00:00           8.250           8.150           8.150           0.070 
26.06.2011  00:00:00           2.600           6.750           6.750           0.080 
27.06.2011  00:00:00           1.900           6.850           6.850           0.070 
28.06.2011  00:00:00           1.300           6.400           6.400           0.060 
29.06.2011  00:00:00           2.700           9.600           9.600           0.060 
30.06.2011  00:00:00           0.500           9.000           9.000           0.050 
01.07.2011  00:00:00           0.100           7.550           7.550           0.050 
02.07.2011  00:00:00           0.000           7.000           7.000           0.040 
03.07.2011  00:00:00           0.000           6.900           6.900           0.040 
04.07.2011  00:00:00           1.500           5.850           5.850           0.040 
05.07.2011  00:00:00           0.000           6.250           6.250           0.040 
06.07.2011  00:00:00           0.000           6.250           6.250           0.040 
07.07.2011  00:00:00           0.000           6.250           6.250           0.040 
08.07.2011  00:00:00           0.000           7.550           7.550           0.040 
09.07.2011  00:00:00           2.650          12.750          12.750           0.040 
10.07.2011  00:00:00           0.000          19.650          19.650           0.030 
11.07.2011  00:00:00           4.600          11.900          11.900           0.040 
12.07.2011  00:00:00           7.100           8.900           8.900           0.040 
13.07.2011  00:00:00           0.000           6.350           6.350           0.040 
14.07.2011  00:00:00           2.200           6.350           6.350           0.040 
15.07.2011  00:00:00           5.350           6.850           6.850           0.040 
16.07.2011  00:00:00           0.100           6.050           6.050           0.050 
17.07.2011  00:00:00           0.000           6.750           6.750           0.060 
18.07.2011  00:00:00           0.050           6.300           6.300           0.060 
19.07.2011  00:00:00           0.200          10.650          10.650           0.060 
20.07.2011  00:00:00           1.500          15.500          15.500           0.050 
21.07.2011  00:00:00           8.100          11.950          11.950           0.050 
22.07.2011  00:00:00           3.300           9.400           9.400           0.050 
23.07.2011  00:00:00           0.200           9.050           9.050           0.040 
24.07.2011  00:00:00           0.000           8.050           8.050           0.040 
25.07.2011  00:00:00           7.200           9.150           9.150           0.040 
26.07.2011  00:00:00          21.800           8.000           8.000           0.060 
27.07.2011  00:00:00           0.000          13.400          13.400           0.070 
28.07.2011  00:00:00           0.000          10.950          10.950           0.070 
29.07.2011  00:00:00           0.000           7.750           7.750           0.060 
30.07.2011  00:00:00           0.000           8.400           8.400           0.050 
31.07.2011  00:00:00           0.000           8.150           8.150           0.050 
01.08.2011  00:00:00           0.000          11.500          11.500           0.040 
02.08.2011  00:00:00           0.000          13.750          13.750           0.040 
03.08.2011  00:00:00           0.000          10.600          10.600           0.030 
04.08.2011  00:00:00           0.600           7.400           7.400           0.030 
05.08.2011  00:00:00           1.500           5.750           5.750           0.030 
06.08.2011  00:00:00           1.500           5.250           5.250           0.030 
07.08.2011  00:00:00           0.350           4.350           4.350           0.040 
08.08.2011  00:00:00           2.800           5.150           5.150           0.050 
09.08.2011  00:00:00           0.000           5.750           5.750           0.050 
10.08.2011  00:00:00           0.000           7.150           7.150           0.050 
11.08.2011  00:00:00           1.650           5.400           5.400           0.050 
12.08.2011  00:00:00           0.050           6.800           6.800           0.040 
13.08.2011  00:00:00           4.500           6.800           6.800           0.040 
14.08.2011  00:00:00           0.350           7.950           7.950           0.040 
15.08.2011  00:00:00           0.000          14.250          14.250           0.040 
16.08.2011  00:00:00           0.000          15.150          15.150           0.030 
17.08.2011  00:00:00           0.000          15.650          15.650           0.030 
18.08.2011  00:00:00           0.000          15.050          15.050           0.030 
19.08.2011  00:00:00           0.000          14.850          14.850           0.020 
20.08.2011  00:00:00           0.000          12.950          12.950           0.020 
21.08.2011  00:00:00           0.000          13.950          13.950           0.020 
22.08.2011  00:00:00           0.000          13.100          13.100           0.020 
23.08.2011  00:00:00           0.000          14.650          14.650           0.010 
24.08.2011  00:00:00          14.350          11.850          11.850           0.020 
