date        time     P_O_Nordmannset T_Nordmannset_2 T_Nordmannset_2   Q_Nordmannset 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
02.05.2008  00:00:00           0.000           3.640           3.640           0.290 
03.05.2008  00:00:00          12.590           3.360           3.360           0.530 
04.05.2008  00:00:00           3.140           1.750           1.750           0.670 
05.05.2008  00:00:00           7.580           0.340           0.340           0.920 
06.05.2008  00:00:00           0.180          -2.680          -2.680           0.830 
07.05.2008  00:00:00           1.440          -0.980          -0.980           0.680 
08.05.2008  00:00:00           0.000           0.490           0.490           0.580 
09.05.2008  00:00:00           3.290           2.020           2.020           0.560 
10.05.2008  00:00:00           3.340           1.810           1.810           0.730 
11.05.2008  00:00:00           3.500           0.590           0.590           0.750 
12.05.2008  00:00:00           1.800          -0.070          -0.070           0.690 
13.05.2008  00:00:00           6.810           0.480           0.480           0.650 
14.05.2008  00:00:00           1.380          -0.950          -0.950           0.590 
15.05.2008  00:00:00           0.400          -1.910          -1.910           0.530 
16.05.2008  00:00:00           1.140          -1.380          -1.380           0.490 
17.05.2008  00:00:00           5.370          -1.310          -1.310           0.470 
18.05.2008  00:00:00           2.170          -0.400          -0.400           0.400 
19.05.2008  00:00:00           0.200           0.520           0.520           0.380 
20.05.2008  00:00:00           0.000           0.000           0.000           0.380 
21.05.2008  00:00:00           0.000          -0.080          -0.080           0.360 
22.05.2008  00:00:00           0.000           0.040           0.040           0.360 
23.05.2008  00:00:00           0.000           1.020           1.020           0.360 
24.05.2008  00:00:00           1.020           1.940           1.940           0.400 
25.05.2008  00:00:00           0.000           1.980           1.980           0.550 
26.05.2008  00:00:00           0.000           2.660           2.660           0.720 
27.05.2008  00:00:00           0.000           2.010           2.010           0.930 
28.05.2008  00:00:00           2.470           2.910           2.910           1.730 
29.05.2008  00:00:00           5.870           2.160           2.160           2.920 
30.05.2008  00:00:00           0.990           3.490           3.490           3.900 
31.05.2008  00:00:00           0.000           4.040           4.040           4.210 
01.06.2008  00:00:00           0.000           5.230           5.230           3.830 
02.06.2008  00:00:00           1.710           7.510           7.510           4.220 
03.06.2008  00:00:00           0.000           4.230           4.230           5.650 
04.06.2008  00:00:00           0.100           3.340           3.340           4.380 
05.06.2008  00:00:00           0.100           3.220           3.220           3.010 
06.06.2008  00:00:00           0.000           2.090           2.090           2.490 
07.06.2008  00:00:00           0.000           1.320           1.320           1.980 
08.06.2008  00:00:00           0.840           1.240           1.240           1.500 
09.06.2008  00:00:00           1.680           0.570           0.570           1.200 
10.06.2008  00:00:00           0.000           2.060           2.060           0.970 
11.06.2008  00:00:00           0.100           2.220           2.220           0.870 
12.06.2008  00:00:00           0.000           1.890           1.890           0.900 
13.06.2008  00:00:00           0.000           3.310           3.310           1.080 
14.06.2008  00:00:00           0.000           3.330           3.330           1.270 
15.06.2008  00:00:00           0.000           5.160           5.160           1.480 
16.06.2008  00:00:00           0.000           5.160           5.160           1.710 
17.06.2008  00:00:00           0.000           5.570           5.570           1.800 
18.06.2008  00:00:00           0.000           4.640           4.640           1.680 
19.06.2008  00:00:00           2.670           4.380           4.380           1.650 
20.06.2008  00:00:00          13.180           4.020           4.020           1.870 
21.06.2008  00:00:00           1.490           4.340           4.340           1.960 
22.06.2008  00:00:00           0.200           9.120           9.120           2.930 
23.06.2008  00:00:00           6.810           7.480           7.480           3.280 
24.06.2008  00:00:00           0.310           7.480           7.480           2.540 
25.06.2008  00:00:00           0.000           9.550           9.550           2.490 
26.06.2008  00:00:00           0.000          12.240          12.240           2.510 
27.06.2008  00:00:00           8.290           8.010           8.010           2.550 
28.06.2008  00:00:00           0.000           8.250           8.250           2.030 
29.06.2008  00:00:00           1.540           7.320           7.320           1.380 
30.06.2008  00:00:00           0.000           9.620           9.620           1.030 
01.07.2008  00:00:00           0.000          16.320          16.320           0.980 
02.07.2008  00:00:00           0.000          13.970          13.970           1.060 
03.07.2008  00:00:00           0.000          11.250          11.250           1.040 
04.07.2008  00:00:00           0.000           5.520           5.520           0.940 
05.07.2008  00:00:00           1.380           5.120           5.120           0.790 
06.07.2008  00:00:00           0.000           4.640           4.640           0.670 
07.07.2008  00:00:00           0.000           4.100           4.100           0.580 
08.07.2008  00:00:00           0.000           4.820           4.820           0.500 
09.07.2008  00:00:00           0.000           5.870           5.870           0.440 
10.07.2008  00:00:00           0.000           6.590           6.590           0.390 
11.07.2008  00:00:00           0.000           9.050           9.050           0.350 
12.07.2008  00:00:00           0.000           9.010           9.010           0.320 
13.07.2008  00:00:00           0.000          11.070          11.070           0.290 
14.07.2008  00:00:00           0.000           9.860           9.860           0.270 
15.07.2008  00:00:00           0.000          10.480          10.480           0.250 
16.07.2008  00:00:00           0.000          11.410          11.410           0.230 
17.07.2008  00:00:00           8.340          11.370          11.370           0.230 
18.07.2008  00:00:00           0.480          10.920          10.920           0.230 
19.07.2008  00:00:00           0.000           9.020           9.020           0.220 
20.07.2008  00:00:00           0.000          11.490          11.490           0.200 
21.07.2008  00:00:00           0.000          15.740          15.740           0.190 
22.07.2008  00:00:00           7.190          10.910          10.910           0.210 
23.07.2008  00:00:00           4.890          10.350          10.350           0.210 
24.07.2008  00:00:00           1.510           8.960           8.960           0.220 
25.07.2008  00:00:00           0.240           9.620           9.620           0.230 
26.07.2008  00:00:00           1.050          10.120          10.120           0.260 
27.07.2008  00:00:00           1.080           7.330           7.330           0.290 
28.07.2008  00:00:00           0.250           7.450           7.450           0.330 
29.07.2008  00:00:00           0.000           6.820           6.820           0.340 
30.07.2008  00:00:00           0.900          11.320          11.320           0.330 
31.07.2008  00:00:00           0.280           7.670           7.670           0.310 
01.08.2008  00:00:00           2.770           5.150           5.150           0.310 
02.08.2008  00:00:00           4.340           5.280           5.280           0.460 
03.08.2008  00:00:00           3.570           5.810           5.810           0.790 
04.08.2008  00:00:00           0.000           6.660           6.660           0.860 
05.08.2008  00:00:00           0.000           7.460           7.460           0.700 
06.08.2008  00:00:00           0.000           6.940           6.940           0.550 
07.08.2008  00:00:00           0.000           7.180           7.180           0.460 
08.08.2008  00:00:00           1.840           6.530           6.530           0.400 
09.08.2008  00:00:00           0.000           5.190           5.190           0.350 
10.08.2008  00:00:00           0.000           6.150           6.150           0.320 
11.08.2008  00:00:00           0.000           7.340           7.340           0.280 
12.08.2008  00:00:00           0.000          11.070          11.070           0.250 
13.08.2008  00:00:00           0.000          11.110          11.110           0.230 
14.08.2008  00:00:00           3.980           7.520           7.520           0.240 
15.08.2008  00:00:00          12.910           7.480           7.480           0.280 
16.08.2008  00:00:00           0.340           7.460           7.460           0.320 
17.08.2008  00:00:00           0.190           9.970           9.970           0.360 
18.08.2008  00:00:00           0.000           8.410           8.410           0.360 
19.08.2008  00:00:00           0.000           7.040           7.040           0.340 
20.08.2008  00:00:00           0.000           8.400           8.400           0.300 
21.08.2008  00:00:00           0.000           9.470           9.470           0.270 
