date        time     P_O_Batsfjord_2 T_Batsfjord_254 T_Batsfjord_254     Q_Batsfjord 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
01.01.2000  00:00:00           0.000          -7.500          -7.500           0.640 
02.01.2000  00:00:00           4.980         -10.290         -10.290           1.420 
03.01.2000  00:00:00           0.000          -7.400          -7.400           0.220 
04.01.2000  00:00:00           0.000          -4.740          -4.740           0.280 
05.01.2000  00:00:00           0.000          -8.370          -8.370           0.230 
06.01.2000  00:00:00           0.420          -7.580          -7.580           0.190 
07.01.2000  00:00:00           3.870          -6.800          -6.800           0.190 
08.01.2000  00:00:00           0.660          -1.590          -1.590           0.180 
09.01.2000  00:00:00           4.120          -3.150          -3.150           0.180 
10.01.2000  00:00:00           0.000          -1.930          -1.930           0.180 
11.01.2000  00:00:00           0.750          -3.470          -3.470           0.180 
12.01.2000  00:00:00           1.270          -5.880          -5.880           0.180 
13.01.2000  00:00:00           0.100          -5.200          -5.200           0.180 
14.01.2000  00:00:00           1.100          -6.220          -6.220           0.180 
15.01.2000  00:00:00           0.170          -6.080          -6.080           0.180 
16.01.2000  00:00:00           0.400          -3.620          -3.620           0.180 
17.01.2000  00:00:00           1.380          -5.850          -5.850           0.180 
18.01.2000  00:00:00           3.950          -5.270          -5.270           0.180 
19.01.2000  00:00:00           3.350          -7.830          -7.830           0.180 
20.01.2000  00:00:00           1.100         -11.830         -11.830           0.180 
21.01.2000  00:00:00           1.920         -10.240         -10.240           0.180 
22.01.2000  00:00:00           2.280          -9.130          -9.130           0.180 
23.01.2000  00:00:00           1.980         -12.860         -12.860           0.180 
24.01.2000  00:00:00           0.860         -10.260         -10.260           0.180 
25.01.2000  00:00:00           0.000         -17.300         -17.300           0.180 
26.01.2000  00:00:00           1.930          -4.100          -4.100           0.200 
27.01.2000  00:00:00           2.230          -1.430          -1.430           0.210 
28.01.2000  00:00:00           4.370          -5.300          -5.300           0.210 
29.01.2000  00:00:00           1.770          -7.870          -7.870           0.210 
30.01.2000  00:00:00           0.000         -13.470         -13.470           0.210 
31.01.2000  00:00:00           0.000         -10.350         -10.350           0.210 
01.02.2000  00:00:00           4.110          -2.610          -2.610           0.180 
02.02.2000  00:00:00           7.470          -1.290          -1.290           0.170 
03.02.2000  00:00:00           4.200          -2.090          -2.090           0.170 
04.02.2000  00:00:00           1.400          -5.890          -5.890           0.170 
05.02.2000  00:00:00           0.000          -8.740          -8.740           0.170 
06.02.2000  00:00:00           1.260          -6.990          -6.990           0.170 
07.02.2000  00:00:00           1.910          -7.040          -7.040           0.170 
08.02.2000  00:00:00           0.000          -6.340          -6.340           0.170 
09.02.2000  00:00:00           2.230          -6.040          -6.040           0.170 
10.02.2000  00:00:00           0.000          -1.990          -1.990           0.170 
11.02.2000  00:00:00           0.000          -4.330          -4.330           0.130 
12.02.2000  00:00:00           3.770          -1.190          -1.190           0.120 
13.02.2000  00:00:00           0.200          -1.690          -1.690           0.120 
14.02.2000  00:00:00           0.000          -0.770          -0.770           0.120 
15.02.2000  00:00:00           0.000          -3.250          -3.250           0.120 
16.02.2000  00:00:00           0.000          -5.950          -5.950           0.120 
17.02.2000  00:00:00           0.000         -11.470         -11.470           0.120 
18.02.2000  00:00:00           0.000         -10.110         -10.110           0.120 
19.02.2000  00:00:00           0.000         -11.360         -11.360           0.120 
20.02.2000  00:00:00           0.000         -13.670         -13.670           0.120 
21.02.2000  00:00:00           2.100          -5.700          -5.700           0.120 
22.02.2000  00:00:00           1.190          -4.370          -4.370           0.120 
23.02.2000  00:00:00           0.000          -9.290          -9.290           0.120 
24.02.2000  00:00:00           0.000         -11.900         -11.900           0.120 
25.02.2000  00:00:00           0.000         -14.320         -14.320           0.120 
26.02.2000  00:00:00           0.000         -13.330         -13.330           0.120 
27.02.2000  00:00:00           1.120         -12.960         -12.960           0.120 
28.02.2000  00:00:00           3.680          -9.020          -9.020           0.120 
29.02.2000  00:00:00           3.970          -8.300          -8.300           0.130 
01.03.2000  00:00:00           1.860         -13.700         -13.700           0.130 
02.03.2000  00:00:00           2.040         -11.180         -11.180           0.860 
03.03.2000  00:00:00           5.350          -5.500          -5.500           1.860 
04.03.2000  00:00:00           2.670          -6.250          -6.250           0.260 
05.03.2000  00:00:00           0.670          -6.930          -6.930           0.210 
06.03.2000  00:00:00           0.000          -9.950          -9.950           0.140 
07.03.2000  00:00:00           0.360         -10.560         -10.560           0.120 
08.03.2000  00:00:00           2.630          -7.120          -7.120           0.120 
09.03.2000  00:00:00           3.200          -4.760          -4.760           0.120 
10.03.2000  00:00:00           1.180          -2.570          -2.570           0.120 
11.03.2000  00:00:00           4.830          -2.370          -2.370           0.160 
12.03.2000  00:00:00           1.610          -3.490          -3.490           0.210 
13.03.2000  00:00:00           0.370          -6.640          -6.640           0.210 
14.03.2000  00:00:00           0.000          -4.740          -4.740           0.210 
15.03.2000  00:00:00           0.000          -5.390          -5.390           0.160 
16.03.2000  00:00:00           0.000          -6.160          -6.160           0.120 
17.03.2000  00:00:00           0.000         -14.620         -14.620           0.110 
18.03.2000  00:00:00           0.000          -6.240          -6.240           0.100 
19.03.2000  00:00:00           0.000          -4.040          -4.040           0.100 
20.03.2000  00:00:00           1.920          -1.640          -1.640           0.110 
21.03.2000  00:00:00           2.120          -2.640          -2.640           0.110 
22.03.2000  00:00:00           0.000          -3.990          -3.990           0.110 
23.03.2000  00:00:00           0.570          -3.030          -3.030           0.110 
24.03.2000  00:00:00           0.780          -1.170          -1.170           0.110 
25.03.2000  00:00:00           2.170          -3.670          -3.670           0.110 
26.03.2000  00:00:00           2.900          -4.320          -4.320           0.110 
27.03.2000  00:00:00           0.990          -6.290          -6.290           0.100 
28.03.2000  00:00:00           4.420          -4.660          -4.660           0.090 
29.03.2000  00:00:00           0.650          -4.230          -4.230           0.090 
30.03.2000  00:00:00           6.030          -3.830          -3.830           0.110 
31.03.2000  00:00:00           8.900          -3.780          -3.780           0.120 
01.04.2000  00:00:00           2.100          -6.710          -6.710           0.110 
02.04.2000  00:00:00           0.820          -6.910          -6.910           0.110 
03.04.2000  00:00:00           1.330         -13.490         -13.490           0.100 
