date        time     P_O_Knabani_710 T_Knabani_710mo T_Knabani_710mo       Q_Knabani 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
30.03.2004  00:00:00           0.000          -0.370          -0.370           2.790 
31.03.2004  00:00:00           0.000          -0.740          -0.740           2.880 
01.04.2004  00:00:00           0.000           1.850           1.850           3.480 
02.04.2004  00:00:00           0.000           0.500           0.500           2.370 
03.04.2004  00:00:00           0.000          -2.180          -2.180           1.450 
04.04.2004  00:00:00           9.590          -0.750          -0.750           5.800 
05.04.2004  00:00:00          24.250           0.940           0.940           5.930 
06.04.2004  00:00:00           4.720           1.060           1.060           3.880 
07.04.2004  00:00:00           0.000           0.460           0.460           2.760 
08.04.2004  00:00:00           0.000           0.780           0.780           2.370 
09.04.2004  00:00:00           0.000           0.940           0.940           2.390 
10.04.2004  00:00:00           0.000           0.330           0.330           2.680 
11.04.2004  00:00:00           0.000          -1.200          -1.200           2.000 
12.04.2004  00:00:00           0.000          -0.360          -0.360           2.010 
13.04.2004  00:00:00           0.000           0.900           0.900           2.470 
14.04.2004  00:00:00           2.240           1.590           1.590           4.670 
15.04.2004  00:00:00           2.070           2.360           2.360           6.100 
16.04.2004  00:00:00           0.000           3.740           3.740           5.630 
17.04.2004  00:00:00           0.000           2.800           2.800           5.900 
18.04.2004  00:00:00           5.410           5.360           5.360          12.250 
19.04.2004  00:00:00          20.250           4.430           4.430          17.060 
20.04.2004  00:00:00          16.020           4.040           4.040          15.970 
21.04.2004  00:00:00          11.910           1.550           1.550           6.770 
22.04.2004  00:00:00           0.000           4.780           4.780           6.940 
23.04.2004  00:00:00           6.980           3.330           3.330           5.960 
24.04.2004  00:00:00           0.000           3.870           3.870           5.110 
25.04.2004  00:00:00           0.000           5.280           5.280           4.660 
26.04.2004  00:00:00           1.610           6.230           6.230           4.540 
27.04.2004  00:00:00           0.000           5.700           5.700           4.120 
28.04.2004  00:00:00           2.170           4.960           4.960           4.190 
29.04.2004  00:00:00           0.000           4.380           4.380           3.320 
30.04.2004  00:00:00           0.000           5.370           5.370           2.300 
01.05.2004  00:00:00           0.090           6.170           6.170           1.980 
02.05.2004  00:00:00           0.000           6.990           6.990           2.680 
03.05.2004  00:00:00           0.000           8.450           8.450           2.800 
04.05.2004  00:00:00           4.380           3.780           3.780           2.360 
05.05.2004  00:00:00           3.830           4.590           4.590           3.120 
06.05.2004  00:00:00           8.920           8.360           8.360           5.930 
07.05.2004  00:00:00          16.700          10.340          10.340           9.290 
08.05.2004  00:00:00           3.780          13.520          13.520           5.160 
09.05.2004  00:00:00           1.200          11.590          11.590           3.730 
10.05.2004  00:00:00           0.580          10.560          10.560           2.760 
11.05.2004  00:00:00           0.000          11.340          11.340           1.840 
12.05.2004  00:00:00           0.000           9.760           9.760           1.330 
13.05.2004  00:00:00           4.430           7.060           7.060           2.050 
14.05.2004  00:00:00           0.230           4.400           4.400           1.660 
15.05.2004  00:00:00           1.560           6.470           6.470           1.220 
16.05.2004  00:00:00           0.000           6.330           6.330           0.990 
17.05.2004  00:00:00           0.000           7.750           7.750           0.710 
18.05.2004  00:00:00           0.460           7.410           7.410           0.540 
19.05.2004  00:00:00           3.520           5.630           5.630           0.690 
20.05.2004  00:00:00           5.280           3.500           3.500           1.220 
21.05.2004  00:00:00           0.000           2.000           2.000           0.740 
22.05.2004  00:00:00           0.000           1.310           1.310           0.470 
23.05.2004  00:00:00           0.000           2.140           2.140           0.420 
24.05.2004  00:00:00           0.000           5.200           5.200           0.390 
25.05.2004  00:00:00           0.090           4.560           4.560           0.370 
26.05.2004  00:00:00           3.650           4.860           4.860           0.370 
27.05.2004  00:00:00           0.210           6.370           6.370           0.350 
28.05.2004  00:00:00           0.000           8.280           8.280           0.330 
29.05.2004  00:00:00           0.000           9.220           9.220           0.320 
30.05.2004  00:00:00           0.000          10.500          10.500           0.310 
31.05.2004  00:00:00           0.000          10.550          10.550           0.280 
01.06.2004  00:00:00           0.000          11.600          11.600           0.250 
02.06.2004  00:00:00           0.000          10.740          10.740           0.250 
03.06.2004  00:00:00           0.000          11.020          11.020           0.240 
04.06.2004  00:00:00           5.390          10.230          10.230           0.250 
05.06.2004  00:00:00           2.730           7.520           7.520           0.310 
06.06.2004  00:00:00           0.000           8.680           8.680           0.280 
07.06.2004  00:00:00           2.680          11.100          11.100           0.270 
08.06.2004  00:00:00           1.410           8.480           8.480           0.260 
09.06.2004  00:00:00           0.000           9.000           9.000           0.260 
10.06.2004  00:00:00          11.720           9.060           9.060           0.400 
11.06.2004  00:00:00           0.000          10.140          10.140           0.460 
12.06.2004  00:00:00           6.200           9.720           9.720           0.460 
13.06.2004  00:00:00           2.540          11.800          11.800           0.420 
14.06.2004  00:00:00           0.000          10.770          10.770           0.340 
15.06.2004  00:00:00           0.260           8.630           8.630           0.310 
16.06.2004  00:00:00           0.530           5.430           5.430           0.300 
17.06.2004  00:00:00           0.000           6.270           6.270           0.290 
18.06.2004  00:00:00           0.000           8.200           8.200           0.260 
19.06.2004  00:00:00          14.410           6.530           6.530           0.570 
20.06.2004  00:00:00           8.920           6.130           6.130           3.040 
21.06.2004  00:00:00          31.070           3.890           3.890          10.120 
22.06.2004  00:00:00           8.000           5.610           5.610           5.220 
23.06.2004  00:00:00           4.750           6.090           6.090           3.130 
24.06.2004  00:00:00          17.050           6.520           6.520           3.510 
25.06.2004  00:00:00           3.630           9.780           9.780           3.890 
26.06.2004  00:00:00           5.780          11.430          11.430           3.010 
27.06.2004  00:00:00           0.000           9.900           9.900           1.540 
28.06.2004  00:00:00           3.750          10.050          10.050           1.310 
29.06.2004  00:00:00           3.120          10.200          10.200           1.110 
30.06.2004  00:00:00           0.000           8.740           8.740           0.670 
01.07.2004  00:00:00           3.550          11.400          11.400           0.560 
02.07.2004  00:00:00           3.860           8.680           8.680           1.210 
03.07.2004  00:00:00           0.000           8.900           8.900           1.320 
04.07.2004  00:00:00           8.520           8.870           8.870           2.410 
05.07.2004  00:00:00           5.190          10.020          10.020           3.170 
06.07.2004  00:00:00           0.000           9.470           9.470           1.600 
07.07.2004  00:00:00           0.000           8.460           8.460           0.750 
08.07.2004  00:00:00           0.000           7.070           7.070           0.480 
09.07.2004  00:00:00           5.080          10.600          10.600           0.460 
10.07.2004  00:00:00           7.370           9.500           9.500           0.600 
11.07.2004  00:00:00           1.880           8.940           8.940           0.780 
12.07.2004  00:00:00           0.000          13.080          13.080           0.480 
13.07.2004  00:00:00           0.000          11.410          11.410           0.410 
14.07.2004  00:00:00           0.000          10.050          10.050           0.370 
15.07.2004  00:00:00           0.000           7.860           7.860           0.340 
16.07.2004  00:00:00           0.000           8.470           8.470           0.320 
17.07.2004  00:00:00           0.000           7.590           7.590           0.310 
18.07.2004  00:00:00          23.630          10.540          10.540           3.750 
19.07.2004  00:00:00           4.420           8.840           8.840           2.910 
20.07.2004  00:00:00           0.000           7.670           7.670           1.120 
21.07.2004  00:00:00           0.860           9.920           9.920           0.610 
22.07.2004  00:00:00           0.000          13.990          13.990           0.590 
23.07.2004  00:00:00           0.000          13.380          13.380           0.460 
24.07.2004  00:00:00          10.130          12.520          12.520           0.740 
25.07.2004  00:00:00           9.750           9.920           9.920           1.610 
26.07.2004  00:00:00           7.040           7.970           7.970           2.040 
27.07.2004  00:00:00           0.000           9.920           9.920           1.170 
28.07.2004  00:00:00           0.000           9.540           9.540           0.580 
29.07.2004  00:00:00           0.000          12.800          12.800           0.430 
30.07.2004  00:00:00           0.000          13.530          13.530           0.390 
31.07.2004  00:00:00           0.000          12.570          12.570           0.360 
01.08.2004  00:00:00           0.000          14.510          14.510           0.330 
02.08.2004  00:00:00           4.730          14.290          14.290           0.320 
03.08.2004  00:00:00          10.080          13.730          13.730           0.330 
04.08.2004  00:00:00           8.990          14.250          14.250           0.360 
05.08.2004  00:00:00          11.290          15.050          15.050           1.340 
06.08.2004  00:00:00           3.850          16.210          16.210           1.490 
07.08.2004  00:00:00           0.000          17.860          17.860           0.670 
08.08.2004  00:00:00           0.000          16.750          16.750           0.430 
09.08.2004  00:00:00           0.000          16.110          16.110           0.360 
10.08.2004  00:00:00           0.000          16.030          16.030           0.320 
11.08.2004  00:00:00           0.000          16.560          16.560           0.300 
12.08.2004  00:00:00           0.000          15.880          15.880           0.280 
13.08.2004  00:00:00           0.000          16.180          16.180           0.270 
14.08.2004  00:00:00           0.000          14.750          14.750           0.270 
15.08.2004  00:00:00           0.000          13.020          13.020           0.230 
16.08.2004  00:00:00           0.000          10.850          10.850           0.230 
17.08.2004  00:00:00          18.630          10.470          10.470           0.370 
18.08.2004  00:00:00           3.320          12.500          12.500           0.420 
19.08.2004  00:00:00          20.150          13.280          13.280           5.590 
20.08.2004  00:00:00          41.180          12.920          12.920          10.460 
21.08.2004  00:00:00           2.620          10.900          10.900           3.940 
22.08.2004  00:00:00           2.110           8.520           8.520           2.070 
23.08.2004  00:00:00           0.350           4.730           4.730           1.160 
24.08.2004  00:00:00           0.000           5.350           5.350           0.760 
25.08.2004  00:00:00          13.510           7.410           7.410           4.130 
26.08.2004  00:00:00          28.260          10.110          10.110           7.680 
27.08.2004  00:00:00          10.370           9.630           9.630           6.240 
28.08.2004  00:00:00          28.830           9.340           9.340          14.650 
29.08.2004  00:00:00          14.610           7.280           7.280           6.440 
30.08.2004  00:00:00          22.990           7.290           7.290          15.250 
31.08.2004  00:00:00           8.410           7.750           7.750           5.100 
01.09.2004  00:00:00           6.480           8.800           8.800           3.440 
02.09.2004  00:00:00           0.100           9.030           9.030           2.320 
03.09.2004  00:00:00           0.000           7.190           7.190           1.430 
04.09.2004  00:00:00           0.000          10.500          10.500           0.980 
05.09.2004  00:00:00           0.000          12.650          12.650           0.680 
06.09.2004  00:00:00           0.350          12.990          12.990           0.520 
07.09.2004  00:00:00           0.000           9.040           9.040           0.460 
08.09.2004  00:00:00           0.000           8.420           8.420           0.410 
09.09.2004  00:00:00           0.000           9.680           9.680           0.380 
10.09.2004  00:00:00           0.000           7.670           7.670           0.360 
11.09.2004  00:00:00           0.000           9.440           9.440           0.360 
12.09.2004  00:00:00          19.490           9.350           9.350           5.170 
13.09.2004  00:00:00          25.300           9.490           9.490          21.270 
14.09.2004  00:00:00          37.250           7.030           7.030          13.390 
15.09.2004  00:00:00          14.150           6.500           6.500           7.160 
16.09.2004  00:00:00           0.780           4.440           4.440           2.760 
17.09.2004  00:00:00           4.600           5.210           5.210           7.330 
18.09.2004  00:00:00          27.030           5.380           5.380          12.400 
19.09.2004  00:00:00          37.160           8.070           8.070          11.800 
20.09.2004  00:00:00          34.140           7.050           7.050          26.150 
21.09.2004  00:00:00          35.330           6.330           6.330          10.760 
22.09.2004  00:00:00           0.470           5.900           5.900           3.520 
23.09.2004  00:00:00           0.000           6.000           6.000           1.920 
24.09.2004  00:00:00           0.000           6.600           6.600           1.190 
25.09.2004  00:00:00           0.000           7.220           7.220           0.860 
26.09.2004  00:00:00           0.000           6.160           6.160           0.610 
27.09.2004  00:00:00           1.830           5.980           5.980           0.920 
28.09.2004  00:00:00           0.830           5.130           5.130           1.080 
29.09.2004  00:00:00           0.000           1.720           1.720           0.720 
30.09.2004  00:00:00           0.000           2.390           2.390           0.500 
01.10.2004  00:00:00           0.000           1.430           1.430           0.460 
02.10.2004  00:00:00           0.840           2.120           2.120           3.640 
03.10.2004  00:00:00          42.090           5.450           5.450           9.490 
04.10.2004  00:00:00          13.190           5.880           5.880          30.820 
05.10.2004  00:00:00          67.360           6.310           6.310          10.290 
06.10.2004  00:00:00          20.130           5.620           5.620           9.250 
07.10.2004  00:00:00          36.080           4.970           4.970          17.680 
08.10.2004  00:00:00          10.650           1.500           1.500           5.130 
09.10.2004  00:00:00           0.000           1.150           1.150           2.030 
10.10.2004  00:00:00           0.000           0.460           0.460           1.050 
11.10.2004  00:00:00           0.000          -1.470          -1.470           0.640 
12.10.2004  00:00:00           0.200           1.150           1.150           0.480 
13.10.2004  00:00:00           0.620           2.160           2.160           0.790 
14.10.2004  00:00:00           3.560           3.600           3.600           0.760 
15.10.2004  00:00:00           4.130           3.970           3.970           0.910 
16.10.2004  00:00:00           4.930           3.780           3.780           1.370 
17.10.2004  00:00:00          10.340           4.500           4.500           3.830 
18.10.2004  00:00:00           0.270           4.220           4.220           2.500 
19.10.2004  00:00:00           1.510           3.530           3.530           1.310 
20.10.2004  00:00:00           0.000           2.510           2.510           0.950 
21.10.2004  00:00:00          16.580           3.720           3.720           7.580 
22.10.2004  00:00:00          39.320           4.050           4.050          24.940 
23.10.2004  00:00:00          36.150           5.120           5.120          11.130 
