date        time     P_O_Sandvatn_44 T_Sandvatn_447m T_Sandvatn_447m      Q_Sandvatn 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
01.10.2009  00:00:00           6.290           3.040           3.040           0.890 
02.10.2009  00:00:00           0.000           2.280           2.280           0.810 
03.10.2009  00:00:00           6.430           3.480           3.480           1.040 
04.10.2009  00:00:00          36.970           5.450           5.450           2.840 
05.10.2009  00:00:00           8.330           2.640           2.640           2.740 
06.10.2009  00:00:00           0.280           1.870           1.870           2.320 
07.10.2009  00:00:00          30.030           6.960           6.960           3.830 
08.10.2009  00:00:00           5.150           3.350           3.350           3.390 
09.10.2009  00:00:00          10.590           2.690           2.690           3.110 
10.10.2009  00:00:00           0.000           2.280           2.280           2.450 
11.10.2009  00:00:00           0.190           4.380           4.380           1.940 
12.10.2009  00:00:00           0.100           3.800           3.800           1.660 
13.10.2009  00:00:00           0.000           0.740           0.740           1.390 
14.10.2009  00:00:00           0.000          -1.050          -1.050           1.160 
15.10.2009  00:00:00           0.000          -0.790          -0.790           0.980 
16.10.2009  00:00:00           4.570           4.750           4.750           0.840 
17.10.2009  00:00:00           0.000           3.010           3.010           0.730 
18.10.2009  00:00:00           0.000           0.660           0.660           0.640 
19.10.2009  00:00:00           1.160           2.430           2.430           0.570 
20.10.2009  00:00:00           0.060           2.750           2.750           0.520 
21.10.2009  00:00:00           0.800           5.910           5.910           0.480 
22.10.2009  00:00:00           0.000           4.970           4.970           0.440 
23.10.2009  00:00:00           0.000           4.250           4.250           0.400 
24.10.2009  00:00:00           1.930           3.740           3.740           0.380 
25.10.2009  00:00:00           3.190           3.300           3.300           0.380 
26.10.2009  00:00:00           7.770           5.310           5.310           0.460 
27.10.2009  00:00:00           0.000           4.090           4.090           0.490 
28.10.2009  00:00:00           2.310           2.620           2.620           0.560 
29.10.2009  00:00:00          14.000           3.700           3.700           1.010 
30.10.2009  00:00:00           0.000           2.070           2.070           1.010 
31.10.2009  00:00:00           0.000           2.540           2.540           0.880 
01.11.2009  00:00:00          11.190           2.700           2.700           0.950 
02.11.2009  00:00:00          11.680           3.170           3.170           1.360 
03.11.2009  00:00:00          12.330           6.710           6.710           2.090 
04.11.2009  00:00:00          14.370           4.600           4.600           3.310 
05.11.2009  00:00:00           8.400           0.090           0.090           3.200 
06.11.2009  00:00:00           0.000          -0.640          -0.640           2.460 
