date        time     P_O_Jogla_877mo  T_Jogla_877moh  T_Jogla_877moh         Q_Jogla 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
01.01.2000  00:00:00           9.010          -1.120          -1.120           0.210 
02.01.2000  00:00:00           7.960          -0.200          -0.200           0.210 
03.01.2000  00:00:00          12.970          -1.420          -1.420           0.220 
04.01.2000  00:00:00          13.710          -1.600          -1.600           0.230 
05.01.2000  00:00:00           9.920          -2.800          -2.800           0.240 
06.01.2000  00:00:00          17.770          -1.140          -1.140           0.700 
07.01.2000  00:00:00          14.810          -1.560          -1.560           0.750 
08.01.2000  00:00:00          21.960          -0.060          -0.060           1.480 
09.01.2000  00:00:00          14.870          -0.920          -0.920           0.920 
10.01.2000  00:00:00           7.580          -2.270          -2.270           0.600 
11.01.2000  00:00:00          12.300          -1.560          -1.560           0.490 
12.01.2000  00:00:00           3.630          -0.260          -0.260           0.440 
13.01.2000  00:00:00           6.020          -1.610          -1.610           0.390 
14.01.2000  00:00:00           0.000          -2.680          -2.680           0.340 
15.01.2000  00:00:00           0.000         -11.420         -11.420           0.310 
16.01.2000  00:00:00           0.000          -2.590          -2.590           0.270 
17.01.2000  00:00:00           0.280           2.200           2.200           0.850 
18.01.2000  00:00:00           0.000           0.430           0.430           1.170 
19.01.2000  00:00:00           0.000          -6.640          -6.640           0.640 
20.01.2000  00:00:00           1.000          -2.760          -2.760           0.470 
21.01.2000  00:00:00           0.000          -3.580          -3.580           0.410 
22.01.2000  00:00:00           4.620          -7.570          -7.570           0.360 
23.01.2000  00:00:00           1.520          -7.500          -7.500           0.340 
24.01.2000  00:00:00           0.000         -11.920         -11.920           0.320 
25.01.2000  00:00:00           0.000          -7.710          -7.710           0.270 
26.01.2000  00:00:00           0.000          -2.680          -2.680           0.240 
27.01.2000  00:00:00           0.000          -0.580          -0.580           0.240 
28.01.2000  00:00:00          10.640          -3.150          -3.150           0.240 
29.01.2000  00:00:00          21.850          -2.250          -2.250           0.270 
30.01.2000  00:00:00          25.430          -3.540          -3.540           0.300 
31.01.2000  00:00:00          17.970          -8.770          -8.770           0.320 
01.02.2000  00:00:00           2.520          -6.160          -6.160           0.290 
02.02.2000  00:00:00          16.790          -3.720          -3.720           0.280 
03.02.2000  00:00:00          11.140          -4.880          -4.880           0.280 
04.02.2000  00:00:00           9.300          -4.240          -4.240           0.380 
05.02.2000  00:00:00          52.530           2.710           2.710           1.670 
06.02.2000  00:00:00           3.310           2.030           2.030           2.040 
07.02.2000  00:00:00          16.300           0.080           0.080           2.350 
08.02.2000  00:00:00           8.420          -2.680          -2.680           1.700 
09.02.2000  00:00:00           3.360          -2.830          -2.830           1.550 
10.02.2000  00:00:00           1.460          -1.880          -1.880           0.820 
11.02.2000  00:00:00          31.580          -3.000          -3.000           0.630 
12.02.2000  00:00:00          13.850          -1.390          -1.390           0.550 
13.02.2000  00:00:00          24.060          -4.000          -4.000           0.510 
14.02.2000  00:00:00           3.070          -7.380          -7.380           0.530 
15.02.2000  00:00:00           7.680         -10.010         -10.010           0.470 
16.02.2000  00:00:00           5.080          -7.660          -7.660           0.410 
17.02.2000  00:00:00           0.000          -8.790          -8.790           0.370 
18.02.2000  00:00:00           0.000         -14.310         -14.310           0.350 
19.02.2000  00:00:00           0.000          -7.070          -7.070           0.300 
20.02.2000  00:00:00           0.000         -12.310         -12.310           0.240 
21.02.2000  00:00:00           0.000         -17.320         -17.320           0.310 
22.02.2000  00:00:00           4.020         -11.470         -11.470           0.440 
23.02.2000  00:00:00           0.000          -5.320          -5.320           0.250 
24.02.2000  00:00:00          12.970          -4.700          -4.700           0.240 
25.02.2000  00:00:00           9.290          -4.100          -4.100           0.250 
26.02.2000  00:00:00          14.420          -2.570          -2.570           0.260 
27.02.2000  00:00:00           5.900          -1.910          -1.910           0.400 
28.02.2000  00:00:00          41.000          -0.630          -0.630           0.690 
